wall_time,step,value
1739282891.7195287,444966912,-25.810468673706055
1739282903.5497808,445218816,-26.788230895996094
1739282911.723206,445428736,-26.782840728759766
1739282921.7233567,445688832,-27.155014038085938
1739282931.728317,445944832,-26.994783401489258
1739282941.7258573,446158848,-26.482513427734375
1739282951.7229347,446413824,-26.006473541259766
1739282961.7225206,446670848,-25.036697387695312
1739282971.839934,446881792,-25.754314422607422
1739282981.7232008,447135744,-26.382722854614258
1739282991.7236476,447391744,-26.918581008911133
1739283001.723193,447656960,-27.050643920898438
1739283011.727263,447862784,-25.816326141357422
1739283021.7238805,448123904,-25.839855194091797
1739283031.7256415,448376832,-25.7297306060791
1739283041.7243667,448584704,-26.47985076904297
1739283051.7255342,448842752,-27.3156681060791
1739283061.7234826,449095680,-26.50641441345215
1739283071.7243125,449347584,-25.79074478149414
1739283081.7271495,449549312,-25.378314971923828
1739283091.724563,449807360,-25.608978271484375
1739283101.7234724,450062336,-27.003124237060547
1739283111.7258132,450262016,-26.60439682006836
1739283121.7228415,450520064,-26.832042694091797
1739283131.7261536,450775040,-25.912506103515625
1739283142.5226238,451005440,-26.233463287353516
1739283151.7221732,451244032,-26.106754302978516
1739283161.7233083,451499008,-27.110605239868164
1739283171.7226975,451750912,-26.805978775024414
1739283181.7243626,451954688,-26.854114532470703
1739283191.73272,452210688,-26.234832763671875
1739283201.7260723,452467712,-27.144624710083008
1739283211.7234328,452674560,-26.496828079223633
1739283221.7226245,452930560,-26.43429183959961
1739283231.7219903,453192704,-26.43975257873535
1739283241.727278,453445632,-26.105756759643555
1739283251.723679,453653504,-26.336963653564453
1739283261.7241373,453919744,-25.2458553314209
1739283271.7246673,454175744,-25.35577392578125
1739283281.7260792,454385664,-25.32468032836914
1739283291.7232046,454641664,-26.19123077392578
1739283301.724781,454903808,-26.260427474975586
1739283313.156339,455148544,-25.323678970336914
1739283321.7238512,455367680,-25.458526611328125
1739283331.7228131,455628800,-25.099964141845703
1739283341.7222977,455886848,-25.33939552307129
1739283351.7234821,456095744,-24.683732986450195
1739283361.7217882,456354816,-25.410659790039062
1739283371.7222126,456617984,-25.99970054626465
1739283381.722029,456822784,-25.89301109313965
1739283391.726934,457067520,-26.0847110748291
1739283401.7253735,457333760,-24.793437957763672
1739283411.7233858,457591808,-26.02423095703125
1739283421.7243202,457779200,-25.955734252929688
1739283431.7226944,458045440,-26.665708541870117
1739283441.7229822,458304512,-25.426559448242188
1739283451.726669,458502144,-24.814987182617188
1739283461.723817,458725376,-24.05831527709961
1739283471.7234023,458988544,-25.32378578186035
1739283481.7262974,459245568,-25.835182189941406
1739283491.7229867,459444224,-26.219120025634766
1739283501.7223587,459703296,-26.069244384765625
1739283511.7215652,459967488,-27.130075454711914
1739283521.7250752,460167168,-26.2724666595459
1739283531.724821,460426240,-25.869020462036133
1739283541.7213695,460687360,-25.597917556762695
1739283552.7199855,460915712,-25.81517791748047
1739283561.7233565,461143040,-26.198287963867188
1739283571.7221446,461388800,-25.89008331298828
1739283581.7238777,461617152,-25.2011775970459
1739283591.7239497,461809664,-25.608762741088867
1739283601.7227502,462060544,-26.18144416809082
1739283611.7230895,462318592,-26.72371482849121
1739283621.722768,462521344,-27.706029891967773
1739283631.7242534,462775296,-27.726654052734375
1739283641.7244534,463041536,-27.142614364624023
1739283651.7239833,463300608,-27.281593322753906
1739283661.7227175,463506432,-27.233205795288086
1739283671.7242491,463773696,-28.908151626586914
1739283681.72342,464033792,-29.302114486694336
1739283691.7222142,464240640,-27.935184478759766
1739283701.7252722,464507904,-27.730148315429688
1739283711.7239544,464766976,-27.218276977539062
1739283723.5698738,465017856,-28.537744522094727
1739283731.7211626,465224704,-27.135282516479492
1739283741.7278686,465483776,-27.312665939331055
1739283751.7226768,465738752,-25.514617919921875
1739283761.7245955,465939456,-25.92133331298828
1739283771.7229507,466200576,-25.553932189941406
1739283781.723376,466456576,-26.18675994873047
1739283791.751419,466657280,-26.65862274169922
1739283801.7245724,466912256,-28.780609130859375
1739283811.7241492,467168256,-28.948457717895508
1739283821.724388,467416064,-28.710315704345703
1739283831.7241273,467618816,-27.265403747558594
1739283841.72356,467878912,-27.549150466918945
1739283851.7245252,468131840,-28.285388946533203
1739283861.7243032,468329472,-28.005592346191406
1739283871.7231603,468595712,-28.207717895507812
1739283881.725088,468856832,-27.414249420166016
1739283891.7248602,469101568,-27.807281494140625
1739283901.724608,469302272,-27.334440231323242
1739283911.7230227,469559296,-27.597658157348633
1739283921.7253273,469814272,-28.55301284790039
1739283931.7239974,470029312,-27.81682777404785
1739283941.724124,470282240,-28.448331832885742
1739283951.7250907,470535168,-28.100292205810547
1739283961.7261333,470748160,-27.501880645751953
1739283971.723367,471003136,-27.69244384765625
1739283981.722685,471262208,-27.70656967163086
1739283991.7222385,471520256,-27.540817260742188
1739284001.7230942,471735296,-26.758285522460938
