wall_time,step,value
1739282903.5538437,445218816,-6.808199882507324
1739282911.7257135,445428736,-6.777900218963623
1739282921.7270088,445688832,-6.762849807739258
1739282931.7325816,445944832,-6.722050189971924
1739282941.729626,446158848,-6.682549953460693
1739282951.7253993,446413824,-6.639500141143799
1739282961.725554,446670848,-6.618599891662598
1739282971.8432927,446881792,-6.577549934387207
1739282981.7267847,447135744,-6.529399871826172
1739282991.7277682,447391744,-6.481500148773193
1739283001.725987,447656960,-6.41765022277832
1739283011.7311,447862784,-6.374050140380859
1739283021.7279534,448123904,-6.320199966430664
1739283031.7285962,448376832,-6.32105016708374
1739283041.7285173,448584704,-6.265100002288818
1739283051.7288365,448842752,-6.216750144958496
1739283061.7265382,449095680,-6.136849880218506
1739283071.7278326,449347584,-6.060550212860107
1739283081.7304757,449549312,-6.003749847412109
1739283091.7282248,449807360,-5.9621500968933105
1739283101.7258286,450062336,-5.859000205993652
1739283111.729102,450262016,-5.814350128173828
1739283121.726539,450520064,-5.729800224304199
1739283131.7290993,450775040,-5.6832499504089355
1739283142.5270503,451005440,-5.603650093078613
1739283151.7254653,451244032,-5.5430498123168945
1739283161.7272527,451499008,-5.461050033569336
1739283171.7283688,451750912,-5.310699939727783
1739283181.728571,451954688,-5.257150173187256
1739283191.7365618,452210688,-5.184700012207031
1739283201.7300181,452467712,-5.142899990081787
1739283211.7269409,452674560,-5.114150047302246
1739283221.724852,452930560,-5.040249824523926
1739283231.726249,453192704,-4.973700046539307
1739283241.731051,453445632,-4.904699802398682
1739283251.7263055,453653504,-4.798550128936768
1739283261.728036,453919744,-4.716350078582764
1739283271.7281911,454175744,-4.6392998695373535
1739283281.729442,454385664,-4.604650020599365
1739283291.7268233,454641664,-4.479100227355957
1739283301.7285035,454903808,-4.344799995422363
1739283313.1595054,455148544,-4.289249897003174
1739283321.7275162,455367680,-4.24370002746582
1739283331.726327,455628800,-4.1832499504089355
1739283341.7260995,455886848,-4.094900131225586
1739283351.7261472,456095744,-4.001649856567383
1739283361.7249765,456354816,-3.9102001190185547
1739283371.7261837,456617984,-3.8513500690460205
1739283381.7266026,456822784,-3.8085498809814453
1739283391.7303154,457067520,-3.7213499546051025
1739283401.727891,457333760,-3.6401500701904297
1739283411.7264237,457591808,-3.598900079727173
1739283421.729461,457779200,-3.5708999633789062
1739283431.7262967,458045440,-3.5267999172210693
1739283441.7258883,458304512,-3.460700035095215
1739283451.7302725,458502144,-3.4284000396728516
1739283461.7274015,458725376,-3.3840999603271484
1739283471.7276306,458988544,-3.318150043487549
1739283481.7297862,459245568,-3.287750005722046
1739283491.726677,459444224,-3.249350070953369
1739283501.7258825,459703296,-3.1722500324249268
1739283511.7264779,459967488,-3.122649908065796
1739283521.7288127,460167168,-3.0968000888824463
1739283531.7271867,460426240,-3.0475499629974365
1739283541.724757,460687360,-2.984649896621704
1739283552.7247152,460915712,-2.9123499393463135
1739283561.7268925,461143040,-2.874799966812134
1739283571.7248666,461388800,-2.8515000343322754
1739283581.7260776,461617152,-2.8577001094818115
1739283591.7276478,461809664,-2.8559999465942383
1739283601.72623,462060544,-2.799449920654297
1739283611.7261133,462318592,-2.7588000297546387
1739283621.7274122,462521344,-2.72189998626709
1739283631.7284608,462775296,-2.6963000297546387
1739283641.7274804,463041536,-2.641050100326538
1739283651.7278504,463300608,-2.6214499473571777
1739283661.7275715,463506432,-2.591949939727783
1739283671.7280884,463773696,-2.577899932861328
1739283681.7271245,464033792,-2.561150074005127
