wall_time,step,value
1739282903.5519848,445218816,-6.802499771118164
1739282911.7246141,445428736,-6.7754998207092285
1739282921.72457,445688832,-6.741250038146973
1739282931.7300217,445944832,-6.7307000160217285
1739282941.7269235,446158848,-6.705999851226807
1739282951.7239516,446413824,-6.661600112915039
1739282961.7235827,446670848,-6.614749908447266
1739282971.8415248,446881792,-6.571750164031982
1739282981.7248704,447135744,-6.527550220489502
1739282991.7255638,447391744,-6.504000186920166
1739283001.7249625,447656960,-6.469900131225586
1739283011.7298164,447862784,-6.447400093078613
1739283021.7263272,448123904,-6.34689998626709
1739283031.7271924,448376832,-6.29010009765625
1739283041.7269146,448584704,-6.251999855041504
1739283051.727379,448842752,-6.204150199890137
1739283061.7250695,449095680,-6.133150100708008
1739283071.726358,449347584,-6.062250137329102
1739283081.7286477,449549312,-6.002449989318848
1739283091.7266476,449807360,-5.930799961090088
1739283101.7244763,450062336,-5.8615498542785645
1739283111.727465,450262016,-5.796450138092041
1739283121.724816,450520064,-5.74429988861084
1739283131.7271235,450775040,-5.660950183868408
1739283142.5247798,451005440,-5.605199813842773
1739283151.723657,451244032,-5.538300037384033
1739283161.724669,451499008,-5.476749897003174
1739283171.7267125,451750912,-5.4415998458862305
1739283181.7263715,451954688,-5.331349849700928
1739283191.7349632,452210688,-5.242149829864502
1739283201.72876,452467712,-5.165800094604492
1739283211.7249045,452674560,-5.084549903869629
1739283221.7234716,452930560,-4.987649917602539
1739283231.7241638,453192704,-4.939449787139893
1739283241.7292278,453445632,-4.867000102996826
1739283251.7248158,453653504,-4.8130998611450195
1739283261.7267597,453919744,-4.743199825286865
1739283271.7260854,454175744,-4.631800174713135
1739283281.7277663,454385664,-4.5605998039245605
1739283291.7246578,454641664,-4.45550012588501
1739283301.726543,454903808,-4.370500087738037
1739283313.1582909,455148544,-4.282599925994873
1739283321.7261956,455367680,-4.222400188446045
1739283331.724686,455628800,-4.1354498863220215
1739283341.7238119,455886848,-4.0503997802734375
1739283351.7252045,456095744,-3.98865008354187
1739283361.7239914,456354816,-3.910449981689453
1739283371.7237387,456617984,-3.8521499633789062
1739283381.7244315,456822784,-3.8062000274658203
1739283391.7288954,457067520,-3.74399995803833
1739283401.726348,457333760,-3.6957499980926514
1739283411.7255812,457591808,-3.649600028991699
1739283421.7274618,457779200,-3.588249921798706
1739283431.7247577,458045440,-3.522249937057495
