wall_time,step,value
1739282903.551759,445218816,-25.524375915527344
1739282911.7243369,445428736,-27.000585556030273
1739282921.7242694,445688832,-27.869384765625
1739282931.7300067,445944832,-26.189620971679688
1739282941.7268875,446158848,-26.359333038330078
1739282951.7239296,446413824,-26.807098388671875
1739282961.72357,446670848,-27.451152801513672
1739282971.8415015,446881792,-26.350889205932617
1739282981.7248363,447135744,-25.762956619262695
1739282991.7255445,447391744,-25.73238754272461
1739283001.7249405,447656960,-25.97614860534668
1739283011.7294283,447862784,-25.363882064819336
1739283021.726282,448123904,-25.923105239868164
1739283031.726754,448376832,-26.292879104614258
1739283041.7267418,448584704,-27.03094482421875
1739283051.7266061,448842752,-26.165040969848633
1739283061.7250462,449095680,-26.98496437072754
1739283071.7263398,449347584,-27.73668670654297
1739283081.7286227,449549312,-27.969179153442383
1739283091.7266207,449807360,-27.155405044555664
1739283101.7241955,450062336,-24.851343154907227
1739283111.7271137,450262016,-25.186277389526367
1739283121.7247815,450520064,-25.48659324645996
1739283131.7268536,450775040,-26.77663803100586
1739283142.5247478,451005440,-26.632835388183594
1739283151.723628,451244032,-25.721052169799805
1739283161.7246325,451499008,-26.314817428588867
1739283171.7262688,451750912,-26.07139778137207
1739283181.7263575,451954688,-27.288463592529297
1739283191.734811,452210688,-27.315916061401367
1739283201.7286963,452467712,-26.504573822021484
1739283211.7248683,452674560,-26.354360580444336
1739283221.723429,452930560,-26.033964157104492
1739283231.7241492,453192704,-26.96056365966797
1739283241.7289233,453445632,-25.79464340209961
1739283251.7248013,453653504,-26.796056747436523
1739283261.7267473,453919744,-26.833667755126953
1739283271.7260394,454175744,-26.81186866760254
1739283281.7277532,454385664,-26.07253074645996
1739283291.7246187,454641664,-24.628955841064453
1739283301.7265215,454903808,-24.76050567626953
1739283313.1578457,455148544,-24.890451431274414
1739283321.7261612,455367680,-25.635282516479492
1739283331.724056,455628800,-27.187519073486328
1739283341.7234123,455886848,-26.883167266845703
1739283351.7248893,456095744,-27.11894416809082
1739283361.7231739,456354816,-26.05971908569336
1739283371.7237012,456617984,-25.900211334228516
1739283381.7243962,456822784,-26.231172561645508
1739283391.7287545,457067520,-26.81705093383789
1739283401.7261682,457333760,-26.85487937927246
1739283411.7247725,457591808,-25.798860549926758
1739283421.7274294,457779200,-26.494216918945312
1739283431.7247353,458045440,-26.157310485839844
1739283441.7241127,458304512,-26.790515899658203
1739283451.728855,458502144,-27.273399353027344
1739283461.7258158,458725376,-26.50730323791504
1739283471.7257686,458988544,-27.7305965423584
1739283481.7277925,459245568,-26.645414352416992
1739283491.724208,459444224,-26.714962005615234
1739283501.7242439,459703296,-26.149417877197266
1739283511.7237227,459967488,-26.552387237548828
1739283521.7267177,460167168,-26.686819076538086
1739283531.7258525,460426240,-26.898704528808594
1739283541.7232988,460687360,-27.12456512451172
1739283552.7220824,460915712,-26.973114013671875
1739283561.7242894,461143040,-26.922922134399414
1739283571.7239125,461388800,-26.053220748901367
1739283581.7250297,461617152,-25.673688888549805
1739283591.7256188,461809664,-25.39004898071289
1739283601.7242246,462060544,-25.720706939697266
1739283611.7247517,462318592,-26.8691349029541
1739283621.7249944,462521344,-26.61962890625
1739283631.7268567,462775296,-28.01088523864746
1739283641.725885,463041536,-28.291610717773438
1739283651.7256148,463300608,-28.36031150817871
1739283661.7243598,463506432,-27.204967498779297
1739283671.727003,463773696,-25.99324607849121
1739283681.7255864,464033792,-26.059412002563477
1739283691.7239213,464240640,-27.290523529052734
1739283701.7266686,464507904,-26.319974899291992
1739283711.7250447,464766976,-27.434476852416992
1739283723.5706604,465017856,-25.346193313598633
1739283731.7223887,465224704,-26.29937171936035
1739283741.7301543,465483776,-26.186115264892578
1739283751.724305,465738752,-26.977373123168945
1739283761.7263565,465939456,-27.441627502441406
1739283771.7242672,466200576,-28.179813385009766
1739283781.724682,466456576,-26.607383728027344
1739283791.7521653,466657280,-26.841583251953125
1739283801.7275877,466912256,-25.583763122558594
1739283811.7258594,467168256,-26.893714904785156
1739283821.7253532,467416064,-27.05182647705078
1739283831.7258227,467618816,-27.66741943359375
1739283841.725122,467878912,-26.615102767944336
1739283851.7255445,468131840,-26.381759643554688
1739283861.7263498,468329472,-26.3714656829834
1739283871.7247038,468595712,-26.709306716918945
1739283881.7265847,468856832,-28.15848159790039
1739283891.7268662,469101568,-28.063390731811523
1739283901.7262366,469302272,-28.124126434326172
1739283911.7249715,469559296,-27.244421005249023
1739283921.726156,469814272,-26.5164852142334
1739283931.7257063,470029312,-27.519018173217773
1739283941.7252703,470282240,-27.5189266204834
1739283951.7266376,470535168,-28.492908477783203
1739283961.728319,470748160,-28.067628860473633
1739283971.7248673,471003136,-27.374223709106445
1739283981.7247186,471262208,-27.106924057006836
1739283991.723404,471520256,-26.821714401245117
1739284001.7249863,471735296,-27.895475387573242
1739284011.725099,471997440,-27.719987869262695
1739284021.725926,472254464,-27.202747344970703
1739284031.7295845,472456192,-27.545095443725586
1739284041.7294524,472717312,-28.291709899902344
1739284051.7273855,472981504,-27.56755828857422
1739284063.5243695,473227264,-27.143962860107422
1739284071.7260973,473441280,-27.422412872314453
1739284081.7259579,473702400,-27.530073165893555
1739284091.727044,473955328,-28.068721771240234
1739284101.7242212,474155008,-28.27915382385254
1739284111.7266297,474417152,-27.118288040161133
1739284121.726274,474673152,-26.256736755371094
1739284131.7267077,474869760,-26.595666885375977
1739284141.7256198,475122688,-28.162094116210938
1739284151.7242713,475381760,-29.43685531616211
1739284161.727631,475627520,-28.78641700744629
1739284171.7290509,475828224,-27.76987075805664
1739284181.7228153,476089344,-26.135318756103516
1739284191.7274477,476347392,-27.777692794799805
1739284201.725871,476542976,-28.309720993041992
1739284211.7253876,476797952,-28.885175704956055
1739284221.723633,477051904,-27.85584831237793
1739284231.729151,477289472,-30.00482177734375
1739284241.725109,477490176,-30.973581314086914
1739284251.7244823,477743104,-31.07891082763672
1739284261.7313693,477984768,-29.733224868774414
1739284271.7278042,478175232,-27.5543212890625
1739284281.7248633,478423040,-26.987722396850586
1739284291.727961,478667776,-26.525842666625977
1739284302.0424795,478862336,-25.772069931030273
1739284311.7317243,479094784,-26.780881881713867
1739284321.7270107,479345664,-26.617963790893555
1739284331.7270627,479588352,-27.17165756225586
1739284341.7292097,479776768,-27.338932037353516
1739284351.7243488,480020480,-27.7616024017334
1739284361.7246563,480265216,-28.31699562072754
1739284371.7285113,480466944,-28.833070755004883
1739284381.7239125,480710656,-28.259037017822266
1739284391.7254496,480956416,-27.140335083007812
1739284401.724653,481202176,-27.5161190032959
1739284411.7285047,481397760,-28.547042846679688
1739284421.7289004,481629184,-29.082015991210938
1739284431.7262354,481862656,-29.16796112060547
1739284441.7294252,482046976,-29.14894676208496
1739284451.726766,482279424,-28.889616012573242
1739284461.7311642,482509824,-28.297515869140625
1739284472.8043747,482727936,-29.664012908935547
1739284481.7280297,482935808,-29.35256004333496
1739284491.7253973,483168256,-29.345598220825195
1739284501.7262506,483400704,-28.921201705932617
1739284511.727832,483588096,-27.170930862426758
1739284521.7284765,483818496,-27.662185668945312
1739284531.7272987,484059136,-28.073381423950195
1739284541.7259612,484251648,-28.889190673828125
1739284551.7260165,484493312,-29.434085845947266
1739284561.7288282,484737024,-29.15164566040039
1739284571.72494,484977664,-30.11417007446289
1739284581.7270775,485172224,-30.695310592651367
1739284591.7267234,485419008,-30.786779403686523
1739284601.7261605,485662720,-29.751544952392578
1739284611.7249725,485859328,-29.771677017211914
1739284621.724525,486103040,-29.99173927307129
1739284631.726704,486349824,-30.257049560546875
1739284643.4868257,486591488,-29.779125213623047
1739284651.7240815,486784000,-28.993736267089844
1739284661.7268977,487034880,-30.300661087036133
1739284671.7241628,487278592,-30.945451736450195
1739284681.7268264,487473152,-31.531709671020508
1739284691.7256153,487719936,-30.691307067871094
1739284701.7302976,487962624,-29.725021362304688
1739284711.8146393,488159232,-29.271942138671875
1739284721.7269013,488399872,-29.429962158203125
1739284731.7255309,488644608,-28.64069175720215
1739284741.7252448,488888320,-28.771299362182617
1739284751.7240646,489077760,-28.727569580078125
1739284761.727042,489323520,-28.360078811645508
1739284771.7279317,489570304,-29.18250846862793
1739284781.7247057,489767936,-28.307903289794922
1739284791.7240136,490012672,-28.275156021118164
1739284801.7265353,490256384,-28.81133270263672
1739284811.724503,490498048,-29.123136520385742
1739284821.7277465,490691584,-28.369264602661133
1739284831.7276392,490936320,-28.6275577545166
1739284841.7275693,491172864,-28.41663360595703
1739284851.726484,491359232,-28.28411293029785
1739284861.7276435,491593728,-28.90258026123047
1739284871.731554,491835392,-28.78804588317871
1739284882.6615498,492052480,-29.902908325195312
1739284891.7269044,492269568,-30.554426193237305
1739284901.7275543,492512256,-31.636369705200195
1739284911.7323844,492759040,-31.376314163208008
1739284921.7261112,492956672,-30.738569259643555
1739284931.7261763,493205504,-29.799602508544922
1739284941.7255783,493454336,-29.749359130859375
1739284951.725886,493656064,-29.1109561920166
1739284961.7265625,493905920,-30.008426666259766
1739284971.723111,494151680,-29.03937339782715
1739284981.723216,494394368,-28.7501163482666
1739284991.728599,494592000,-29.277435302734375
1739285001.7255712,494834688,-29.340072631835938
1739285011.7270224,495083520,-29.90950584411621
1739285021.727185,495280128,-30.973896026611328
1739285031.7259307,495525888,-30.243791580200195
1739285041.7250807,495767552,-30.71524429321289
1739285053.339653,496006144,-29.060701370239258
1739285061.72943,496215040,-28.816301345825195
1739285071.725342,496461824,-27.822397232055664
1739285081.7249358,496708608,-28.726581573486328
1739285091.7262814,496910336,-29.688016891479492
1739285101.7283854,497156096,-30.29400062561035
1739285111.725697,497402880,-29.590194702148438
1739285121.7246425,497599488,-29.209394454956055
1739285131.7268105,497850368,-29.85762596130371
1739285141.7291956,498097152,-29.00899887084961
1739285151.7240982,498341888,-29.111289978027344
1739285161.7274842,498536448,-28.251914978027344
1739285171.7256837,498786304,-29.36373519897461
1739285181.7258065,499035136,-30.041282653808594
1739285191.7279093,499232768,-29.100914001464844
1739285201.7266057,499480576,-28.15725326538086
1739285211.7282443,499727360,-28.788246154785156
1739285221.7265959,499973120,-29.388168334960938
1739285231.732057,500184064,-29.291723251342773
1739285241.7259288,500431872,-29.505146026611328
1739285251.7254548,500682752,-29.332258224487305
1739285261.7262795,500879360,-29.16139030456543
1739285271.7289078,501127168,-29.59831428527832
1739285281.7258105,501373952,-29.636396408081055
1739285292.4679449,501595136,-30.928295135498047
1739285301.725769,501819392,-30.098337173461914
1739285311.7262504,502066176,-29.96368408203125
1739285321.7270734,502313984,-29.787511825561523
1739285331.7269955,502521856,-29.33433723449707
1739285341.7297947,502770688,-30.019392013549805
1739285351.7241151,503018496,-29.938751220703125
1739285361.7264156,503215104,-31.12472915649414
1739285371.7235005,503461888,-30.816818237304688
1739285381.7270052,503705600,-30.372451782226562
1739285391.7254052,503949312,-29.53264617919922
1739285401.7270622,504150016,-27.844905853271484
1739285411.7281597,504389632,-29.039411544799805
1739285421.724981,504641536,-29.792591094970703
1739285431.7254934,504840192,-29.280580520629883
1739285441.7252524,505090048,-30.20279312133789
1739285451.7286296,505338880,-30.36258316040039
1739285462.9752202,505564160,-29.51417350769043
1739285471.7236984,505773056,-29.007291793823242
1739285481.7294114,506018816,-29.102445602416992
1739285491.729439,506265600,-29.783601760864258
1739285501.726824,506465280,-30.50743293762207
1739285511.7246723,506712064,-30.399978637695312
1739285521.7270436,506959872,-29.15603256225586
1739285531.7268786,507155456,-28.98789405822754
1739285541.7259839,507398144,-28.737892150878906
