wall_time,step,value
1739282903.5448825,445218816,-25.568593978881836
1739282911.7186422,445428736,-24.688058853149414
1739282921.7180388,445688832,-25.350706100463867
1739282931.7202191,445944832,-26.694475173950195
1739282941.7196639,446158848,-28.307405471801758
1739282951.7185822,446413824,-27.398691177368164
1739282961.7170115,446670848,-25.672069549560547
1739282971.8341947,446881792,-24.74850082397461
1739282981.7174323,447135744,-25.456581115722656
1739282991.720126,447391744,-26.947490692138672
1739283001.718577,447656960,-27.546478271484375
1739283011.719303,447862784,-27.9581356048584
1739283021.718549,448123904,-27.143003463745117
1739283031.7213504,448376832,-26.584400177001953
1739283041.718341,448584704,-25.787086486816406
1739283051.7191753,448842752,-25.77747917175293
1739283061.71738,449095680,-25.368934631347656
1739283071.7191405,449347584,-26.832170486450195
1739283081.7205048,449549312,-26.511877059936523
1739283091.7184339,449807360,-27.250886917114258
1739283101.718795,450062336,-26.031116485595703
1739283111.7201402,450262016,-26.65966796875
1739283121.7167983,450520064,-28.419631958007812
1739283131.7201548,450775040,-26.494443893432617
1739283142.516444,451005440,-25.66169548034668
1739283151.7178607,451244032,-24.974210739135742
1739283161.7174938,451499008,-24.6424617767334
1739283171.7180111,451750912,-25.82736587524414
1739283181.7187138,451954688,-25.68351173400879
1739283191.7276928,452210688,-25.84414291381836
1739283201.720737,452467712,-26.147340774536133
1739283211.7187133,452674560,-27.346370697021484
1739283221.717152,452930560,-27.190086364746094
1739283231.716991,453192704,-26.307493209838867
1739283241.7211814,453445632,-26.273544311523438
1739283251.7175899,453653504,-26.50503158569336
1739283261.7182987,453919744,-26.736980438232422
1739283271.719186,454175744,-25.29130744934082
1739283281.721338,454385664,-24.855302810668945
1739283291.7176576,454641664,-25.026649475097656
1739283301.7197385,454903808,-25.165285110473633
1739283313.1515243,455148544,-26.0117130279541
1739283321.7187548,455367680,-25.671106338500977
1739283331.7192624,455628800,-25.892723083496094
1739283341.7189033,455886848,-26.54781723022461
1739283351.7163959,456095744,-26.971004486083984
1739283361.7170846,456354816,-26.9217529296875
