wall_time,step,value
1739282861.7109523,444291072,15.599967956542969
1739282871.7115688,444457984,5920.78076171875
1739282881.7109807,444708864,13577.0693359375
1739282891.710732,444966912,15945.916015625
1739282903.5370793,445218816,18556.23828125
1739282911.7111747,445428736,23377.62890625
1739282921.710832,445688832,24554.1875
1739282931.711076,445944832,24619.701171875
1739282941.7106955,446158848,23585.5703125
1739282951.7113352,446413824,24761.91015625
1739282961.7107515,446670848,24662.919921875
1739282971.825731,446881792,22938.96484375
1739282981.7107248,447135744,24133.431640625
1739282991.7109423,447391744,24594.318359375
1739283001.7108378,447656960,24778.48046875
1739283011.7116053,447862784,23689.150390625
1739283021.7112682,448123904,24770.384765625
1739283031.71122,448376832,24763.958984375
1739283041.7114127,448584704,23672.986328125
1739283051.7114816,448842752,23511.28515625
1739283061.711424,449095680,24523.306640625
1739283071.7116535,449347584,24370.740234375
1739283081.7114458,449549312,23251.708984375
1739283091.7113862,449807360,24265.123046875
1739283101.7119684,450062336,24279.54296875
1739283111.711277,450262016,23124.064453125
1739283121.7116466,450520064,24370.900390625
1739283131.711144,450775040,24403.970703125
1739283142.5100884,451005440,23935.74609375
1739283151.7115467,451244032,24425.470703125
1739283161.7112534,451499008,24592.919921875
1739283171.7117107,451750912,24542.486328125
1739283181.7112951,451954688,23387.75
1739283191.7191408,452210688,24387.84375
1739283201.711739,452467712,24380.96875
1739283211.7115004,452674560,23352.7734375
1739283221.711617,452930560,23442.935546875
1739283231.711536,453192704,24644.44140625
1739283241.711431,453445632,24582.90625
1739283251.7115388,453653504,23416.037109375
1739283261.711406,453919744,24798.736328125
1739283271.7113345,454175744,24710.89453125
1739283281.7117152,454385664,23695.54296875
1739283291.7115936,454641664,24183.7578125
1739283301.711276,454903808,24902.404296875
1739283313.1430361,455148544,23969.5078125
1739283321.7115726,455367680,23586.787109375
1739283331.711503,455628800,24802.43359375
1739283341.7111719,455886848,24844.263671875
1739283351.7114303,456095744,23656.88671875
1739283361.711659,456354816,24719.177734375
1739283371.7116873,456617984,24896.255859375
1739283381.7118948,456822784,24769.341796875
1739283391.7121308,457067520,25413.814453125
1739283401.711478,457333760,24748.42578125
1739283411.7114396,457591808,24609.001953125
1739283421.711783,457779200,23048.478515625
1739283431.711044,458045440,24418.072265625
1739283441.7115908,458304512,24770.80859375
1739283451.7116466,458502144,23107.8515625
1739283461.7114215,458725376,23124.419921875
1739283471.711407,458988544,23902.0625
1739283481.7117054,459245568,23616.390625
1739283491.711468,459444224,22490.31640625
1739283501.7110474,459703296,23960.873046875
1739283511.7118635,459967488,24603.47265625
1739283521.711197,460167168,23412.81640625
1739283531.7111313,460426240,24322.83984375
1739283541.711198,460687360,24751.0234375
1739283552.7054834,460915712,24046.6796875
1739283561.7113993,461143040,24257.634765625
1739283571.7111063,461388800,24282.5234375
