wall_time,step,value
1739282881.7155986,444708864,-25.500720977783203
1739282891.7142673,444966912,-26.26079559326172
1739282903.5433142,445218816,-25.18415069580078
1739282911.7166207,445428736,-26.600055694580078
1739282921.7172403,445688832,-26.35700225830078
1739282931.716058,445944832,-26.490318298339844
1739282941.7166288,446158848,-26.04080581665039
1739282951.7166722,446413824,-27.91196632385254
1739282961.7155588,446670848,-25.496339797973633
1739282971.8315578,446881792,-25.442501068115234
1739282981.7157786,447135744,-26.73367691040039
1739282991.7174313,447391744,-27.284648895263672
1739283001.7156715,447656960,-26.037334442138672
1739283011.7168844,447862784,-25.31655502319336
1739283021.7167447,448123904,-26.33211898803711
1739283031.718878,448376832,-25.472049713134766
1739283041.7162735,448584704,-26.162479400634766
1739283051.7169428,448842752,-27.25278091430664
1739283061.7165298,449095680,-26.65467643737793
1739283071.7165763,449347584,-26.797069549560547
1739283081.7184277,449549312,-25.604894638061523
1739283091.7167072,449807360,-25.4759464263916
1739283101.7160277,450062336,-25.952930450439453
1739283111.717528,450262016,-27.703109741210938
1739283121.7149687,450520064,-26.675138473510742
1739283131.7171721,450775040,-23.943965911865234
1739283142.5148394,451005440,-27.709306716918945
1739283151.715997,451244032,-25.970613479614258
1739283161.7157748,451499008,-26.479793548583984
1739283171.7158113,451750912,-25.316650390625
1739283181.7163103,451954688,-26.666749954223633
1739283191.7251632,452210688,-25.672767639160156
1739283201.7167687,452467712,-27.48388671875
1739283211.716196,452674560,-26.218231201171875
1739283221.715612,452930560,-24.750669479370117
1739283231.7157888,453192704,-26.384965896606445
1739283241.7182438,453445632,-24.89813232421875
1739283251.7160058,453653504,-27.162763595581055
1739283261.716819,453919744,-25.64531707763672
1739283271.7175586,454175744,-25.24117660522461
1739283281.7187407,454385664,-25.26805305480957
1739283291.7153783,454641664,-26.65241241455078
1739283301.7168574,454903808,-25.05721664428711
1739283313.1493678,455148544,-26.393648147583008
1739283321.7168536,455367680,-25.839824676513672
1739283331.7167618,455628800,-27.331470489501953
1739283341.7165506,455886848,-26.346323013305664
1739283351.7152507,456095744,-25.771724700927734
1739283361.7150018,456354816,-25.377826690673828
1739283371.7157924,456617984,-25.719249725341797
1739283381.7166436,456822784,-25.682594299316406
1739283391.7183986,457067520,-25.757164001464844
1739283401.7161505,457333760,-26.837722778320312
1739283411.7159002,457591808,-25.65350914001465
1739283421.7164664,457779200,-25.64430046081543
1739283431.7164552,458045440,-26.917306900024414
1739283441.716487,458304512,-25.529985427856445
1739283451.715775,458502144,-26.539627075195312
1739283461.7167895,458725376,-25.667896270751953
1739283471.7172952,458988544,-26.56644058227539
1739283481.7169418,459245568,-25.59174156188965
1739283491.7159972,459444224,-26.165111541748047
1739283501.7160742,459703296,-27.919330596923828
1739283511.7157133,459967488,-26.71211051940918
1739283521.7171767,460167168,-25.651248931884766
1739283531.717099,460426240,-26.61489486694336
1739283541.7152734,460687360,-26.81932258605957
1739283552.7128422,460915712,-28.105674743652344
1739283561.7164078,461143040,-26.29452896118164
1739283571.715269,461388800,-26.020832061767578
1739283581.7167897,461617152,-25.465431213378906
1739283591.7159505,461809664,-26.321258544921875
1739283601.715933,462060544,-27.932939529418945
1739283611.7169104,462318592,-27.495988845825195
1739283621.7158496,462521344,-27.849119186401367
1739283631.7174156,462775296,-28.066003799438477
1739283641.7167938,463041536,-26.838764190673828
1739283651.7163742,463300608,-27.244163513183594
1739283661.7165024,463506432,-27.28021812438965
1739283671.7170358,463773696,-27.63236427307129
1739283681.7164745,464033792,-26.485889434814453
1739283691.715716,464240640,-26.516263961791992
1739283701.7172823,464507904,-27.950868606567383
1739283711.7161098,464766976,-26.60026741027832
1739283723.5619302,465017856,-26.032777786254883
1739283731.7159686,465224704,-27.606698989868164
1739283741.718929,465483776,-27.14082908630371
1739283751.7161257,465738752,-26.454103469848633
1739283761.7165046,465939456,-26.822973251342773
