wall_time,step,value
1739282881.7156866,444708864,-14.103797912597656
1739282891.7151551,444966912,-14.051177024841309
1739282903.5434725,445218816,-14.068159103393555
1739282911.717221,445428736,-14.041754722595215
1739282921.7178504,445688832,-14.04474925994873
1739282931.7186565,445944832,-14.004890441894531
1739282941.7180064,446158848,-13.967266082763672
1739282951.7174802,446413824,-13.964746475219727
1739282961.7162368,446670848,-13.928095817565918
1739282971.8330104,446881792,-13.936506271362305
1739282981.7163286,447135744,-13.939778327941895
1739282991.718411,447391744,-13.92150592803955
1739283001.7165823,447656960,-13.902976989746094
1739283011.7175486,447862784,-13.901175498962402
1739283021.7171748,448123904,-13.884895324707031
1739283031.7196574,448376832,-13.8847074508667
1739283041.7176282,448584704,-13.852502822875977
1739283051.7179286,448842752,-13.868077278137207
1739283061.7167084,449095680,-13.87568187713623
1739283071.7177181,449347584,-13.843183517456055
1739283081.719759,449549312,-13.834779739379883
1739283091.7172933,449807360,-13.806785583496094
1739283101.716915,450062336,-13.801325798034668
1739283111.7190936,450262016,-13.822673797607422
1739283121.716158,450520064,-13.801417350769043
1739283131.718593,450775040,-13.810803413391113
1739283142.515102,451005440,-13.7787446975708
1739283151.7168906,451244032,-13.76540470123291
1739283161.71676,451499008,-13.758098602294922
1739283171.7166255,451750912,-13.785455703735352
1739283181.717293,451954688,-13.763362884521484
1739283191.726542,452210688,-13.781875610351562
1739283201.7194927,452467712,-13.76215934753418
1739283211.7170923,452674560,-13.763952255249023
1739283221.7162619,452930560,-13.78508186340332
1739283231.716074,453192704,-13.792551040649414
1739283241.7194698,453445632,-13.764728546142578
1739283251.7166898,453653504,-13.747780799865723
1739283261.7175827,453919744,-13.718693733215332
1739283271.7187412,454175744,-13.735097885131836
1739283281.7196581,454385664,-13.722875595092773
1739283291.716391,454641664,-13.739354133605957
1739283301.7179315,454903808,-13.733010292053223
1739283313.150484,455148544,-13.736743927001953
1739283321.7175531,455367680,-13.733498573303223
1739283331.7173548,455628800,-13.726205825805664
1739283341.7175717,455886848,-13.735432624816895
1739283351.7153385,456095744,-13.744199752807617
1739283361.715745,456354816,-13.738289833068848
1739283371.7163103,456617984,-13.74996280670166
1739283381.7168336,456822784,-13.70730972290039
1739283391.720106,457067520,-13.710312843322754
1739283401.7170186,457333760,-13.712972640991211
1739283411.7169294,457591808,-13.70777416229248
1739283421.7180145,457779200,-13.696560859680176
1739283431.7166193,458045440,-13.686805725097656
1739283441.7177587,458304512,-13.693483352661133
1739283451.7170522,458502144,-13.676477432250977
1739283461.718029,458725376,-13.686121940612793
1739283471.7174616,458988544,-13.692883491516113
1739283481.7187715,459245568,-13.667510986328125
1739283491.7167692,459444224,-13.67510986328125
1739283501.716799,459703296,-13.65404224395752
1739283511.7165234,459967488,-13.680878639221191
1739283521.718486,460167168,-13.67636775970459
1739283531.7175992,460426240,-13.641749382019043
1739283541.7159407,460687360,-13.653519630432129
1739283552.7140336,460915712,-13.65800666809082
1739283561.7165234,461143040,-13.653666496276855
1739283571.7153552,461388800,-13.635943412780762
1739283581.7182636,461617152,-13.684121131896973
1739283591.7167046,461809664,-13.654353141784668
1739283601.717171,462060544,-13.683155059814453
1739283611.7184317,462318592,-13.684860229492188
1739283621.7170267,462521344,-13.685196876525879
1739283631.7186146,462775296,-13.681729316711426
1739283641.7180705,463041536,-13.67825698852539
1739283651.716715,463300608,-13.679971694946289
1739283661.7166233,463506432,-13.656264305114746
1739283671.7181273,463773696,-13.679153442382812
1739283681.7177958,464033792,-13.643404006958008
1739283691.7165437,464240640,-13.671567916870117
1739283701.718299,464507904,-13.677449226379395
1739283711.7162883,464766976,-13.651809692382812
1739283723.5635667,465017856,-13.66733455657959
1739283731.7165954,465224704,-13.660786628723145
1739283741.7194712,465483776,-13.662859916687012
1739283751.7162874,465738752,-13.682488441467285
1739283761.7176483,465939456,-13.646161079406738
1739283771.718135,466200576,-13.628743171691895
1739283781.7173967,466456576,-13.641173362731934
1739283791.745061,466657280,-13.653818130493164
1739283801.7183537,466912256,-13.653730392456055
1739283811.7177393,467168256,-13.649017333984375
1739283821.717215,467416064,-13.637893676757812
1739283831.716314,467618816,-13.675637245178223
1739283841.7161865,467878912,-13.635645866394043
1739283851.7187378,468131840,-13.659192085266113
1739283861.7186632,468329472,-13.628597259521484
1739283871.7176373,468595712,-13.640314102172852
1739283881.7181125,468856832,-13.610316276550293
1739283891.7178938,469101568,-13.60446548461914
1739283901.718473,469302272,-13.605210304260254
1739283911.7174363,469559296,-13.622358322143555
1739283921.7184155,469814272,-13.654023170471191
1739283931.7171726,470029312,-13.626965522766113
1739283941.716862,470282240,-13.637031555175781
1739283951.718725,470535168,-13.64723014831543
1739283961.7188003,470748160,-13.663485527038574
1739283971.718423,471003136,-13.662148475646973
1739283981.7161012,471262208,-13.648168563842773
1739283991.717618,471520256,-13.633574485778809
1739284001.7174497,471735296,-13.62833309173584
1739284011.7177532,471997440,-13.658631324768066
1739284021.7173238,472254464,-13.642943382263184
1739284031.7188096,472456192,-13.659133911132812
1739284041.7204218,472717312,-13.660938262939453
1739284051.7186244,472981504,-13.64127254486084
1739284063.5171335,473227264,-13.644842147827148
1739284071.718019,473441280,-13.665661811828613
1739284081.719505,473702400,-13.643884658813477
1739284091.7184532,473955328,-13.647783279418945
1739284101.716378,474155008,-13.66269302368164
1739284111.7167056,474417152,-13.675203323364258
1739284121.7179878,474673152,-13.653053283691406
1739284131.7188504,474869760,-13.664094924926758
1739284141.7162752,475122688,-13.64710807800293
1739284151.7172122,475381760,-13.645076751708984
1739284161.719237,475627520,-13.641656875610352
1739284171.720542,475828224,-13.636065483093262
1739284181.7164445,476089344,-13.659651756286621
1739284191.7213964,476347392,-13.637081146240234
1739284201.7183216,476542976,-13.628325462341309
1739284211.7162902,476797952,-13.648860931396484
1739284221.7168417,477051904,-13.641166687011719
1739284231.7198176,477289472,-13.656545639038086
1739284241.7169087,477490176,-13.678542137145996
1739284251.717191,477743104,-13.65156078338623
1739284261.7207117,477984768,-13.654314041137695
1739284271.7202632,478175232,-13.647358894348145
1739284281.716918,478423040,-13.644973754882812
1739284291.7177236,478667776,-13.679448127746582
1739284302.0344274,478862336,-13.641755104064941
1739284311.71838,479094784,-13.657620429992676
1739284321.718156,479345664,-13.633580207824707
1739284331.719267,479588352,-13.610782623291016
1739284341.7194443,479776768,-13.572150230407715
1739284351.7173698,480020480,-13.611917495727539
1739284361.717134,480265216,-13.586503982543945
1739284371.7187622,480466944,-13.605447769165039
1739284381.7168376,480710656,-13.599077224731445
1739284391.7174375,480956416,-13.593489646911621
1739284401.7173936,481202176,-13.586708068847656
1739284411.717777,481397760,-13.571541786193848
1739284421.719804,481629184,-13.534951210021973
1739284431.7178576,481862656,-13.564321517944336
1739284441.7192452,482046976,-13.536700248718262
1739284451.7185287,482279424,-13.53563117980957
1739284461.7190225,482509824,-13.549224853515625
1739284472.7942166,482727936,-13.51193904876709
1739284481.7174706,482935808,-13.54780387878418
1739284491.7162523,483168256,-13.540380477905273
1739284501.7179492,483400704,-13.540623664855957
1739284511.7197163,483588096,-13.509337425231934
1739284521.7190402,483818496,-13.516231536865234
1739284531.7182105,484059136,-13.493857383728027
1739284541.7170787,484251648,-13.52025032043457
1739284551.7168584,484493312,-13.496345520019531
1739284561.7183783,484737024,-13.48094654083252
1739284571.7166364,484977664,-13.483100891113281
1739284581.7185287,485172224,-13.446586608886719
