wall_time,step,value
1739282881.7156756,444708864,-25.500720977783203
1739282891.715042,444966912,-26.26079559326172
1739282903.543449,445218816,-25.18415069580078
1739282911.717208,445428736,-26.600055694580078
1739282921.71737,445688832,-26.35700225830078
1739282931.7186174,445944832,-26.490318298339844
1739282941.7179692,446158848,-26.04080581665039
1739282951.7171752,446413824,-27.91196632385254
1739282961.7159922,446670848,-25.496339797973633
1739282971.8325334,446881792,-25.442501068115234
1739282981.7163174,447135744,-26.73367691040039
1739282991.718394,447391744,-27.284648895263672
1739283001.7165437,447656960,-26.037334442138672
1739283011.7175138,447862784,-25.31655502319336
1739283021.7171533,448123904,-26.33211898803711
1739283031.7192667,448376832,-25.472049713134766
1739283041.717232,448584704,-26.162479400634766
1739283051.717917,448842752,-27.25278091430664
1739283061.716685,449095680,-26.65467643737793
1739283071.717698,449347584,-26.797069549560547
1739283081.7197192,449549312,-25.604894638061523
1739283091.717272,449807360,-25.4759464263916
1739283101.7162533,450062336,-25.952930450439453
1739283111.718918,450262016,-27.703109741210938
1739283121.7154844,450520064,-26.675138473510742
1739283131.71857,450775040,-23.943965911865234
1739283142.5150657,451005440,-27.709306716918945
1739283151.7164307,451244032,-25.970613479614258
1739283161.7164357,451499008,-26.479793548583984
1739283171.7166076,451750912,-25.316650390625
1739283181.717268,451954688,-26.666749954223633
1739283191.726522,452210688,-25.672767639160156
1739283201.7172172,452467712,-27.48388671875
1739283211.7169046,452674560,-26.218231201171875
1739283221.7162428,452930560,-24.750669479370117
1739283231.7158663,453192704,-26.384965896606445
1739283241.7194562,453445632,-24.89813232421875
1739283251.7166507,453653504,-27.162763595581055
1739283261.7169032,453919744,-25.64531707763672
1739283271.7187197,454175744,-25.24117660522461
1739283281.719609,454385664,-25.26805305480957
1739283291.7163658,454641664,-26.65241241455078
1739283301.7178247,454903808,-25.05721664428711
1739283313.1501448,455148544,-26.393648147583008
1739283321.717491,455367680,-25.839824676513672
1739283331.7173386,455628800,-27.331470489501953
1739283341.717533,455886848,-26.346323013305664
1739283351.7153268,456095744,-25.771724700927734
1739283361.71573,456354816,-25.377826690673828
1739283371.7162898,456617984,-25.719249725341797
1739283381.7168102,456822784,-25.682594299316406
1739283391.720069,457067520,-25.757164001464844
1739283401.716899,457333760,-26.837722778320312
1739283411.7165284,457591808,-25.65350914001465
1739283421.7170622,457779200,-25.64430046081543
1739283431.716598,458045440,-26.917306900024414
1739283441.7177186,458304512,-25.529985427856445
1739283451.7168286,458502144,-26.539627075195312
1739283461.7179139,458725376,-25.667896270751953
1739283471.7174432,458988544,-26.56644058227539
1739283481.7182388,459245568,-25.59174156188965
1739283491.716725,459444224,-26.165111541748047
1739283501.716782,459703296,-27.919330596923828
1739283511.7160468,459967488,-26.71211051940918
1739283521.7184694,460167168,-25.651248931884766
1739283531.717424,460426240,-26.61489486694336
1739283541.7159083,460687360,-26.81932258605957
1739283552.7138286,460915712,-28.105674743652344
1739283561.7165105,461143040,-26.29452896118164
1739283571.715343,461388800,-26.020832061767578
1739283581.7180314,461617152,-25.465431213378906
1739283591.716564,461809664,-26.321258544921875
1739283601.71707,462060544,-27.932939529418945
1739283611.7184079,462318592,-27.495988845825195
1739283621.716985,462521344,-27.849119186401367
1739283631.7185764,462775296,-28.066003799438477
1739283641.7175627,463041536,-26.838764190673828
1739283651.7166777,463300608,-27.244163513183594
1739283661.716611,463506432,-27.28021812438965
1739283671.7181048,463773696,-27.63236427307129
1739283681.717687,464033792,-26.485889434814453
1739283691.7165074,464240640,-26.516263961791992
1739283701.718107,464507904,-27.950868606567383
1739283711.7162654,464766976,-26.60026741027832
1739283723.56352,465017856,-26.032777786254883
1739283731.7165537,465224704,-27.606698989868164
1739283741.7194493,465483776,-27.14082908630371
1739283751.7162662,465738752,-26.454103469848633
1739283761.717623,465939456,-26.822973251342773
1739283771.717886,466200576,-28.661340713500977
1739283781.7173731,466456576,-27.560331344604492
1739283791.7450173,466657280,-26.94991111755371
1739283801.7183096,466912256,-29.258750915527344
1739283811.7177,467168256,-28.36179542541504
1739283821.7171783,467416064,-27.68144989013672
1739283831.7162793,467618816,-28.600683212280273
1739283841.716096,467878912,-27.268043518066406
1739283851.718538,468131840,-28.875776290893555
1739283861.7186472,468329472,-28.788063049316406
1739283871.7172518,468595712,-26.781448364257812
1739283881.7180977,468856832,-27.912933349609375
1739283891.717867,469101568,-27.12889862060547
1739283901.7184584,469302272,-28.48732566833496
1739283911.717317,469559296,-28.280324935913086
1739283921.7183802,469814272,-28.36115264892578
1739283931.7171557,470029312,-27.976953506469727
1739283941.7168343,470282240,-28.2525691986084
1739283951.7186885,470535168,-29.277902603149414
1739283961.7187681,470748160,-27.496967315673828
1739283971.717789,471003136,-28.321563720703125
1739283981.7159765,471262208,-27.592620849609375
1739283991.717057,471520256,-27.50645637512207
1739284001.7174327,471735296,-29.043956756591797
1739284011.7173443,471997440,-26.703527450561523
1739284021.7173033,472254464,-27.819076538085938
1739284031.7187724,472456192,-28.868730545043945
1739284041.7204015,472717312,-26.026588439941406
1739284051.7186122,472981504,-27.131357192993164
1739284063.517001,473227264,-27.338735580444336
1739284071.7176368,473441280,-27.600570678710938
1739284081.7194934,473702400,-29.27302360534668
1739284091.7177427,473955328,-29.096895217895508
1739284101.716229,474155008,-27.467016220092773
1739284111.7166846,474417152,-26.25719451904297
1739284121.7179735,474673152,-28.128393173217773
1739284131.7185273,474869760,-29.264848709106445
1739284141.7162395,475122688,-27.104572296142578
1739284151.71717,475381760,-28.39129066467285
1739284161.7191923,475627520,-27.805246353149414
1739284171.720503,475828224,-26.11207389831543
1739284181.7164226,476089344,-26.404592514038086
1739284191.7209873,476347392,-29.3875789642334
1739284201.7179937,476542976,-28.242412567138672
1739284211.7162704,476797952,-28.18600082397461
1739284221.7164545,477051904,-28.988977432250977
1739284231.719771,477289472,-30.058685302734375
1739284241.7168627,477490176,-29.25404167175293
1739284251.7171528,477743104,-28.24464988708496
1739284261.720186,477984768,-28.314102172851562
1739284271.7192886,478175232,-27.041521072387695
1739284281.7166774,478423040,-27.411291122436523
1739284291.717684,478667776,-27.714210510253906
1739284302.0344045,478862336,-26.71483612060547
1739284311.7181368,479094784,-27.18436622619629
1739284321.7181418,479345664,-28.23834991455078
1739284331.719214,479588352,-27.35163688659668
1739284341.7194047,479776768,-28.51495933532715
1739284351.7173553,480020480,-28.69451332092285
1739284361.7171123,480265216,-28.445070266723633
1739284371.7187178,480466944,-27.403573989868164
1739284381.7168193,480710656,-27.343154907226562
1739284391.7169971,480956416,-30.777050018310547
1739284401.717372,481202176,-27.209529876708984
1739284411.7175565,481397760,-30.612171173095703
1739284421.7195885,481629184,-28.156553268432617
1739284431.7178159,481862656,-29.749582290649414
1739284441.7192252,482046976,-28.624969482421875
1739284451.718496,482279424,-28.681522369384766
1739284461.7190027,482509824,-29.38680076599121
1739284472.793835,482727936,-30.174840927124023
1739284481.7174335,482935808,-28.667287826538086
1739284491.7162158,483168256,-29.618209838867188
1739284501.7177446,483400704,-26.99034881591797
1739284511.7196772,483588096,-29.913055419921875
1739284521.7190242,483818496,-29.672021865844727
1739284531.7181857,484059136,-27.876903533935547
1739284541.71666,484251648,-29.091230392456055
1739284551.716821,484493312,-29.572463989257812
1739284561.7183633,484737024,-28.062246322631836
1739284571.7166245,484977664,-30.151500701904297
1739284581.718197,485172224,-29.533626556396484
1739284591.7177336,485419008,-29.487524032592773
1739284601.7180364,485662720,-28.62911033630371
1739284611.7175257,485859328,-28.89641571044922
1739284621.716448,486103040,-28.187915802001953
1739284631.7177901,486349824,-30.839876174926758
1739284643.4715712,486591488,-30.720975875854492
1739284651.7167532,486784000,-29.363706588745117
1739284661.7177503,487034880,-31.10724449157715
1739284671.71703,487278592,-29.77660369873047
1739284681.7196198,487473152,-30.727893829345703
1739284691.7174876,487719936,-28.747343063354492
1739284701.7203078,487962624,-28.16029930114746
1739284711.8048272,488159232,-29.381874084472656
1739284721.7192225,488399872,-28.908018112182617
1739284731.7182255,488644608,-29.685571670532227
1739284741.7167432,488888320,-28.571645736694336
1739284751.7174015,489077760,-28.103782653808594
1739284761.7191722,489323520,-28.97370719909668
1739284771.7188733,489570304,-29.416566848754883
1739284781.7165265,489767936,-28.642335891723633
1739284791.7168062,490012672,-29.156644821166992
1739284801.7178516,490256384,-30.43627166748047
1739284811.7180855,490498048,-28.13466453552246
1739284821.717238,490691584,-27.06485366821289
1739284831.717938,490936320,-28.097448348999023
1739284841.7191565,491172864,-29.461822509765625
1739284851.716521,491359232,-30.043676376342773
1739284861.7175255,491593728,-28.971261978149414
1739284871.718118,491835392,-28.766700744628906
1739284882.6534023,492052480,-29.564035415649414
1739284891.718957,492269568,-29.937320709228516
1739284901.71891,492512256,-28.280696868896484
1739284911.7178268,492759040,-29.6312313079834
1739284921.7186506,492956672,-29.114160537719727
1739284931.7178628,493205504,-29.17363166809082
1739284941.7167244,493454336,-29.92379379272461
1739284951.7161238,493656064,-29.406885147094727
1739284961.7175565,493905920,-31.537761688232422
1739284971.7164629,494151680,-28.31584358215332
1739284981.7159963,494394368,-27.757326126098633
1739284991.7171378,494592000,-29.25303840637207
1739285001.7173798,494834688,-29.820850372314453
1739285011.7188995,495083520,-29.893003463745117
1739285021.7193618,495280128,-30.331314086914062
1739285031.7194493,495525888,-31.310630798339844
1739285041.7169616,495767552,-30.44835662841797
1739285053.3323581,496006144,-30.61432647705078
1739285061.7199368,496215040,-29.610803604125977
