wall_time,step,value
1739282881.7160532,444708864,-108.83089447021484
1739282891.7155232,444966912,-104.92374420166016
1739282903.5440128,445218816,-105.58074951171875
1739282911.717623,445428736,-97.83979034423828
1739282921.7179282,445688832,-95.19139099121094
1739282931.7193315,445944832,-92.3157730102539
1739282941.7187655,446158848,-91.65046691894531
1739282951.7179327,446413824,-88.22948455810547
1739282961.7166255,446670848,-83.64227294921875
1739282971.83309,446881792,-81.5908203125
1739282981.7169628,447135744,-78.12468719482422
1739282991.7191854,447391744,-76.0993881225586
1739283001.717537,447656960,-72.01592254638672
1739283011.7188172,447862784,-73.13249969482422
1739283021.7177968,448123904,-69.36456298828125
1739283031.7202952,448376832,-67.58902740478516
1739283041.717865,448584704,-64.89826965332031
1739283051.7181711,448842752,-64.56138610839844
1739283061.7172518,449095680,-63.97097396850586
1739283071.7180967,449347584,-60.80005645751953
1739283081.7198706,449549312,-60.39170455932617
1739283091.7178073,449807360,-59.14005661010742
1739283101.7173758,450062336,-56.222869873046875
1739283111.7196743,450262016,-56.3927001953125
1739283121.7162068,450520064,-55.28127670288086
1739283131.7191904,450775040,-53.681705474853516
1739283142.5156944,451005440,-53.54790496826172
1739283151.716942,451244032,-52.52653884887695
1739283161.7168841,451499008,-51.580196380615234
1739283171.7172785,451750912,-50.83767318725586
1739283181.717863,451954688,-50.51369857788086
1739283191.7269435,452210688,-50.201507568359375
1739283201.720053,452467712,-50.61785888671875
1739283211.7176223,452674560,-49.71607971191406
1739283221.7163162,452930560,-49.36650466918945
1739283231.71692,453192704,-49.66951370239258
1739283241.7203465,453445632,-49.1017951965332
1739283251.7168002,453653504,-48.13783264160156
1739283261.7177055,453919744,-47.89528274536133
1739283271.718783,454175744,-48.2622184753418
1739283281.7201602,454385664,-48.51184844970703
1739283291.7164626,454641664,-46.893898010253906
1739283301.718334,454903808,-47.548828125
1739283313.1513186,455148544,-48.33893966674805
1739283321.7180772,455367680,-47.294029235839844
1739283331.7176287,455628800,-47.092533111572266
1739283341.7181633,455886848,-48.070533752441406
1739283351.7157419,456095744,-47.937461853027344
1739283361.7157886,456354816,-47.51972579956055
1739283371.716691,456617984,-48.55503845214844
1739283381.7181294,456822784,-48.054054260253906
1739283391.720212,457067520,-48.29633331298828
1739283401.7178175,457333760,-48.67971420288086
1739283411.7170136,457591808,-48.8800048828125
1739283421.7181675,457779200,-48.7268180847168
1739283431.718101,458045440,-48.43761444091797
1739283441.717871,458304512,-48.4820556640625
1739283451.717519,458502144,-48.771915435791016
1739283461.718448,458725376,-49.163753509521484
1739283471.7179148,458988544,-48.649009704589844
1739283481.7194178,459245568,-49.53407669067383
1739283491.7171884,459444224,-49.585975646972656
1739283501.7175565,459703296,-50.42547607421875
1739283511.7165775,459967488,-49.83729934692383
1739283521.7187197,460167168,-49.674034118652344
1739283531.718321,460426240,-49.74934005737305
1739283541.7160187,460687360,-51.001338958740234
1739283552.7146869,460915712,-50.358097076416016
1739283561.716995,461143040,-50.68692398071289
1739283571.7158115,461388800,-51.21437454223633
1739283581.7186122,461617152,-51.66203308105469
1739283591.7171605,461809664,-51.65281677246094
1739283601.7180932,462060544,-51.37787628173828
1739283611.7184978,462318592,-51.87688446044922
1739283621.7178197,462521344,-52.062503814697266
1739283631.7193313,462775296,-51.837730407714844
1739283641.7181525,463041536,-52.91985321044922
1739283651.7175648,463300608,-51.870628356933594
1739283661.7171597,463506432,-52.014225006103516
1739283671.7181735,463773696,-52.56687545776367
1739283681.7187219,464033792,-52.055606842041016
1739283691.717423,464240640,-52.54757308959961
1739283701.7191496,464507904,-52.716346740722656
1739283711.7166781,464766976,-52.60670852661133
1739283723.5636854,465017856,-53.0383415222168
1739283731.717081,465224704,-53.44901657104492
1739283741.720409,465483776,-53.319332122802734
1739283751.7171211,465738752,-53.29582595825195
1739283761.7181618,465939456,-53.1255989074707
1739283771.7190192,466200576,-53.401817321777344
1739283781.7174654,466456576,-52.95087814331055
1739283791.7451844,466657280,-53.501670837402344
1739283801.7190447,466912256,-53.88412094116211
1739283811.7182891,467168256,-53.56575393676758
1739283821.7179735,467416064,-54.067874908447266
1739283831.7169733,467618816,-53.62580490112305
1739283841.7169242,467878912,-53.68238067626953
1739283851.7192867,468131840,-53.905418395996094
1739283861.718705,468329472,-53.89447784423828
1739283871.7177534,468595712,-53.65342712402344
1739283881.7186034,468856832,-54.183799743652344
1739283891.7185383,469101568,-54.273963928222656
1739283901.7185118,469302272,-54.2402229309082
1739283911.7180185,469559296,-54.659515380859375
1739283921.7195394,469814272,-54.438316345214844
1739283931.7176378,470029312,-54.32856369018555
1739283941.7177215,470282240,-54.876007080078125
1739283951.719813,470535168,-54.50138473510742
1739283961.7193248,470748160,-55.277767181396484
1739283971.718549,471003136,-54.590572357177734
1739283981.7166762,471262208,-55.16559982299805
1739283991.7176712,471520256,-54.812286376953125
1739284001.7178326,471735296,-54.52568054199219
1739284011.7183187,471997440,-55.46775817871094
1739284021.7174664,472254464,-55.62303161621094
1739284031.7189176,472456192,-55.23133850097656
1739284041.720667,472717312,-56.35199737548828
1739284051.7186594,472981504,-54.935909271240234
1739284063.5174522,473227264,-55.0152587890625
1739284071.7184362,473441280,-56.01262664794922
1739284081.71955,473702400,-56.46697235107422
1739284091.7185118,473955328,-56.172115325927734
1739284101.7168095,474155008,-55.61861801147461
1739284111.7172744,474417152,-55.704280853271484
1739284121.7180254,474673152,-55.7823371887207
1739284131.7196567,474869760,-56.205711364746094
1739284141.7172782,475122688,-55.37767028808594
1739284151.7180974,475381760,-56.51137161254883
1739284161.7193804,475627520,-55.56172180175781
1739284171.720651,475828224,-55.7476692199707
1739284181.7168062,476089344,-56.184600830078125
1739284191.7215474,476347392,-56.157073974609375
1739284201.718379,476542976,-56.730220794677734
1739284211.7176552,476797952,-56.606380462646484
1739284221.7169232,477051904,-57.32359313964844
1739284231.7199695,477289472,-56.067020416259766
1739284241.7178197,477490176,-56.2255973815918
1739284251.7174733,477743104,-57.003780364990234
1739284261.7207642,477984768,-56.883609771728516
1739284271.720414,478175232,-57.39812469482422
1739284281.7177007,478423040,-60.51573944091797
1739284291.7178702,478667776,-57.21577453613281
1739284302.0349562,478862336,-56.58987808227539
1739284311.719158,479094784,-57.75529479980469
1739284321.7181938,479345664,-57.27725601196289
1739284331.7203252,479588352,-56.684181213378906
1739284341.7201872,479776768,-56.612937927246094
1739284351.7174082,480020480,-56.86598205566406
1739284361.717189,480265216,-56.50737380981445
1739284371.7190423,480466944,-57.44076156616211
1739284381.7172132,480710656,-56.272823333740234
1739284391.718094,480956416,-57.753456115722656
1739284401.7174518,481202176,-56.835323333740234
1739284411.7183692,481397760,-57.322547912597656
1739284421.720949,481629184,-57.55732727050781
1739284431.7179704,481862656,-57.02110290527344
1739284441.71991,482046976,-56.62865447998047
1739284451.7189999,482279424,-57.0621337890625
1739284461.7196658,482509824,-56.782840728759766
1739284472.7949235,482727936,-56.7937126159668
1739284481.717615,482935808,-56.91105651855469
1739284491.7163942,483168256,-56.8839225769043
1739284501.7182312,483400704,-57.57948303222656
1739284511.7198238,483588096,-56.6876220703125
1739284521.7191176,483818496,-57.492530822753906
1739284531.719189,484059136,-57.140201568603516
1739284541.7175858,484251648,-57.98925018310547
1739284551.717245,484493312,-57.44953918457031
1739284561.7195256,484737024,-56.518035888671875
1739284571.7176445,484977664,-57.279659271240234
1739284581.7190967,485172224,-56.660240173339844
1739284591.7184045,485419008,-56.931236267089844
1739284601.7182913,485662720,-56.613121032714844
1739284611.718699,485859328,-56.73469543457031
1739284621.7173755,486103040,-58.18781280517578
1739284631.7191966,486349824,-57.845909118652344
1739284643.4724212,486591488,-56.63497543334961
1739284651.7175438,486784000,-56.86001968383789
1739284661.7181425,487034880,-59.049560546875
1739284671.7170935,487278592,-56.4267578125
1739284681.7201555,487473152,-56.71596145629883
1739284691.7184937,487719936,-57.979148864746094
1739284701.721306,487962624,-56.80638885498047
1739284711.8054621,488159232,-58.17899703979492
1739284721.7192802,488399872,-57.85071563720703
1739284731.719084,488644608,-56.937103271484375
1739284741.7168956,488888320,-58.38618469238281
1739284751.7174566,489077760,-57.77165222167969
1739284761.719633,489323520,-59.165916442871094
1739284771.7191908,489570304,-56.973079681396484
1739284781.7170782,489767936,-56.83988952636719
1739284791.7173924,490012672,-57.34503173828125
1739284801.7184975,490256384,-58.17170715332031
1739284811.7181437,490498048,-57.48011779785156
1739284821.7182338,490691584,-58.11606979370117
1739284831.719164,490936320,-57.640010833740234
1739284841.7192278,491172864,-58.14604949951172
1739284851.7171564,491359232,-58.09898376464844
1739284861.7182338,491593728,-57.326080322265625
1739284871.7213619,491835392,-57.96126174926758
1739284882.6537514,492052480,-57.393699645996094
1739284891.7196715,492269568,-59.88484573364258
1739284901.7190123,492512256,-57.751136779785156
1739284911.7183297,492759040,-57.75484085083008
1739284921.719138,492956672,-57.20246124267578
1739284931.7184737,493205504,-57.808128356933594
1739284941.7172465,493454336,-59.165462493896484
1739284951.7162824,493656064,-57.79332733154297
1739284961.7181323,493905920,-58.03252029418945
1739284971.717665,494151680,-57.52247619628906
1739284981.716634,494394368,-57.22443389892578
1739284991.7178447,494592000,-57.394371032714844
1739285001.7180943,494834688,-59.44123458862305
1739285011.7200208,495083520,-57.84263610839844
1739285021.719788,495280128,-58.3122673034668
1739285031.7195387,495525888,-59.19819259643555
1739285041.718023,495767552,-58.797645568847656
1739285053.3328586,496006144,-57.499183654785156
1739285061.7200372,496215040,-57.90116500854492
1739285071.7189436,496461824,-57.79867172241211
1739285081.7166846,496708608,-60.3656120300293
1739285091.7185373,496910336,-57.353878021240234
1739285101.7194452,497156096,-59.9967155456543
1739285111.7177026,497402880,-57.65123748779297
1739285121.7165031,497599488,-60.420955657958984
1739285131.7184448,497850368,-58.159400939941406
1739285141.7197745,498097152,-57.945491790771484
1739285151.7174065,498341888,-57.46061706542969
1739285161.7193353,498536448,-58.27311706542969
1739285171.7181044,498786304,-58.14697265625
1739285181.718696,499035136,-57.82823944091797
1739285191.7216132,499232768,-62.483097076416016
1739285201.7194455,499480576,-58.2841796875
1739285211.718781,499727360,-58.607547760009766
1739285221.718856,499973120,-58.31953430175781
1739285231.7198458,500184064,-58.9161491394043
1739285241.7194047,500431872,-60.09257125854492
1739285251.7187738,500682752,-59.48060989379883
1739285261.7170675,500879360,-59.59634017944336
1739285271.719519,501127168,-58.333675384521484
1739285281.7169054,501373952,-58.74976348876953
1739285292.4622598,501595136,-59.42667770385742
1739285301.717743,501819392,-58.88544845581055
1739285311.7176814,502066176,-57.999454498291016
1739285321.7196643,502313984,-58.49617004394531
1739285331.7185013,502521856,-57.66885757446289
1739285341.719145,502770688,-57.75004959106445
1739285351.7167017,503018496,-61.110469818115234
1739285361.71854,503215104,-59.08196258544922
1739285371.7173684,503461888,-57.686580657958984
1739285381.718804,503705600,-58.488529205322266
1739285391.7176237,503949312,-58.14900588989258
1739285401.7178745,504150016,-59.95724868774414
1739285411.7196996,504389632,-58.45402908325195
1739285421.717415,504641536,-58.868160247802734
1739285431.7192538,504840192,-58.077632904052734
1739285441.71711,505090048,-60.28725051879883
1739285451.718325,505338880,-57.960628509521484
1739285462.969338,505564160,-60.259727478027344
1739285471.717557,505773056,-58.394893646240234
1739285481.7200818,506018816,-60.115089416503906
1739285491.7193403,506265600,-57.035091400146484
1739285501.7178965,506465280,-59.58362579345703
1739285511.7183626,506712064,-59.86160659790039
1739285521.7178118,506959872,-58.72203826904297
1739285531.7180295,507155456,-58.01679229736328
1739285541.7176645,507398144,-59.23585891723633
1739285551.7216501,507644928,-59.524478912353516
1739285561.7194123,507894784,-58.95107650756836
1739285571.7182765,508093440,-58.17538070678711
1739285581.7172122,508342272,-58.544437408447266
1739285591.7182653,508589056,-60.83454513549805
1739285601.7175415,508784640,-59.2537956237793
1739285611.71867,509026304,-58.641944885253906
1739285621.7184424,509272064,-58.85173797607422
1739285631.7196293,509514752,-59.140106201171875
1739285641.7170556,509709312,-58.13536834716797
1739285651.718618,509961216,-60.94271469116211
1739285661.7173958,510206976,-59.21986389160156
1739285671.7190063,510403584,-57.945831298828125
1739285681.7211576,510653440,-57.80171585083008
1739285691.7175856,510900224,-60.19730758666992
1739285701.9827456,511108096,-59.095577239990234
1739285711.7191465,511344640,-58.19595718383789
1739285721.7190874,511594496,-57.66836929321289
1739285731.7180946,511837184,-58.2078857421875
1739285741.7183213,512030720,-58.671451568603516
1739285751.719212,512274432,-59.132572174072266
1739285761.7185085,512523264,-60.7210807800293
1739285771.7185414,512719872,-58.53228759765625
1739285781.717907,512952320,-58.483646392822266
1739285791.718507,513207296,-58.275691986083984
1739285801.7193875,513456128,-58.437042236328125
1739285811.7192972,513649664,-57.33644104003906
1739285821.7177105,513906688,-57.552345275878906
1739285831.718668,514155520,-60.33505630493164
1739285841.7182155,514345984,-58.6330451965332
1739285851.717249,514588672,-61.20669174194336
1739285861.7167737,514829312,-59.539310455322266
1739285871.7178414,515044352,-59.83639144897461
1739285881.7181478,515281920,-57.70835876464844
1739285891.718004,515515392,-59.1717643737793
1739285901.7186453,515749888,-60.00968551635742
1739285911.7199385,515969024,-58.140079498291016
1739285921.718121,516208640,-58.068721771240234
1739285931.7179408,516444160,-59.04423141479492
1739285941.7187383,516666368,-60.05481719970703
1739285951.718722,516903936,-58.29434585571289
1739285961.7193763,517139456,-59.52827072143555
1739285971.7200441,517358592,-60.845001220703125
1739285981.7185628,517600256,-59.402488708496094
1739285991.717287,517837824,-59.07508850097656
1739286001.7199433,518073344,-60.24299240112305
1739286011.7169785,518292480,-60.47802734375
1739286021.7185283,518529024,-59.56474304199219
1739286031.7180636,518762496,-59.231754302978516
1739286041.7166758,518990848,-58.296573638916016
1739286051.7174304,519226368,-60.25267028808594
1739286061.7205942,519455744,-58.26396179199219
1739286071.7190008,519680000,-58.884490966796875
1739286081.7200732,519913472,-57.80942916870117
1739286091.7197125,520148992,-59.324241638183594
1739286101.7172308,520372224,-57.92612838745117
1739286111.7193394,520604672,-58.335113525390625
1739286121.7185342,520843264,-59.895355224609375
