wall_time,step,value
1739282881.7180896,444708864,-38.19257736206055
1739282891.719034,444966912,-37.4442253112793
1739282903.5480964,445218816,-36.861270904541016
1739282911.720424,445428736,-37.28181457519531
1739282921.7201743,445688832,-35.10932159423828
1739282931.7241614,445944832,-35.655941009521484
1739282941.7224643,446158848,-35.150482177734375
1739282951.7211275,446413824,-35.73957443237305
1739282961.7197723,446670848,-34.68171310424805
1739282971.8368306,446881792,-34.83668899536133
1739282981.7200441,447135744,-33.32143020629883
1739282991.7219179,447391744,-33.0650634765625
1739283001.7206867,447656960,-32.465816497802734
1739283011.7244387,447862784,-33.530662536621094
1739283021.7218728,448123904,-33.16873550415039
1739283031.7236414,448376832,-33.43805694580078
1739283041.7212946,448584704,-31.401992797851562
1739283051.7225437,448842752,-32.52617263793945
1739283061.7204452,449095680,-32.751827239990234
1739283071.7212927,449347584,-31.62895965576172
1739283081.7232478,449549312,-31.022357940673828
1739283091.7206242,449807360,-30.743480682373047
1739283101.7203245,450062336,-29.995771408081055
1739283111.7230945,450262016,-30.283599853515625
1739283121.7191386,450520064,-30.707067489624023
1739283131.7216933,450775040,-28.532011032104492
1739283142.5182087,451005440,-28.388111114501953
1739283151.7193444,451244032,-29.968997955322266
1739283161.7196975,451499008,-29.167497634887695
1739283171.7202241,451750912,-27.6763973236084
1739283181.7212527,451954688,-28.022743225097656
1739283191.7301593,452210688,-27.4408016204834
1739283201.7232656,452467712,-28.166452407836914
1739283211.7203298,452674560,-28.465044021606445
1739283221.718952,452930560,-27.23798179626465
1739283231.7186763,453192704,-27.600204467773438
1739283241.7241948,453445632,-26.80715560913086
1739283251.7194138,453653504,-26.965600967407227
1739283261.7208927,453919744,-27.684633255004883
1739283271.7211213,454175744,-26.575698852539062
1739283281.723238,454385664,-25.824209213256836
1739283291.7194686,454641664,-25.670955657958984
1739283301.7221448,454903808,-25.160160064697266
1739283313.153168,455148544,-26.029254913330078
1739283321.7207398,455367680,-25.61993980407715
1739283331.7203646,455628800,-24.4019775390625
1739283341.7208433,455886848,-25.631093978881836
1739283351.7184064,456095744,-24.241500854492188
1739283361.7189136,456354816,-24.994945526123047
1739283371.7198575,456617984,-24.878225326538086
1739283381.7195945,456822784,-24.14354133605957
1739283391.7227423,457067520,-24.026622772216797
1739283401.7225173,457333760,-23.933265686035156
1739283411.7200096,457591808,-24.30039405822754
1739283421.7216218,457779200,-22.93512535095215
1739283431.720513,458045440,-24.248947143554688
1739283441.720729,458304512,-23.682565689086914
1739283451.7219582,458502144,-22.669391632080078
1739283461.7217224,458725376,-23.190706253051758
1739283471.7207315,458988544,-23.295162200927734
1739283481.7224777,459245568,-23.678808212280273
1739283491.7192123,459444224,-22.70833969116211
1739283501.7193408,459703296,-23.183242797851562
1739283511.7185776,459967488,-23.529653549194336
1739283521.7224863,460167168,-22.436805725097656
1739283531.7215412,460426240,-22.373476028442383
1739283541.7188587,460687360,-24.527992248535156
1739283552.7183013,460915712,-22.372486114501953
1739283561.7203538,461143040,-22.694141387939453
1739283571.7188375,461388800,-22.991981506347656
1739283581.7216063,461617152,-20.691904067993164
1739283591.7201245,461809664,-22.142004013061523
1739283601.7203712,462060544,-20.242053985595703
1739283611.7208183,462318592,-23.29209327697754
1739283621.7205625,462521344,-22.48545265197754
1739283631.7219667,462775296,-21.156352996826172
1739283641.720909,463041536,-22.60055923461914
1739283651.7201009,463300608,-22.052677154541016
1739283661.7204514,463506432,-22.832324981689453
1739283671.7213936,463773696,-21.66154670715332
1739283681.7212229,464033792,-22.46489143371582
1739283691.7194152,464240640,-22.27781105041504
1739283701.720548,464507904,-22.567672729492188
1739283711.7195997,464766976,-22.806812286376953
1739283723.5674841,465017856,-19.99767303466797
1739283731.7186992,465224704,-21.983842849731445
1739283741.7239697,465483776,-22.1827392578125
1739283751.7203038,465738752,-21.795339584350586
1739283761.7210352,465939456,-22.742385864257812
1739283771.7209904,466200576,-22.63263511657715
1739283781.7206829,466456576,-19.709156036376953
1739283791.7481167,466657280,-20.5859375
1739283801.7217886,466912256,-22.586450576782227
1739283811.7215493,467168256,-22.086292266845703
1739283821.7214592,467416064,-21.960243225097656
1739283831.7205505,467618816,-20.620681762695312
1739283841.7202215,467878912,-21.667221069335938
1739283851.7214139,468131840,-21.44792366027832
1739283861.721139,468329472,-19.624805450439453
1739283871.7208726,468595712,-21.365859985351562
1739283881.7219884,468856832,-20.463594436645508
1739283891.7216432,469101568,-19.815967559814453
1739283901.7219336,469302272,-19.684764862060547
1739283911.7205837,469559296,-20.756811141967773
1739283921.721639,469814272,-22.758283615112305
1739283931.7210426,470029312,-21.4865779876709
1739283941.720196,470282240,-21.958148956298828
1739283951.7224188,470535168,-20.58970069885254
1739283961.72241,470748160,-21.25933837890625
1739283971.7211866,471003136,-21.468534469604492
1739283981.7194648,471262208,-21.441789627075195
1739283991.7194993,471520256,-21.230609893798828
1739284001.720928,471735296,-21.01210594177246
1739284011.7208643,471997440,-21.957618713378906
1739284021.7212708,472254464,-21.51662826538086
1739284031.7224205,472456192,-21.23613929748535
1739284041.7228603,472717312,-21.842105865478516
1739284051.7219472,472981504,-21.043460845947266
1739284063.5202408,473227264,-20.939388275146484
1739284071.7214339,473441280,-21.728296279907227
1739284081.7220905,473702400,-21.755226135253906
1739284091.721664,473955328,-20.860389709472656
1739284101.7192013,474155008,-22.480392456054688
1739284111.7212856,474417152,-21.202472686767578
1739284121.7221527,474673152,-21.69440460205078
1739284131.7225182,474869760,-20.989635467529297
1739284141.7201245,475122688,-21.875991821289062
1739284151.7208517,475381760,-21.621976852416992
1739284161.7230914,475627520,-21.217191696166992
1739284171.7241352,475828224,-21.11388397216797
1739284181.719305,476089344,-21.541431427001953
1739284191.723562,476347392,-21.481534957885742
1739284201.721958,476542976,-21.662830352783203
1739284211.721523,476797952,-21.189498901367188
1739284221.719102,477051904,-21.481679916381836
1739284231.723448,477289472,-21.262365341186523
1739284241.721375,477490176,-20.872623443603516
1739284251.7205834,477743104,-21.994394302368164
1739284261.723825,477984768,-21.811439514160156
1739284271.7235718,478175232,-21.375591278076172
1739284281.7203672,478423040,-21.10809326171875
1739284291.7215662,478667776,-21.420320510864258
1739284302.0372336,478862336,-21.68031883239746
1739284311.7229874,479094784,-21.126041412353516
1739284321.7224417,479345664,-21.845579147338867
1739284331.7228823,479588352,-21.84891700744629
1739284341.72261,479776768,-21.868318557739258
1739284351.720183,480020480,-21.057964324951172
1739284361.7197983,480265216,-20.781251907348633
1739284371.7240782,480466944,-21.131635665893555
1739284381.7211845,480710656,-21.23795509338379
1739284391.721084,480956416,-21.501148223876953
1739284401.7203429,481202176,-21.823387145996094
1739284411.7215767,481397760,-21.995983123779297
1739284421.72267,481629184,-21.74554443359375
1739284431.7219293,481862656,-22.264606475830078
1739284441.723018,482046976,-21.643999099731445
1739284451.7219117,482279424,-21.37977409362793
1739284461.7226286,482509824,-21.282085418701172
1739284472.796749,482727936,-22.020160675048828
1739284481.7231283,482935808,-19.750638961791992
1739284491.7201335,483168256,-22.467689514160156
1739284501.721625,483400704,-21.61810874938965
1739284511.7233899,483588096,-18.812992095947266
1739284521.7234542,483818496,-21.381498336791992
1739284531.7230644,484059136,-20.971298217773438
1739284541.7209785,484251648,-21.226224899291992
1739284551.7202663,484493312,-21.81996726989746
1739284561.723377,484737024,-20.75263214111328
1739284571.7205648,484977664,-21.661636352539062
1739284581.7225244,485172224,-21.19496726989746
1739284591.7225826,485419008,-21.74174690246582
1739284601.721636,485662720,-22.21979331970215
1739284611.720699,485859328,-22.31363868713379
1739284621.7191553,486103040,-21.180294036865234
1739284631.7227201,486349824,-21.550861358642578
1739284643.4810176,486591488,-21.503080368041992
1739284651.7200518,486784000,-20.59806251525879
1739284661.7222276,487034880,-20.653594970703125
1739284671.7205732,487278592,-20.80890464782715
1739284681.7224314,487473152,-21.612789154052734
1739284691.7211578,487719936,-22.79201889038086
1739284701.7238185,487962624,-20.232799530029297
1739284711.8086367,488159232,-19.712827682495117
1739284721.7218616,488399872,-21.322494506835938
1739284731.721378,488644608,-21.58975601196289
1739284741.7197096,488888320,-21.182016372680664
1739284751.7197387,489077760,-21.33584976196289
1739284761.7235162,489323520,-20.48316764831543
1739284771.7233357,489570304,-21.278013229370117
1739284781.7199135,489767936,-21.131999969482422
1739284791.7194364,490012672,-21.405794143676758
1739284801.7221627,490256384,-21.84325408935547
1739284811.7200067,490498048,-21.37278175354004
1739284821.7206142,490691584,-21.862524032592773
1739284831.7229092,490936320,-20.12770652770996
1739284841.72242,491172864,-21.941308975219727
1739284851.7212517,491359232,-21.44281578063965
1739284861.7220743,491593728,-21.726030349731445
1739284871.7250955,491835392,-22.37734603881836
1739284882.6558707,492052480,-21.334897994995117
1739284891.7219832,492269568,-19.5079288482666
1739284901.72267,492512256,-21.878278732299805
1739284911.726544,492759040,-21.370372772216797
1739284921.7221713,492956672,-20.721052169799805
1739284931.7213979,493205504,-21.420866012573242
1739284941.7205083,493454336,-21.20235824584961
1739284951.7192178,493656064,-21.762969970703125
1739284961.7219722,493905920,-21.71443748474121
1739284971.720279,494151680,-20.67876625061035
1739284981.7181852,494394368,-20.155210494995117
1739284991.719373,494592000,-20.038986206054688
1739285001.720751,494834688,-21.688758850097656
1739285011.7225595,495083520,-21.401079177856445
1739285021.7217388,495280128,-20.533611297607422
1739285031.722024,495525888,-20.568798065185547
1739285041.7214584,495767552,-21.828672409057617
1739285053.334822,496006144,-21.006866455078125
1739285061.725016,496215040,-20.940282821655273
1739285071.7224793,496461824,-20.577789306640625
1739285081.719974,496708608,-22.277713775634766
1739285091.7208574,496910336,-20.821136474609375
1739285101.7220628,497156096,-21.5422306060791
1739285111.7211795,497402880,-21.03525161743164
1739285121.7188578,497599488,-21.50510597229004
1739285131.7211938,497850368,-21.51140594482422
1739285141.723155,498097152,-21.45835304260254
1739285151.7198665,498341888,-21.341943740844727
1739285161.7225728,498536448,-21.03609848022461
1739285171.721174,498786304,-20.338951110839844
1739285181.7209413,499035136,-21.379262924194336
1739285191.7240546,499232768,-21.88111686706543
1739285201.72233,499480576,-21.32236099243164
1739285211.7229903,499727360,-22.020614624023438
1739285221.7221987,499973120,-21.249547958374023
1739285231.7263408,500184064,-21.224781036376953
1739285241.722017,500431872,-21.431379318237305
1739285251.721557,500682752,-22.62222671508789
1739285261.7202218,500879360,-20.250925064086914
1739285271.7231946,501127168,-20.98641014099121
1739285281.7195244,501373952,-20.85614776611328
1739285292.4640088,501595136,-21.858455657958984
1739285301.7214608,501819392,-21.364986419677734
1739285311.7200418,502066176,-21.210371017456055
1739285321.722218,502313984,-21.916776657104492
1739285331.7213647,502521856,-21.7434139251709
1739285341.7236595,502770688,-21.754209518432617
1739285351.7199333,503018496,-21.162538528442383
1739285361.7209005,503215104,-21.88056755065918
1739285371.7202501,503461888,-21.85099220275879
1739285381.7212367,503705600,-20.471181869506836
1739285391.7205656,503949312,-20.460535049438477
1739285401.720075,504150016,-21.997201919555664
1739285411.722312,504389632,-21.204357147216797
1739285421.7203124,504641536,-21.46926498413086
1739285431.7215264,504840192,-24.239479064941406
1739285441.7197568,505090048,-21.171113967895508
1739285451.7219822,505338880,-22.092039108276367
1739285462.9715362,505564160,-20.818639755249023
1739285471.7200112,505773056,-20.871797561645508
1739285481.7237267,506018816,-21.88062858581543
1739285491.7224667,506265600,-20.511363983154297
1739285501.7204342,506465280,-22.400859832763672
1739285511.7204332,506712064,-21.472591400146484
1739285521.7203348,506959872,-21.459001541137695
1739285531.721316,507155456,-20.654069900512695
1739285541.7202446,507398144,-21.971065521240234
1739285551.7245917,507644928,-21.45088005065918
1739285561.722683,507894784,-19.311887741088867
1739285571.7228734,508093440,-22.287038803100586
1739285581.7209322,508342272,-21.86895179748535
1739285591.7212126,508589056,-22.106422424316406
1739285601.721272,508784640,-21.226900100708008
1739285611.722554,509026304,-22.001066207885742
1739285621.721084,509272064,-22.011619567871094
1739285631.7227333,509514752,-21.429529190063477
1739285641.7212515,509709312,-22.511266708374023
