wall_time,step,value
1739282881.7178311,444708864,-83.69025421142578
1739282891.718885,444966912,-77.3815689086914
1739282903.5480769,445218816,-76.85393524169922
1739282911.7198045,445428736,-79.55799102783203
1739282921.7201536,445688832,-78.77465057373047
1739282931.7222338,445944832,-76.29959106445312
1739282941.7224395,446158848,-76.4741439819336
1739282951.7211196,446413824,-76.74589538574219
1739282961.7197466,446670848,-74.1213150024414
1739282971.8368223,446881792,-71.9826889038086
1739282981.7200255,447135744,-72.84263610839844
1739282991.7213514,447391744,-69.69023132324219
1739283001.7206745,447656960,-78.1256332397461
1739283011.7238517,447862784,-81.01710510253906
1739283021.7212744,448123904,-68.66622161865234
1739283031.7236202,448376832,-72.0758056640625
1739283041.7206213,448584704,-70.68927764892578
1739283051.7224422,448842752,-75.00173950195312
1739283061.7195895,449095680,-70.59068298339844
1739283071.7211773,449347584,-74.62480926513672
1739283081.723059,449549312,-69.67230987548828
1739283091.7206032,449807360,-66.7852554321289
1739283101.7203164,450062336,-72.82415008544922
1739283111.723067,450262016,-68.46312713623047
1739283121.7184846,450520064,-66.76695251464844
1739283131.7216744,450775040,-75.38188934326172
1739283142.5181897,451005440,-70.59673309326172
1739283151.7193382,451244032,-72.28241729736328
1739283161.719678,451499008,-70.84588623046875
1739283171.7202117,451750912,-64.34539031982422
1739283181.7212405,451954688,-64.87232971191406
1739283191.7301412,452210688,-69.42408752441406
1739283201.7232547,452467712,-67.36251831054688
1739283211.720323,452674560,-64.17214965820312
1739283221.7189453,452930560,-59.22037124633789
1739283231.7186694,453192704,-72.63656616210938
1739283241.7241805,453445632,-65.96501922607422
1739283251.7194018,453653504,-64.31053924560547
1739283261.7208853,453919744,-64.67997741699219
1739283271.7211103,454175744,-60.5349235534668
1739283281.722841,454385664,-62.8397216796875
1739283291.719446,454641664,-69.05552673339844
1739283301.722124,454903808,-70.88549041748047
1739283313.1531603,455148544,-67.91313171386719
1739283321.720722,455367680,-63.73536682128906
1739283331.7203586,455628800,-71.38390350341797
1739283341.7208352,455886848,-59.8685302734375
1739283351.7182264,456095744,-66.95671844482422
1739283361.7189002,456354816,-59.057064056396484
1739283371.7193296,456617984,-65.48653411865234
1739283381.719378,456822784,-60.73601531982422
1739283391.7227316,457067520,-63.83795928955078
1739283401.722509,457333760,-62.524776458740234
1739283411.7199976,457591808,-61.89107894897461
1739283421.721384,457779200,-60.257808685302734
1739283431.7205005,458045440,-60.43334197998047
1739283441.720709,458304512,-58.24980163574219
1739283451.72165,458502144,-62.680965423583984
1739283461.7210717,458725376,-68.71135711669922
1739283471.7207112,458988544,-59.146018981933594
1739283481.722177,459245568,-59.05671310424805
1739283491.7191937,459444224,-56.754188537597656
1739283501.7193344,459703296,-62.66084289550781
1739283511.7185578,459967488,-61.820743560791016
1739283521.722475,460167168,-63.607269287109375
1739283531.721086,460426240,-67.51038360595703
1739283541.7188325,460687360,-62.51118469238281
1739283552.7182937,460915712,-68.3117446899414
1739283561.720024,461143040,-55.832122802734375
1739283571.7188299,461388800,-67.8661117553711
1739283581.7215843,461617152,-60.432430267333984
1739283591.7201054,461809664,-59.30098342895508
1739283601.72035,462060544,-71.99602508544922
1739283611.720806,462318592,-64.92728424072266
1739283621.7205532,462521344,-61.06327438354492
1739283631.7218435,462775296,-62.07301330566406
1739283641.7208958,463041536,-65.63819885253906
1739283651.7200882,463300608,-57.55199432373047
1739283661.7204442,463506432,-65.23087310791016
1739283671.72077,463773696,-61.882652282714844
1739283681.721211,464033792,-62.718421936035156
1739283691.7194092,464240640,-57.436100006103516
1739283701.720534,464507904,-64.33292388916016
1739283711.7193723,464766976,-63.81143569946289
1739283723.5670264,465017856,-57.8840217590332
1739283731.7186928,465224704,-62.82009506225586
1739283741.7239587,465483776,-62.19504928588867
1739283751.7199702,465738752,-65.357666015625
1739283761.7210197,465939456,-62.78904342651367
1739283771.7205093,466200576,-63.11495590209961
1739283781.7206762,466456576,-61.110511779785156
1739283791.7480953,466657280,-61.121524810791016
1739283801.721781,466912256,-64.041259765625
1739283811.7215416,467168256,-62.825782775878906
1739283821.7214308,467416064,-60.21212387084961
1739283831.7201784,467618816,-63.7150993347168
1739283841.7202094,467878912,-64.07947540283203
1739283851.7213092,468131840,-63.06072235107422
1739283861.720557,468329472,-64.47865295410156
1739283871.7202225,468595712,-58.67702865600586
1739283881.7219613,468856832,-61.3791618347168
1739283891.7212615,469101568,-67.78489685058594
1739283901.721913,469302272,-58.55942916870117
1739283911.720238,469559296,-61.78666305541992
1739283921.721628,469814272,-62.091552734375
1739283931.7206078,470029312,-63.955047607421875
1739283941.7200792,470282240,-59.703857421875
1739283951.72241,470535168,-63.40324020385742
1739283961.7222004,470748160,-61.10513687133789
1739283971.7211761,471003136,-69.8851318359375
1739283981.7192297,471262208,-62.6221809387207
1739283991.7194865,471520256,-58.33381271362305
1739284001.720916,471735296,-59.808475494384766
1739284011.7208529,471997440,-60.1987419128418
1739284021.721251,472254464,-58.539390563964844
1739284031.7224083,472456192,-63.44668197631836
1739284041.7228417,472717312,-61.73202133178711
1739284051.7219272,472981504,-59.88895797729492
1739284063.5202332,473227264,-60.2459716796875
1739284071.7214181,473441280,-65.13113403320312
1739284081.7219417,473702400,-61.42667770385742
1739284091.7216568,473955328,-60.47495651245117
1739284101.7191896,474155008,-58.37814712524414
1739284111.7212663,474417152,-62.50038528442383
1739284121.72214,474673152,-58.62073516845703
1739284131.7224991,474869760,-65.42621612548828
1739284141.7201033,475122688,-56.15372085571289
1739284151.7208328,475381760,-62.20753479003906
1739284161.7221048,475627520,-60.41538619995117
1739284171.7241101,475828224,-61.52537536621094
1739284181.719297,476089344,-53.00272750854492
1739284191.723551,476347392,-63.16606903076172
1739284201.7219493,476542976,-74.61819458007812
1739284211.721294,476797952,-56.4493293762207
1739284221.7190819,477051904,-59.426822662353516
1739284231.723441,477289472,-72.26412963867188
1739284241.7209437,477490176,-63.57294845581055
1739284251.7205634,477743104,-69.10198974609375
1739284261.7238166,477984768,-66.8309326171875
1739284271.7231095,478175232,-67.4089126586914
1739284281.7203555,478423040,-66.10681915283203
1739284291.7215457,478667776,-73.735107421875
1739284302.0372138,478862336,-62.836585998535156
1739284311.722973,479094784,-67.58946228027344
1739284321.7224338,479345664,-61.31087875366211
1739284331.7225907,479588352,-57.76214599609375
1739284341.7226014,479776768,-63.826229095458984
1739284351.7200482,480020480,-61.91124725341797
1739284361.7197871,480265216,-63.36484146118164
1739284371.724053,480466944,-65.98216247558594
1739284381.7202563,480710656,-59.63491439819336
1739284391.7206056,480956416,-60.52842330932617
1739284401.7203321,481202176,-70.58506774902344
1739284411.7215564,481397760,-71.39683532714844
1739284421.7225094,481629184,-67.15164184570312
1739284431.7219083,481862656,-64.66609191894531
1739284441.723006,482046976,-66.11231994628906
1739284451.7218924,482279424,-66.396728515625
1739284461.722608,482509824,-60.41142654418945
1739284472.7967288,482727936,-69.85257720947266
1739284481.7211156,482935808,-71.3036117553711
1739284491.7193894,483168256,-69.9751968383789
1739284501.721612,483400704,-56.89406967163086
1739284511.7233777,483588096,-64.61540222167969
1739284521.7228055,483818496,-57.471641540527344
1739284531.7220917,484059136,-61.054073333740234
1739284541.7209618,484251648,-62.973167419433594
1739284551.7198057,484493312,-62.67578125
1739284561.7233686,484737024,-68.66496276855469
1739284571.7202528,484977664,-61.73522186279297
1739284581.7219052,485172224,-65.6500473022461
1739284591.7219398,485419008,-69.1803970336914
1739284601.7216177,485662720,-61.916202545166016
1739284611.7206793,485859328,-63.860511779785156
1739284621.719137,486103040,-62.71820068359375
1739284631.7226949,486349824,-64.26062774658203
1739284643.481004,486591488,-71.45254516601562
1739284651.7200427,486784000,-69.16268920898438
1739284661.7222164,487034880,-79.64865112304688
1739284671.72056,487278592,-61.09490203857422
1739284681.7224205,487473152,-72.71553802490234
1739284691.7211397,487719936,-59.74538040161133
1739284701.7238066,487962624,-58.54291534423828
1739284711.8086185,488159232,-69.36688995361328
1739284721.7218516,488399872,-65.85236358642578
1739284731.7213585,488644608,-60.62619400024414
1739284741.7193718,488888320,-61.341041564941406
1739284751.7197294,489077760,-63.23104476928711
1739284761.7235074,489323520,-67.85713958740234
1739284771.7230427,489570304,-64.88867950439453
1739284781.7199066,489767936,-58.9821662902832
1739284791.7194238,490012672,-59.339576721191406
1739284801.7219167,490256384,-63.21678924560547
1739284811.7198353,490498048,-57.46543502807617
1739284821.7206025,490691584,-59.17653274536133
1739284831.7228959,490936320,-70.51239776611328
1739284841.7224016,491172864,-69.05638122558594
1739284851.7212322,491359232,-67.18962860107422
1739284861.7220674,491593728,-66.59639739990234
1739284871.72486,491835392,-59.00454330444336
1739284882.6558588,492052480,-66.53267669677734
1739284891.7219765,492269568,-75.1745834350586
1739284901.7226512,492512256,-62.893157958984375
1739284911.726528,492759040,-63.17715072631836
1739284921.721664,492956672,-63.02769470214844
1739284931.721368,493205504,-62.74436950683594
1739284941.7204957,493454336,-68.8610610961914
1739284951.718908,493656064,-62.201663970947266
1739284961.721951,493905920,-62.717308044433594
1739284971.7197998,494151680,-61.35251235961914
1739284981.7181783,494394368,-60.05451965332031
1739284991.719362,494592000,-73.41625213623047
1739285001.7206001,494834688,-59.84423828125
1739285011.7223082,495083520,-77.09654235839844
1739285021.721716,495280128,-57.15252685546875
1739285031.7216861,495525888,-64.37078094482422
1739285041.7214377,495767552,-59.3926887512207
1739285053.3348033,496006144,-68.78109741210938
1739285061.7243612,496215040,-73.1894760131836
1739285071.721901,496461824,-63.97038269042969
1739285081.7198076,496708608,-65.25634765625
1739285091.7208495,496910336,-63.929054260253906
1739285101.7220376,497156096,-66.04279327392578
1739285111.7210145,497402880,-74.20878601074219
1739285121.7188516,497599488,-68.57521057128906
1739285131.7211816,497850368,-63.787437438964844
1739285141.7229307,498097152,-71.31689453125
1739285151.7196338,498341888,-67.33625793457031
1739285161.722414,498536448,-62.41920852661133
1739285171.7211545,498786304,-65.25238037109375
1739285181.7209177,499035136,-65.4217529296875
1739285191.7240477,499232768,-79.84416198730469
1739285201.7222311,499480576,-69.7244644165039
1739285211.7229707,499727360,-62.64072799682617
1739285221.7217782,499973120,-63.38063430786133
1739285231.7229996,500184064,-57.05957794189453
1739285241.7220097,500431872,-63.15066909790039
1739285251.7215352,500682752,-64.09605407714844
1739285261.7196977,500879360,-67.16089630126953
1739285271.722978,501127168,-63.84922409057617
1739285281.7194993,501373952,-62.5900993347168
1739285292.4639895,501595136,-63.26335525512695
1739285301.721454,501819392,-64.68421173095703
1739285311.7200222,502066176,-69.01364135742188
1739285321.7221975,502313984,-63.30202102661133
1739285331.7213564,502521856,-63.65894317626953
1739285341.7235398,502770688,-65.50354766845703
1739285351.719132,503018496,-63.765647888183594
1739285361.7208822,503215104,-64.80358123779297
1739285371.7202368,503461888,-62.593597412109375
1739285381.7212303,503705600,-65.85701751708984
1739285391.7205515,503949312,-62.98314666748047
1739285401.7200484,504150016,-73.0487289428711
1739285411.7221901,504389632,-60.5673828125
1739285421.7203026,504641536,-62.888916015625
1739285431.7215178,504840192,-60.623626708984375
1739285441.719557,505090048,-66.47435760498047
1739285451.7217624,505338880,-68.7279052734375
1739285462.970922,505564160,-63.998111724853516
1739285471.719721,505773056,-72.12023162841797
1739285481.7235138,506018816,-58.53355407714844
