wall_time,step,value
1739282881.7172108,444708864,6.809830921383764e-08
1739282891.7175817,444966912,5.853362239349735e-08
1739282903.5464013,445218816,5.993060625542057e-08
1739282911.7194068,445428736,6.569549526602714e-08
1739282921.71893,445688832,6.907619365392748e-08
1739282931.7212982,445944832,6.429851140410392e-08
1739282941.7219336,446158848,7.309019878221079e-08
1739282951.7200997,446413824,6.66920101366486e-08
1739282961.7185462,446670848,6.944407004993991e-08
1739282971.8355746,446881792,5.919486412153674e-08
1739282981.7192285,447135744,5.153007975877699e-08
1739282991.7205777,447391744,5.5171550883414966e-08
1739283001.7196898,447656960,6.353482717713632e-08
1739283011.7202117,447862784,7.320195294369114e-08
1739283021.719837,448123904,6.251037376614477e-08
1739283031.722344,448376832,5.687586934755018e-08
1739283041.7204075,448584704,7.763505038838048e-08
1739283051.7209868,448842752,8.268398232758045e-08
1739283061.7191396,449095680,7.102266152969605e-08
1739283071.7203832,449347584,7.104128485480032e-08
1739283081.7217467,449549312,6.426125764846802e-08
1739283091.7196577,449807360,5.320645968254212e-08
1739283101.7194993,450062336,7.063150064823276e-08
1739283111.7221363,450262016,6.83590783978616e-08
1739283121.7182148,450520064,5.614012366095267e-08
1739283131.7211084,450775040,6.43543884848441e-08
1739283142.5174544,451005440,5.550682402599705e-08
1739283151.7186437,451244032,5.314126738653613e-08
1739283161.7194073,451499008,5.654990786752023e-08
1739283171.7190366,451750912,6.248708928069391e-08
1739283181.7194307,451954688,6.736256352724013e-08
1739283191.7285585,452210688,6.010989039850756e-08
1739283201.7220318,452467712,6.791204043565813e-08
1739283211.7196438,452674560,6.789341711055386e-08
1739283221.718232,452930560,7.933937240522937e-08
1739283231.7176654,453192704,6.344169634076025e-08
1739283241.7226503,453445632,7.593072837153159e-08
1739283251.7188196,453653504,6.414949638156031e-08
1739283261.7195506,453919744,6.727874080070251e-08
1739283271.7209466,454175744,6.106682093331983e-08
1739283281.7216601,454385664,7.301569127093899e-08
1739283291.7181005,454641664,6.03869523274625e-08
1739283301.7209632,454903808,6.750226333451792e-08
1739283313.1524715,455148544,6.539747232636728e-08
1739283321.719813,455367680,7.010996228018485e-08
1739283331.720271,455628800,6.176996691920067e-08
1739283341.72002,455886848,5.5618585292904754e-08
1739283351.7173808,456095744,6.452202683249197e-08
1739283361.717288,456354816,6.679911024320973e-08
1739283371.7183616,456617984,6.735790236689354e-08
1739283381.7187083,456822784,7.10366307998811e-08
1739283391.7225788,457067520,7.653608946611712e-08
1739283401.7208252,457333760,6.436835775502914e-08
1739283411.718318,457591808,5.2750401380308176e-08
1739283421.7195084,457779200,5.587935447692871e-08
1739283431.7194147,458045440,5.622394283477661e-08
1739283441.7194219,458304512,5.6754796418090336e-08
1739283451.720058,458502144,7.115304612170803e-08
1739283461.720275,458725376,5.593639684775553e-08
1739283471.7197468,458988544,7.51763593598298e-08
1739283481.7216868,459245568,5.05894419688957e-08
1739283491.7189305,459444224,6.379559636116028e-08
1739283501.7185838,459703296,6.247312001050886e-08
1739283511.718298,459967488,7.472932139762634e-08
1739283521.7205431,460167168,6.04242060830984e-08
1739283531.720213,460426240,6.081536696456169e-08
1739283541.7172945,460687360,6.43543884848441e-08
1739283552.7170956,460915712,6.858259382624965e-08
1739283561.7186801,461143040,5.06639494801675e-08
1739283571.7169943,461388800,6.347895009639615e-08
1739283581.719716,461617152,6.602145674605708e-08
1739283591.7197156,461809664,5.173031070171419e-08
1739283601.7189863,462060544,5.124136848166927e-08
1739283611.720512,462318592,7.552094416496402e-08
1739283621.7191076,462521344,5.9120356610264935e-08
1739283631.720796,462775296,6.342801839309686e-08
1739283641.7200665,463041536,6.475020342122662e-08
1739283651.7199037,463300608,6.476882674633089e-08
1739283661.7195067,463506432,6.200978219794706e-08
1739283671.720615,463773696,6.411224262592441e-08
1739283681.7201517,464033792,7.186085326793545e-08
1739283691.7193153,464240640,4.974193856810416e-08
1739283701.719945,464507904,7.188879180830554e-08
1739283711.7183187,464766976,4.7683716530855236e-08
1739283723.566217,465017856,5.919020651390383e-08
1739283731.7180674,465224704,4.8298389287992904e-08
1739283741.722489,465483776,7.186085326793545e-08
1739283751.7188091,465738752,6.069429048238817e-08
1739283761.7195606,465939456,7.860362671863186e-08
1739283771.7202563,466200576,5.573034300709878e-08
1739283781.7199738,466456576,5.47990204324833e-08
1739283791.7478054,466657280,6.735353963449597e-08
1739283801.7205076,466912256,6.160232857155279e-08
1739283811.7203622,467168256,6.552785691837926e-08
1739283821.719854,467416064,7.157679959846064e-08
1739283831.7186096,467618816,6.772577876290597e-08
1739283841.7187054,467878912,5.752779586032375e-08
1739283851.7203677,468131840,6.604939528642717e-08
1739283861.7194288,468329472,7.170252303012603e-08
1739283871.7190285,468595712,5.5343843285982075e-08
1739283881.7203195,468856832,5.480833209503544e-08
1739283891.7198117,469101568,5.774199962615967e-08
1739283901.7206326,469302272,6.329268131821664e-08
1739283911.7193298,469559296,6.550922648784763e-08
1739283921.7213662,469814272,6.645917949299474e-08
1739283931.7194846,470029312,5.4286793726987526e-08
1739283941.7190566,470282240,6.699003307630846e-08
1739283951.720899,470535168,6.310641964546448e-08
1739283961.7210486,470748160,5.3737313265855846e-08
1739283971.7203462,471003136,6.170943578354127e-08
1739283981.7184334,471262208,5.923211432445896e-08
1739283991.7184997,471520256,7.309950689204925e-08
1739284001.7203617,471735296,5.234032940393263e-08
1739284011.7201557,471997440,5.492125509931611e-08
1739284021.7199948,472254464,5.329027885636606e-08
1739284031.7210429,472456192,6.203074320865198e-08
1739284041.722593,472717312,6.701797161667855e-08
1739284051.720413,472981504,6.644521022280969e-08
1739284063.5186794,473227264,5.235895628175058e-08
1739284071.7205093,473441280,6.638933314206952e-08
1739284081.7216702,473702400,6.29015275421807e-08
1739284091.7205296,473955328,6.388872719753635e-08
1739284101.7183905,474155008,6.034970567725395e-08
1739284111.719785,474417152,6.110407468895573e-08
1739284121.720676,474673152,5.4202974553163585e-08
1739284131.721373,474869760,6.055459067511038e-08
1739284141.7188315,475122688,6.056390589037619e-08
1739284151.71988,475381760,7.094815401842425e-08
1739284161.7213483,475627520,6.66943407168219e-08
1739284171.7222815,475828224,5.39608286942439e-08
1739284181.7179706,476089344,5.5171550883414966e-08
1739284191.7226627,476347392,6.439629629539922e-08
1739284201.7203696,476542976,6.163725885244276e-08
1739284211.7202218,476797952,5.804002256581953e-08
1739284221.7184057,477051904,5.248934087376256e-08
1739284231.721948,477289472,5.172565664679496e-08
1739284241.7199621,477490176,6.782822481454787e-08
1739284251.7194164,477743104,6.355461579232724e-08
1739284261.7226388,477984768,6.908550886919329e-08
1739284271.7217436,478175232,7.629394360719743e-08
1739284281.720174,478423040,6.008892938780264e-08
1739284291.7204802,478667776,6.794929419129403e-08
1739284302.0364375,478862336,7.415190594883825e-08
1739284311.7217577,479094784,5.988404438994621e-08
1739284321.721435,479345664,6.552785691837926e-08
1739284331.7216299,479588352,7.066875440386866e-08
1739284341.7215688,479776768,5.7555734400693837e-08
1739284351.7191832,480020480,6.222165893632337e-08
1739284361.7186925,480265216,6.254762752178067e-08
1739284371.7223294,480466944,6.958842391213693e-08
1739284381.7199879,480710656,6.459653434376378e-08
1739284391.719614,480956416,7.81286502160583e-08
1739284401.7192883,481202176,7.901340381977207e-08
1739284411.7207758,481397760,6.847083255934194e-08
1739284421.7216551,481629184,6.333925028911835e-08
1739284431.7210875,481862656,5.334615593710623e-08
1739284441.7222908,482046976,4.380941476256339e-08
1739284451.7206748,482279424,6.958842391213693e-08
1739284461.721412,482509824,6.043352129836421e-08
1739284472.7957804,482727936,6.701797161667855e-08
1739284481.7202184,482935808,5.763024191196564e-08
1739284491.7192538,483168256,5.280831771869998e-08
1739284501.7202747,483400704,6.417744202735776e-08
1739284511.7216291,483588096,6.497371884961467e-08
1739284521.722341,483818496,6.102258254259141e-08
1739284531.7206664,484059136,6.772577876290597e-08
1739284541.7192004,484251648,6.224959747669345e-08
1739284551.7186248,484493312,6.76699016821658e-08
1739284561.7222745,484737024,6.810296326875687e-08
1739284571.7197616,484977664,7.145339964154118e-08
1739284581.7198992,485172224,6.37397192804201e-08
1739284591.720672,485419008,7.614493569008118e-08
1739284601.719869,485662720,6.188172818610838e-08
1739284611.7198389,485859328,5.9120356610264935e-08
1739284621.7188828,486103040,4.7474166819938546e-08
1739284631.720584,486349824,6.645917949299474e-08
1739284643.4794445,486591488,5.9448648670468174e-08
1739284651.7192287,486784000,6.332993507385254e-08
1739284661.720307,487034880,5.871057595641105e-08
1739284671.719431,487278592,6.191432788682505e-08
1739284681.721636,487473152,5.431473226735761e-08
1739284691.7208936,487719936,5.617737741658857e-08
1739284701.7226973,487962624,6.2175097070849e-08
1739284711.8083608,488159232,6.280839670580463e-08
1739284721.7209752,488399872,6.319955048184056e-08
1739284731.72056,488644608,5.8338045505479386e-08
1739284741.7180903,488888320,5.8487056975309315e-08
1739284751.718732,489077760,6.012618314343854e-08
1739284761.7218928,489323520,5.3569674918207966e-08
1739284771.7217927,489570304,6.990507017690106e-08
1739284781.7192054,489767936,5.885958742624098e-08
1739284791.7189727,490012672,4.868954306402884e-08
1739284801.7205162,490256384,5.822628779128536e-08
1739284811.7197225,490498048,7.130671519917087e-08
1739284821.7198353,490691584,5.684793080718009e-08
1739284831.7212884,490936320,5.703419603264592e-08
1739284841.722139,491172864,6.429851140410392e-08
1739284851.718984,491359232,4.980713086411015e-08
1739284861.7198048,491593728,7.36117371502587e-08
1739284871.7223098,491835392,6.692484078030247e-08
1739284882.6556711,492052480,5.524605484197309e-08
1739284891.7212315,492269568,6.336718882948844e-08
1739284901.7207837,492512256,7.137656155009608e-08
1739284911.7230341,492759040,5.719251916502799e-08
1739284921.7207873,492956672,6.420538056772784e-08
1739284931.7196937,493205504,5.885958742624098e-08
1739284941.7190804,493454336,5.4165720797527683e-08
1739284951.7179136,493656064,5.092471866419146e-08
1739284961.7207115,493905920,6.798654794692993e-08
1739284971.7190366,494151680,6.336718882948844e-08
1739284981.7175422,494394368,6.619841030897078e-08
1739284991.7191594,494592000,4.757428584412082e-08
1739285001.7193348,494834688,6.915070116519928e-08
1739285011.7213922,495083520,5.554407778163295e-08
1739285021.7214441,495280128,5.863839902531254e-08
1739285031.7209663,495525888,7.959082637398751e-08
1739285041.7203877,495767552,5.652196577443647e-08
1739285053.3345456,496006144,7.137656155009608e-08
1739285061.7224696,496215040,7.264316082000732e-08
1739285071.7212863,496461824,7.417052927394252e-08
1739285081.7185261,496708608,5.824491466910331e-08
1739285091.7199638,496910336,7.59027898311615e-08
1739285101.7208917,497156096,6.508081895617579e-08
1739285111.7195122,497402880,5.349982501456907e-08
1739285121.7187514,497599488,5.21540641784668e-08
1739285131.7204251,497850368,5.4854901065937156e-08
1739285141.721744,498097152,5.172565664679496e-08
1739285151.7185934,498341888,5.3700059510219944e-08
1739285161.7211452,498536448,6.139744357369636e-08
1739285171.7202039,498786304,5.282461756905832e-08
1739285181.7203887,499035136,5.969894090185335e-08
1739285191.7232122,499232768,7.654540468138293e-08
1739285201.7214346,499480576,5.5134297127779064e-08
1739285211.7220669,499727360,6.742775582324612e-08
1739285221.720395,499973120,6.616115655333488e-08
1739285231.722471,500184064,7.294118375966718e-08
1739285241.720656,500431872,7.548369751475548e-08
1739285251.7206542,500682752,5.729496521666988e-08
1739285261.718554,500879360,7.329508378006722e-08
1739285271.7223623,501127168,5.267560609922839e-08
1739285281.7178917,501373952,7.316469918805524e-08
1739285292.4633503,501595136,7.116236133697385e-08
1739285301.7199788,501819392,6.321933909703148e-08
1739285311.7186904,502066176,6.14766051398874e-08
1739285321.7208533,502313984,4.984438461974605e-08
1739285331.7199767,502521856,6.482004977215183e-08
1739285341.7228196,502770688,6.619841030897078e-08
1739285351.7185721,503018496,5.993992147068639e-08
1739285361.720617,503215104,4.590489055544822e-08
1739285371.718762,503461888,6.094575155657367e-08
1739285381.7211347,503705600,5.036650563283729e-08
1739285391.7193162,503949312,6.043352129836421e-08
1739285401.7189343,504150016,5.6438146600612527e-08
1739285411.721581,504389632,5.938112579428889e-08
1739285421.7201548,504641536,5.4053963083333656e-08
1739285431.7206883,504840192,6.267801211379265e-08
1739285441.7192943,505090048,5.6438146600612527e-08
1739285451.7210114,505338880,6.183982037555324e-08
1739285462.9708347,505564160,5.874782971204695e-08
1739285471.7196324,505773056,5.820766091346741e-08
1739285481.7219996,506018816,6.24754434852548e-08
1739285491.7211337,506265600,6.638933314206952e-08
1739285501.7194946,506465280,5.6438146600612527e-08
1739285511.719916,506712064,6.407499597571586e-08
1739285521.719768,506959872,7.19726074294158e-08
1739285531.7195532,507155456,6.258487417198921e-08
1739285541.719417,507398144,7.214024577706368e-08
1739285551.723386,507644928,8.072704105188677e-08
1739285561.7211344,507894784,5.885958742624098e-08
1739285571.720717,508093440,6.966293142340874e-08
1739285581.7187984,508342272,5.336478281492418e-08
1739285591.7205384,508589056,6.422400389283212e-08
1739285601.7192671,508784640,5.448237061500549e-08
1739285611.7211046,509026304,5.6960853811460765e-08
1739285621.7208095,509272064,6.575137234676731e-08
1739285631.7220771,509514752,5.109235701183934e-08
1739285641.7200587,509709312,6.141606689880064e-08
1739285651.7205427,509961216,6.400048846444406e-08
1739285661.7191007,510206976,6.806105545820174e-08
1739285671.7209687,510403584,6.604939528642717e-08
1739285681.7227142,510653440,5.5618585292904754e-08
1739285691.7200902,510900224,4.8764050575300644e-08
1739285701.9839065,511108096,5.008710957099538e-08
1739285711.7203193,511344640,6.361864279824658e-08
1739285721.7211647,511594496,6.383285011679618e-08
1739285731.7192197,511837184,6.28270200309089e-08
1739285741.7202072,512030720,6.195623569738018e-08
1739285751.7202735,512274432,6.319955048184056e-08
1739285761.7196815,512523264,7.155351511300978e-08
1739285771.7202375,512719872,5.7555734400693837e-08
1739285781.7212071,512952320,7.912516508667977e-08
1739285791.7198482,513207296,5.993992147068639e-08
1739285801.7213867,513456128,6.706454058758027e-08
1739285811.7212913,513649664,5.4687262718289276e-08
1739285821.7191107,513906688,5.828216842473921e-08
1739285831.7201543,514155520,5.454756291101148e-08
1739285841.7201173,514345984,5.383975931749774e-08
1739285851.71883,514588672,6.962567766777283e-08
1739285861.718526,514829312,6.474787284105332e-08
1739285871.720045,515044352,6.066635194201808e-08
1739285881.719927,515281920,7.927418010922338e-08
1739285891.7201056,515515392,5.899928368080509e-08
1739285901.72064,515749888,5.679205017372624e-08
1739285911.7222376,515969024,5.565583549582698e-08
1739285921.721153,516208640,4.954636168008619e-08
1739285931.7207475,516444160,6.183982037555324e-08
1739285941.7201924,516666368,5.526468171979104e-08
1739285951.720226,516903936,5.589798135474666e-08
1739285961.7217228,517139456,4.198402336896834e-08
1739285971.7224782,517358592,5.960464477539063e-08
1739285981.7207592,517600256,5.7667492114887864e-08
1739285991.7191663,517837824,6.284565046144053e-08
1739286001.7223685,518073344,6.172805910864554e-08
1739286011.7195556,518292480,4.5383348634686627e-08
1739286021.7215831,518529024,5.824491466910331e-08
1739286031.7199912,518762496,5.8729202834229e-08
1739286041.7182224,518990848,5.8989972018252956e-08
1739286051.719875,519226368,5.0598757184161514e-08
1739286061.7223904,519455744,5.699694227701002e-08
1739286071.7215734,519680000,6.35907042578765e-08
1739286081.721812,519913472,6.655231032937081e-08
1739286091.7219422,520148992,6.416812681209194e-08
1739286101.720256,520372224,6.254762752178067e-08
1739286111.720232,520604672,5.703419603264592e-08
1739286121.7206283,520843264,5.63636426420544e-08
1739286131.7216887,521075712,7.243826871672354e-08
1739286141.722359,521299968,6.089918258567195e-08
1739286151.7207005,521533440,6.351619674660469e-08
1739286161.7213445,521761792,6.581191058785407e-08
1739286171.7203016,521988096,4.723668212136545e-08
1739286181.7200496,522220544,7.89947804946678e-08
1739286191.7199113,522448896,4.7134236069723556e-08
