wall_time,step,value
1739282881.7175117,444708864,5.0
1739282891.7178826,444966912,5.0
1739282903.5469449,445218816,5.0
1739282911.7194448,445428736,5.0
1739282921.719045,445688832,5.0
1739282931.7219782,445944832,5.0
1739282941.7219882,446158848,5.0
1739282951.7201555,446413824,5.0
1739282961.7189858,446670848,5.0
1739282971.8361459,446881792,5.0
1739282981.719892,447135744,5.0
1739282991.7208729,447391744,5.0
1739283001.720087,447656960,5.0
1739283011.722878,447862784,5.0
1739283021.720366,448123904,5.0
1739283031.7224603,448376832,5.0
1739283041.720513,448584704,5.0
1739283051.7218719,448842752,5.0
1739283061.719268,449095680,5.0
1739283071.7206628,449347584,5.0
1739283081.7218673,449549312,5.0
1739283091.7197316,449807360,5.0
1739283101.719794,450062336,5.0
1739283111.72218,450262016,5.0
1739283121.7183464,450520064,5.0
1739283131.7215357,450775040,5.0
1739283142.517556,451005440,5.0
1739283151.7192922,451244032,5.0
1739283161.719543,451499008,5.0
1739283171.7190921,451750912,5.0
1739283181.7200203,451954688,5.0
1739283191.7290785,452210688,5.0
1739283201.722865,452467712,5.0
1739283211.7202709,452674560,5.0
1739283221.7182772,452930560,5.0
1739283231.7186112,453192704,5.0
1739283241.7231026,453445632,5.0
1739283251.7193108,453653504,5.0
1739283261.7204683,453919744,5.0
1739283271.7210305,454175744,5.0
1739283281.722621,454385664,5.0
1739283291.7184489,454641664,5.0
1739283301.721279,454903808,5.0
1739283313.1526835,455148544,5.0
1739283321.720581,455367680,5.0
1739283331.7203162,455628800,5.0
1739283341.7201953,455886848,5.0
1739283351.717664,456095744,5.0
1739283361.7180307,456354816,5.0
1739283371.7184744,456617984,5.0
1739283381.7193244,456822784,5.0
1739283391.7226536,457067520,5.0
1739283401.7214067,457333760,5.0
1739283411.7187083,457591808,5.0
1739283421.7206461,457779200,5.0
1739283431.719491,458045440,5.0
1739283441.7198887,458304512,5.0
1739283451.720665,458502144,5.0
1739283461.7208436,458725376,5.0
1739283471.7199671,458988544,5.0
1739283481.7218156,459245568,5.0
1739283491.719059,459444224,5.0
1739283501.7189353,459703296,5.0
1739283511.7184248,459967488,5.0
1739283521.7213013,460167168,5.0
1739283531.720254,460426240,5.0
1739283541.717424,460687360,5.0
1739283552.7175608,460915712,5.0
1739283561.7195292,461143040,5.0
1739283571.7178264,461388800,5.0
1739283581.7202666,461617152,5.0
1739283591.7197704,461809664,5.0
1739283601.7194204,462060544,5.0
1739283611.720556,462318592,5.0
1739283621.719673,462521344,5.0
1739283631.721065,462775296,5.0
1739283641.7201092,463041536,5.0
1739283651.7200005,463300608,5.0
1739283661.7199965,463506432,5.0
1739283671.7206879,463773696,5.0
1739283681.7201982,464033792,5.0
1739283691.7193632,464240640,5.0
1739283701.720019,464507904,5.0
1739283711.718633,464766976,5.0
1739283723.566266,465017856,5.0
1739283731.718635,465224704,5.0
1739283741.7232277,465483776,5.0
1739283751.7198277,465738752,5.0
1739283761.720126,465939456,5.0
1739283771.7203794,466200576,5.0
1739283781.7206237,466456576,5.0
1739283791.7479527,466657280,5.0
1739283801.7213662,466912256,5.0
1739283811.7204876,467168256,5.0
1739283821.7204394,467416064,5.0
1739283831.7190351,467618816,5.0
1739283841.7195835,467878912,5.0
1739283851.7205694,468131840,5.0
1739283861.7204082,468329472,5.0
1739283871.7196457,468595712,5.0
1739283881.7212255,468856832,5.0
1739283891.7206416,469101568,5.0
1739283901.7206812,469302272,5.0
1739283911.720171,469559296,5.0
1739283921.7215428,469814272,5.0
1739283931.7197645,470029312,5.0
1739283941.7196574,470282240,5.0
1739283951.7213755,470535168,5.0
1739283961.721108,470748160,5.0
1739283971.720769,471003136,5.0
1739283981.7184894,471262208,5.0
1739283991.719383,471520256,5.0
1739284001.7204506,471735296,5.0
1739284011.720763,471997440,5.0
1739284021.7211082,472254464,5.0
1739284031.7223117,472456192,5.0
1739284041.7227163,472717312,5.0
1739284051.7211382,472981504,5.0
1739284063.5194607,473227264,5.0
1739284071.72104,473441280,5.0
1739284081.7217152,473702400,5.0
1739284091.721591,473955328,5.0
1739284101.7190998,474155008,5.0
1739284111.721125,474417152,5.0
1739284121.721452,474673152,5.0
1739284131.7223582,474869760,5.0
1739284141.7194872,475122688,5.0
1739284151.7206976,475381760,5.0
1739284161.7213924,475627520,5.0
1739284171.7233493,475828224,5.0
1739284181.718611,476089344,5.0
1739284191.722701,476347392,5.0
1739284201.721383,476542976,5.0
1739284211.7209942,476797952,5.0
1739284221.71894,477051904,5.0
1739284231.722853,477289472,5.0
1739284241.7204244,477490176,5.0
1739284251.7204156,477743104,5.0
1739284261.7227223,477984768,5.0
1739284271.7227755,478175232,5.0
1739284281.7202718,478423040,5.0
