wall_time,step,value
1739282881.7164764,444708864,444421728.0
1739282891.716766,444966912,444621248.0
1739282903.5445797,445218816,444838912.0
1739282911.718411,445428736,445093888.0
1739282921.718015,445688832,445301760.0
1739282931.720176,445944832,445545792.0
1739282941.7196486,446158848,445720608.0
1739282951.718542,446413824,446093280.0
1739282961.7169938,446670848,446332544.0
1739282971.8341563,446881792,446541824.0
1739282981.7171588,447135744,446817888.0
1739282991.7201045,447391744,447024384.0
1739283001.7183235,447656960,447302144.0
1739283011.7189906,447862784,447494464.0
1739283021.718509,448123904,447785344.0
1739283031.721309,448376832,448020352.0
1739283041.7183194,448584704,448237440.0
1739283051.7191298,448842752,448460992.0
1739283061.7173567,449095680,448733760.0
1739283071.7188818,449347584,449019488.0
1739283081.7200174,449549312,449171872.0
1739283091.7183957,449807360,449466176.0
1739283101.718334,450062336,449722816.0
1739283111.7200694,450262016,449921984.0
1739283121.7167823,450520064,450205120.0
1739283131.7198474,450775040,450417664.0
1739283142.516399,451005440,450657632.0
1739283151.7178183,451244032,450888960.0
1739283161.7174385,451499008,451118752.0
1739283171.7179708,451750912,451372512.0
1739283181.718688,451954688,451537728.0
1739283191.727378,452210688,451875872.0
1739283201.7206967,452467712,452158208.0
1739283211.7186701,452674560,452338688.0
1739283221.7171156,452930560,452614624.0
1739283231.716978,453192704,452809280.0
1739283241.7211561,453445632,453063520.0
1739283251.7175722,453653504,453238784.0
1739283261.718262,453919744,453574944.0
1739283271.7190268,454175744,453858048.0
1739283281.7213092,454385664,454036864.0
1739283291.717377,454641664,454326560.0
1739283301.7196925,454903808,454533344.0
1739283313.1514866,455148544,454793312.0
1739283321.7187104,455367680,454993696.0
1739283331.719061,455628800,455285120.0
1739283341.7186782,455886848,455540992.0
1739283351.7162812,456095744,455744544.0
1739283361.7170472,456354816,456006272.0
1739283371.717232,456617984,456258112.0
1739283381.7181983,456822784,456455200.0
1739283391.7213538,457067520,456730432.0
1739283401.7187734,457333760,456978304.0
1739283411.7170904,457591808,457238656.0
1739283421.718297,457779200,457422272.0
1739283431.7182684,458045440,457699808.0
1739283441.7190833,458304512,457958240.0
1739283451.717582,458502144,458149120.0
1739283461.718841,458725376,458393216.0
1739283471.718555,458988544,458637472.0
1739283481.7195418,459245568,458878432.0
1739283491.7176578,459444224,459070464.0
1739283501.7177238,459703296,459348544.0
1739283511.7169468,459967488,459635136.0
1739283521.7189586,460167168,459799872.0
1739283531.7190454,460426240,460124576.0
1739283541.7161162,460687360,460316128.0
1739283552.715302,460915712,460557600.0
1739283561.718109,461143040,460770016.0
1739283571.7165334,461388800,461008896.0
1739283581.7191474,461617152,461221760.0
1739283591.71812,461809664,461419776.0
1739283601.7181537,462060544,461715904.0
1739283611.7190442,462318592,461984960.0
1739283621.7184887,462521344,462161984.0
1739283631.719925,462775296,462450560.0
1739283641.719191,463041536,462684160.0
1739283651.7183447,463300608,462940352.0
1739283661.7175148,463506432,463138528.0
1739283671.7190032,463773696,463427712.0
1739283681.7188175,464033792,463674432.0
1739283691.7175896,464240640,463880704.0
1739283701.7192056,464507904,464148064.0
1739283711.717423,464766976,464422048.0
1739283723.5638375,465017856,464679936.0
1739283731.7174673,465224704,464876160.0
1739283741.7205641,465483776,465125856.0
1739283751.7171876,465738752,465379648.0
1739283761.7189095,465939456,465576672.0
1739283771.719097,466200576,465849152.0
1739283781.7179735,466456576,466121312.0
1739283791.7463336,466657280,466302304.0
1739283801.720374,466912256,466595904.0
1739283811.718678,467168256,466800000.0
1739283821.7184167,467416064,467050944.0
1739283831.7174096,467618816,467240128.0
1739283841.7177274,467878912,467528928.0
1739283851.7197366,468131840,467806656.0
1739283861.7187579,468329472,467971072.0
1739283871.7181516,468595712,468286272.0
1739283881.7191718,468856832,468487040.0
1739283891.7187984,469101568,468736416.0
1739283901.7189426,469302272,468935904.0
1739283911.7190993,469559296,469196032.0
1739283921.719701,469814272,469483680.0
1739283931.7177927,470029312,469669344.0
1739283941.7187152,470282240,469955584.0
1739283951.7199821,470535168,470176448.0
1739283961.720221,470748160,470386304.0
1739283971.7193525,471003136,470649760.0
1739283981.7172768,471262208,470922496.0
1739283991.7177272,471520256,471164160.0
1739284001.7188764,471735296,471384768.0
1739284011.719535,471997440,471639072.0
1739284021.7183437,472254464,471885248.0
1739284031.7207003,472456192,472074784.0
1739284041.7209852,472717312,472388736.0
1739284051.720181,472981504,472636672.0
1739284063.518327,473227264,472863936.0
1739284071.719331,473441280,473089824.0
1739284081.720666,473702400,473342976.0
1739284091.7188776,473955328,473595136.0
1739284101.7179134,474155008,473776640.0
1739284111.7179828,474417152,474099168.0
1739284121.7189007,474673152,474314112.0
1739284131.7206087,474869760,474523328.0
1739284141.717373,475122688,474778624.0
1739284151.7185931,475381760,475025408.0
1739284161.719546,475627520,475279584.0
1739284171.720791,475828224,475456672.0
1739284181.717657,476089344,475754688.0
1739284191.7219484,476347392,475984992.0
1739284201.7191405,476542976,476211584.0
1739284211.7183955,476797952,476459520.0
