wall_time,step,value
1739282881.7149148,444708864,1.0
1739282891.713756,444966912,1.0
1739282903.5426507,445218816,1.0
1739282911.7154977,445428736,1.0
1739282921.7164345,445688832,1.0
1739282931.7145228,445944832,1.0
1739282941.715644,446158848,1.0
1739282951.7164414,446413824,1.0
1739282961.7147415,446670848,1.0
1739282971.8307,446881792,1.0
1739282981.7151139,447135744,1.0
1739282991.7168586,447391744,1.0
1739283001.714699,447656960,1.0
1739283011.716474,447862784,1.0
1739283021.7161403,448123904,1.0
1739283031.7175105,448376832,1.0
1739283041.7155144,448584704,1.0
1739283051.7167246,448842752,1.0
1739283061.715777,449095680,1.0
1739283071.7157393,449347584,1.0
1739283081.7172613,449549312,1.0
1739283091.7158463,449807360,1.0
1739283101.715265,450062336,1.0
1739283111.7166362,450262016,1.0
1739283121.714293,450520064,1.0
1739283131.7157753,450775040,1.0
1739283142.5139484,451005440,1.0
1739283151.7148104,451244032,1.0
1739283161.7147093,451499008,1.0
1739283171.7151225,451750912,1.0
1739283181.7155235,451954688,1.0
1739283191.7237363,452210688,1.0
1739283201.7161057,452467712,1.0
1739283211.7150717,452674560,1.0
1739283221.715228,452930560,1.0
1739283231.7151887,453192704,1.0
1739283241.7180023,453445632,1.0
1739283251.715915,453653504,1.0
1739283261.715288,453919744,1.0
1739283271.7173274,454175744,1.0
1739283281.71655,454385664,1.0
1739283291.7152972,454641664,1.0
1739283301.7161694,454903808,1.0
1739283313.1489308,455148544,1.0
1739283321.7167628,455367680,1.0
1739283331.7158587,455628800,1.0
1739283341.7163332,455886848,1.0
1739283351.7145963,456095744,1.0
1739283361.714924,456354816,1.0
1739283371.714838,456617984,1.0
1739283381.7156534,456822784,1.0
1739283391.7176626,457067520,1.0
1739283401.7160742,457333760,1.0
1739283411.7150848,457591808,1.0
1739283421.7155223,457779200,1.0
1739283431.7156978,458045440,1.0
1739283441.716241,458304512,1.0
1739283451.7155442,458502144,1.0
1739283461.715705,458725376,1.0
1739283471.7164226,458988544,1.0
1739283481.7162054,459245568,1.0
1739283491.7146432,459444224,1.0
1739283501.7155287,459703296,1.0
1739283511.7149901,459967488,1.0
1739283521.7165537,460167168,1.0
1739283531.7162616,460426240,1.0
1739283541.7144437,460687360,1.0
1739283552.7114673,460915712,1.0
1739283561.7153366,461143040,1.0
1739283571.7146432,461388800,1.0
1739283581.7160184,461617152,1.0
1739283591.7151854,461809664,1.0
1739283601.7157817,462060544,1.0
1739283611.716304,462318592,1.0
1739283621.7147017,462521344,1.0
1739283631.7168386,462775296,1.0
1739283641.7163477,463041536,1.0
1739283651.715537,463300608,1.0
1739283661.7149591,463506432,1.0
1739283671.7155688,463773696,1.0
1739283681.7157018,464033792,1.0
1739283691.7145803,464240640,1.0
1739283701.717103,464507904,1.0
1739283711.7148657,464766976,1.0
1739283723.5616884,465017856,1.0
1739283731.7153113,465224704,1.0
1739283741.7176406,465483776,1.0
1739283751.715291,465738752,1.0
1739283761.7164063,465939456,1.0
1739283771.7160556,466200576,1.0
1739283781.715753,466456576,1.0
1739283791.7421808,466657280,1.0
1739283801.7153425,466912256,1.0
1739283811.715717,467168256,1.0
1739283821.7149358,467416064,1.0
1739283831.7143037,467618816,1.0
1739283841.7149258,467878912,1.0
1739283851.7167327,468131840,1.0
1739283861.715888,468329472,1.0
1739283871.7156098,468595712,1.0
1739283881.7158315,468856832,1.0
1739283891.7156525,469101568,1.0
1739283901.716745,469302272,1.0
1739283911.7158103,469559296,1.0
1739283921.7169464,469814272,1.0
1739283931.715331,470029312,1.0
1739283941.714957,470282240,1.0
1739283951.7166953,470535168,1.0
1739283961.7170231,470748160,1.0
1739283971.7171736,471003136,1.0
1739283981.714499,471262208,1.0
1739283991.7152689,471520256,1.0
1739284001.7158356,471735296,1.0
1739284011.715353,471997440,1.0
1739284021.716394,472254464,1.0
1739284031.7173193,472456192,1.0
1739284041.718115,472717312,1.0
1739284051.7152362,472981504,1.0
1739284063.5156336,473227264,1.0
1739284071.715408,473441280,1.0
1739284081.7170072,473702400,1.0
1739284091.7155836,473955328,1.0
1739284101.7150016,474155008,1.0
1739284111.7155895,474417152,1.0
1739284121.7156093,474673152,1.0
1739284131.7170937,474869760,1.0
1739284141.7152169,475122688,1.0
1739284151.7159004,475381760,1.0
1739284161.7165997,475627520,1.0
1739284171.717528,475828224,1.0
1739284181.7150593,476089344,1.0
1739284191.7180645,476347392,1.0
1739284201.7161548,476542976,1.0
1739284211.7154615,476797952,1.0
1739284221.7148614,477051904,1.0
1739284231.7179484,477289472,1.0
1739284241.715348,477490176,1.0
1739284251.7153938,477743104,1.0
1739284261.7186098,477984768,1.0
1739284271.717765,478175232,1.0
1739284281.7161555,478423040,1.0
1739284291.7162762,478667776,1.0
1739284302.0336206,478862336,1.0
1739284311.7164025,479094784,1.0
1739284321.7171447,479345664,1.0
1739284331.71641,479588352,1.0
1739284341.7169423,479776768,1.0
1739284351.7150996,480020480,1.0
1739284361.7161722,480265216,1.0
1739284371.717043,480466944,1.0
1739284381.7156582,480710656,1.0
1739284391.7153027,480956416,1.0
1739284401.715893,481202176,1.0
1739284411.715204,481397760,1.0
1739284421.717301,481629184,1.0
1739284431.7157097,481862656,1.0
1739284441.7167547,482046976,1.0
1739284451.715787,482279424,1.0
1739284461.7175493,482509824,1.0
1739284472.7914286,482727936,1.0
1739284481.7158306,482935808,1.0
1739284491.7149246,483168256,1.0
1739284501.715605,483400704,1.0
1739284511.7167442,483588096,1.0
1739284521.7167099,483818496,1.0
1739284531.7161753,484059136,1.0
1739284541.7151623,484251648,1.0
1739284551.7152631,484493312,1.0
1739284561.7165902,484737024,1.0
1739284571.7151704,484977664,1.0
1739284581.7151155,485172224,1.0
1739284591.7166264,485419008,1.0
1739284601.7159996,485662720,1.0
1739284611.71627,485859328,1.0
1739284621.7153177,486103040,1.0
1739284631.716052,486349824,1.0
1739284643.4692767,486591488,1.0
1739284651.7155693,486784000,1.0
1739284661.7157984,487034880,1.0
1739284671.7154136,487278592,1.0
1739284681.715897,487473152,1.0
1739284691.7155442,487719936,1.0
1739284701.7190313,487962624,1.0
1739284711.803094,488159232,1.0
1739284721.716653,488399872,1.0
1739284731.71644,488644608,1.0
1739284741.715182,488888320,1.0
1739284751.7161598,489077760,1.0
1739284761.7168927,489323520,1.0
1739284771.7163472,489570304,1.0
1739284781.7154653,489767936,1.0
1739284791.7155993,490012672,1.0
1739284801.7157784,490256384,1.0
1739284811.7158165,490498048,1.0
1739284821.7157242,490691584,1.0
1739284831.716072,490936320,1.0
1739284841.7171845,491172864,1.0
1739284851.7149715,491359232,1.0
1739284861.7154324,491593728,1.0
1739284871.7158728,491835392,1.0
1739284882.6519334,492052480,1.0
1739284891.7178235,492269568,1.0
1739284901.7151814,492512256,1.0
1739284911.716342,492759040,1.0
1739284921.7173128,492956672,1.0
1739284931.716028,493205504,1.0
1739284941.7146542,493454336,1.0
1739284951.7144194,493656064,1.0
1739284961.716254,493905920,1.0
1739284971.715359,494151680,1.0
1739284981.7153304,494394368,1.0
1739284991.7154672,494592000,1.0
1739285001.7163575,494834688,1.0
1739285011.71637,495083520,1.0
1739285021.7168925,495280128,1.0
1739285031.7174137,495525888,1.0
1739285041.714837,495767552,1.0
1739285053.3302612,496006144,1.0
1739285061.7173207,496215040,1.0
1739285071.716433,496461824,1.0
1739285081.7146444,496708608,1.0
1739285091.7148998,496910336,1.0
1739285101.7168736,497156096,1.0
1739285111.7158134,497402880,1.0
1739285121.7152793,497599488,1.0
1739285131.7154026,497850368,1.0
1739285141.7175348,498097152,1.0
1739285151.7159004,498341888,1.0
1739285161.7161102,498536448,1.0
1739285171.7158105,498786304,1.0
1739285181.7157545,499035136,1.0
1739285191.7174191,499232768,1.0
1739285201.7169702,499480576,1.0
1739285211.7169018,499727360,1.0
1739285221.7160141,499973120,1.0
1739285231.716935,500184064,1.0
1739285241.7168677,500431872,1.0
1739285251.7160826,500682752,1.0
1739285261.714494,500879360,1.0
1739285271.7170804,501127168,1.0
1739285281.7155561,501373952,1.0
1739285292.4597256,501595136,1.0
1739285301.7151718,501819392,1.0
1739285311.7154064,502066176,1.0
1739285321.716865,502313984,1.0
1739285331.716139,502521856,1.0
1739285341.7177708,502770688,1.0
1739285351.7144594,503018496,1.0
1739285361.715839,503215104,1.0
1739285371.715233,503461888,1.0
1739285381.7162073,503705600,1.0
1739285391.7157693,503949312,1.0
1739285401.7157834,504150016,1.0
1739285411.7163665,504389632,1.0
1739285421.7148461,504641536,1.0
1739285431.7158008,504840192,1.0
1739285441.7157624,505090048,1.0
1739285451.7158144,505338880,1.0
1739285462.9669805,505564160,1.0
1739285471.7150943,505773056,1.0
1739285481.7164955,506018816,1.0
1739285491.716152,506265600,1.0
1739285501.7162776,506465280,1.0
1739285511.7157788,506712064,1.0
1739285521.7164977,506959872,1.0
1739285531.7164419,507155456,1.0
1739285541.7159896,507398144,1.0
1739285551.7189682,507644928,1.0
1739285561.7164876,507894784,1.0
1739285571.7158275,508093440,1.0
1739285581.7151952,508342272,1.0
1739285591.7158325,508589056,1.0
1739285601.7159898,508784640,1.0
1739285611.7163806,509026304,1.0
1739285621.716805,509272064,1.0
1739285631.7169948,509514752,1.0
1739285641.7153568,509709312,1.0
1739285651.7160769,509961216,1.0
1739285661.7148054,510206976,1.0
1739285671.7167985,510403584,1.0
1739285681.7159894,510653440,1.0
1739285691.7161603,510900224,1.0
1739285701.9810636,511108096,1.0
1739285711.716,511344640,1.0
1739285721.7166793,511594496,1.0
1739285731.7156222,511837184,1.0
1739285741.7162516,512030720,1.0
1739285751.7162154,512274432,1.0
1739285761.7165139,512523264,1.0
1739285771.7156265,512719872,1.0
1739285781.714971,512952320,1.0
1739285791.7162707,513207296,1.0
1739285801.7185497,513456128,1.0
1739285811.715116,513649664,1.0
1739285821.7159846,513906688,1.0
1739285831.7170465,514155520,1.0
1739285841.7161481,514345984,1.0
1739285851.7155359,514588672,1.0
1739285861.7144995,514829312,1.0
1739285871.7159872,515044352,1.0
1739285881.7154858,515281920,1.0
1739285891.7149515,515515392,1.0
1739285901.7159536,515749888,1.0
1739285911.717493,515969024,1.0
1739285921.7154944,516208640,1.0
1739285931.7157278,516444160,1.0
1739285941.71567,516666368,1.0
1739285951.7160964,516903936,1.0
1739285961.7169452,517139456,1.0
1739285971.7170181,517358592,1.0
1739285981.7156372,517600256,1.0
1739285991.7159352,517837824,1.0
1739286001.7170854,518073344,1.0
1739286011.7148578,518292480,1.0
1739286021.7159886,518529024,1.0
1739286031.7161114,518762496,1.0
1739286041.7153976,518990848,1.0
1739286051.7153983,519226368,1.0
1739286061.7186053,519455744,1.0
1739286071.7168262,519680000,1.0
1739286081.7164798,519913472,1.0
1739286091.7158356,520148992,1.0
1739286101.7151878,520372224,1.0
1739286111.7170718,520604672,1.0
1739286121.7161672,520843264,1.0
1739286131.716781,521075712,1.0
1739286141.7172186,521299968,1.0
1739286151.7165265,521533440,1.0
1739286161.717194,521761792,1.0
1739286171.7153103,521988096,1.0
1739286181.7155235,522220544,1.0
1739286191.7159812,522448896,1.0
1739286201.7151818,522667008,1.0
1739286211.7156978,522898432,1.0
1739286221.71628,523132928,1.0
1739286231.7169797,523354112,1.0
1739286241.7148726,523585536,1.0
1739286251.715272,523822080,1.0
1739286261.7268207,524057600,1.0
1739286271.717564,524281856,1.0
1739286281.7164462,524517376,1.0
1739286291.716805,524750848,1.0
1739286301.716273,524974080,1.0
1739286311.7165256,525210624,1.0
1739286321.7148678,525443072,1.0
1739286331.7176178,525671424,1.0
1739286341.7164562,525905920,1.0
1739286351.7164083,526135296,1.0
1739286361.7151847,526366720,1.0
1739286371.7154233,526593024,1.0
1739286381.7158492,526827520,1.0
1739286391.7163749,527057920,1.0
1739286401.7154343,527285248,1.0
1739286411.7164202,527516672,1.0
1739286421.715801,527753216,1.0
1739286431.7160878,527982592,1.0
1739286441.7174387,528209920,1.0
1739286451.715502,528444416,1.0
1739286461.7159684,528678912,1.0
1739286471.7167244,528902144,1.0
1739286481.7165694,529135616,1.0
1739286491.7160568,529368064,1.0
1739286501.7160625,529604608,1.0
1739286511.716654,529840128,1.0
1739286521.7166805,530073600,1.0
1739286531.7194765,530305024,1.0
1739286541.7164025,530541568,1.0
1739286551.717562,530774016,1.0
1739286561.7175906,531007488,1.0
1739286571.7158983,531244032,1.0
1739286581.7169595,531479552,1.0
1739286591.7175965,531713024,1.0
1739286601.7164545,531951616,1.0
1739286611.7167659,532186112,1.0
1739286621.7166932,532422656,1.0
1739286631.71677,532655104,1.0
1739286641.7170591,532888576,1.0
1739286651.7168405,533120000,1.0
1739286661.7153864,533351424,1.0
1739286671.7154782,533580800,1.0
1739286681.7168853,533814272,1.0
1739286691.7157724,534043648,1.0
1739286701.7166965,534282240,1.0
1739286711.7156038,534514688,1.0
1739286721.715758,534749184,1.0
1739286731.7155356,534983680,1.0
1739286741.7152197,535217152,1.0
1739286751.7154527,535453696,1.0
1739286761.714961,535687168,1.0
1739286771.7155318,535921664,1.0
1739286781.7172084,536153088,1.0
1739286791.7163863,536390656,1.0
1739286801.7168267,536623104,1.0
1739286811.715818,536859648,1.0
1739286821.7160285,537094144,1.0
1739286831.7158124,537326592,1.0
1739286841.7157035,537561088,1.0
1739286851.7159996,537798656,1.0
1739286861.7161043,538031104,1.0
1739286871.7165828,538263552,1.0
1739286881.7164013,538500096,1.0
1739286891.717063,538734592,1.0
1739286901.7164662,538968064,1.0
1739286911.715055,539201536,1.0
1739286921.7172434,539439104,1.0
1739286931.715554,539669504,1.0
1739286941.7168572,539898880,1.0
1739286951.717132,540134400,1.0
1739286961.7169728,540366848,1.0
1739286971.716042,540603392,1.0
1739286981.7187922,540837888,1.0
1739286991.7155201,541070336,1.0
1739287001.7159789,541304832,1.0
1739287011.715686,541541376,1.0
1739287021.7160783,541774848,1.0
1739287031.716053,542005248,1.0
1739287041.7164843,542241792,1.0
1739287051.7160125,542477312,1.0
1739287061.7145193,542715904,1.0
1739287071.7166955,542950400,1.0
1739287081.7162683,543181824,1.0
1739287091.7166169,543414272,1.0
1739287101.7162619,543649792,1.0
1739287111.719924,543885312,1.0
1739287121.7174911,544115712,1.0
1739287131.7168858,544348160,1.0
1739287141.7164004,544580608,1.0
1739287151.7157884,544813056,1.0
1739287161.7150133,545047552,1.0
1739287171.7168567,545278976,1.0
1739287181.716707,545513472,1.0
1739287191.7168849,545741824,1.0
1739287201.715556,545971200,1.0
1739287211.7151747,546202624,1.0
1739287221.7179892,546430976,1.0
1739287231.7170398,546663424,1.0
1739287241.7164843,546895872,1.0
1739287251.7158496,547128320,1.0
1739287261.715688,547357696,1.0
1739287271.7158494,547591168,1.0
1739287281.7147198,547820544,1.0
1739287291.7165587,548051968,1.0
1739287301.7173238,548287488,1.0
1739287311.7167668,548519936,1.0
1739287321.7163768,548754432,1.0
1739287331.7159305,548992000,1.0
1739287341.7185323,549230592,1.0
1739287351.7153838,549462016,1.0
1739287361.7167282,549699584,1.0
1739287371.7163877,549931008,1.0
1739287381.715834,550170624,1.0
1739287391.7171237,550403072,1.0
1739287401.715486,550637568,1.0
1739287411.7159078,550873088,1.0
1739287421.717082,551104512,1.0
1739287431.7154422,551339008,1.0
1739287441.7144895,551573504,1.0
1739287451.7172298,551808000,1.0
1739287461.7168715,552038400,1.0
1739287471.7153618,552273920,1.0
1739287481.7159371,552510464,1.0
1739287491.715174,552744960,1.0
1739287501.7174459,552981504,1.0
1739287511.7177675,553217024,1.0
1739287521.7154338,553453568,1.0
1739287531.7182972,553686016,1.0
1739287541.7149663,553918464,1.0
1739287551.715161,554150912,1.0
1739287561.7164898,554381312,1.0
1739287571.7169268,554616832,1.0
1739287581.7188454,554851328,1.0
1739287591.7156062,555085824,1.0
1739287601.7178273,555313152,1.0
1739287611.7159488,555547648,1.0
1739287621.7155666,555781120,1.0
1739287631.715827,556016640,1.0
1739287641.7156048,556250112,1.0
1739287651.7151484,556484608,1.0
1739287661.7168078,556719104,1.0
1739287671.7256749,556957696,1.0
1739287681.7167344,557189120,1.0
1739287691.7174613,557424640,1.0
1739287701.715737,557658112,1.0
1739287711.7164268,557887488,1.0
1739287721.7180486,558124032,1.0
1739287731.7162552,558355456,1.0
1739287741.717404,558593024,1.0
1739287751.7161162,558829568,1.0
1739287761.7161124,559059968,1.0
1739287771.7165911,559293440,1.0
1739287781.7183182,559527936,1.0
1739287791.717033,559762432,1.0
1739287801.7159822,559993856,1.0
1739287811.7159426,560226304,1.0
1739287821.7166655,560456704,1.0
1739287831.7172654,560686080,1.0
1739287841.7156053,560919552,1.0
1739287851.7160137,561150976,1.0
1739287861.716202,561386496,1.0
1739287871.7168736,561623040,1.0
1739287881.7155468,561855488,1.0
1739287891.7153816,562087936,1.0
1739287901.7173507,562326528,1.0
1739287911.7165184,562560000,1.0
1739287921.7150068,562790400,1.0
1739287931.716108,563022848,1.0
1739287941.7155306,563255296,1.0
1739287951.7166264,563489792,1.0
1739287961.7155194,563724288,1.0
1739287971.715671,563955712,1.0
1739287981.716431,564190208,1.0
1739287991.7154534,564423680,1.0
1739288001.7166657,564661248,1.0
1739288011.7171404,564895744,1.0
1739288021.7156456,565136384,1.0
1739288031.7154574,565368832,1.0
1739288041.7174711,565602304,1.0
1739288051.7158608,565836800,1.0
1739288061.7167704,566074368,1.0
1739288071.7159626,566313984,1.0
1739288081.7166169,566554624,1.0
1739288091.7162886,566784000,1.0
1739288101.7152297,567016448,1.0
1739288111.7157793,567249920,1.0
1739288121.715007,567480320,1.0
1739288131.7160006,567711744,1.0
1739288141.7155445,567947264,1.0
1739288151.7162602,568182784,1.0
1739288161.7162056,568414208,1.0
1739288171.7155418,568644608,1.0
1739288181.7165022,568878080,1.0
1739288191.7157164,569114624,1.0
1739288201.7159524,569348096,1.0
1739288211.7153425,569585664,1.0
1739288221.7153397,569821184,1.0
1739288231.7160385,570054656,1.0
1739288241.7168245,570297344,1.0
1739288251.7164462,570530816,1.0
1739288261.7156632,570768384,1.0
1739288271.7167656,570997760,1.0
1739288281.7161806,571230208,1.0
1739288291.7171602,571461632,1.0
1739288301.7153308,571696128,1.0
1739288311.716629,571929600,1.0
1739288321.7165666,572165120,1.0
1739288331.7154932,572399616,1.0
1739288341.7156093,572632064,1.0
1739288351.7158756,572864512,1.0
1739288361.7169254,573097984,1.0
1739288371.716814,573332480,1.0
1739288381.7156224,573564928,1.0
1739288391.7167296,573804544,1.0
1739288401.7165842,574038016,1.0
1739288411.7205362,574277632,1.0
1739288421.7162,574511104,1.0
1739288431.716434,574743552,1.0
1739288441.7160945,574980096,1.0
1739288451.7168283,575215616,1.0
1739288461.715757,575449088,1.0
1739288471.7169344,575680512,1.0
1739288481.7160664,575913984,1.0
1739288491.7168033,576152576,1.0
1739288501.716348,576386048,1.0
1739288511.7155333,576616448,1.0
1739288521.7151773,576845824,1.0
1739288531.716373,577078272,1.0
1739288541.7168999,577313792,1.0
