wall_time,step,value
1739282881.7150059,444708864,1.0
1739282891.7138941,444966912,1.0
1739282903.5427032,445218816,1.0
1739282911.7161932,445428736,1.0
1739282921.7171884,445688832,1.0
1739282931.7154956,445944832,1.0
1739282941.7162943,446158848,1.0
1739282951.7166004,446413824,1.0
1739282961.715093,446670848,1.0
1739282971.831481,446881792,1.0
1739282981.7157483,447135744,1.0
1739282991.7172844,447391744,1.0
1739283001.7152314,447656960,1.0
1739283011.7165413,447862784,1.0
1739283021.716209,448123904,1.0
1739283031.7185495,448376832,1.0
1739283041.7158704,448584704,1.0
1739283051.7168732,448842752,1.0
1739283061.7158287,449095680,1.0
1739283071.716546,449347584,1.0
1739283081.7178974,449549312,1.0
1739283091.7166276,449807360,1.0
1739283101.7159479,450062336,1.0
1739283111.7169816,450262016,1.0
1739283121.7149432,450520064,1.0
1739283131.7170908,450775040,1.0
1739283142.5147486,451005440,1.0
1739283151.7150593,451244032,1.0
1739283161.7154484,451499008,1.0
1739283171.715316,451750912,1.0
1739283181.7159028,451954688,1.0
1739283191.7247179,452210688,1.0
1739283201.71674,452467712,1.0
1739283211.7158916,452674560,1.0
1739283221.7152894,452930560,1.0
1739283231.7152414,453192704,1.0
1739283241.7181678,453445632,1.0
1739283251.71598,453653504,1.0
1739283261.7156756,453919744,1.0
1739283271.7174833,454175744,1.0
1739283281.7186558,454385664,1.0
1739283291.7153542,454641664,1.0
1739283301.7163827,454903808,1.0
1739283313.1489832,455148544,1.0
1739283321.7168295,455367680,1.0
1739283331.7163162,455628800,1.0
1739283341.7164805,455886848,1.0
1739283351.7152116,456095744,1.0
1739283361.7149796,456354816,1.0
1739283371.7152915,456617984,1.0
1739283381.7161202,456822784,1.0
1739283391.7178268,457067520,1.0
1739283401.7161272,457333760,1.0
1739283411.715861,457591808,1.0
1739283421.716062,457779200,1.0
1739283431.7158978,458045440,1.0
1739283441.7164104,458304512,1.0
1739283451.7157,458502144,1.0
1739283461.7165127,458725376,1.0
1739283471.7164755,458988544,1.0
1739283481.7166924,459245568,1.0
1739283491.7159574,459444224,1.0
1739283501.716044,459703296,1.0
1739283511.7156813,459967488,1.0
1739283521.7171462,460167168,1.0
1739283531.7170682,460426240,1.0
1739283541.7152455,460687360,1.0
1739283552.712049,460915712,1.0
1739283561.7156641,461143040,1.0
1739283571.715233,461388800,1.0
1739283581.7165358,461617152,1.0
1739283591.7159226,461809664,1.0
1739283601.7158847,462060544,1.0
1739283611.7168655,462318592,1.0
1739283621.7154913,462521344,1.0
1739283631.7173872,462775296,1.0
1739283641.7167637,463041536,1.0
1739283651.71559,463300608,1.0
1739283661.7159119,463506432,1.0
1739283671.7169309,463773696,1.0
1739283681.7162087,464033792,1.0
1739283691.71496,464240640,1.0
1739283701.717235,464507904,1.0
1739283711.715286,464766976,1.0
1739283723.5618355,465017856,1.0
1739283731.7159414,465224704,1.0
1739283741.7188442,465483776,1.0
1739283751.7160711,465738752,1.0
1739283761.7164772,465939456,1.0
1739283771.7166073,466200576,1.0
1739283781.716097,466456576,1.0
1739283791.7427075,466657280,1.0
1739283801.7165403,466912256,1.0
1739283811.7158625,467168256,1.0
1739283821.7157693,467416064,1.0
1739283831.7152095,467618816,1.0
1739283841.7156966,467878912,1.0
1739283851.717471,468131840,1.0
1739283861.716684,468329472,1.0
1739283871.7163389,468595712,1.0
1739283881.716669,468856832,1.0
1739283891.7164783,469101568,1.0
1739283901.7168021,469302272,1.0
1739283911.7160668,469559296,1.0
1739283921.7170923,469814272,1.0
1739283931.7153835,470029312,1.0
1739283941.7150981,470282240,1.0
1739283951.7171073,470535168,1.0
1739283961.7178018,470748160,1.0
1739283971.7176821,471003136,1.0
1739283981.7152054,471262208,1.0
1739283991.7162755,471520256,1.0
1739284001.7162895,471735296,1.0
1739284011.7165153,471997440,1.0
1739284021.716492,472254464,1.0
1739284031.7174702,472456192,1.0
1739284041.7182527,472717312,1.0
1739284051.715914,472981504,1.0
1739284063.5162852,473227264,1.0
1739284071.716039,473441280,1.0
1739284081.7184412,473702400,1.0
1739284091.7165356,473955328,1.0
1739284101.7150578,474155008,1.0
1739284111.7156787,474417152,1.0
1739284121.716413,474673152,1.0
1739284131.718295,474869760,1.0
1739284141.715936,475122688,1.0
1739284151.7159564,475381760,1.0
1739284161.7175908,475627520,1.0
1739284171.718603,475828224,1.0
1739284181.7158134,476089344,1.0
1739284191.7190754,476347392,1.0
1739284201.7170255,476542976,1.0
1739284211.7155132,476797952,1.0
1739284221.7162862,477051904,1.0
1739284231.7180018,477289472,1.0
1739284241.7159615,477490176,1.0
1739284251.7154868,477743104,1.0
1739284261.7187765,477984768,1.0
1739284271.7187562,478175232,1.0
1739284281.716223,478423040,1.0
1739284291.7168653,478667776,1.0
1739284302.0336711,478862336,1.0
1739284311.7171028,479094784,1.0
1739284321.7173822,479345664,1.0
1739284331.717117,479588352,1.0
1739284341.7183008,479776768,1.0
1739284351.7159762,480020480,1.0
1739284361.71623,480265216,1.0
1739284371.7176414,480466944,1.0
1739284381.7162995,480710656,1.0
1739284391.7159293,480956416,1.0
1739284401.7159457,481202176,1.0
1739284411.7157996,481397760,1.0
1739284421.7181003,481629184,1.0
1739284431.7162104,481862656,1.0
1739284441.7174175,482046976,1.0
1739284451.715841,482279424,1.0
1739284461.7176893,482509824,1.0
1739284472.792365,482727936,1.0
1739284481.716092,482935808,1.0
1739284491.7150955,483168256,1.0
1739284501.716309,483400704,1.0
1739284511.7177572,483588096,1.0
1739284521.7173433,483818496,1.0
1739284531.716737,484059136,1.0
1739284541.7159157,484251648,1.0
1739284551.7155592,484493312,1.0
