wall_time,step,value
1739282881.7110195,444708864,-50.364471435546875
1739282891.7107549,444966912,-50.646202087402344
1739282903.5371015,445218816,-49.5974006652832
1739282911.7112172,445428736,-50.074459075927734
1739282921.7108564,445688832,-49.51799011230469
1739282931.7110977,445944832,-49.251976013183594
1739282941.7107263,446158848,-48.65711975097656
1739282951.7113597,446413824,-50.05461883544922
1739282961.710772,446670848,-47.04594039916992
1739282971.8257663,446881792,-46.6389274597168
1739282981.7107463,447135744,-47.48141860961914
1739282991.7109685,447391744,-47.686302185058594
1739283001.7108743,447656960,-45.815826416015625
1739283011.7119026,447862784,-45.20466995239258
1739283021.7113032,448123904,-45.64470291137695
1739283031.7112458,448376832,-44.48945236206055
1739283041.7116573,448584704,-44.71881103515625
1739283051.7119718,448842752,-45.64317321777344
1739283061.71147,449095680,-44.88051223754883
1739283071.7116864,449347584,-44.37546920776367
1739283081.7114878,449549312,-43.0048828125
1739283091.711597,449807360,-42.507598876953125
1739283101.7120233,450062336,-42.535736083984375
1739283111.7114563,450262016,-44.12289810180664
1739283121.711766,450520064,-42.79526138305664
1739283131.7111757,450775040,-39.689422607421875
1739283142.5102987,451005440,-43.29576110839844
1739283151.7120268,451244032,-41.27796173095703
1739283161.7112856,451499008,-41.475624084472656
1739283171.7117445,451750912,-39.984928131103516
1739283181.7113268,451954688,-41.10748291015625
1739283191.7193582,452210688,-39.84344482421875
1739283201.7118073,452467712,-41.579978942871094
1739283211.7115448,452674560,-40.114784240722656
1739283221.711649,452930560,-38.22251510620117
1739283231.7117598,453192704,-39.689910888671875
1739283241.7114592,453445632,-37.96310043334961
1739283251.7115676,453653504,-39.91191864013672
1739283261.7114449,453919744,-38.10603332519531
1739283271.7113929,454175744,-37.497657775878906
1739283281.7117455,454385664,-37.40420913696289
1739283291.7116227,454641664,-38.419376373291016
1739283301.7113922,454903808,-36.530025482177734
1739283313.1430871,455148544,-37.8744010925293
1739283321.7116048,455367680,-37.12894058227539
1739283331.7115312,455628800,-38.33233642578125
1739283341.7112105,455886848,-37.147438049316406
1739283351.7114975,456095744,-36.40940475463867
