wall_time,step,value
1739282861.7108896,444291072,1057.40234375
1739282871.711444,444457984,1064.93359375
1739282881.7109156,444708864,1075.01953125
1739282891.7106922,444966912,1082.765625
1739282903.5370398,445218816,1090.5546875
1739282911.7110505,445428736,1099.4609375
1739282921.7107897,445688832,1107.4921875
1739282931.7110345,445944832,1115.2265625
1739282941.7106545,446158848,1124.27734375
1739282951.7112944,446413824,1132.02734375
1739282961.7107115,446670848,1139.85546875
1739282971.8256624,446881792,1147.84765625
1739282981.7106836,447135744,1156.68359375
1739282991.7108786,447391744,1164.4609375
1739283001.7107718,447656960,1175.2890625
1739283011.711047,447862784,1181.4765625
1739283021.7108414,448123904,1189.46875
1739283031.7107878,448376832,1199.796875
1739283041.7110283,448584704,1205.984375
1739283051.7110162,448842752,1213.4609375
1739283061.710721,449095680,1223.515625
1739283071.7107491,449347584,1230.9921875
1739283081.7109947,449549312,1235.6328125
1739283091.7109575,449807360,1237.4375
1739283101.7109945,450062336,1237.4375
1739283111.710768,450262016,1237.4375
1739283121.7113159,450520064,1237.6953125
1739283131.710724,450775040,1237.6953125
1739283142.5096312,451005440,1237.6953125
1739283151.711032,451244032,1237.6953125
1739283161.7108002,451499008,1237.6953125
1739283171.710725,451750912,1237.6953125
1739283181.7108784,451954688,1237.6953125
1739283191.7186706,452210688,1237.6953125
1739283201.7107067,452467712,1237.6953125
1739283211.7108781,452674560,1237.6953125
1739283221.7109354,452930560,1237.6953125
1739283231.7108555,453192704,1237.6953125
1739283241.7110636,453445632,1237.6953125
1739283251.7109878,453653504,1237.6953125
1739283261.7106924,453919744,1237.6953125
1739283271.7109458,454175744,1237.6953125
1739283281.7110598,454385664,1237.6953125
1739283291.7110586,454641664,1237.6953125
1739283301.7108922,454903808,1237.953125
1739283313.1425004,455148544,1237.953125
1739283321.7108765,455367680,1237.953125
1739283331.7109783,455628800,1237.953125
1739283341.7107072,455886848,1237.953125
1739283351.7107284,456095744,1237.953125
1739283361.71102,456354816,1237.953125
1739283371.7111151,456617984,1237.953125
1739283381.7110908,456822784,1237.953125
1739283391.7107162,457067520,1237.953125
1739283401.7110453,457333760,1237.953125
1739283411.7107558,457591808,1237.953125
1739283421.7109919,457779200,1237.953125
1739283431.7106693,458045440,1237.953125
1739283441.7107258,458304512,1237.953125
1739283451.7109585,458502144,1237.953125
1739283461.7108972,458725376,1237.953125
1739283471.7109857,458988544,1237.953125
1739283481.7110023,459245568,1238.2109375
1739283491.7107027,459444224,1238.2109375
1739283501.7107224,459703296,1238.2109375
1739283511.7111251,459967488,1238.2109375
1739283521.710782,460167168,1238.2109375
1739283531.7107065,460426240,1238.2109375
1739283541.7106762,460687360,1238.2109375
1739283552.7051392,460915712,1238.2109375
1739283561.7107413,461143040,1238.2109375
1739283571.710774,461388800,1238.2109375
1739283581.711046,461617152,1238.2109375
1739283591.710867,461809664,1238.2109375
1739283601.711093,462060544,1238.2109375
1739283611.710717,462318592,1238.2109375
1739283621.7107356,462521344,1238.2109375
1739283631.7110596,462775296,1238.2109375
1739283641.7108839,463041536,1238.2109375
1739283651.711151,463300608,1238.2109375
1739283661.7108045,463506432,1238.2109375
1739283671.7109036,463773696,1238.2109375
1739283681.7108967,464033792,1238.46875
1739283691.7108936,464240640,1238.46875
1739283701.7110376,464507904,1238.46875
1739283711.7110295,464766976,1238.46875
1739283721.7107618,465017856,1238.46875
1739283731.7107115,465224704,1238.46875
1739283741.7110932,465483776,1238.46875
1739283751.7108846,465738752,1238.46875
1739283761.7107325,465939456,1238.46875
1739283771.7107491,466200576,1238.46875
1739283781.71077,466456576,1238.46875
1739283791.7373886,466657280,1238.46875
1739283801.7106655,466912256,1238.46875
1739283811.7110684,467168256,1238.46875
1739283821.711067,467416064,1238.46875
1739283831.710977,467618816,1238.46875
1739283841.71089,467878912,1238.46875
1739283851.711043,468131840,1238.46875
1739283861.7108498,468329472,1238.46875
1739283871.710953,468595712,1238.46875
1739283881.7111337,468856832,1238.46875
1739283891.710862,469101568,1238.7265625
1739283901.7108471,469302272,1238.7265625
1739283911.7107303,469559296,1238.7265625
1739283921.7107525,469814272,1238.7265625
1739283931.7107248,470029312,1238.7265625
1739283941.7107348,470282240,1238.7265625
1739283951.7109127,470535168,1238.7265625
1739283961.7107394,470748160,1238.7265625
1739283971.7107599,471003136,1238.7265625
1739283981.7107446,471262208,1238.7265625
1739283991.710759,471520256,1238.7265625
1739284001.7110956,471735296,1238.7265625
1739284011.7109404,471997440,1238.7265625
1739284021.710741,472254464,1238.7265625
1739284031.7109299,472456192,1238.7265625
1739284041.7108767,472717312,1238.7265625
1739284051.7110894,472981504,1238.7265625
1739284063.5103076,473227264,1238.7265625
1739284071.7106466,473441280,1238.7265625
1739284081.7109826,473702400,1238.7265625
1739284091.7107873,473955328,1238.7265625
1739284101.7107115,474155008,1238.7265625
1739284111.7108665,474417152,1238.7265625
1739284121.7107947,474673152,1238.7265625
1739284131.710724,474869760,1238.7265625
1739284141.7107222,475122688,1238.7265625
1739284151.7107294,475381760,1238.7265625
1739284161.7114408,475627520,1238.984375
1739284171.7108872,475828224,1238.984375
1739284181.7107134,476089344,1238.984375
1739284191.710967,476347392,1238.984375
1739284201.7109153,476542976,1238.984375
1739284211.7110088,476797952,1238.984375
1739284221.7107134,477051904,1238.984375
1739284231.7108426,477289472,1238.984375
1739284241.7107081,477490176,1238.984375
1739284251.7109082,477743104,1238.984375
1739284261.7108846,477984768,1238.984375
1739284271.7110438,478175232,1238.984375
1739284281.7107065,478423040,1238.984375
1739284291.7107642,478667776,1238.984375
1739284302.0291867,478862336,1238.984375
1739284311.7109857,479094784,1238.984375
1739284321.71107,479345664,1238.984375
1739284331.710986,479588352,1238.984375
1739284341.7108402,479776768,1238.984375
1739284351.7107637,480020480,1238.984375
1739284361.7110648,480265216,1238.984375
1739284371.7107475,480466944,1238.984375
1739284381.7110596,480710656,1238.984375
1739284391.7107484,480956416,1238.984375
1739284401.7108972,481202176,1238.984375
1739284411.7111657,481397760,1238.984375
1739284421.7111568,481629184,1238.984375
1739284431.710962,481862656,1239.2421875
1739284441.7110138,482046976,1239.2421875
1739284451.710755,482279424,1239.2421875
1739284461.7107317,482509824,1239.2421875
1739284472.785694,482727936,1239.2421875
1739284481.710836,482935808,1239.2421875
1739284491.7109966,483168256,1239.2421875
1739284501.7107506,483400704,1239.2421875
1739284511.711055,483588096,1239.2421875
1739284521.71097,483818496,1239.2421875
1739284531.7113245,484059136,1239.2421875
1739284541.7107656,484251648,1239.2421875
1739284551.7106814,484493312,1239.2421875
1739284561.7108898,484737024,1239.2421875
1739284571.7107413,484977664,1239.2421875
1739284581.7110448,485172224,1239.2421875
1739284591.711077,485419008,1239.2421875
1739284601.7111053,485662720,1239.2421875
1739284611.7107515,485859328,1239.2421875
1739284621.7107136,486103040,1239.2421875
1739284631.710805,486349824,1239.2421875
1739284643.4645367,486591488,1239.2421875
1739284651.710971,486784000,1239.2421875
1739284661.7107668,487034880,1239.2421875
1739284671.7109516,487278592,1239.2421875
1739284681.7107856,487473152,1239.2421875
1739284691.7108703,487719936,1239.2421875
1739284701.711037,487962624,1239.2421875
1739284711.7977512,488159232,1239.2421875
1739284721.7110472,488399872,1239.2421875
1739284731.710712,488644608,1239.5
1739284741.710963,488888320,1239.5
1739284751.7107272,489077760,1239.5
1739284761.7110953,489323520,1239.5
1739284771.7110713,489570304,1239.5
1739284781.7107012,489767936,1239.5
1739284791.7109087,490012672,1239.5
1739284801.7107418,490256384,1239.5
1739284811.7107198,490498048,1239.5
1739284821.7106917,490691584,1239.5
1739284831.7108085,490936320,1239.5
1739284841.7109838,491172864,1239.5
1739284851.71121,491359232,1239.5
1739284861.710758,491593728,1239.5
1739284871.710725,491835392,1239.5
1739284882.6452682,492052480,1239.5
1739284891.7111278,492269568,1239.5
1739284901.7107282,492512256,1239.5
1739284911.711073,492759040,1239.5
1739284921.7111125,492956672,1239.5
1739284931.7107599,493205504,1239.5
1739284941.7107344,493454336,1239.5
1739284951.7108018,493656064,1239.5
1739284961.7108436,493905920,1239.5
1739284971.7110612,494151680,1239.5
1739284981.7108688,494394368,1239.5
1739284991.7107327,494592000,1239.5
1739285001.7109766,494834688,1239.5
1739285011.710961,495083520,1239.5
1739285021.7111988,495280128,1239.5
1739285031.7109494,495525888,1239.5
1739285041.710868,495767552,1239.5
1739285053.3252096,496006144,1239.7578125
1739285061.7107255,496215040,1239.7578125
1739285071.710837,496461824,1239.7578125
1739285081.7107897,496708608,1239.7578125
1739285091.7110572,496910336,1239.7578125
1739285101.7110736,497156096,1239.7578125
1739285111.7107768,497402880,1239.7578125
1739285121.7107918,497599488,1239.7578125
1739285131.71097,497850368,1239.7578125
1739285141.7107308,498097152,1239.7578125
1739285151.7107036,498341888,1239.7578125
1739285161.7109406,498536448,1239.7578125
1739285171.7107346,498786304,1239.7578125
1739285181.7107131,499035136,1239.7578125
1739285191.7106977,499232768,1239.7578125
1739285201.7109709,499480576,1239.7578125
1739285211.7108555,499727360,1239.7578125
1739285221.7106981,499973120,1239.7578125
1739285231.7108862,500184064,1239.7578125
1739285241.7107537,500431872,1239.7578125
