wall_time,step,value
1739282861.885939,444292096,0.0
1739282944.2846193,446222336,4.092828191915032e-07
1739283026.838091,448256000,2.9813364221809024e-07
1739283109.4923,450206720,2.72167625325892e-07
1739283192.3334754,452227072,3.896915075074503e-07
1739283275.2604654,454267904,2.0511080833784945e-07
1739283358.397729,456263680,1.8499690668249968e-07
1739283441.5852556,458301440,2.910460352723021e-07
1739283524.951555,460250112,7.723532462478033e-07
1739283608.4002125,462234624,2.3143472560605005e-07
1739283692.016335,464248832,6.365654598994297e-07
1739283775.7416184,466307072,2.609715181733918e-07
1739283859.9133482,468285440,1.1615149730914709e-07
1739283943.8950448,470339584,3.436659028466238e-07
1739284029.4532378,472397824,2.0831514291330677e-07
1739284113.7121334,474471424,2.2895440565662284e-07
1739284199.8107672,476495872,4.73859643079777e-07
1739284284.331228,478490624,3.3606778515604674e-07
1739284370.5624087,480437248,1.1506203634326084e-07
1739284455.324159,482361344,1.864709986421076e-07
1739284541.027296,484235264,2.0185230198421777e-07
1739284626.103617,486213632,3.6048555784873315e-07
1739284711.826451,488160256,2.890143377953791e-07
1739284797.1127849,490144768,3.022186092493939e-07
1739284882.7177262,492054528,4.854463213632698e-07
1739284968.3054154,494066688,1.7083348780033702e-07
1739285053.9786732,496022528,4.87737679577549e-07
1739285139.7431912,498049024,6.082482428837466e-08
1739285225.6762788,500030464,6.42271231754421e-08
1739285311.7515373,502067200,1.7571758803569537e-07
1739285397.9167979,504055808,3.9590059941474465e-07
1739285484.2188482,506082304,3.1546102263746434e-07
1739285570.6514432,508067840,2.7866641971741046e-07
1739285657.232467,510097408,1.8978408888870035e-07
1739285744.0438888,512087040,2.3229668499880063e-07
1739285830.9380548,514136064,2.6334043923270656e-07
1739285917.9199667,516119552,4.813074383491767e-07
1739286005.012945,518132736,2.1910844338890456e-07
1739286092.2319474,520162304,1.789141776953329e-07
1739286179.5796316,522171392,4.0016189473135455e-07
1739286267.0597403,524170240,2.5975106154874084e-07
1739286354.688187,526202880,5.915078560292386e-08
1739286442.4240336,528226304,2.801270966301672e-07
1739286530.289548,530271232,2.949698796328448e-07
1739286618.3045442,532340736,2.01135804900332e-07
1739286706.4458199,534391808,3.2821293416418484e-07
1739286794.785319,536460288,1.638165656459023e-07
1739286883.2296314,538535936,4.187829745205818e-07
1739286971.820639,540605440,3.763584572880063e-07
1739287060.5177402,542687232,2.9660301947842527e-07
1739287149.3626585,544757760,3.1934325761540094e-07
1739287238.316047,546816000,3.4563117878860794e-07
1739287327.451887,548886528,3.1292145763472945e-07
1739287416.6696985,550989824,3.7606861269523506e-07
1739287506.0540802,553083904,3.218966071472096e-07
1739287595.572635,555171840,2.869762738555437e-07
1739287685.2299793,557270016,3.6500287592389213e-07
1739287775.0242527,559373312,5.581562163570197e-07
1739287864.9269536,561463296,3.9773703974788077e-07
1739287954.9709156,563565568,1.9025543451789417e-07
1739288045.1886525,565684224,3.3414417544008757e-07
1739288135.5252376,567803904,2.1194188093431876e-07
1739288226.018432,569921536,8.314701176459494e-07
1739288316.6489146,572046336,2.536931162921974e-07
1739288407.3818457,574171136,4.4042479885320063e-07
1739288498.276582,576306176,2.2307136759991408e-07
1739288589.3075962,578429952,7.442699825332966e-07
1739288680.477262,580570112,3.938355916943692e-07
1739288771.8483007,582720512,3.5239483509030833e-07
1739288863.30764,584865792,8.71356860443484e-07
1739288954.8641746,587009024,2.7544572844817594e-07
1739289046.5781643,589159424,1.7034379595770588e-07
1739289138.4628959,591315968,5.226940515967726e-07
1739289230.4461308,593487872,4.601818091032328e-07
1739289322.5633252,595659776,2.1471203126566252e-07
1739289414.841157,597827584,5.576787316385889e-07
1739289507.2479818,600005632,2.8320516776147997e-07
1739289599.805466,602191872,4.4774654384127643e-07
1739289692.5419497,604382208,2.710515616399789e-07
1739289785.370095,606568448,2.3688309624958492e-07
1739289878.378814,608756736,3.0680615736855543e-07
1739289971.5682974,610932736,5.161882654647343e-07
1739290064.9021664,613129216,5.158582894182473e-07
1739290158.3244398,615321600,2.2642795727279008e-07
1739290251.8985977,617527296,6.076911063246371e-07
1739290345.591359,619707392,4.6264011643870617e-07
1739290439.4596763,621916160,9.387808859173674e-07
1739290533.4459982,624129024,6.196210620146303e-07
1739290627.5864933,626340864,1.8324907102851284e-07
1739290721.848732,628537344,2.0641373055241274e-07
1739290816.269569,630755328,8.72858095135598e-07
1739290910.8619945,632970240,2.0393341060298553e-07
1739291005.6479304,635193344,3.6865938568553247e-07
1739291100.5385516,637416448,4.3960378093288455e-07
1739291195.5319383,639656960,5.799359996672138e-07
1739291290.6935565,641871872,2.4758190875218133e-07
1739291386.0145245,644094976,9.085670171771199e-07
1739291481.4496763,646317056,9.059048124981928e-07
1739291577.0333273,648558592,6.058282338017307e-07
1739291672.7525887,650823680,5.684295274477336e-07
1739291768.626253,653092864,3.9376362792609143e-07
1739291864.6388214,655354880,4.3643686353789235e-07
1739291960.8222935,657617920,3.067022475988779e-07
1739292057.1459737,659899392,3.7808160868735285e-07
1739292153.606573,662154240,1.7373540117660013e-07
1739292250.241601,664440832,5.575276418312569e-07
1739292347.0013473,666720256,9.870816484180978e-07
1739292443.9567502,669008896,6.010018864799349e-07
1739292541.0392892,671310848,4.819141850020969e-07
1739292638.269809,673617920,1.296490495406033e-06
1739292735.6387725,675924992,3.8687846881657606e-07
1739292833.16072,678228992,1.0628107816046395e-07
1739292930.8484514,680549376,3.0853919952278375e-07
1739293028.7367485,682871808,2.4038433821260696e-07
1739293126.6899252,685197312,4.2189071791653987e-07
1739293224.8597238,687513600,8.343850481651316e-07
1739293323.1195972,689852416,2.3958367023624305e-07
1739293421.5418825,692189184,7.552557690360118e-07
1739293520.10837,694534144,3.209204066934035e-07
1739293618.8308654,696889344,3.0526047112289234e-07
1739293717.7432647,699230208,5.689713589163148e-07
1739293816.8728411,701582336,7.912727255643404e-07
1739293916.060104,703943680,4.44596054194335e-07
1739294015.4280205,706300928,2.7717493367163115e-07
1739294114.9340432,708647936,1.8397747680864995e-07
1739294214.5821784,711021568,2.578277644715854e-07
1739294314.3785503,713385984,7.117938025658077e-07
1739294414.3378322,715763712,1.7203905144924647e-06
1739294514.479412,718131200,4.4765670281776693e-07
1739294614.757788,720506880,2.9657357458745537e-07
1739294715.1945186,722883584,4.737402434784599e-07
1739294815.7781727,725270528,3.5709268786376924e-07
1739294916.4849093,727676928,6.359765052366129e-07
1739295017.4022713,730076160,3.5390922903388855e-07
1739295118.4800615,732482560,4.912229201181617e-07
1739295219.6762526,734887936,7.805850259501312e-07
1739295321.032303,737295360,1.4299109807325294e-06
1739295422.5499322,739702784,3.9009799479572393e-07
1739295524.2248292,742112256,9.774949205620942e-08
1739295626.0618794,744526848,9.668676739238435e-07
1739295728.1147408,746951680,7.873684353398858e-07
1739295830.2600732,749396992,1.1709680620697327e-06
1739295932.5599716,751816704,1.6605117707513273e-06
1739296035.0048196,754251776,5.70778752262413e-07
1739296137.6329775,756670464,3.2288045304085244e-07
1739296240.4501479,759107584,7.590979862470704e-07
1739296343.402234,761552896,5.635954494209727e-07
1739296446.5291047,764002304,5.264585070108296e-07
1739296549.77289,766458880,1.8440747453496442e-06
1739296653.1871617,768907264,4.924878567180713e-07
1739296756.776154,771350528,7.842811555747176e-07
1739296860.5046446,773805056,1.4099658756094868e-06
1739296964.3890886,776268800,6.309001037152484e-07
1739297068.4414098,778730496,7.603217682117247e-07
1739297172.6568077,781207552,5.775417548647965e-07
1739297277.0223236,783681536,6.765330908820033e-07
1739297381.5449045,786128896,2.665120746314642e-06
1739297486.2581959,788590592,1.2861378309025895e-06
1739297591.0955992,790925312,9.577353239365038e-07
1739297696.104309,793226240,5.578116315518855e-07
1739297801.296648,795551744,5.359283363759459e-07
1739297906.5877697,797895680,9.524626989332319e-07
1739298012.145586,800249856,4.2128138488806144e-07
1739298117.740089,802599936,7.455383297383378e-07
1739298223.5278316,804924416,2.1169277886201598e-07
