wall_time,step,value
1739282861.8860216,444292096,0.0
1739282944.28463,446222336,1.3619719538837671e-06
1739283026.8383079,448256000,8.072420314420015e-07
1739283109.4924455,450206720,6.312870937108528e-07
1739283192.3334813,452227072,1.2469172361306846e-06
1739283275.2606602,454267904,9.034847607836127e-07
1739283358.3977354,456263680,4.847970558330417e-07
1739283441.5854173,458301440,1.0387011570855975e-06
1739283524.9515615,460250112,2.085609594359994e-06
1739283608.4002194,462234624,7.640592230018228e-07
1739283692.016476,464248832,1.682041329331696e-06
1739283775.741803,466307072,9.578043318470009e-07
1739283859.9133599,468285440,5.530964699573815e-07
1739283943.8950505,470339584,9.975356078939512e-07
1739284029.4532452,472397824,8.49788193590939e-07
1739284113.7121418,474471424,8.116476237773895e-07
1739284199.8107736,476495872,1.3746430340688676e-06
1739284284.3312328,478490624,5.778974809800275e-07
1739284370.5624185,480437248,4.276225809007883e-07
1739284455.324652,482361344,5.084420990897343e-07
1739284541.0273032,484235264,5.814436008222401e-07
1739284626.1041334,486213632,8.565475582145154e-07
1739284711.8264642,488160256,6.798800313845277e-07
1739284797.1127923,490144768,6.367208698065951e-07
1739284882.717731,492054528,1.2628734111785889e-06
1739284968.3054311,494066688,4.1984094423241913e-07
1739285053.9786823,496022528,1.1520314728841186e-06
1739285139.7431977,498049024,3.8772509469708893e-07
1739285225.6765077,500030464,1.996759237954393e-07
1739285311.7515428,502067200,5.110050551593304e-07
1739285397.9168034,504055808,7.592097972519696e-07
1739285484.2188654,506082304,6.855234460090287e-07
1739285570.6514516,508067840,4.781322786584496e-07
1739285657.2324843,510097408,6.160626071505249e-07
1739285744.0444179,512087040,7.087146514095366e-07
1739285830.9380612,514136064,7.001872290857136e-07
1739285917.9199755,516119552,1.148597220890224e-06
1739286005.012951,518132736,9.761861292645335e-07
1739286092.2319543,520162304,4.570902092382312e-07
1739286179.5796406,522171392,1.3501557987183332e-06
1739286267.059749,524170240,7.292328518815339e-07
1739286354.6881976,526202880,2.5007466319948435e-07
1739286442.4240456,528226304,8.595079634687863e-07
1739286530.2897062,530271232,1.0826115612871945e-06
1739286618.305034,532340736,6.287009455263615e-07
1739286706.445832,534391808,8.152273949235678e-07
1739286794.785779,536460288,4.103640094399452e-07
1739286883.22965,538535936,8.940987754613161e-07
1739286971.8206441,540605440,1.0672229109331965e-06
1739287060.5177495,542687232,6.895061233080924e-07
1739287149.362664,544757760,7.549388101324439e-07
1739287238.3160644,546816000,1.0334629223507363e-06
1739287327.4518929,548886528,1.198435711557977e-06
1739287416.669852,550989824,1.2743694242089987e-06
1739287506.054086,553083904,9.592913556843996e-07
1739287595.5726418,555171840,8.797333066468127e-07
1739287685.2301917,557270016,1.0652875062078238e-06
1739287775.024259,559373312,9.515824785921723e-07
1739287864.9269593,561463296,8.714705472812057e-07
1739287954.9710186,563565568,5.398615030571818e-07
1739288045.1886744,565684224,5.797555786557496e-07
1739288135.5259295,567803904,5.856995812791865e-07
1739288226.0187485,569921536,1.3125536497682333e-06
1739288316.6489313,572046336,8.912320481613278e-07
1739288407.381863,574171136,1.4101678971201181e-06
1739288498.2768955,576306176,3.571606157493079e-07
1739288589.3076065,578429952,1.7257730178243946e-06
1739288680.4772713,580570112,1.1179945431649685e-06
1739288771.8483095,582720512,1.202308339998126e-06
1739288863.3079898,584865792,1.9541039364412427e-06
1739288954.8641806,587009024,9.707582648843527e-07
1739289046.5784302,589159424,1.117223291657865e-06
1739289138.4629064,591315968,1.31172600958962e-06
1739289230.4461377,593487872,1.1860674931085669e-06
1739289322.5633323,595659776,4.57162968814373e-07
1739289414.8422592,597827584,1.35526352096349e-06
1739289507.2479987,600005632,6.809505066485144e-07
1739289599.8054852,602191872,1.8499451925890753e-06
1739289692.5427554,604382208,1.2181235433672555e-06
1739289785.3701124,606568448,6.516302164527588e-07
1739289878.3788323,608756736,7.215750201794435e-07
1739289971.5683033,610932736,1.1107331374660134e-06
1739290064.902172,613129216,1.189155227621086e-06
1739290158.3244462,615321600,8.543293006368913e-07
1739290251.8988116,617527296,2.319648046977818e-06
1739290345.5913777,619707392,1.2829841580241919e-06
1739290439.4596856,621916160,2.322980435565114e-06
1739290533.4462886,624129024,1.307897036895156e-06
1739290627.5869396,626340864,7.470589480362833e-07
1739290721.8487394,628537344,3.894820110872388e-07
1739290816.269807,630755328,2.2015010472387075e-06
1739290910.862098,632970240,4.709872882813215e-07
1739291005.6481247,635193344,1.1834781616926193e-06
1739291100.5385768,637416448,9.150426194537431e-07
1739291195.5319505,639656960,1.0506937542231753e-06
1739291290.6935751,641871872,8.00162524683401e-07
1739291386.014661,644094976,1.7941929399967194e-06
1739291481.4496827,646317056,2.709690306801349e-06
1739291577.0334325,648558592,1.5766345313750207e-06
