wall_time,step,value
1739282861.8833866,444292096,8.940696716308594e-08
1739282944.2827816,446222336,6.777793169021606e-05
1739283026.8359406,448256000,1.887977123260498e-05
1739283109.4900641,450206720,-3.3661723136901855e-05
1739283192.3313363,452227072,5.0611793994903564e-05
1739283275.258879,454267904,-3.643333911895752e-05
1739283358.396284,456263680,-7.096678018569946e-06
1739283441.5824625,458301440,-1.5323981642723083e-05
1739283524.9495583,460250112,1.5337951481342316e-05
1739283608.3990152,462234624,-1.4066696166992188e-05
1739283692.0145955,464248832,6.131455302238464e-05
1739283775.7393177,466307072,-5.148351192474365e-05
1739283859.9118373,468285440,3.5688281059265137e-06
1739283943.891933,470339584,3.4246593713760376e-05
1739284029.4513915,472397824,-3.865361213684082e-05
1739284113.7107036,474471424,-1.807045191526413e-05
1739284199.8078496,476495872,1.4543533325195312e-05
1739284284.328312,478490624,-1.5132129192352295e-05
1739284370.5601196,480437248,-4.740431904792786e-06
1739284455.3214698,482361344,-8.046627044677734e-06
1739284541.0245907,484235264,-1.1420808732509613e-05
1739284626.1024683,486213632,4.618614912033081e-05
1739284711.8242805,488160256,9.397044777870178e-06
1739284797.1106844,490144768,-2.637505531311035e-06
1739284882.7162497,492054528,-6.752926856279373e-05
1739284968.3037028,494066688,-2.592802047729492e-06
1739285053.9770527,496022528,5.541369318962097e-06
1739285139.7405562,498049024,-1.5683472156524658e-05
1739285225.6746225,500030464,1.2388452887535095e-05
1739285311.749791,502067200,-4.9330294132232666e-05
1739285397.914074,504055808,5.001574754714966e-05
1739285484.2168436,506082304,1.882016658782959e-05
1739285570.6500678,508067840,1.5623867511749268e-05
1739285657.2309928,510097408,8.717179298400879e-06
1739285744.04201,512087040,-2.6095658540725708e-05
1739285830.9356582,514136064,-1.780688762664795e-06
1739285917.918321,516119552,2.047233283519745e-05
1739286005.0111353,518132736,-1.2540258467197418e-05
1739286092.2282393,520162304,-1.1294148862361908e-05
1739286179.57769,522171392,5.6053511798381805e-05
1739286267.0553124,524170240,7.539987564086914e-06
1739286354.6842022,526202880,3.1348317861557007e-06
1739286442.4214883,528226304,-5.941838026046753e-06
1739286530.2873018,530271232,8.322298526763916e-06
1739286618.3016276,532340736,1.1557713150978088e-05
1739286706.4434102,534391808,-1.8423888832330704e-05
1739286794.7829766,536460288,-4.3548643589019775e-06
1739286883.2272272,538535936,-4.261918365955353e-05
1739286971.8181658,540605440,-5.280598998069763e-07
1739287060.5161705,542687232,2.221018075942993e-05
1739287149.3610442,544757760,-2.5721266865730286e-05
1739287238.313281,546816000,-9.909272193908691e-06
1739287327.4501684,548886528,-5.017127841711044e-05
1739287416.6682394,550989824,7.875263690948486e-06
1739287506.0522053,553083904,-4.0978193283081055e-06
1739287595.5706055,555171840,-3.091990947723389e-05
1739287685.2280536,557270016,2.6132911443710327e-06
1739287775.021405,559373312,3.0055642127990723e-05
1739287864.9243753,561463296,-2.4609267711639404e-05
1739287954.9673738,563565568,2.8342008590698242e-05
1739288045.1854675,565684224,2.7128495275974274e-05
1739288135.523245,567803904,2.9161572456359863e-05
1739288226.0165188,569921536,3.241002559661865e-05
1739288316.6468124,572046336,5.621463060379028e-06
1739288407.3799214,574171136,-3.0606985092163086e-05
1739288498.2720802,576306176,2.6971101760864258e-05
1739288589.3060427,578429952,-6.51329755783081e-05
1739288680.4755547,580570112,6.338581442832947e-06
1739288771.8457844,582720512,1.6056932508945465e-05
1739288863.3046088,584865792,-2.1420419216156006e-07
1739288954.861433,587009024,-4.120171070098877e-06
1739289046.5762322,589159424,4.139542579650879e-05
1739289138.4602103,591315968,-2.150610089302063e-05
1739289230.443235,593487872,-5.4895877838134766e-05
1739289322.561949,595659776,-1.2760516256093979e-05
1739289414.8378382,597827584,-2.086162567138672e-06
1739289507.2459629,600005632,3.721565008163452e-05
1739289599.803026,602191872,4.377216100692749e-05
1739289692.5404115,604382208,2.1755695343017578e-05
1739289785.368611,606568448,-4.283338785171509e-05
1739289878.3758774,608756736,2.060830593109131e-05
1739289971.566678,610932736,-2.037733793258667e-05
1739290064.8998206,613129216,4.474818706512451e-05
