wall_time,step,value
1739282861.8824487,444292096,1.0
1739282944.2819912,446222336,1.0
1739283026.8351357,448256000,1.0
1739283109.4892368,450206720,1.0
1739283192.3308284,452227072,1.0
1739283275.257657,454267904,1.0
1739283358.3953326,456263680,1.0
1739283441.5820208,458301440,1.0
1739283524.9483411,460250112,1.0
1739283608.3978767,462234624,1.0
1739283692.0140014,464248832,1.0
1739283775.738605,466307072,1.0
1739283859.9110925,468285440,1.0
1739283943.891459,470339584,1.0
1739284029.4504294,472397824,1.0
1739284113.7102993,474471424,1.0
1739284199.8071415,476495872,1.0
1739284284.3277698,478490624,1.0
1739284370.5595262,480437248,1.0
1739284455.320641,482361344,1.0
1739284541.0242448,484235264,1.0
1739284626.1010642,486213632,1.0
1739284711.8235292,488160256,1.0
1739284797.1097822,490144768,1.0
1739284882.7152483,492054528,1.0
1739284968.3027813,494066688,1.0
1739285053.9763172,496022528,1.0
1739285139.7398975,498049024,1.0
1739285225.6736927,500030464,1.0
1739285311.7492414,502067200,1.0
1739285397.9131098,504055808,1.0
1739285484.2164547,506082304,1.0
1739285570.6489787,508067840,1.0
1739285657.230415,510097408,1.0
1739285744.041264,512087040,1.0
1739285830.9350364,514136064,1.0
1739285917.9172714,516119552,1.0
1739286005.0105777,518132736,1.0
1739286092.2275617,520162304,1.0
1739286179.5770926,522171392,1.0
1739286267.054747,524170240,1.0
1739286354.6834445,526202880,1.0
1739286442.4209278,528226304,1.0
1739286530.2865832,530271232,1.0
1739286618.3010168,532340736,1.0
1739286706.4428067,534391808,1.0
1739286794.7819474,536460288,1.0
1739286883.2265627,538535936,1.0
1739286971.8176517,540605440,1.0
1739287060.5152617,542687232,1.0
1739287149.360256,544757760,1.0
1739287238.3126588,546816000,1.0
1739287327.4489949,548886528,1.0
1739287416.6677048,550989824,1.0
1739287506.0516322,553083904,1.0
1739287595.5696611,555171840,1.0
1739287685.227531,557270016,1.0
1739287775.0207953,559373312,1.0
1739287864.9234598,561463296,1.0
1739287954.966664,563565568,1.0
1739288045.1847255,565684224,1.0
1739288135.5228784,567803904,1.0
1739288226.0155969,569921536,1.0
1739288316.6457937,572046336,1.0
1739288407.3794615,574171136,1.0
1739288498.2712119,576306176,1.0
1739288589.3052707,578429952,1.0
1739288680.4747336,580570112,1.0
1739288771.845162,582720512,1.0
1739288863.304017,584865792,1.0
1739288954.8606684,587009024,1.0
1739289046.5755634,589159424,1.0
1739289138.4594293,591315968,1.0
1739289230.442608,593487872,1.0
1739289322.5612705,595659776,1.0
