wall_time,step,value
1739282861.8872497,444292096,0.0
1739282944.2851694,446222336,19.0
1739283026.839977,448256000,18.0
1739283109.49406,450206720,18.0
1739283192.3352942,452227072,18.0
1739283275.2619946,454267904,19.0
1739283358.3983521,456263680,18.0
1739283441.5865595,458301440,20.0
1739283524.9525647,460250112,18.0
1739283608.4008002,462234624,19.0
1739283692.0182667,464248832,19.0
1739283775.7430809,466307072,20.0
1739283859.9146862,468285440,19.0
1739283943.8967493,470339584,19.0
1739284029.4539607,472397824,18.0
1739284113.7133427,474471424,19.0
1739284199.813878,476495872,19.0
1739284284.3318686,478490624,20.0
1739284370.5638676,480437248,19.0
1739284455.326685,482361344,19.0
1739284541.027955,484235264,19.0
1739284626.1048353,486213632,18.0
1739284711.827762,488160256,20.0
1739284797.1144829,490144768,19.0
1739284882.7189755,492054528,18.0
1739284968.3062289,494066688,18.0
1739285053.9811292,496022528,18.0
1739285139.743899,498049024,18.0
1739285225.6797695,500030464,18.0
1739285311.7522998,502067200,18.0
1739285397.9178598,504055808,20.0
1739285484.2203236,506082304,19.0
1739285570.6535208,508067840,19.0
1739285657.2337792,510097408,18.0
1739285744.0462003,512087040,18.0
1739285830.9385495,514136064,18.0
1739285917.921036,516119552,19.0
1739286005.013798,518132736,18.0
1739286092.2330322,520162304,18.0
1739286179.5806427,522171392,18.0
1739286267.0626976,524170240,19.0
1739286354.690205,526202880,19.0
1739286442.4253612,528226304,19.0
1739286530.2918975,530271232,19.0
1739286618.3060453,532340736,18.0
1739286706.4468467,534391808,20.0
1739286794.7866957,536460288,18.0
1739286883.2311711,538535936,18.0
1739286971.8218384,540605440,18.0
1739287060.5195746,542687232,18.0
1739287149.3640184,544757760,18.0
1739287238.316878,546816000,19.0
1739287327.4529457,548886528,18.0
1739287416.6713767,550989824,18.0
1739287506.0580606,553083904,19.0
1739287595.5732217,555171840,18.0
1739287685.23182,557270016,19.0
1739287775.0253456,559373312,19.0
1739287864.9276466,561463296,20.0
1739287954.9731789,563565568,19.0
1739288045.189853,565684224,18.0
1739288135.5263565,567803904,19.0
1739288226.0203135,569921536,18.0
1739288316.6504798,572046336,18.0
1739288407.3830569,574171136,19.0
1739288498.27781,576306176,18.0
1739288589.308926,578429952,21.0
1739288680.479489,580570112,18.0
1739288771.8490841,582720512,19.0
1739288863.3102071,584865792,18.0
1739288954.865289,587009024,19.0
1739289046.5802007,589159424,19.0
1739289138.4640162,591315968,18.0
1739289230.4469225,593487872,18.0
1739289322.564617,595659776,19.0
1739289414.8431957,597827584,19.0
1739289507.2487183,600005632,18.0
1739289599.8063107,602191872,19.0
1739289692.5436566,604382208,18.0
1739289785.3718033,606568448,18.0
1739289878.380226,608756736,18.0
1739289971.569231,610932736,19.0
1739290064.9042552,613129216,18.0
1739290158.3258564,615321600,19.0
1739290251.9002743,617527296,19.0
1739290345.5929854,619707392,18.0
1739290439.461382,621916160,19.0
1739290533.447901,624129024,19.0
1739290627.5875854,626340864,18.0
1739290721.8496208,628537344,18.0
1739290816.2712102,630755328,19.0
1739290910.8637168,632970240,19.0
1739291005.6505442,635193344,18.0
1739291100.5404124,637416448,18.0
1739291195.5328739,639656960,18.0
1739291290.6955745,641871872,19.0
1739291386.0167363,644094976,18.0
1739291481.4507399,646317056,20.0
1739291577.035199,648558592,19.0
1739291672.7542593,650823680,18.0
1739291768.6271412,653092864,19.0
1739291864.639444,655354880,18.0
1739291960.8242636,657617920,18.0
1739292057.1472366,659899392,19.0
1739292153.6084616,662154240,18.0
1739292250.2425056,664440832,18.0
1739292347.0027046,666720256,19.0
1739292443.9588225,669008896,18.0
1739292541.0405934,671310848,18.0
1739292638.2717133,673617920,20.0
1739292735.639962,675924992,19.0
1739292833.1616836,678228992,18.0
1739292930.8496885,680549376,19.0
1739293028.7381198,682871808,18.0
1739293126.6931586,685197312,18.0
1739293224.8614285,687513600,20.0
1739293323.1212387,689852416,19.0
1739293421.5436206,692189184,20.0
1739293520.1095357,694534144,18.0
1739293618.831951,696889344,21.0
1739293717.7443712,699230208,18.0
1739293816.8744967,701582336,18.0
1739293916.0613441,703943680,18.0
1739294015.4296246,706300928,19.0
1739294114.9353259,708647936,18.0
1739294214.584386,711021568,19.0
1739294314.3803744,713385984,19.0
1739294414.3389978,715763712,18.0
1739294514.480859,718131200,18.0
1739294614.7598238,720506880,19.0
1739294715.195642,722883584,18.0
1739294815.7805026,725270528,18.0
1739294916.4862459,727676928,19.0
1739295017.4033895,730076160,19.0
1739295118.481515,732482560,18.0
1739295219.6778836,734887936,19.0
1739295321.0344653,737295360,19.0
1739295422.5523126,739702784,20.0
1739295524.226272,742112256,18.0
1739295626.0629506,744526848,19.0
1739295728.1165848,746951680,18.0
1739295830.26176,749396992,19.0
1739295932.561783,751816704,20.0
1739296035.0059419,754251776,19.0
1739296137.6341946,756670464,19.0
1739296240.450977,759107584,18.0
1739296343.4041116,761552896,18.0
1739296446.5303948,764002304,18.0
1739296549.774441,766458880,19.0
1739296653.1886473,768907264,18.0
1739296756.777337,771350528,19.0
1739296860.5063179,773805056,18.0
1739296964.3904488,776268800,18.0
1739297068.4418905,778730496,19.0
1739297172.658462,781207552,18.0
1739297277.0236332,783681536,18.0
1739297381.5464184,786128896,21.0
1739297486.259709,788590592,20.0
1739297591.0976427,790925312,18.0
1739297696.1057723,793226240,20.0
1739297801.2981617,795551744,18.0
1739297906.5893176,797895680,18.0
1739298012.1469595,800249856,18.0
1739298117.7413328,802599936,22.0
1739298223.52921,804924416,18.0
1739298329.436548,807260160,18.0
1739298435.5064042,809671680,19.0
1739298541.7351794,812103680,20.0
1739298648.104452,814553088,20.0
1739298754.6643238,817026048,19.0
1739298861.3854928,819501056,19.0
1739298968.2385662,821967872,18.0
1739299075.2927165,824377344,19.0
1739299182.4797378,826812416,18.0
1739299289.829866,829197312,18.0
1739299397.3110557,831611904,18.0
1739299504.977058,834023424,18.0
1739299612.8150568,836473856,18.0
1739299720.7828276,838934528,19.0
1739299828.9162931,841417728,18.0
1739299937.2074769,843920384,18.0
1739300045.6516554,846408704,18.0
1739300154.2758267,848914432,19.0
1739300263.0543034,851411968,20.0
1739300372.0036106,853921792,19.0
1739300481.105834,856450048,18.0
1739300590.403045,858964992,21.0
1739300699.8435133,861484032,18.0
1739300809.4783485,864016384,19.0
1739300919.2619267,866553856,19.0
1739301029.208981,869036032,20.0
1739301139.3404152,871512064,19.0
1739301249.5975125,874028032,19.0
1739301360.0248146,876577792,21.0
1739301470.6655133,879101952,18.0
1739301581.4403527,881660928,19.0
1739301692.371459,884206592,19.0
1739301803.4853873,886759424,18.0
1739301914.7765083,889331712,19.0
1739302026.1982265,891884544,19.0
1739302137.7826068,894437376,18.0
