wall_time,step,value
1658339022.3210576,450560,9751.0146484375
1658339082.3210263,1067008,10263.7158203125
1658339142.3247697,1682432,10268.1240234375
1658339202.3311255,2300928,10282.8935546875
1658339262.3228645,2916352,10277.4833984375
1658339322.3224287,3531776,10250.3974609375
1658339382.3226683,4148224,10265.7197265625
1658339442.3232887,4763648,10283.814453125
1658339502.3247094,5382144,10313.3046875
1658339562.3224478,5999616,10300.990234375
1658339622.3218887,6617088,10286.212890625
1658339682.3264673,7233536,10307.236328125
1658339742.3228517,7851008,10277.630859375
1658339802.3265774,8467456,10283.2373046875
1658339862.322177,9085952,10282.455078125
1658339922.3215425,9702400,10294.6142578125
1658339982.3217824,10318848,10277.453125
1658340042.3211994,10934272,10257.7890625
1658340102.3227098,11551744,10274.6572265625
1658340162.3227592,12167168,10279.9482421875
1658340222.32524,12786688,10308.6474609375
1658340282.3232548,13403136,10289.990234375
1658340342.3234556,14020608,10289.576171875
1658340402.3221524,14639104,10313.4169921875
1658340462.3226364,15255552,10274.7802734375
1658340522.32234,15874048,10292.15625
1658340582.3268807,16491520,10299.7978515625
1658340642.3317308,17108992,10277.3056640625
1658340702.3240476,17727488,10298.037109375
1658340762.3222876,18343936,10275.9501953125
1658340822.3243296,18959360,10276.6064453125
1658340882.3227513,19576832,10269.55078125
1658340942.3227844,20193280,10290.65625
1658341002.322797,20810752,10282.2548828125
1658341062.3227913,21427200,10289.2333984375
1658341122.3221483,22045696,10277.1025390625
1658341182.3216827,22661120,10280.2607421875
1658341242.3268864,23277568,10276.927734375
1658341302.322297,23895040,10284.14453125
1658341362.3317704,24512512,10286.564453125
1658341422.3233287,25128960,10285.078125
1658341482.3255439,25746432,10291.9140625
1658341542.3228288,26363904,10274.921875
1658341602.3222632,26980352,10298.3037109375
1658341662.3243363,27596800,10275.9443359375
1658341722.3266084,28213248,10271.818359375
1658341782.3226256,28829696,10282.583984375
1658341842.322523,29447168,10291.873046875
1658341902.3228345,30065664,10305.326171875
1658341962.3212206,30681088,10279.94140625
1658342022.3248072,31297536,10270.5126953125
1658342082.3225422,31916032,10311.6455078125
1658342142.32191,32533504,10286.2109375
1658342202.3261886,33149952,10294.9296875
1658342262.3210418,33766400,10251.708984375
1658342322.3228521,34381824,10290.396484375
1658342382.3225029,34999296,10280.4423828125
1658342442.321982,35618816,10298.9755859375
1658342502.3247313,36235264,10292.810546875
1658342562.3224845,36851712,10280.443359375
1658342622.3226123,37468160,10286.787109375
1658342682.3231695,38086656,10297.28515625
1658342742.3225665,38702080,10256.6962890625
1658342802.3273022,39318528,10279.7294921875
1658342862.3225887,39934976,10270.0380859375
1658342922.326617,40551424,10274.8837890625
1658342982.3262618,41168896,10289.5322265625
1658343042.325292,41785344,10283.1201171875
1658343102.3244905,42400768,10273.7626953125
1658343162.3302624,43017216,10283.154296875
1658343222.3216338,43636736,10288.3525390625
1658343282.3243465,44252160,10271.66015625
1658343342.3266115,44869632,10288.201171875
1658343402.324224,45486080,10272.126953125
1658343462.3237262,46102528,10300.51953125
1658343522.3268805,46717952,10280.837890625
1658343582.322644,47336448,10300.02734375
1658343642.3227124,47954944,10285.865234375
1658343702.3239295,48570368,10276.625
1658343762.3229382,49188864,10275.7734375
1658343822.327445,49801216,10268.6181640625
1658343882.3292184,50418688,10270.4130859375
1658343942.3255045,51036160,10266.9541015625
1658344002.3313487,51651584,10280.24609375
1658344062.3247387,52269056,10267.546875
1658344122.3253632,52884480,10283.5439453125
1658344182.3283103,53502976,10281.88671875
1658344242.325145,54118400,10281.0595703125
1658344302.32117,54734848,10264.4873046875
1658344362.3223064,55352320,10273.1650390625
1658344422.3216164,55968768,10272.125
1658344482.3225865,56583168,10274.44921875
1658344542.3216217,57201664,10269.330078125
1658344602.324281,57818112,10275.5927734375
1658344662.321884,58433536,10281.232421875
