wall_time,step,value
1658339022.323595,450560,0.0
1658339082.3238728,1067008,0.0
1658339142.3270822,1682432,0.0
1658339202.332062,2300928,0.0
1658339262.3279812,2916352,0.0
1658339322.3251743,3531776,0.0
1658339382.325082,4148224,0.0
1658339442.3252904,4763648,0.0
1658339502.3295605,5382144,0.0
1658339562.3243773,5999616,0.0
1658339622.323237,6617088,0.0
1658339682.3287365,7233536,0.0
1658339742.3266437,7851008,0.0
1658339802.3287828,8467456,0.0
1658339862.323401,9085952,0.0
1658339922.3279412,9702400,0.0
1658339982.3243792,10318848,0.0
1658340042.3289788,10934272,0.0
1658340102.3240964,11551744,0.0
1658340162.32733,12167168,0.0
1658340222.3357015,12786688,0.0
1658340282.326599,13403136,0.0
1658340342.3256578,14020608,0.0
1658340402.3280869,14639104,0.0
1658340462.3276732,15255552,0.0
1658340522.3237221,15874048,0.0
1658340582.3301923,16491520,0.0
1658340642.3340929,17108992,0.0
1658340702.3261888,17727488,0.0
1658340762.3248146,18343936,0.0
1658340822.3306751,18959360,0.0
1658340882.3245986,19576832,0.0
1658340942.3249843,20193280,0.0
1658341002.3249524,20810752,0.0
1658341062.3249466,21427200,0.0
1658341122.3236985,22045696,0.0
1658341182.3271527,22661120,0.0
1658341242.3291175,23277568,0.0
1658341302.3244414,23895040,0.0
1658341362.3331747,24512512,0.0
1658341422.3265796,25128960,0.0
1658341482.327826,25746432,0.0
1658341542.325023,26363904,0.0
1658341602.3247206,26980352,0.0
1658341662.3267279,27596800,0.0
1658341722.3281412,28213248,0.0
1658341782.3249812,28829696,0.0
1658341842.3237796,29447168,0.0
1658341902.3248155,30065664,0.0
1658341962.3257008,30681088,0.0
1658342022.3268256,31297536,0.0
1658342082.3245373,31916032,0.0
1658342142.3240469,32533504,0.0
1658342202.3282826,33149952,0.0
1658342262.3225474,33766400,0.0
1658342322.32479,34381824,0.0
1658342382.3247123,34999296,0.0
1658342442.3249393,35618816,0.0
1658342502.3265657,36235264,0.0
1658342562.3245378,36851712,0.0
1658342622.3274705,37468160,0.0
1658342682.3243296,38086656,0.0
1658342742.324374,38702080,0.0
1658342802.33054,39318528,0.0
1658342862.3245592,39934976,0.0
1658342922.328165,40551424,0.0
1658342982.3287385,41168896,0.0
1658343042.3272724,41785344,0.0
1658343102.3265085,42400768,0.0
1658343162.3323984,43017216,0.0
1658343222.3272164,43636736,0.0
1658343282.328605,44252160,0.0
1658343342.328948,44869632,0.0
1658343402.3269198,45486080,0.0
1658343462.3250275,46102528,0.0
1658343522.3280978,46717952,0.0
1658343582.324783,47336448,0.0
1658343642.3235028,47954944,0.0
1658343702.325146,48570368,0.0
1658343762.3247669,49188864,0.0
1658343822.329552,49801216,0.0
1658343882.3307223,50418688,0.0
1658343942.32787,51036160,0.0
1658344002.3326602,51651584,0.0
1658344062.326802,52269056,0.0
1658344122.3306797,52884480,0.0
1658344182.3305147,53502976,0.0
1658344242.3263097,54118400,0.0
1658344302.3254764,54734848,0.0
1658344362.3231966,55352320,0.0
1658344422.3246567,55968768,0.0
1658344482.330003,56583168,0.0
1658344542.33466,57201664,0.0
1658344602.3303711,57818112,0.0
1658344662.326692,58433536,0.0
1658344722.327719,59051008,0.0
1658344782.3245811,59669504,0.0
1658344842.3251843,60284928,0.0
1658344902.325498,60901376,0.0
1658344962.3315327,61520896,0.0
1658345022.3249097,62135296,0.0
1658345082.3247862,62752768,0.0
1658345142.3265727,63369216,0.0
1658345202.3245988,63985664,0.0
1658345262.3248365,64604160,0.0
1658345322.3253965,65220608,0.0
1658345382.3244588,65839104,0.0
1658345442.3244925,66454528,0.0
1658345502.3290532,67073024,0.0
1658345562.3238168,67688448,0.0
1658345622.3321664,68305920,0.0
1658345682.323902,68923392,0.0
1658345742.32555,69539840,0.0
1658345802.3320897,70157312,0.0
1658345862.331053,70773760,0.0
1658345922.3240738,71391232,0.0
1658345982.3266826,72009728,0.0
1658346042.3251107,72626176,0.0
1658346102.3248465,73243648,0.0
1658346162.324012,73861120,0.0
1658346222.3279042,74477568,0.0
1658346282.3325522,75094016,0.0
1658346342.324995,75710464,0.0
1658346402.3291392,76326912,0.0
1658346462.3243074,76943360,0.0
1658346522.3306587,77560832,0.0
1658346582.32694,78178304,0.0
1658346642.3289857,78794752,0.0
1658346702.3302772,79411200,0.0
1658346762.324026,80027648,0.0
1658346822.3239312,80645120,0.0
1658346882.3248518,81258496,0.0
1658346942.3289878,81878016,0.0
1658347002.3294902,82494464,0.0
1658347062.3321178,83110912,0.0
1658347122.3253987,83727360,0.0
1658347182.3240857,84342784,0.0
1658347242.324088,84961280,0.0
1658347302.3239307,85577728,0.0
1658347362.3232548,86195200,0.0
1658347422.326511,86811648,0.0
1658347482.3288803,87429120,0.0
1658347542.3241558,88044544,0.0
1658347602.3251424,88659968,0.0
1658347662.3254213,89278464,0.0
1658347722.3242023,89896960,0.0
1658347782.3279316,90511360,0.0
1658347842.3253462,91130880,0.0
1658347902.3239622,91746304,0.0
1658347962.3253305,92362752,0.0
1658348022.3251383,92980224,0.0
1658348082.3233192,93594624,0.0
1658348142.3326228,94212096,0.0
1658348202.3317964,94827520,0.0
1658348262.326482,95440896,0.0
1658348322.3352888,96056320,0.0
1658348382.3240733,96673792,0.0
1658348442.3311527,97288192,0.0
1658348502.3314333,97903616,0.0
1658348562.3246999,98520064,0.0
1658348622.330293,99136512,0.0
1658348682.3251681,99751936,0.0
1658348742.3305662,100368384,0.0
1658348802.3356252,100982784,0.0
1658348862.3297782,101601280,0.0
1658348922.32907,102215680,0.0
1658348982.3258142,102832128,0.0
1658349042.3240464,103447552,0.0
1658349102.3285937,104065024,0.0
1658349162.3256826,104681472,0.0
1658349222.3248107,105297920,0.0
1658349282.326422,105913344,0.0
1658349342.3241086,106529792,0.0
1658349402.3292997,107145216,0.0
1658349462.3301942,107762688,0.0
1658349522.3305986,108380160,0.0
1658349582.324852,108995584,0.0
1658349642.323841,109615104,0.0
1658349702.3235574,110230528,0.0
1658349762.333264,110845952,0.0
1658349822.3306737,111463424,0.0
1658349882.3236914,112079872,0.0
1658349942.328123,112696320,0.0
1658350002.3256135,113312768,0.0
1658350062.324763,113929216,0.0
1658350122.3270361,114546688,0.0
1658350182.3249118,115160064,0.0
1658350242.325006,115774464,0.0
1658350302.3297749,116388864,0.0
1658350362.325015,117003264,0.0
1658350422.3244934,117614592,0.0
1658350482.3247793,118226944,0.0
1658350542.3284638,118837248,0.0
1658350602.3322542,119447552,0.0
1658350662.3270764,120056832,0.0
1658350722.3250058,120666112,0.0
1658350782.3266394,121274368,0.0
1658350842.3266764,121883648,0.0
1658350902.3317733,122490880,0.0
1658350962.3240921,123100160,0.0
1658351022.324081,123707392,0.0
1658351082.3269656,124316672,0.0
1658351142.3309886,124924928,0.0
1658351202.3306904,125532160,0.0
1658351262.3251219,126141440,0.0
1658351322.326117,126747648,0.0
