wall_time,step,value
1658339142.3448539,1682432,0.0
1658339202.347727,2300928,0.0
1658339262.346864,2916352,0.0
1658339322.3490958,3531776,0.0
1658339382.3402576,4148224,0.0
1658339442.3443265,4763648,0.0
1658339502.356401,5382144,0.0
1658339562.3401186,5999616,0.0
1658339622.3362885,6617088,0.0
1658339682.3384767,7233536,0.0
1658339742.3373773,7851008,0.0
1658339802.3448586,8467456,0.0
1658339862.3503644,9085952,0.0
1658339922.3388867,9702400,0.0
1658339982.35097,10318848,0.0
1658340042.3461483,10934272,0.0
1658340102.3432589,11551744,0.0
1658340162.3587375,12167168,0.0
1658340222.356654,12786688,0.0
1658340282.3490193,13403136,0.0
1658340342.3365374,14020608,0.0
1658340402.3416498,14639104,0.0
1658340462.3428597,15255552,0.0
1658340522.3476255,15874048,0.0
1658340582.3448095,16491520,0.0
1658340642.34968,17108992,0.0
1658340702.3391619,17727488,0.0
1658340762.343897,18343936,0.0
1658340822.3426435,18959360,0.0
1658340882.339756,19576832,0.0
1658340942.3467715,20193280,0.0
1658341002.340317,20810752,0.0
1658341062.33916,21427200,0.0
1658341122.3524964,22045696,0.0
1658341182.3440113,22661120,0.0
1658341242.3467069,23277568,0.0
1658341302.3389192,23895040,0.0
1658341362.3525267,24512512,0.0
1658341422.3387372,25128960,0.0
1658341482.3380656,25746432,0.0
1658341542.3438385,26363904,0.0
1658341602.3436885,26980352,0.0
1658341662.3418956,27596800,0.0
1658341722.3403904,28213248,0.0
1658341782.3364103,28829696,0.0
1658341842.347142,29447168,0.0
1658341902.339576,30065664,0.0
1658341962.3382502,30681088,0.0
1658342022.3441117,31297536,0.0
1658342082.3407304,31916032,0.0
1658342142.3490353,32533504,0.0
1658342202.3450518,33149952,0.0
1658342262.3418741,33766400,0.0
1658342322.3393314,34381824,0.0
1658342382.3344502,34999296,0.0
1658342442.3364816,35618816,0.0
1658342502.3412542,36235264,0.0
1658342562.3408382,36851712,0.0
1658342622.3509946,37468160,0.0
1658342682.3485096,38086656,0.0
1658342742.3392708,38702080,0.0
1658342802.3447192,39318528,0.0
1658342862.346584,39934976,0.0
1658342922.34449,40551424,0.0
1658342982.3407214,41168896,0.0
1658343042.3435917,41785344,0.0
1658343102.3427966,42400768,0.0
1658343162.3502362,43017216,0.0
1658343222.343624,43636736,0.0
1658343282.3411782,44252160,0.0
1658343342.3395643,44869632,0.0
1658343402.3426828,45486080,0.0
1658343462.3429122,46102528,0.0
1658343522.3429842,46717952,0.0
1658343582.340783,47336448,0.0
1658343642.3386087,47954944,0.0
1658343702.339855,48570368,0.0
1658343762.3370543,49188864,0.0
1658343822.3440647,49801216,0.0
1658343882.3440468,50418688,0.0
1658343942.342585,51036160,0.0
1658344002.3615856,51651584,0.0
1658344062.339486,52269056,0.0
1658344122.3416016,52884480,0.0
1658344182.3443952,53502976,0.0
1658344242.3458562,54118400,0.0
1658344302.3387353,54734848,0.0
1658344362.3404822,55352320,0.0
1658344422.3458436,55968768,0.0
1658344482.3426008,56583168,0.0
1658344542.3517199,57201664,0.0
1658344602.343376,57818112,0.0
1658344662.3426726,58433536,0.0
1658344722.338823,59051008,0.0
1658344782.3370166,59669504,0.0
1658344842.3390324,60284928,0.0
1658344902.3393903,60901376,0.0
1658344962.3479412,61520896,0.0
1658345022.3375468,62135296,0.0
1658345082.338931,62752768,0.0
1658345142.3434956,63369216,0.0
1658345202.3466146,63985664,0.0
1658345262.3411129,64604160,0.0
1658345322.347024,65220608,0.0
1658345382.345035,65839104,0.0
1658345442.3343058,66454528,0.0
1658345502.3443592,67073024,0.0
1658345562.3386836,67688448,0.0
1658345622.3476777,68305920,0.0
1658345682.3401303,68923392,0.0
1658345742.3391461,69539840,0.0
1658345802.3517613,70157312,0.0
1658345862.3443792,70773760,0.0
1658345922.3416026,71391232,0.0
1658345982.3375893,72009728,0.0
1658346042.3422818,72626176,0.0
1658346102.3482063,73243648,0.0
1658346162.3420475,73861120,0.0
1658346222.3474727,74477568,0.0
1658346282.3439758,75094016,0.0
1658346342.3367627,75710464,0.0
1658346402.3394628,76326912,0.0
1658346462.34251,76943360,0.0
1658346522.3508961,77560832,0.0
1658346582.3465116,78178304,0.0
1658346642.349106,78794752,0.0
1658346702.3418467,79411200,0.0
1658346762.3417206,80027648,0.0
1658346822.3462825,80645120,0.0
1658346882.33734,81258496,0.0
1658346942.3477783,81878016,0.0
1658347002.3413827,82494464,0.0
1658347062.354128,83110912,0.0
1658347122.3390234,83727360,0.0
1658347182.353879,84342784,0.0
1658347242.3417287,84961280,0.0
1658347302.3402798,85577728,0.0
1658347362.348083,86195200,0.0
1658347422.3457348,86811648,0.0
1658347482.3427367,87429120,0.0
1658347542.341111,88044544,0.0
1658347602.3357077,88659968,0.0
1658347662.3360798,89278464,0.0
1658347722.3378165,89896960,0.0
1658347782.341737,90511360,0.0
1658347842.3626723,91130880,0.0
1658347902.3466907,91746304,0.0
1658347962.3422682,92362752,0.0
1658348022.3388631,92980224,0.0
1658348082.335549,93594624,0.0
1658348142.3481252,94212096,0.0
1658348202.346027,94827520,0.0
1658348262.3348813,95440896,0.0
1658348322.3519719,96056320,0.0
1658348382.341118,96673792,0.0
1658348442.3454735,97288192,0.0
1658348502.3512533,97903616,0.0
1658348562.3407385,98520064,0.0
1658348622.3480284,99136512,0.0
1658348682.344151,99751936,0.0
1658348742.344886,100368384,0.0
1658348802.3546848,100982784,0.0
1658348862.3466978,101601280,0.0
1658348922.3395045,102215680,0.0
1658348982.3385894,102832128,0.0
1658349042.3372452,103447552,0.0
1658349102.341791,104065024,0.0
1658349162.3423722,104681472,0.0
1658349222.337031,105297920,0.0
1658349282.3401735,105913344,0.0
1658349342.3386667,106529792,0.0
1658349402.3446918,107145216,0.0
1658349462.3494482,107762688,0.0
1658349522.3418465,108380160,0.0
1658349582.3372004,108995584,0.0
1658349642.343256,109615104,0.0
1658349702.3403769,110230528,0.0
1658349762.3498652,110845952,0.0
1658349822.343044,111463424,0.0
1658349882.3392208,112079872,0.0
1658349942.3588822,112696320,0.0
1658350002.3371587,113312768,0.0
1658350062.3387706,113929216,0.0
1658350122.3407097,114546688,0.0
1658350182.339703,115160064,0.0
1658350242.3481069,115774464,0.0
1658350302.354079,116388864,0.0
1658350362.339369,117003264,0.0
1658350422.3464816,117614592,0.0
1658350482.3478906,118226944,0.0
1658350542.3490322,118837248,0.0
1658350602.3474069,119447552,0.0
1658350662.3431282,120056832,0.0
1658350722.3409371,120666112,0.0
1658350782.3374445,121274368,0.0
1658350842.3429425,121883648,0.0
1658350902.3477068,122490880,0.0
1658350962.338618,123100160,0.0
1658351022.343378,123707392,0.0
1658351082.3402154,124316672,0.0
1658351142.3420753,124924928,0.0
1658351202.3484666,125532160,0.0
1658351262.342022,126141440,0.0
1658351322.3424995,126747648,0.0
1658351382.3371065,127354880,0.0
1658351442.3381207,127963136,0.0
1658351502.3425958,128571392,0.0
1658351562.3507879,129179648,0.0
1658351622.3421361,129787904,0.0
1658351682.3404522,130395136,0.0
1658351742.3414443,131002368,0.0
1658351802.3407958,131610624,0.0
1658351862.3406773,132219904,0.0
1658351922.3412256,132827136,0.0
1658351982.3424559,133436416,0.0
1658352042.3475015,134042624,0.0
1658352102.3467677,134650880,0.0
1658352162.3600545,135259136,0.0
1658352222.3441265,135866368,0.0
1658352282.3360999,136472576,0.0
1658352342.3397963,137080832,0.0
1658352402.3370266,137687040,0.0
1658352462.3435326,138295296,0.0
1658352522.33876,138902528,0.0
1658352582.3425856,139511808,0.0
1658352642.3400264,140119040,0.0
1658352702.3551571,140725248,0.0
1658352762.340209,141332480,0.0
1658352822.3457878,141941760,0.0
1658352882.3434212,142546944,0.0
1658352942.342306,143156224,0.0
1658353002.346677,143763456,0.0
1658353062.3468254,144371712,0.0
1658353122.3553958,144978944,0.0
1658353182.346155,145587200,0.0
1658353242.3485658,146194432,0.0
1658353302.3375707,146800640,0.0
1658353362.3389044,147408896,0.0
1658353422.3449495,148016128,0.0
1658353482.3476646,148621312,0.0
1658353542.3458369,149228544,0.0
1658353602.3525546,149836800,0.0
1658353662.346694,150443008,0.0
