wall_time,step,value
1658339142.3272889,1682432,0.0
1658339202.332711,2300928,0.0
1658339262.3282058,2916352,0.0
1658339322.3253572,3531776,0.0
1658339382.3252828,4148224,0.0
1658339442.331813,4763648,0.0
1658339502.3300834,5382144,0.0
1658339562.3256087,5999616,0.0
1658339622.3249345,6617088,0.0
1658339682.3289459,7233536,0.0
1658339742.3268516,7851008,0.0
1658339802.3289847,8467456,0.0
1658339862.3239164,9085952,0.0
1658339922.3292327,9702400,0.0
1658339982.324551,10318848,0.0
1658340042.3307207,10934272,0.0
1658340102.3251271,11551744,0.0
1658340162.3329062,12167168,0.0
1658340222.3367221,12786688,0.0
1658340282.3267987,13403136,0.0
1658340342.3258612,14020608,0.0
1658340402.3283076,14639104,0.0
1658340462.3278792,15255552,0.0
1658340522.330582,15874048,0.0
1658340582.330394,16491520,0.0
1658340642.334274,17108992,0.0
1658340702.326447,17727488,0.0
1658340762.3250258,18343936,0.0
1658340822.3308976,18959360,0.0
1658340882.3247955,19576832,0.0
1658340942.3251963,20193280,0.0
1658341002.3251598,20810752,0.0
1658341062.3251429,21427200,0.0
1658341122.3308144,22045696,0.0
1658341182.330726,22661120,0.0
1658341242.3293362,23277568,0.0
1658341302.3246152,23895040,0.0
1658341362.3336632,24512512,0.0
1658341422.3267975,25128960,0.0
1658341482.3280163,25746432,0.0
1658341542.3252153,26363904,0.0
1658341602.3249247,26980352,0.0
1658341662.3269238,27596800,0.0
1658341722.329415,28213248,0.0
1658341782.32519,28829696,0.0
1658341842.325475,29447168,0.0
1658341902.3250153,30065664,0.0
1658341962.325871,30681088,0.0
1658342022.327014,31297536,0.0
1658342082.3247368,31916032,0.0
1658342142.3346784,32533504,0.0
1658342202.3316917,33149952,0.0
1658342262.3239915,33766400,0.0
1658342322.324983,34381824,0.0
1658342382.3249183,34999296,0.0
1658342442.3251514,35618816,0.0
1658342502.326751,36235264,0.0
1658342562.3247173,36851712,0.0
1658342622.3276792,37468160,0.0
1658342682.3308082,38086656,0.0
1658342742.3253775,38702080,0.0
1658342802.3307266,39318528,0.0
1658342862.324761,39934976,0.0
1658342922.3307288,40551424,0.0
1658342982.330196,41168896,0.0
1658343042.327476,41785344,0.0
1658343102.3267112,42400768,0.0
1658343162.332599,43017216,0.0
1658343222.3290734,43636736,0.0
1658343282.3290188,44252160,0.0
1658343342.3291464,44869632,0.0
1658343402.3271134,45486080,0.0
1658343462.3255825,46102528,0.0
1658343522.3286204,46717952,0.0
1658343582.3249898,47336448,0.0
1658343642.3238008,47954944,0.0
1658343702.3256447,48570368,0.0
1658343762.3249598,49188864,0.0
1658343822.3297565,49801216,0.0
1658343882.332185,50418688,0.0
1658343942.328071,51036160,0.0
1658344002.3327782,51651584,0.0
1658344062.32692,52269056,0.0
1658344122.3309038,52884480,0.0
1658344182.330734,53502976,0.0
1658344242.3309648,54118400,0.0
1658344302.3280976,54734848,0.0
1658344362.324229,55352320,0.0
1658344422.3248355,55968768,0.0
1658344482.3302279,56583168,0.0
1658344542.3366258,57201664,0.0
1658344602.3306336,57818112,0.0
1658344662.326924,58433536,0.0
1658344722.3279376,59051008,0.0
1658344782.3247807,59669504,0.0
1658344842.3253682,60284928,0.0
1658344902.325703,60901376,0.0
1658344962.331737,61520896,0.0
1658345022.3251028,62135296,0.0
1658345082.3249881,62752768,0.0
1658345142.3267848,63369216,0.0
1658345202.3248024,63985664,0.0
1658345262.325046,64604160,0.0
