wall_time,step,value
1658339142.3551576,1682432,-7.715700149536133
1658339202.3539445,2300928,-7.707699775695801
1658339262.3572085,2916352,-7.700349807739258
1658339322.356275,3531776,-7.702700138092041
1658339382.3524432,4148224,-7.691299915313721
1658339442.3522627,4763648,-7.693699836730957
1658339502.3654656,5382144,-7.709799766540527
1658339562.3506577,5999616,-7.724549770355225
1658339622.3428073,6617088,-7.712200164794922
1658339682.3468308,7233536,-7.685050010681152
1658339742.344533,7851008,-7.6774001121521
1658339802.3547502,8467456,-7.684800148010254
1658339862.3644457,9085952,-7.692999839782715
1658339922.3556209,9702400,-7.685949802398682
1658339982.3571467,10318848,-7.66949987411499
1658340042.3594706,10934272,-7.660550117492676
1658340102.3474762,11551744,-7.671350002288818
1658340162.3711104,12167168,-7.662899971008301
1658340222.3651767,12786688,-7.656099796295166
1658340282.3667164,13403136,-7.644700050354004
1658340342.3492346,14020608,-7.646200180053711
1658340402.346932,14639104,-7.65054988861084
1658340462.34961,15255552,-7.653950214385986
1658340522.358151,15874048,-7.667600154876709
1658340582.3561983,16491520,-7.633200168609619
1658340642.362851,17108992,-7.614049911499023
1658340702.3560941,17727488,-7.6315999031066895
1658340762.3601177,18343936,-7.637249946594238
1658340822.3495643,18959360,-7.639050006866455
1658340882.3472466,19576832,-7.628799915313721
1658340942.352841,20193280,-7.629899978637695
1658341002.3527453,20810752,-7.639599800109863
1658341062.3465507,21427200,-7.634349822998047
1658341122.365442,22045696,-7.613999843597412
1658341182.3523898,22661120,-7.6170501708984375
1658341242.357344,23277568,-7.627299785614014
1658341302.3452609,23895040,-7.638199806213379
1658341362.368309,24512512,-7.6427998542785645
1658341422.3470807,25128960,-7.635049819946289
1658341482.3454742,25746432,-7.617650032043457
1658341542.3490794,26363904,-7.6265997886657715
1658341602.350252,26980352,-7.598899841308594
1658341662.3523479,27596800,-7.56374979019165
1658341722.3590322,28213248,-7.576900005340576
1658341782.3469896,28829696,-7.5968499183654785
1658341842.354165,29447168,-7.581600189208984
1658341902.3460803,30065664,-7.587699890136719
1658341962.3489752,30681088,-7.594799995422363
1658342022.3500428,31297536,-7.59089994430542
1658342082.3520174,31916032,-7.593400001525879
1658342142.363105,32533504,-7.592249870300293
1658342202.3561733,33149952,-7.5430498123168945
1658342262.3491843,33766400,-7.549349784851074
1658342322.346573,34381824,-7.563700199127197
1658342382.342661,34999296,-7.55620002746582
1658342442.3509815,35618816,-7.517350196838379
1658342502.3489304,36235264,-7.516149997711182
1658342562.3524578,36851712,-7.544050216674805
1658342622.359863,37468160,-7.529150009155273
1658342682.3553755,38086656,-7.499750137329102
1658342742.3480654,38702080,-7.29794979095459
1658342802.3522363,39318528,-7.265850067138672
1658342862.3609695,39934976,-7.511549949645996
1658342922.3596067,40551424,-7.529250144958496
1658342982.3559647,41168896,-7.5131001472473145
1658343042.3505282,41785344,-7.527649879455566
1658343102.3504665,42400768,-7.496500015258789
1658343162.359599,43017216,-7.4832000732421875
1658343222.3504488,43636736,-7.460000038146973
1658343282.3480222,44252160,-7.394350051879883
1658343342.3443253,44869632,-7.444399833679199
1658343402.3549414,45486080,-7.495299816131592
1658343462.3536897,46102528,-7.503550052642822
1658343522.3505359,46717952,-7.566050052642822
1658343582.3543687,47336448,-7.597949981689453
1658343642.3507612,47954944,-7.547699928283691
1658343702.352668,48570368,-7.502349853515625
1658343762.3442216,49188864,-7.473750114440918
1658343822.3501358,49801216,-7.478000164031982
1658343882.35105,50418688,-7.514999866485596
1658343942.3480022,51036160,-7.557650089263916
1658344002.374576,51651584,-7.575049877166748
1658344062.346199,52269056,-7.4857001304626465
1658344122.3532894,52884480,-7.358699798583984
1658344182.360569,53502976,-7.412049770355225
1658344242.3578126,54118400,-7.445350170135498
1658344302.345833,54734848,-7.475599765777588
1658344362.3465228,55352320,-7.4257001876831055
1658344422.3545454,55968768,-7.445700168609619
1658344482.3486578,56583168,-7.429200172424316
1658344542.3620145,57201664,-7.473499774932861
1658344602.356464,57818112,-7.581150054931641
1658344662.350316,58433536,-7.537350177764893
1658344722.3429956,59051008,-7.479549884796143
1658344782.3472188,59669504,-7.356299877166748
1658344842.3534975,60284928,-7.409900188446045
1658344902.346076,60901376,-7.4668498039245605
1658344962.3563547,61520896,-7.3832502365112305
1658345022.3454003,62135296,-7.231349945068359
1658345082.344949,62752768,-7.248899936676025
1658345142.3579977,63369216,-7.454949855804443
1658345202.3526444,63985664,-7.544099807739258
1658345262.3492432,64604160,-7.587850093841553
1658345322.3683436,65220608,-7.467299938201904
1658345382.3576283,65839104,-7.422599792480469
1658345442.3480735,66454528,-7.39870023727417
1658345502.3609364,67073024,-7.388500213623047
1658345562.3466647,67688448,-7.475299835205078
1658345622.3549562,68305920,-7.526249885559082
1658345682.3510613,68923392,-7.4880499839782715
1658345742.3458576,69539840,-7.486499786376953
1658345802.3619046,70157312,-7.524449825286865
