wall_time,step,value
1658339142.3547604,1682432,-7.701550006866455
1658339202.3522139,2300928,-7.696899890899658
1658339262.3568127,2916352,-7.700550079345703
1658339322.3552978,3531776,-7.718949794769287
1658339382.3502457,4148224,-7.712399959564209
1658339442.3503275,4763648,-7.692349910736084
1658339502.3633685,5382144,-7.698249816894531
1658339562.3483257,5999616,-7.695950031280518
1658339622.3424566,6617088,-7.7058000564575195
1658339682.3438103,7233536,-7.716300010681152
1658339742.342995,7851008,-7.697249889373779
1658339802.3526735,8467456,-7.673600196838379
1658339862.3635082,9085952,-7.683149814605713
1658339922.3546622,9702400,-7.699100017547607
1658339982.3567915,10318848,-7.677949905395508
1658340042.3510451,10934272,-7.67264986038208
1658340102.3463888,11551744,-7.649499893188477
1658340162.3707712,12167168,-7.655600070953369
1658340222.3649814,12786688,-7.660799980163574
1658340282.3644183,13403136,-7.663949966430664
1658340342.348886,14020608,-7.64424991607666
1658340402.3459249,14639104,-7.636149883270264
1658340462.349226,15255552,-7.630050182342529
1658340522.3577852,15874048,-7.618800163269043
1658340582.354208,16491520,-7.620299816131592
1658340642.362484,17108992,-7.653600215911865
1658340702.3488698,17727488,-7.635000228881836
1658340762.359806,18343936,-7.604949951171875
1658340822.3476887,18959360,-7.610400199890137
1658340882.3468962,19576832,-7.642099857330322
1658340942.352483,20193280,-7.656799793243408
1658341002.3523877,20810752,-7.6506500244140625
1658341062.3450518,21427200,-7.618899822235107
1658341122.3650463,22045696,-7.590350151062012
1658341182.3513381,22661120,-7.601950168609619
1658341242.3560507,23277568,-7.61614990234375
1658341302.3445494,23895040,-7.59915018081665
1658341362.365819,24512512,-7.6114501953125
1658341422.3459759,25128960,-7.600450038909912
1658341482.3433857,25746432,-7.598999977111816
1658341542.3487346,26363904,-7.593649864196777
1658341602.3499012,26980352,-7.552849769592285
1658341662.3502002,27596800,-7.556849956512451
1658341722.3543587,28213248,-7.593500137329102
1658341782.3466036,28829696,-7.581099987030029
1658341842.3530557,29447168,-7.57289981842041
1658341902.344576,30065664,-7.569250106811523
1658341962.3481836,30681088,-7.6184000968933105
1658342022.3491857,31297536,-7.608799934387207
1658342082.351671,31916032,-7.517099857330322
1658342142.36269,32533504,-7.523749828338623
1658342202.3541982,33149952,-7.532750129699707
1658342262.347276,33766400,-7.549950122833252
1658342322.344595,34381824,-7.55935001373291
1658342382.3399942,34999296,-7.524350166320801
1658342442.3437274,35618816,-7.515699863433838
1658342502.3469756,36235264,-7.5121002197265625
1658342562.3520846,36851712,-7.568749904632568
1658342622.3596485,37468160,-7.556449890136719
1658342682.353669,38086656,-7.497550010681152
1658342742.3443258,38702080,-7.517149925231934
1658342802.350626,39318528,-7.480949878692627
1658342862.360595,39934976,-7.467549800872803
1658342922.358154,40551424,-7.5289998054504395
1658342982.3556256,41168896,-7.533349990844727
1658343042.349996,41785344,-7.554299831390381
1658343102.3480318,42400768,-7.550899982452393
1658343162.3592498,43017216,-7.425099849700928
1658343222.3500767,43636736,-7.433800220489502
1658343282.3466077,44252160,-7.508950233459473
1658343342.3441377,44869632,-7.451449871063232
1658343402.3485363,45486080,-7.460599899291992
1658343462.3533568,46102528,-7.468550205230713
1658343522.3485456,46717952,-7.510300159454346
1658343582.3540337,47336448,-7.548250198364258
1658343642.3470132,47954944,-7.515250205993652
1658343702.35057,48570368,-7.49685001373291
1658343762.3438,49188864,-7.4646501541137695
1658343822.3497941,49801216,-7.478700160980225
1658343882.3506866,50418688,-7.497250080108643
1658343942.3470848,51036160,-7.493599891662598
1658344002.373399,51651584,-7.502299785614014
1658344062.3458385,52269056,-7.5119500160217285
1658344122.3519354,52884480,-7.528299808502197
1658344182.3590283,53502976,-7.410699844360352
1658344242.3558855,54118400,-7.430049896240234
1658344302.3454628,54734848,-7.519599914550781
1658344362.3457935,55352320,-7.526150226593018
1658344422.3532944,55968768,-7.531899929046631
1658344482.3474612,56583168,-7.533649921417236
1658344542.3616312,57201664,-7.551700115203857
1658344602.3544385,57818112,-7.513700008392334
1658344662.34994,58433536,-7.3917999267578125
1658344722.3426256,59051008,-7.343100070953369
1658344782.3468304,59669504,-7.248549938201904
1658344842.3530962,60284928,-7.308599948883057
1658344902.345719,60901376,-7.487750053405762
1658344962.3526878,61520896,-7.526350021362305
1658345022.343398,62135296,-7.445549964904785
1658345082.343838,62752768,-7.412700176239014
1658345142.3576226,63369216,-7.492099761962891
1658345202.3522463,63985664,-7.54794979095459
1658345262.3488688,64604160,-7.506050109863281
1658345322.3562775,65220608,-7.34689998626709
1658345382.3555021,65839104,-7.295149803161621
1658345442.3470232,66454528,-7.388500213623047
1658345502.3607092,67073024,-7.4342498779296875
1658345562.3450525,67688448,-7.556099891662598
1658345622.3546474,68305920,-7.556149959564209
1658345682.350666,68923392,-7.526299953460693
1658345742.343955,69539840,-7.552800178527832
1658345802.3615866,70157312,-7.479249954223633
1658345862.352577,70773760,-7.331299781799316
1658345922.3558147,71391232,-7.281799793243408
1658345982.3458748,72009728,-7.44320011138916
1658346042.347207,72626176,-7.457749843597412
1658346102.359507,73243648,-7.477650165557861
1658346162.3469553,73861120,-7.49560022354126
1658346222.352726,74477568,-7.508800029754639
1658346282.3558524,75094016,-7.517600059509277
1658346342.350092,75710464,-7.5229997634887695
1658346402.3537533,76326912,-7.525949954986572
1658346462.352731,76943360,-7.469850063323975
1658346522.3564727,77560832,-7.464849948883057
1658346582.3516178,78178304,-7.534749984741211
1658346642.3539903,78794752,-7.503200054168701
1658346702.3538942,79411200,-7.447450160980225
1658346762.3466246,80027648,-7.450150012969971
1658346822.3548646,80645120,-7.482950210571289
1658346882.3514986,81258496,-7.4569501876831055
1658346942.3535378,81878016,-7.469649791717529
1658347002.3498676,82494464,-7.386849880218506
1658347062.3635693,83110912,-7.285900115966797
1658347122.350832,83727360,-7.361999988555908
1658347182.3630626,84342784,-7.364649772644043
1658347242.3519914,84961280,-7.375800132751465
1658347302.346949,85577728,-7.4781999588012695
1658347362.355993,86195200,-7.486299991607666
1658347422.3510573,86811648,-7.469399929046631
1658347482.3472946,87429120,-7.44064998626709
1658347542.3472157,88044544,-7.388000011444092
1658347602.341544,88659968,-7.356900215148926
1658347662.34263,89278464,-7.420650005340576
1658347722.343434,89896960,-7.433549880981445
1658347782.3465219,90511360,-7.3470001220703125
1658347842.3678195,91130880,-7.295300006866455
1658347902.3566809,91746304,-7.272349834442139
1658347962.3573534,92362752,-7.352499961853027
1658348022.3495214,92980224,-7.340849876403809
1658348082.3446858,93594624,-7.441400051116943
1658348142.3579152,94212096,-7.228300094604492
1658348202.3507168,94827520,-6.832600116729736
1658348262.345003,95440896,-6.348199844360352
1658348322.357201,96056320,-6.493750095367432
1658348382.3469148,96673792,-6.833950042724609
