wall_time,step,value
1658339142.3451297,1682432,-7.71274995803833
1658339202.3480077,2300928,-7.711699962615967
1658339262.3471508,2916352,-7.70205020904541
1658339322.352305,3531776,-7.704800128936768
1658339382.3405285,4148224,-7.70265007019043
1658339442.3453596,4763648,-7.7004499435424805
1658339502.356672,5382144,-7.713950157165527
1658339562.3414402,5999616,-7.717899799346924
1658339622.3365579,6617088,-7.7146501541137695
1658339682.338738,7233536,-7.712250232696533
1658339742.3389323,7851008,-7.701350212097168
1658339802.3451457,8467456,-7.689050197601318
1658339862.350632,9085952,-7.689199924468994
1658339922.3391094,9702400,-7.679500102996826
1658339982.3513353,10318848,-7.683949947357178
1658340042.3477547,10934272,-7.682600021362305
1658340102.3435235,11551744,-7.678999900817871
1658340162.3588884,12167168,-7.679999828338623
1658340222.3568022,12786688,-7.661550045013428
1658340282.3532104,13403136,-7.646850109100342
1658340342.3440967,14020608,-7.641849994659424
1658340402.3434792,14639104,-7.623149871826172
1658340462.3447008,15255552,-7.610499858856201
1658340522.347887,15874048,-7.610400199890137
1658340582.3478868,16491520,-7.61614990234375
1658340642.3511446,17108992,-7.630949974060059
1658340702.3394394,17727488,-7.628650188446045
1658340762.356375,18343936,-7.633800029754639
1658340822.3444107,18959360,-7.628849983215332
1658340882.3400373,19576832,-7.631499767303467
1658340942.34706,20193280,-7.660749912261963
1658341002.3405752,20810752,-7.664949893951416
1658341062.3394217,21427200,-7.646949768066406
1658341122.352775,22045696,-7.6255998611450195
1658341182.3473017,22661120,-7.6230998039245605
1658341242.3472958,23277568,-7.629499912261963
1658341302.3404217,23895040,-7.627150058746338
1658341362.3528411,24512512,-7.649700164794922
1658341422.3390045,25128960,-7.661049842834473
1658341482.3399804,25746432,-7.6350998878479
1658341542.3441172,26363904,-7.629449844360352
1658341602.3441677,26980352,-7.631800174713135
1658341662.3425891,27596800,-7.612949848175049
1658341722.350707,28213248,-7.589900016784668
1658341782.3386884,28829696,-7.57480001449585
1658341842.347455,29447168,-7.5725998878479
1658341902.3405387,30065664,-7.580399990081787
1658341962.3429537,30681088,-7.575349807739258
1658342022.344378,31297536,-7.546050071716309
1658342082.340985,31916032,-7.555950164794922
1658342142.3507144,32533504,-7.572400093078613
1658342202.3451927,33149952,-7.532549858093262
1658342262.3421342,33766400,-7.528450012207031
1658342322.3412633,34381824,-7.539150238037109
1658342382.336241,34999296,-7.54040002822876
1658342442.3382618,35618816,-7.559450149536133
1658342502.3425627,36235264,-7.527100086212158
1658342562.342408,36851712,-7.532750129699707
1658342622.3512368,37468160,-7.506649971008301
1658342682.3487666,38086656,-7.528950214385986
1658342742.339527,38702080,-7.58519983291626
1658342802.3465383,39318528,-7.5169501304626465
1658342862.3468616,39934976,-7.481400012969971
1658342922.3447766,40551424,-7.537650108337402
1658342982.3410428,41168896,-7.477700233459473
1658343042.3457131,41785344,-7.47189998626709
1658343102.343057,42400768,-7.506400108337402
1658343162.3504584,43017216,-7.483799934387207
1658343222.3437762,43636736,-7.44789981842041
1658343282.3414528,44252160,-7.400100231170654
1658343342.3402715,44869632,-7.482550144195557
1658343402.3438036,45486080,-7.462049961090088
1658343462.3431761,46102528,-7.485499858856201
1658343522.3450997,46717952,-7.579349994659424
1658343582.3421843,47336448,-7.637249946594238
1658343642.3388793,47954944,-7.619999885559082
1658343702.3414264,48570368,-7.505899906158447
1658343762.3384922,49188864,-7.500100135803223
1658343822.3443072,49801216,-7.371250152587891
1658343882.3443196,50418688,-7.435400009155273
1658343942.342861,51036160,-7.528250217437744
1658344002.3618572,51651584,-7.5030999183654785
1658344062.3413002,52269056,-7.498950004577637
1658344122.3426344,52884480,-7.5269999504089355
1658344182.3452086,53502976,-7.51924991607666
1658344242.3461316,54118400,-7.542250156402588
1658344302.3390121,54734848,-7.479100227355957
1658344362.341542,55352320,-7.460050106048584
1658344422.347736,55968768,-7.456850051879883
1658344482.342909,56583168,-7.567800045013428
1658344542.3565402,57201664,-7.542749881744385
1658344602.345392,57818112,-7.486999988555908
1658344662.3428152,58433536,-7.434450149536133
1658344722.3389711,59051008,-7.409949779510498
1658344782.3387818,59669504,-7.409150123596191
1658344842.340071,60284928,-7.444499969482422
1658344902.3396978,60901376,-7.500549793243408
1658344962.3488896,61520896,-7.495100021362305
1658345022.3386033,62135296,-7.270249843597412
1658345082.3391874,62752768,-7.185500144958496
1658345142.3444972,63369216,-7.410550117492676
1658345202.3468933,63985664,-7.423900127410889
1658345262.3412645,64604160,-7.446300029754639
1658345322.3485432,65220608,-7.526899814605713
1658345382.3519492,65839104,-7.449150085449219
1658345442.3344755,66454528,-7.454649925231934
1658345502.3446867,67073024,-7.461349964141846
1658345562.3409302,67688448,-7.437749862670898
1658345622.349619,68305920,-7.429299831390381
1658345682.3458319,68923392,-7.487549781799316
1658345742.3412633,69539840,-7.472750186920166
1658345802.3575604,70157312,-7.416800022125244
1658345862.344683,70773760,-7.397850036621094
1658345922.3417678,71391232,-7.443999767303467
1658345982.3386028,72009728,-7.48514986038208
1658346042.3424575,72626176,-7.4830498695373535
1658346102.348472,73243648,-7.520450115203857
1658346162.3423176,73861120,-7.547599792480469
1658346222.3477345,74477568,-7.5470499992370605
1658346282.344118,75094016,-7.506050109863281
1658346342.3370342,75710464,-7.4274001121521
1658346402.340165,76326912,-7.467949867248535
1658346462.3427806,76943360,-7.537650108337402
