wall_time,step,value
1658339022.3250968,450560,-51.7951774597168
1658339082.3241236,1067008,-50.35711669921875
1658339142.3274696,1682432,-50.617149353027344
1658339202.33293,2300928,-50.057613372802734
1658339262.328392,2916352,-50.68990707397461
1658339322.3255317,3531776,-51.088966369628906
1658339382.3254626,4148224,-51.01010513305664
1658339442.3320093,4763648,-52.45169448852539
1658339502.33061,5382144,-51.59257888793945
1658339562.3258028,5999616,-50.642982482910156
1658339622.325121,6617088,-50.964385986328125
1658339682.3291295,7233536,-50.2952880859375
1658339742.3270333,7851008,-51.13960266113281
1658339802.3291745,8467456,-51.78828811645508
1658339862.3320086,9085952,-51.72972869873047
1658339922.3294265,9702400,-52.58771896362305
1658339982.3250248,10318848,-51.930423736572266
1658340042.3309393,10934272,-51.135231018066406
1658340102.3253074,11551744,-51.48647689819336
1658340162.3330903,12167168,-50.74267578125
1658340222.3369188,12786688,-50.309593200683594
1658340282.3269737,13403136,-50.529319763183594
1658340342.3260436,14020608,-48.912349700927734
1658340402.3284967,14639104,-48.619319915771484
1658340462.3280501,15255552,-47.5854377746582
1658340522.330781,15874048,-47.03017807006836
1658340582.330582,16491520,-45.80535888671875
1658340642.3344746,17108992,-45.823974609375
1658340702.3266616,17727488,-43.83305358886719
1658340762.326005,18343936,-42.3087272644043
1658340822.3310761,18959360,-40.18136215209961
1658340882.3249776,19576832,-41.95559310913086
1658340942.3253856,20193280,-41.13520050048828
1658341002.3253362,20810752,-38.314544677734375
1658341062.3253317,21427200,-38.875667572021484
1658341122.3310237,22045696,-37.073150634765625
1658341182.3320444,22661120,-34.08388137817383
1658341242.3295324,23277568,-33.696075439453125
1658341302.325873,23895040,-32.22938537597656
1658341362.3337648,24512512,-29.171857833862305
1658341422.327004,25128960,-30.609519958496094
1658341482.3281956,25746432,-28.722576141357422
1658341542.32539,26363904,-29.1746883392334
1658341602.3251066,26980352,-28.16391944885254
1658341662.327091,27596800,-24.80599594116211
1658341722.3296068,28213248,-24.424524307250977
1658341782.3253791,28829696,-25.937631607055664
1658341842.3256683,29447168,-23.27687644958496
1658341902.3251987,30065664,-22.03709602355957
1658341962.33096,30681088,-24.40986442565918
1658342022.3271978,31297536,-23.602527618408203
1658342082.3261626,31916032,-21.50737190246582
1658342142.3349268,32533504,-24.147979736328125
1658342202.3318865,33149952,-22.286298751831055
1658342262.324163,33766400,-20.555294036865234
1658342322.3251574,34381824,-22.623353958129883
1658342382.325102,34999296,-20.71698760986328
1658342442.3253372,35618816,-21.419300079345703
1658342502.3269188,36235264,-20.270984649658203
1658342562.3249013,36851712,-20.73365020751953
1658342622.327866,37468160,-21.27823257446289
1658342682.3309844,38086656,-21.700040817260742
1658342742.325578,38702080,-20.728885650634766
1658342802.330894,39318528,-21.5602970123291
1658342862.3256893,39934976,-20.923946380615234
1658342922.3309066,40551424,-21.32162857055664
1658342982.3303673,41168896,-21.336477279663086
1658343042.3276558,41785344,-21.460731506347656
1658343102.3269029,42400768,-21.173423767089844
1658343162.3327885,43017216,-21.817888259887695
1658343222.329274,43636736,-20.595712661743164
1658343282.3299246,44252160,-21.018556594848633
1658343342.3293164,44869632,-21.11753273010254
1658343402.327292,45486080,-19.75493049621582
1658343462.3265529,46102528,-21.741361618041992
1658343522.3287208,46717952,-21.945219039916992
1658343582.3251894,47336448,-22.792810440063477
1658343642.324894,47954944,-21.808576583862305
1658343702.3319728,48570368,-22.382320404052734
1658343762.3251355,49188864,-19.753948211669922
1658343822.329939,49801216,-21.617097854614258
1658343882.3323781,50418688,-21.121389389038086
1658343942.328255,51036160,-21.49104881286621
1658344002.3362179,51651584,-19.536636352539062
1658344062.32702,52269056,-19.092430114746094
1658344122.3310776,52884480,-22.577714920043945
1658344182.3309345,53502976,-19.62630271911621
1658344242.3312008,54118400,-21.416410446166992
1658344302.3283198,54734848,-21.34766960144043
1658344362.3243294,55352320,-20.56488800048828
1658344422.325007,55968768,-21.04434585571289
1658344482.3304374,56583168,-21.535829544067383
1658344542.3368218,57201664,-21.363920211791992
1658344602.3308096,57818112,-22.2077579498291
1658344662.3271217,58433536,-20.25018882751465
1658344722.3281171,59051008,-20.849998474121094
1658344782.3249667,59669504,-19.51873779296875
1658344842.3255439,60284928,-19.908491134643555
1658344902.3258898,60901376,-22.08287239074707
1658344962.3319232,61520896,-19.046058654785156
1658345022.3252873,62135296,-21.85291290283203
1658345082.325172,62752768,-20.729177474975586
1658345142.326968,63369216,-20.557071685791016
1658345202.3249812,63985664,-19.928911209106445
1658345262.3252335,64604160,-21.576370239257812
1658345322.3257897,65220608,-20.883058547973633
1658345382.3255,65839104,-22.63825798034668
1658345442.3248444,66454528,-21.2601261138916
1658345502.3294888,67073024,-21.645923614501953
1658345562.3257124,67688448,-20.424718856811523
1658345622.3340442,68305920,-18.834596633911133
1658345682.3278553,68923392,-20.502649307250977
1658345742.3259177,69539840,-20.037120819091797
1658345802.3337505,70157312,-20.91016960144043
1658345862.3332047,70773760,-22.274219512939453
1658345922.3253326,71391232,-21.145692825317383
1658345982.3270679,72009728,-20.175687789916992
1658346042.3255126,72626176,-19.533830642700195
1658346102.325237,73243648,-20.56121063232422
1658346162.3268318,73861120,-20.506750106811523
1658346222.3291204,74477568,-22.096240997314453
1658346282.3329198,75094016,-20.662689208984375
1658346342.3253512,75710464,-23.533418655395508
1658346402.3295238,76326912,-20.708051681518555
1658346462.3246868,76943360,-21.09485626220703
1658346522.3310504,77560832,-18.974111557006836
1658346582.3284364,78178304,-20.77958106994629
1658346642.3291836,78794752,-20.29242706298828
1658346702.3306572,79411200,-21.52290153503418
1658346762.324783,80027648,-21.648563385009766
1658346822.3258615,80645120,-23.3623104095459
1658346882.3252094,81258496,-19.79637336730957
1658346942.3309221,81878016,-21.657567977905273
1658347002.3307412,82494464,-20.339780807495117
1658347062.3338482,83110912,-20.534317016601562
1658347122.325778,83727360,-21.63100242614746
1658347182.3284307,84342784,-20.898082733154297
1658347242.3255036,84961280,-20.674304962158203
1658347302.3254085,85577728,-21.8577823638916
1658347362.3301384,86195200,-19.529586791992188
1658347422.3284287,86811648,-22.367900848388672
1658347482.3292546,87429120,-22.643510818481445
1658347542.32493,88044544,-20.689485549926758
1658347602.3255243,88659968,-21.21114158630371
1658347662.3258224,89278464,-20.479145050048828
1658347722.3253856,89896960,-21.30792808532715
1658347782.3283107,90511360,-19.24043846130371
1658347842.325794,91130880,-21.3498477935791
1658347902.325887,91746304,-19.749725341796875
1658347962.3256948,92362752,-21.63089942932129
1658348022.32553,92980224,-20.46101188659668
1658348082.3250055,93594624,-21.11002540588379
1658348142.3329873,94212096,-23.08483123779297
1658348202.3327456,94827520,-25.361927032470703
1658348262.3268707,95440896,-25.109813690185547
1658348322.3367054,96056320,-24.328506469726562
1658348382.3284798,96673792,-24.65191078186035
1658348442.3332324,97288192,-24.451026916503906
1658348502.3333726,97903616,-22.52610206604004
1658348562.3252695,98520064,-21.276399612426758
1658348622.330682,99136512,-23.163585662841797
1658348682.325467,99751936,-22.257347106933594
1658348742.3320687,100368384,-22.735448837280273
1658348802.3367507,100982784,-22.88594627380371
1658348862.3326592,101601280,-21.936426162719727
1658348922.329484,102215680,-24.28447723388672
1658348982.32606,102832128,-20.905717849731445
1658349042.326258,103447552,-23.065067291259766
1658349102.3289871,104065024,-22.175668716430664
1658349162.3260489,104681472,-21.926414489746094
1658349222.3251958,105297920,-24.43458366394043
1658349282.3271863,105913344,-22.661941528320312
1658349342.3244543,106529792,-23.435243606567383
1658349402.3299432,107145216,-22.434919357299805
1658349462.3305883,107762688,-23.99324607849121
1658349522.3309903,108380160,-21.718542098999023
1658349582.3252203,108995584,-21.988588333129883
1658349642.3250644,109615104,-22.91053009033203
1658349702.327241,110230528,-21.221317291259766
1658349762.3336446,110845952,-22.449281692504883
1658349822.332072,111463424,-21.599937438964844
1658349882.3265095,112079872,-22.587553024291992
1658349942.3285358,112696320,-22.450355529785156
1658350002.3268056,113312768,-22.36269760131836
1658350062.325151,113929216,-21.76614761352539
1658350122.327625,114546688,-21.34159278869629
1658350182.3267906,115160064,-24.68648338317871
1658350242.3268583,115774464,-25.889577865600586
1658350302.33,116388864,-22.563810348510742
1658350362.325402,117003264,-18.938358306884766
1658350422.324862,117614592,-19.146202087402344
1658350482.3251529,118226944,-18.30052947998047
1658350542.3288772,118837248,-18.15669059753418
1658350602.3326628,119447552,-18.83225440979004
1658350662.3315616,120056832,-16.438634872436523
1658350722.3253362,120666112,-16.350845336914062
1658350782.3285646,121274368,-16.65322494506836
1658350842.3280134,121883648,-15.663161277770996
1658350902.332184,122490880,-15.736968994140625
1658350962.3281665,123100160,-17.404766082763672
1658351022.325034,123707392,-16.767932891845703
1658351082.3289642,124316672,-17.589920043945312
1658351142.3326283,124924928,-16.111284255981445
1658351202.3311026,125532160,-14.878446578979492
1658351262.3254967,126141440,-15.443144798278809
1658351322.3280003,126747648,-15.808808326721191
1658351382.325034,127354880,-15.20995044708252
1658351442.325354,127963136,-13.691620826721191
1658351502.3261595,128571392,-15.068679809570312
1658351562.3276074,129179648,-13.407703399658203
1658351622.3281293,129787904,-14.679601669311523
1658351682.32433,130395136,-14.114899635314941
1658351742.3326802,131002368,-13.193340301513672
1658351802.3253853,131610624,-14.29648494720459
1658351862.3253815,132219904,-14.746112823486328
1658351922.3262138,132827136,-13.691978454589844
1658351982.3269274,133436416,-12.723095893859863
1658352042.3302686,134042624,-13.847426414489746
1658352102.3307805,134650880,-17.351408004760742
1658352162.330463,135259136,-14.809144973754883
1658352222.3286326,135866368,-14.154818534851074
1658352282.3253937,136472576,-13.863362312316895
1658352342.324908,137080832,-12.859888076782227
1658352402.325439,137687040,-13.69107723236084
1658352462.3304846,138295296,-12.814788818359375
1658352522.3251033,138902528,-13.806060791015625
1658352582.3251002,139511808,-13.577316284179688
1658352642.3278105,140119040,-15.357437133789062
1658352702.3354592,140725248,-13.206156730651855
1658352762.327867,141332480,-12.455815315246582
1658352822.3305316,141941760,-12.67598819732666
1658352882.329782,142546944,-12.143342971801758
1658352942.3256018,143156224,-14.139968872070312
1658353002.330909,143763456,-12.621203422546387
1658353062.329293,144371712,-11.558820724487305
1658353122.330998,144978944,-12.537500381469727
1658353182.3257666,145587200,-11.915730476379395
1658353242.3309383,146194432,-13.084576606750488
1658353302.325383,146800640,-12.334925651550293
1658353362.325751,147408896,-11.470121383666992
1658353422.3295643,148016128,-11.991729736328125
1658353482.3244085,148621312,-10.690755844116211
1658353542.3270774,149228544,-10.606804847717285
1658353602.3364685,149836800,-10.062272071838379
1658353662.330225,150443008,-10.814022064208984
1658353722.3301287,151050240,-10.738195419311523
1658353782.3286777,151656448,-11.440185546875
1658353842.3254368,152263680,-9.694644927978516
1658353902.3254507,152871936,-11.162109375
1658353962.3266287,153480192,-11.455367088317871
1658354022.325461,154085376,-11.001017570495605
1658354082.3298507,154693632,-10.752703666687012
1658354142.3301768,155300864,-10.222139358520508
1658354202.3317528,155910144,-10.811247825622559
1658354262.3253605,156515328,-11.84479808807373
1658354322.328846,157122560,-11.155671119689941
1658354382.3253033,157728768,-10.990732192993164
1658354442.3270438,158336000,-11.343583106994629
1658354502.331975,158943232,-10.0800142288208
1658354562.326686,159551488,-10.814353942871094
1658354622.3312662,160159744,-12.61092758178711
1658354682.3265715,160765952,-10.978097915649414
1658354742.3304496,161373184,-10.28826904296875
1658354802.3332427,161980416,-9.612354278564453
1658354862.3251014,162586624,-9.212705612182617
1658354922.327033,163192832,-10.294598579406738
1658354982.3263457,163800064,-10.30980396270752
1658355042.3313818,164408320,-8.641426086425781
1658355102.3310792,165015552,-9.13264274597168
1658355162.3280773,165620736,-9.951959609985352
1658355222.32945,166226944,-11.13875961303711
1658355282.3266838,166835200,-9.29847526550293
1658355342.3254275,167441408,-10.734270095825195
1658355402.3255801,168049664,-9.321009635925293
1658355462.3255773,168653824,-9.021821975708008
1658355522.3256307,169262080,-8.960110664367676
1658355582.3345752,169868288,-9.408903121948242
1658355642.3307056,170475520,-9.279109954833984
1658355702.324991,171081728,-8.252795219421387
1658355762.3295958,171689984,-9.463969230651855
1658355822.3332167,172297216,-9.098917961120605
1658355882.3315208,172901376,-7.231551170349121
1658355942.3252099,173510656,-9.488809585571289
1658356002.325052,174117888,-10.300089836120605
1658356062.3251703,174724096,-7.964526176452637
1658356122.3248866,175330304,-8.31633186340332
1658356182.338653,175936512,-7.916744709014893
1658356242.3248746,176541696,-7.788279056549072
1658356302.3244152,177152000,-8.260269165039062
1658356362.324455,177757184,-8.657828330993652
1658356422.3264437,178364416,-8.650424003601074
1658356482.3337908,178971648,-7.940486431121826
1658356542.3266683,179576832,-8.558911323547363
1658356602.3293502,180187136,-9.0562744140625
1658356662.3286748,180793344,-8.157937049865723
1658356722.3296883,181398528,-7.915523052215576
1658356782.3252242,182006784,-8.931339263916016
1658356842.3327668,182610944,-8.46124267578125
1658356902.3300264,183218176,-9.482803344726562
1658356962.3299825,183824384,-7.72000789642334
1658357022.3257523,184428544,-9.025008201599121
1658357082.3252237,185036800,-11.351438522338867
1658357142.3264256,185643008,-10.455198287963867
1658357202.3265798,186250240,-8.490201950073242
1658357262.3252823,186857472,-8.788727760314941
1658357322.3308542,187463680,-7.642138481140137
1658357382.3251784,188071936,-9.896780014038086
1658357442.3308418,188679168,-9.525075912475586
1658357502.3282547,189287424,-9.122807502746582
1658357562.3305504,189892608,-8.62170124053955
1658357622.3252842,190500864,-9.777007102966309
1658357682.3265638,191107072,-9.783784866333008
1658357742.325666,191712256,-10.5843505859375
1658357802.3251894,192319488,-7.3810224533081055
1658357862.3301888,192926720,-8.165289878845215
1658357922.3285725,193534976,-6.815843105316162
1658357982.32868,194142208,-8.929315567016602
1658358042.3348224,194748416,-8.900655746459961
1658358102.3270211,195354624,-7.013127326965332
1658358162.3294442,195961856,-7.8032755851745605
1658358222.3263903,196567040,-7.141111373901367
1658358282.3273172,197173248,-7.5091423988342285
1658358342.3254628,197780480,-8.632858276367188
1658358402.3308122,198385664,-6.364493370056152
1658358462.3269658,198993920,-7.873434066772461
1658358522.3262937,199599104,-7.712615966796875
1658358582.3270185,200207360,-9.099163055419922
1658358642.325993,200812544,-7.7679033279418945
1658358702.325181,201419776,-7.666308403015137
1658358762.342905,202024960,-6.971391201019287
1658358822.33083,202633216,-7.128011226654053
1658358882.3264284,203240448,-7.539860725402832
1658358942.325117,203847680,-7.31617546081543
1658359002.3255289,204453888,-7.670637130737305
1658359062.3253489,205060096,-10.17186164855957
1658359122.3261375,205668352,-10.772942543029785
1658359182.3253489,206272512,-8.361687660217285
1658359242.3324623,206878720,-7.284306049346924
1658359302.3305287,207485952,-8.743412971496582
1658359362.3278909,208093184,-8.293161392211914
1658359422.3248892,208701440,-9.023393630981445
1658359482.3293815,209307648,-7.55295991897583
1658359542.3251812,209913856,-8.923956871032715
1658359602.3252904,210520064,-8.87407398223877
1658359662.32555,211127296,-7.313333511352539
1658359722.3263276,211734528,-7.205316066741943
1658359782.3255577,212340736,-7.264673709869385
1658359842.3254774,212946944,-7.9028120040893555
1658359902.3251016,213555200,-6.555941104888916
1658359962.327967,214160384,-7.316882610321045
1658360022.3250508,214767616,-6.618422031402588
1658360082.324882,215374848,-7.309738636016846
1658360142.327046,215980032,-7.518922805786133
1658360202.3268209,216587264,-7.412460803985596
1658360262.333114,217192448,-7.103647708892822
1658360322.327523,217797632,-7.061069965362549
1658360382.3301358,218402816,-7.9468841552734375
1658360442.325559,219008000,-6.608349800109863
1658360502.3300867,219615232,-6.354718208312988
1658360562.3288562,220220416,-7.109198570251465
1658360622.3252842,220826624,-6.937983989715576
1658360682.3276842,221435904,-5.740451812744141
1658360742.3257694,222040064,-7.784538269042969
1658360802.3255615,222647296,-6.115178108215332
1658360862.3268943,223254528,-6.4155988693237305
1658360922.325437,223861760,-5.963263988494873
1658360982.3269153,224465920,-6.122084617614746
1658361042.3265562,225071104,-6.807819366455078
1658361102.3256822,225679360,-6.858078956604004
1658361162.328843,226284544,-8.187370300292969
1658361222.3264563,226892800,-6.78373384475708
1658361282.3248515,227497984,-7.177384853363037
1658361342.3254383,228106240,-5.974424839019775
1658361402.3283496,228711424,-6.5088300704956055
1658361462.3255887,229318656,-7.076404571533203
1658361522.3302321,229922816,-6.812658309936523
1658361582.3257499,230529024,-5.994088649749756
1658361642.3246496,231135232,-7.302469730377197
1658361702.3249795,231741440,-6.285680294036865
1658361762.3256965,232347648,-6.683933258056641
1658361822.3293266,232954880,-6.565891742706299
1658361882.331235,233561088,-7.034593105316162
1658361942.3284998,234167296,-7.1518940925598145
1658362002.3308306,234774528,-5.895072937011719
1658362062.3282924,235380736,-6.430440902709961
1658362122.329627,235986944,-7.375240802764893
1658362182.3256428,236594176,-7.084969997406006
1658362242.3253763,237200384,-7.127542495727539
1658362302.3248856,237806592,-6.873279094696045
1658362362.328574,238412800,-7.720483303070068
1658362422.3249173,239020032,-6.75054407119751
1658362482.325186,239624192,-6.231420993804932
1658362542.330959,240230400,-6.847723960876465
1658362602.3293946,240836608,-6.062528133392334
1658362662.3301523,241442816,-6.715007305145264
1658362722.3253715,242048000,-6.744984149932861
1658362782.3297868,242655232,-7.977475166320801
1658362842.333157,243262464,-6.45263671875
