wall_time,step,value
1658339142.3549736,1682432,-51.383785247802734
1658339202.3538373,2300928,-50.732154846191406
1658339262.357024,2916352,-51.91819381713867
1658339322.3561807,3531776,-52.746437072753906
1658339382.35045,4148224,-53.55791091918945
1658339442.3505266,4763648,-52.20492172241211
1658339502.365276,5382144,-51.993202209472656
1658339562.3489451,5999616,-51.952388763427734
1658339622.3426323,6617088,-50.25822067260742
1658339682.3466158,7233536,-50.10164260864258
1658339742.3443513,7851008,-50.88667297363281
1658339802.352859,8467456,-51.512229919433594
1658339862.3642607,9085952,-52.357181549072266
1658339922.3555155,9702400,-52.08578872680664
1658339982.3569741,10318848,-51.06410598754883
1658340042.3586628,10934272,-51.130210876464844
1658340102.3468983,11551744,-51.37017822265625
1658340162.370947,12167168,-50.74239730834961
1658340222.3650796,12786688,-49.246856689453125
1658340282.365519,13403136,-48.90910720825195
1658340342.3490632,14020608,-48.990447998046875
1658340402.3462176,14639104,-48.43953323364258
1658340462.3494248,15255552,-48.472190856933594
1658340522.3579705,15874048,-47.48692321777344
1658340582.3560088,16491520,-46.15668869018555
1658340642.3626711,17108992,-45.807220458984375
1658340702.3489652,17727488,-46.14952087402344
1658340762.3599555,18343936,-44.75320816040039
1658340822.349386,18959360,-42.51612854003906
1658340882.3470666,19576832,-41.659969329833984
1658340942.3526611,20193280,-41.18412780761719
1658341002.3525703,20810752,-40.1796760559082
1658341062.3463206,21427200,-38.2535514831543
1658341122.3652542,22045696,-36.9061279296875
1658341182.3522074,22661120,-34.54758071899414
1658341242.3566875,23277568,-34.309547424316406
1658341302.3449447,23895040,-32.9864616394043
1658341362.3668125,24512512,-31.89632225036621
1658341422.346531,25128960,-30.22746467590332
1658341482.3452802,25746432,-28.93701171875
1658341542.3489044,26363904,-29.355134963989258
1658341602.3500838,26980352,-29.883617401123047
1658341662.3503983,27596800,-27.45304298400879
1658341722.358825,28213248,-25.400983810424805
1658341782.3468087,28829696,-24.91297149658203
1658341842.353239,29447168,-24.431093215942383
1658341902.3450887,30065664,-24.39356803894043
1658341962.348348,30681088,-22.226512908935547
1658342022.349404,31297536,-21.25689125061035
1658342082.3518457,31916032,-21.774080276489258
1658342142.362916,32533504,-22.42770767211914
1658342202.3544114,33149952,-21.651321411132812
1658342262.3489802,33766400,-21.68112564086914
1658342322.3463948,34381824,-21.527965545654297
1658342382.3409514,34999296,-21.936904907226562
1658342442.3439016,35618816,-22.069299697875977
1658342502.3487437,36235264,-20.692203521728516
1658342562.352273,36851712,-21.06237030029297
1658342622.3597643,37468160,-20.647920608520508
1658342682.3551888,38086656,-21.306320190429688
1658342742.3473666,38702080,-23.031280517578125
1658342802.35206,39318528,-21.469831466674805
1658342862.3607802,39934976,-20.03902816772461
1658342922.3585672,40551424,-20.530649185180664
1658342982.3558033,41168896,-21.156999588012695
1658343042.3502493,41785344,-22.25101089477539
1658343102.3482091,42400768,-21.960643768310547
1658343162.3594246,43017216,-21.818479537963867
1658343222.3502545,43636736,-21.31349754333496
1658343282.3467815,44252160,-20.195768356323242
1658343342.344233,44869632,-21.795108795166016
1658343402.3547122,45486080,-22.14620590209961
1658343462.3535218,46102528,-20.959245681762695
1658343522.3504248,46717952,-20.348905563354492
1658343582.354207,47336448,-21.507713317871094
1658343642.3506312,47954944,-21.68343734741211
1658343702.3524666,48570368,-20.2473087310791
1658343762.3440216,49188864,-20.199344635009766
1658343822.3499658,49801216,-20.791776657104492
1658343882.350874,50418688,-21.087387084960938
1658343942.3478205,51036160,-19.101293563842773
1658344002.3740819,51651584,-20.091835021972656
1658344062.3460279,52269056,-22.072172164916992
1658344122.353084,52884480,-21.78578758239746
1658344182.3603802,53502976,-20.96009635925293
1658344242.356069,54118400,-21.673044204711914
1658344302.3456514,54734848,-20.66982078552246
1658344362.3459766,55352320,-20.801084518432617
1658344422.3539658,55968768,-22.32480812072754
1658344482.3484511,56583168,-20.704835891723633
1658344542.3618271,57201664,-20.377880096435547
1658344602.3548965,57818112,-20.831193923950195
1658344662.3501303,58433536,-20.343158721923828
1658344722.3428094,59051008,-20.904878616333008
1658344782.3470328,59669504,-21.636442184448242
1658344842.353306,60284928,-21.737485885620117
1658344902.3458998,60901376,-21.11278533935547
1658344962.354814,61520896,-20.500913619995117
1658345022.3452086,62135296,-21.736576080322266
1658345082.3447638,62752768,-21.73491096496582
1658345142.357815,63369216,-21.191814422607422
1658345202.3524528,63985664,-20.724885940551758
1658345262.3490582,64604160,-20.536603927612305
1658345322.36705,65220608,-21.82071876525879
1658345382.3565133,65839104,-21.60641098022461
1658345442.3478792,66454528,-21.61157989501953
1658345502.3608346,67073024,-20.99472999572754
1658345562.3452263,67688448,-19.45054817199707
1658345622.3548403,68305920,-20.11165428161621
1658345682.3508778,68923392,-20.613449096679688
1658345742.3456616,69539840,-21.962865829467773
1658345802.3617413,70157312,-22.05260467529297
1658345862.3527627,70773760,-20.230310440063477
1658345922.355912,71391232,-19.3795108795166
1658345982.3460655,72009728,-20.562429428100586
1658346042.3476257,72626176,-20.864046096801758
1658346102.3596926,73243648,-20.58469581604004
1658346162.3471267,73861120,-21.684967041015625
1658346222.3528798,74477568,-21.6368465423584
1658346282.357411,75094016,-20.706192016601562
1658346342.3502688,75710464,-20.41814613342285
1658346402.3539376,76326912,-20.209917068481445
1658346462.352915,76943360,-19.628047943115234
