wall_time,step,value
1658339142.3504312,1682432,-51.70979690551758
1658339202.352012,2300928,-50.58901596069336
1658339262.3548186,2916352,-50.10520935058594
1658339322.3552008,3531776,-50.6786994934082
1658339382.3500578,4148224,-50.41815185546875
1658339442.3501496,4763648,-51.53351974487305
1658339502.3631823,5382144,-52.74142074584961
1658339562.348232,5999616,-51.760162353515625
1658339622.3422592,6617088,-51.166465759277344
1658339682.343147,7233536,-50.5552978515625
1658339742.3426092,7851008,-50.807647705078125
1658339802.3524952,8467456,-51.96829605102539
1658339862.3633332,9085952,-52.514888763427734
1658339922.3542557,9702400,-52.060855865478516
1658339982.3566053,10318848,-52.08042526245117
1658340042.3508756,10934272,-51.860008239746094
1658340102.3460786,11551744,-51.79743576049805
1658340162.3705847,12167168,-51.803218841552734
1658340222.3648791,12786688,-50.483158111572266
1658340282.3562357,13403136,-49.88272476196289
1658340342.348703,14020608,-50.295135498046875
1658340402.345832,14639104,-49.83282470703125
1658340462.3481712,15255552,-48.864295959472656
1658340522.357593,15874048,-47.54948043823242
1658340582.3540266,16491520,-46.414669036865234
1658340642.357453,17108992,-46.70485305786133
1658340702.3487744,17727488,-45.37892532348633
1658340762.3588548,18343936,-43.32362747192383
1658340822.3475196,18959360,-41.94916534423828
1658340882.3467202,19576832,-42.294437408447266
1658340942.352292,20193280,-41.99843978881836
1658341002.3521738,20810752,-41.470829010009766
1658341062.3440354,21427200,-40.57662582397461
1658341122.3629215,22045696,-39.382408142089844
1658341182.3511584,22661120,-37.400352478027344
1658341242.3558643,23277568,-33.54717254638672
1658341302.3439367,23895040,-34.044551849365234
1658341362.365723,24512512,-34.85274124145508
1658341422.345424,25128960,-32.53437042236328
1658341482.343211,25746432,-29.036033630371094
1658341542.348563,26363904,-27.513002395629883
1658341602.3497047,26980352,-27.769603729248047
1658341662.350019,27596800,-27.9802188873291
1658341722.3541656,28213248,-27.006574630737305
1658341782.3450053,28829696,-26.252229690551758
1658341842.3528755,29447168,-23.817033767700195
1658341902.3443809,30065664,-22.090951919555664
1658341962.3479981,30681088,-22.680503845214844
1658342022.3489957,31297536,-22.297672271728516
1658342082.351461,31916032,-22.770830154418945
1658342142.354091,32533504,-21.521629333496094
1658342202.354013,33149952,-19.49581527709961
1658342262.3471003,33766400,-20.227251052856445
1658342322.344418,34381824,-20.88467788696289
1658342382.3398087,34999296,-20.71670150756836
1658342442.3435457,35618816,-20.28349494934082
1658342502.3468075,36235264,-20.720428466796875
1658342562.3518841,36851712,-22.13086700439453
1658342622.3555005,37468160,-22.625484466552734
1658342682.353487,38086656,-21.752464294433594
1658342742.3441577,38702080,-21.57956314086914
1658342802.3497827,39318528,-20.591293334960938
1658342862.3603892,39934976,-20.216882705688477
1658342922.3579419,40551424,-20.280996322631836
1658342982.3554304,41168896,-20.765249252319336
1658343042.3491538,41785344,-20.71100616455078
1658343102.3478432,42400768,-20.34912872314453
1658343162.359039,43017216,-20.071928024291992
1658343222.3498986,43636736,-20.555782318115234
1658343282.3464265,44252160,-21.32656478881836
1658343342.344039,44869632,-21.46338653564453
1658343402.3483572,45486080,-19.357938766479492
1658343462.3531811,46102528,-19.909738540649414
1658343522.3483777,46717952,-20.80101776123047
1658343582.3538465,47336448,-20.322765350341797
1658343642.346828,47954944,-20.17530059814453
1658343702.3503304,48570368,-20.155410766601562
1658343762.3425345,49188864,-20.877531051635742
1658343822.349607,49801216,-21.16422462463379
1658343882.3486555,50418688,-19.99635887145996
1658343942.3467014,51036160,-20.502851486206055
1658344002.367335,51651584,-20.082744598388672
1658344062.3442404,52269056,-19.23059844970703
1658344122.350994,52884480,-21.30352020263672
1658344182.3528247,53502976,-20.736448287963867
1658344242.355708,54118400,-20.008071899414062
1658344302.345267,54734848,-19.313922882080078
1658344362.3456144,55352320,-20.05135154724121
1658344422.3503253,55968768,-20.63085174560547
1658344482.347257,56583168,-19.684642791748047
1658344542.3600013,57201664,-19.9921875
1658344602.3502119,57818112,-21.477941513061523
1658344662.349726,58433536,-21.825349807739258
1658344722.3424282,59051008,-19.622201919555664
1658344782.3419316,59669504,-19.751012802124023
1658344842.3507636,60284928,-19.893165588378906
1658344902.3455331,60901376,-20.21042251586914
1658344962.3525255,61520896,-21.38312339782715
1658345022.3432217,62135296,-22.006750106811523
1658345082.3436577,62752768,-20.482463836669922
1658345142.3574061,63369216,-20.806795120239258
1658345202.3512685,63985664,-21.45046043395996
1658345262.348678,64604160,-22.45735740661621
1658345322.3523595,65220608,-23.438093185424805
