wall_time,step,value
1658339142.344947,1682432,-51.40055465698242
1658339202.3478234,2300928,-51.14079666137695
1658339262.3469572,2916352,-51.00035858154297
1658339322.349185,3531776,-51.203887939453125
1658339382.34035,4148224,-50.91548538208008
1658339442.3451607,4763648,-50.68660354614258
1658339502.3564925,5382144,-49.73005294799805
1658339562.3402038,5999616,-50.07474136352539
1658339622.3363788,6617088,-50.73105239868164
1658339682.338562,7233536,-50.93651580810547
1658339742.3374598,7851008,-51.038883209228516
1658339802.3449588,8467456,-51.70425796508789
1658339862.3504682,9085952,-51.81100845336914
1658339922.3389723,9702400,-50.87848663330078
1658339982.3510947,10318848,-50.91236114501953
1658340042.346223,10934272,-50.95695877075195
1658340102.3433685,11551744,-51.65169906616211
1658340162.3587902,12167168,-50.76999282836914
1658340222.356704,12786688,-50.11856460571289
1658340282.349153,13403136,-49.421443939208984
1658340342.342576,14020608,-49.040679931640625
1658340402.3417382,14639104,-49.26239776611328
1658340462.3429441,15255552,-49.33185577392578
1658340522.3477116,15874048,-48.87957000732422
1658340582.344903,16491520,-46.66929244995117
1658340642.349778,17108992,-45.337486267089844
1658340702.3392518,17727488,-44.387123107910156
1658340762.354983,18343936,-44.1591682434082
1658340822.342724,18959360,-42.89087677001953
1658340882.339849,19576832,-41.44095230102539
1658340942.3468704,20193280,-40.884708404541016
1658341002.3404002,20810752,-39.16586685180664
1658341062.3392484,21427200,-37.10051727294922
1658341122.3525918,22045696,-36.41573715209961
1658341182.3440967,22661120,-34.96422576904297
1658341242.3467593,23277568,-33.48066329956055
1658341302.3390062,23895040,-31.40499496459961
1658341362.352648,24512512,-30.64148712158203
1658341422.3388288,25128960,-31.027048110961914
1658341482.338151,25746432,-28.8167781829834
1658341542.3439343,26363904,-27.69588279724121
1658341602.3437862,26980352,-27.862483978271484
1658341662.3419425,27596800,-27.459964752197266
1658341722.3447962,28213248,-25.118839263916016
1658341782.3364885,28829696,-25.060094833374023
1658341842.347238,29447168,-26.271512985229492
1658341902.3396695,30065664,-23.613142013549805
1658341962.342742,30681088,-22.196603775024414
1658342022.3442,31297536,-23.185773849487305
1658342082.340818,31916032,-23.49707794189453
1658342142.3491166,32533504,-22.27316665649414
1658342202.345098,33149952,-22.942941665649414
1658342262.3419592,33766400,-22.7308292388916
1658342322.3394184,34381824,-21.65951919555664
1658342382.33453,34999296,-20.614395141601562
1658342442.3365688,35618816,-21.195554733276367
1658342502.3413382,36235264,-22.092870712280273
1658342562.342203,36851712,-20.98785400390625
1658342622.351071,37468160,-20.58540153503418
1658342682.348593,38086656,-22.04338264465332
1658342742.3393564,38702080,-21.929466247558594
1658342802.3448076,39318528,-20.827892303466797
1658342862.346634,39934976,-21.496973037719727
1658342922.3445852,40551424,-21.264266967773438
1658342982.3408303,41168896,-20.282390594482422
1658343042.3455083,41785344,-20.755680084228516
1658343102.3428836,42400768,-20.894731521606445
1658343162.3503027,43017216,-20.36261749267578
1658343222.3436759,43636736,-19.998207092285156
1658343282.341268,44252160,-20.157182693481445
1658343342.339648,44869632,-20.144935607910156
1658343402.3427641,45486080,-21.98354148864746
1658343462.3429983,46102528,-23.492572784423828
1658343522.3430672,46717952,-21.600852966308594
1658343582.3408725,47336448,-22.155059814453125
1658343642.3386967,47954944,-23.43889617919922
1658343702.3399894,48570368,-21.990047454833984
1658343762.3371413,49188864,-20.341938018798828
1658343822.3441417,49801216,-20.20111656188965
1658343882.3441355,50418688,-21.52357292175293
1658343942.3426816,51036160,-20.9567928314209
1658344002.3616798,51651584,-19.603708267211914
1658344062.3395755,52269056,-19.88723373413086
1658344122.3416915,52884480,-20.657787322998047
1658344182.3444905,53502976,-19.826839447021484
1658344242.345947,54118400,-20.379987716674805
1658344302.3388405,54734848,-22.348793029785156
1658344362.3405654,55352320,-21.886693954467773
1658344422.3459327,55968768,-21.40542221069336
1658344482.3427105,56583168,-20.517141342163086
1658344542.3563178,57201664,-21.00939178466797
1658344602.3436906,57818112,-21.532184600830078
1658344662.342721,58433536,-20.179780960083008
1658344722.3388736,59051008,-20.15070343017578
1658344782.3385925,59669504,-21.720598220825195
1658344842.339117,60284928,-21.46993064880371
1658344902.3394997,60901376,-20.259580612182617
1658344962.348032,61520896,-20.024702072143555
1658345022.3376365,62135296,-20.842641830444336
1658345082.3390193,62752768,-20.276823043823242
1658345142.3441122,63369216,-19.67278289794922
1658345202.346708,63985664,-20.156221389770508
1658345262.3411648,64604160,-20.190217971801758
1658345322.348318,65220608,-19.660905838012695
1658345382.3451195,65839104,-18.949220657348633
1658345442.334353,66454528,-19.921716690063477
1658345502.3444662,67073024,-20.169363021850586
1658345562.33901,67688448,-20.658414840698242
1658345622.3477776,68305920,-20.73290252685547
1658345682.3402233,68923392,-19.977861404418945
1658345742.339232,69539840,-19.469688415527344
1658345802.3519332,70157312,-20.298128128051758
1658345862.344487,70773760,-20.418886184692383
1658345922.3416626,71391232,-19.267370223999023
1658345982.338409,72009728,-21.149024963378906
1658346042.3423305,72626176,-22.773284912109375
1658346102.348297,73243648,-21.000690460205078
1658346162.3421378,73861120,-19.221736907958984
1658346222.3475587,74477568,-20.01666831970215
1658346282.3440225,75094016,-20.406787872314453
1658346342.3368545,75710464,-20.546310424804688
1658346402.3396988,76326912,-20.928546905517578
1658346462.342601,76943360,-20.847885131835938
1658346522.350985,77560832,-19.944021224975586
1658346582.3465953,78178304,-19.98406982421875
1658346642.3492007,78794752,-20.905242919921875
1658346702.3419437,79411200,-20.697458267211914
1658346762.3418329,80027648,-19.425193786621094
1658346822.3463964,80645120,-19.798995971679688
