wall_time,step,value
1658339142.350053,1682432,-50.50154113769531
1658339202.3512237,2300928,-49.285377502441406
1658339262.354433,2916352,-50.56125259399414
1658339322.3545628,3531776,-51.68595886230469
1658339382.3496454,4148224,-51.37253952026367
1658339442.3497465,4763648,-51.87837600708008
1658339502.3627837,5382144,-51.348838806152344
1658339562.3480322,5999616,-50.70517349243164
1658339622.3393388,6617088,-50.744869232177734
1658339682.3427925,7233536,-52.16718292236328
1658339742.3416781,7851008,-52.71820068359375
1658339802.352113,8467456,-51.28730392456055
1658339862.3617089,9085952,-50.10107421875
1658339922.3529642,9702400,-51.09440612792969
1658339982.354579,10318848,-51.821659088134766
1658340042.3505042,10934272,-51.719852447509766
1658340102.3452468,11551744,-51.203453063964844
1658340162.3672838,12167168,-50.245059967041016
1658340222.3634539,12786688,-50.71363830566406
1658340282.3559914,13403136,-51.153846740722656
1658340342.3465817,14020608,-50.01557922363281
1658340402.3456376,14639104,-50.111961364746094
1658340462.346899,15255552,-48.8589973449707
1658340522.3555038,15874048,-47.113346099853516
1658340582.3536522,16491520,-45.20972442626953
1658340642.3570902,17108992,-43.56180953979492
1658340702.3485596,17727488,-43.496070861816406
1658340762.3584263,18343936,-43.331058502197266
1658340822.3471653,18959360,-41.00324249267578
1658340882.3446157,19576832,-39.94210433959961
1658340942.3503509,20193280,-39.698814392089844
1658341002.349945,20810752,-38.03126907348633
1658341062.3434267,21427200,-37.881256103515625
1658341122.355155,22045696,-38.476341247558594
1658341182.349665,22661120,-36.047428131103516
1658341242.355488,23277568,-34.242488861083984
1658341302.343737,23895040,-32.60826110839844
1658341362.3655229,24512512,-30.99432945251465
1658341422.3439925,25128960,-30.742115020751953
1658341482.3428466,25746432,-29.285743713378906
1658341542.3467515,26363904,-28.62875747680664
1658341602.347494,26980352,-27.422595977783203
1658341662.3471043,27596800,-26.94447135925293
1658341722.353783,28213248,-26.055065155029297
1658341782.344606,28829696,-24.298433303833008
1658341842.3524964,29447168,-23.681245803833008
1658341902.343342,30065664,-22.29236602783203
1658341962.3461132,30681088,-21.595609664916992
1658342022.348626,31297536,-22.494319915771484
1658342082.3492575,31916032,-23.541597366333008
1658342142.3537245,32533504,-22.530147552490234
1658342202.3536327,33149952,-22.48407554626465
1658342262.3467515,33766400,-22.53814125061035
1658342322.3440502,34381824,-22.11370086669922
1658342382.338887,34999296,-21.402908325195312
1658342442.3431613,35618816,-21.538360595703125
1658342502.34645,36235264,-22.36901092529297
1658342562.3454723,36851712,-21.9783935546875
1658342622.354362,37468160,-20.420352935791016
1658342682.3531263,38086656,-20.42746353149414
1658342742.3438869,38702080,-20.782638549804688
1658342802.3494596,39318528,-21.074718475341797
1658342862.3584135,39934976,-21.278236389160156
1658342922.3514113,40551424,-21.157989501953125
1658342982.353458,41168896,-20.65141487121582
1658343042.3488011,41785344,-21.26738739013672
1658343102.3464053,42400768,-21.740192413330078
1658343162.3570309,43017216,-21.814926147460938
1658343222.3460467,43636736,-21.331838607788086
1658343282.3460298,44252160,-20.474468231201172
1658343342.3430083,44869632,-20.989521026611328
1658343402.3479908,45486080,-21.16056251525879
1658343462.3458486,46102528,-21.70465660095215
1658343522.3480248,46717952,-22.538076400756836
1658343582.3472552,47336448,-21.32529640197754
1658343642.3452485,47954944,-19.576345443725586
1658343702.343866,48570368,-20.551294326782227
1658343762.3414109,49188864,-21.410917282104492
1658343822.3473122,49801216,-20.592647552490234
1658343882.348279,50418688,-21.1613826751709
1658343942.3455853,51036160,-22.327423095703125
1658344002.3669844,51651584,-21.90021514892578
1658344062.343895,52269056,-20.80345344543457
1658344122.350632,52884480,-20.990253448486328
1658344182.3526113,53502976,-19.89686393737793
1658344242.3553276,54118400,-20.58460235595703
1658344302.3431723,54734848,-19.954526901245117
1658344362.344541,55352320,-19.48943519592285
1658344422.3499823,55968768,-20.46700668334961
1658344482.3458698,56583168,-20.796611785888672
1658344542.359045,57201664,-20.557466506958008
1658344602.3498464,57818112,-21.988941192626953
1658344662.3475459,58433536,-23.87799072265625
1658344722.340722,59051008,-22.760833740234375
1658344782.3416085,59669504,-20.880369186401367
1658344842.3504372,60284928,-20.516416549682617
1658344902.3429384,60901376,-20.180179595947266
1658344962.352261,61520896,-19.962703704833984
1658345022.3428705,62135296,-20.89378547668457
1658345082.3420494,62752768,-21.60441780090332
1658345142.35521,63369216,-21.349285125732422
1658345202.3498433,63985664,-21.076438903808594
1658345262.3429778,64604160,-22.413009643554688
1658345322.3514202,65220608,-21.97394371032715
1658345382.3548255,65839104,-21.194534301757812
1658345442.3452058,66454528,-22.315717697143555
1658345502.355344,67073024,-21.9625186920166
1658345562.344478,67688448,-20.37086296081543
1658345622.351884,68305920,-19.713054656982422
1658345682.3484778,68923392,-20.62353515625
1658345742.3436382,69539840,-20.743450164794922
1658345802.360533,70157312,-19.93760108947754
1658345862.3502994,70773760,-21.038288116455078
1658345922.3543541,71391232,-21.67605972290039
1658345982.3432026,72009728,-20.766971588134766
1658346042.3466537,72626176,-20.675216674804688
1658346102.3531933,73243648,-21.1085205078125
1658346162.346405,73861120,-19.926170349121094
1658346222.3521676,74477568,-20.259138107299805
1658346282.3544877,75094016,-20.589637756347656
1658346342.3434987,75710464,-20.551105499267578
1658346402.351392,76326912,-22.069599151611328
1658346462.346563,76943360,-20.747230529785156
1658346522.3542843,77560832,-21.126007080078125
1658346582.3510325,78178304,-21.39530372619629
1658346642.35198,78794752,-20.040489196777344
1658346702.351728,79411200,-19.681489944458008
1658346762.3460507,80027648,-19.687646865844727
1658346822.3509989,80645120,-20.26641845703125
1658346882.3509698,81258496,-20.843564987182617
1658346942.3523645,81878016,-21.289234161376953
1658347002.3493242,82494464,-21.233154296875
1658347062.3582132,83110912,-20.473609924316406
1658347122.3503203,83727360,-21.89124298095703
1658347182.3571057,84342784,-22.73063850402832
1658347242.351462,84961280,-22.715049743652344
1658347302.3447645,85577728,-22.206645965576172
1658347362.3510141,86195200,-21.708763122558594
1658347422.3491242,86811648,-22.33088493347168
1658347482.3458931,87429120,-20.875242233276367
1658347542.345347,88044544,-19.779081344604492
1658347602.340964,88659968,-21.416950225830078
1658347662.3421025,89278464,-22.279722213745117
1658347722.3428879,89896960,-21.751523971557617
1658347782.3458638,90511360,-22.462217330932617
1658347842.3659651,91130880,-23.449899673461914
1658347902.3555539,91746304,-22.18915367126465
1658347962.3551002,92362752,-20.914716720581055
1658348022.3490188,92980224,-20.94164276123047
1658348082.3427908,93594624,-21.692623138427734
1658348142.35544,94212096,-23.60334014892578
1658348202.3495958,94827520,-24.909629821777344
1658348262.3428593,95440896,-23.36276626586914
1658348322.3566756,96056320,-24.400846481323242
1658348382.3463697,96673792,-26.177392959594727
1658348442.3492851,97288192,-25.00298500061035
1658348502.356046,97903616,-24.059547424316406
1658348562.3442519,98520064,-21.677698135375977
1658348622.3526988,99136512,-22.464807510375977
1658348682.3546844,99751936,-23.03120231628418
1658348742.348715,100368384,-22.23848533630371
1658348802.3582222,100982784,-23.17435646057129
1658348862.3510892,101601280,-22.824186325073242
1658348922.3468878,102215680,-21.921701431274414
1658348982.346821,102832128,-21.870851516723633
1658349042.3401997,103447552,-21.72991180419922
1658349102.3468,104065024,-23.041933059692383
1658349162.345492,104681472,-22.107519149780273
1658349222.3424084,105297920,-21.559728622436523
1658349282.3447533,105913344,-22.224151611328125
1658349342.3417978,106529792,-23.907514572143555
1658349402.3493419,107145216,-23.961210250854492
1658349462.3606188,107762688,-23.491954803466797
1658349522.3471017,108380160,-23.294538497924805
1658349582.34675,108995584,-21.828689575195312
1658349642.3479173,109615104,-21.253250122070312
1658349702.3493195,110230528,-21.6059513092041
1658349762.3585854,110845952,-22.019380569458008
1658349822.3506703,111463424,-21.597639083862305
1658349882.3438478,112079872,-21.48224449157715
1658349942.3621984,112696320,-22.182514190673828
1658350002.3406363,113312768,-23.00701141357422
1658350062.3466823,113929216,-24.046354293823242
1658350122.350605,114546688,-23.195947647094727
1658350182.3456528,115160064,-22.197322845458984
1658350242.351984,115774464,-22.60219383239746
1658350302.358958,116388864,-21.65557098388672
1658350362.3433652,117003264,-20.029842376708984
1658350422.3509574,117614592,-19.094303131103516
1658350482.3552732,118226944,-18.95823097229004
1658350542.3531163,118837248,-18.947509765625
1658350602.3574333,119447552,-17.83331871032715
1658350662.348054,120056832,-16.697851181030273
1658350722.3443873,120666112,-16.093677520751953
1658350782.3410294,121274368,-16.521207809448242
1658350842.35069,121883648,-16.775787353515625
1658350902.3517983,122490880,-15.970369338989258
1658350962.3446434,123100160,-16.529773712158203
1658351022.347805,123707392,-17.234575271606445
1658351082.3429544,124316672,-17.78397560119629
1658351142.3560023,124924928,-17.26483917236328
1658351202.3515375,125532160,-17.0596923828125
1658351262.3467946,126141440,-16.180517196655273
1658351322.3471677,126747648,-14.515401840209961
1658351382.3412976,127354880,-14.618940353393555
1658351442.3408828,127963136,-15.096393585205078
1658351502.351148,128571392,-14.500594139099121
1658351562.3540423,129179648,-14.315052032470703
1658351622.3451204,129787904,-15.465498924255371
1658351682.347354,130395136,-15.202906608581543
1658351742.3445983,131002368,-14.833963394165039
1658351802.3468275,131610624,-15.087974548339844
1658351862.3442512,132219904,-14.18858814239502
1658351922.345333,132827136,-14.285944938659668
1658351982.348762,133436416,-14.034107208251953
1658352042.3577483,134042624,-14.096096992492676
1658352102.3560612,134650880,-14.475224494934082
1658352162.3637614,135259136,-14.533042907714844
1658352222.3502893,135866368,-14.144577980041504
1658352282.3401124,136472576,-13.674675941467285
1658352342.343333,137080832,-13.646408081054688
1658352402.3422623,137687040,-13.480546951293945
1658352462.350928,138295296,-13.562562942504883
1658352522.3458552,138902528,-14.277507781982422
1658352582.3543313,139511808,-14.22604751586914
1658352642.3475618,140119040,-13.287357330322266
1658352702.366828,140725248,-13.59768009185791
1658352762.3436265,141332480,-14.84532642364502
1658352822.3560379,141941760,-14.30772876739502
1658352882.3480706,142546944,-12.733240127563477
1658352942.3488193,143156224,-12.650928497314453
1658353002.3499713,143763456,-13.852774620056152
1658353062.3506038,144371712,-13.28450870513916
1658353122.3723183,144978944,-12.75396728515625
1658353182.350217,145587200,-11.6454439163208
1658353242.3535411,146194432,-11.655707359313965
1658353302.3441782,146800640,-11.402822494506836
1658353362.348363,147408896,-11.628482818603516
1658353422.3485324,148016128,-10.871511459350586
1658353482.351019,148621312,-10.414910316467285
1658353542.3488672,149228544,-11.428252220153809
1658353602.361696,149836800,-11.475378036499023
1658353662.3498442,150443008,-10.87202262878418
1658353722.364313,151050240,-10.255270957946777
1658353782.3510892,151656448,-11.040494918823242
1658353842.3495395,152263680,-10.848562240600586
1658353902.3462543,152871936,-10.613727569580078
1658353962.347349,153480192,-10.718745231628418
1658354022.3471718,154085376,-10.763175010681152
1658354082.3508785,154693632,-9.245755195617676
1658354142.3628788,155300864,-9.661666870117188
1658354202.3495471,155910144,-11.359460830688477
1658354262.3502645,156515328,-12.305113792419434
1658354322.3516116,157122560,-11.465497016906738
1658354382.3507786,157728768,-11.39036750793457
1658354442.3467288,158336000,-11.092529296875
1658354502.3592165,158943232,-11.036055564880371
1658354562.3454018,159551488,-11.629984855651855
1658354622.3585627,160159744,-11.792537689208984
1658354682.3470497,160765952,-10.90438175201416
1658354742.349961,161373184,-10.783596992492676
1658354802.3555644,161980416,-10.567737579345703
1658354862.3480055,162586624,-10.251411437988281
1658354922.350132,163192832,-9.227126121520996
1658354982.347187,163800064,-8.874701499938965
1658355042.3482459,164408320,-9.174878120422363
1658355102.3526561,165015552,-9.08409595489502
1658355162.3472576,165620736,-9.488433837890625
1658355222.346681,166226944,-10.868002891540527
1658355282.3420095,166835200,-11.187667846679688
1658355342.354934,167441408,-10.301936149597168
1658355402.341397,168049664,-8.65405559539795
1658355462.3532941,168653824,-10.061943054199219
1658355522.3499894,169262080,-9.992782592773438
1658355582.365776,169868288,-9.631784439086914
1658355642.348358,170475520,-9.106170654296875
1658355702.3477516,171081728,-8.685409545898438
1658355762.3553338,171689984,-9.176884651184082
1658355822.3490248,172297216,-9.321880340576172
1658355882.354539,172901376,-8.333943367004395
1658355942.3452327,173510656,-7.498813629150391
1658356002.3503711,174117888,-8.771502494812012
1658356062.3461099,174724096,-9.307658195495605
1658356122.3399076,175330304,-9.396482467651367
1658356182.3567765,175936512,-9.842026710510254
1658356242.343978,176541696,-8.35405158996582
1658356302.3546147,177152000,-7.123302459716797
1658356362.3469758,177757184,-7.48465633392334
1658356422.3559353,178364416,-8.791619300842285
1658356482.3566256,178971648,-9.662870407104492
1658356542.352491,179576832,-9.429886817932129
1658356602.3525198,180187136,-9.104933738708496
1658356662.3454368,180793344,-9.069236755371094
1658356722.3631527,181398528,-8.050055503845215
1658356782.3468983,182006784,-7.797238349914551
1658356842.3501928,182610944,-7.705571174621582
1658356902.3537955,183218176,-7.3333282470703125
1658356962.3480186,183824384,-8.718314170837402
1658357022.3444257,184428544,-9.565804481506348
1658357082.346206,185036800,-10.14806079864502
1658357142.346246,185643008,-10.245752334594727
1658357202.345841,186250240,-9.878077507019043
1658357262.3523052,186857472,-9.717818260192871
1658357322.3578074,187463680,-9.888465881347656
1658357382.3492136,188071936,-10.296537399291992
1658357442.3505678,188679168,-9.284383773803711
1658357502.3549037,189287424,-10.241585731506348
1658357562.3493812,189892608,-11.146644592285156
1658357622.3466527,190500864,-9.80032730102539
1658357682.3586204,191107072,-9.241761207580566
1658357742.349873,191712256,-9.241250991821289
1658357802.3475034,192319488,-9.993036270141602
1658357862.3506532,192926720,-8.458206176757812
1658357922.3543298,193534976,-7.216518878936768
1658357982.3497202,194142208,-8.00989055633545
1658358042.3605502,194748416,-8.954595565795898
1658358102.3442228,195354624,-8.996169090270996
1658358162.3512537,195961856,-8.36631965637207
1658358222.3510354,196567040,-7.960114002227783
1658358282.3425875,197173248,-6.982386589050293
1658358342.3458652,197780480,-6.318438529968262
1658358402.349649,198385664,-7.078372955322266
1658358462.3451595,198993920,-7.70432186126709
1658358522.3489137,199599104,-7.2313151359558105
1658358582.356734,200207360,-7.273030757904053
1658358642.3510146,200812544,-7.9340715408325195
1658358702.3489816,201419776,-7.799165725708008
1658358762.3722763,202024960,-7.036571025848389
1658358822.3474407,202633216,-6.649447441101074
1658358882.3439057,203240448,-6.92045259475708
1658358942.3450797,203847680,-8.248318672180176
1658359002.3477764,204453888,-8.16140079498291
1658359062.3423476,205060096,-6.796259880065918
1658359122.3544993,205668352,-7.261167526245117
1658359182.3420258,206272512,-7.064748287200928
1658359242.3582091,206878720,-8.05507755279541
1658359302.3522668,207485952,-8.055108070373535
1658359362.3475327,208093184,-8.085801124572754
1658359422.3467035,208701440,-8.417722702026367
1658359482.359154,209307648,-8.374953269958496
1658359542.340309,209913856,-8.863404273986816
1658359602.3468237,210520064,-9.334145545959473
1658359662.3456867,211127296,-8.641946792602539
1658359722.3460555,211734528,-6.473689079284668
1658359782.3432066,212340736,-6.535198211669922
1658359842.3485923,212946944,-7.536915302276611
1658359902.3501153,213555200,-7.369693279266357
1658359962.3467376,214160384,-6.4790873527526855
1658360022.3490279,214767616,-6.455859184265137
1658360082.3412595,215374848,-6.712742805480957
1658360142.3418028,215980032,-7.587392807006836
1658360202.3550768,216587264,-7.9174485206604
1658360262.3527806,217192448,-8.208447456359863
1658360322.3526375,217797632,-7.748027324676514
1658360382.3550954,218402816,-6.615574359893799
1658360442.345454,219008000,-6.937793731689453
1658360502.35828,219615232,-6.825997829437256
1658360562.3565106,220220416,-6.582512855529785
1658360622.3516612,220826624,-6.444140911102295
1658360682.3431866,221435904,-6.826666355133057
1658360742.340084,222040064,-6.990021705627441
1658360802.346943,222647296,-6.776523590087891
1658360862.3514905,223254528,-8.199947357177734
1658360922.3516064,223861760,-8.14699935913086
1658360982.350831,224465920,-7.3134260177612305
1658361042.3577785,225071104,-7.542862892150879
1658361102.3439815,225679360,-6.809831619262695
1658361162.3491855,226284544,-6.761861801147461
1658361222.355089,226892800,-6.7224931716918945
1658361282.3509166,227497984,-6.539994239807129
1658361342.3468573,228106240,-6.891107559204102
1658361402.3534634,228711424,-7.717569828033447
1658361462.3407252,229318656,-7.09623384475708
1658361522.3567765,229922816,-6.575472354888916
1658361582.3481472,230529024,-6.061505317687988
1658361642.340776,231135232,-6.807444095611572
1658361702.3545544,231741440,-7.221217632293701
1658361762.3496544,232347648,-8.436212539672852
1658361822.344263,232954880,-7.754043102264404
1658361882.3503227,233561088,-6.853549480438232
1658361942.3541236,234167296,-7.864494800567627
1658362002.347748,234774528,-7.484011650085449
1658362062.357851,235380736,-6.406904220581055
1658362122.3562536,235986944,-5.973290920257568
1658362182.3506448,236594176,-6.378800868988037
1658362242.343358,237200384,-6.745629787445068
1658362302.3483489,237806592,-7.419537544250488
1658362362.3467524,238412800,-7.2578535079956055
1658362422.3393395,239020032,-6.0335845947265625
1658362482.356902,239624192,-5.804513931274414
1658362542.352206,240230400,-6.314229488372803
1658362602.3426504,240836608,-6.5791144371032715
1658362662.3442242,241442816,-5.989442825317383
1658362722.348561,242048000,-6.036617755889893
1658362782.3526077,242655232,-6.433317184448242
1658362842.356694,243262464,-6.228175163269043
1658362902.3454149,243869696,-6.4781107902526855
1658362962.3507826,244475904,-6.702932357788086
1658363022.3510675,245082112,-7.219754219055176
1658363082.3444936,245689344,-7.9115071296691895
1658363142.3578057,246295552,-6.987905025482178
1658363202.3420546,246901760,-6.576552867889404
1658363262.353595,247507968,-6.08049201965332
1658363322.3432176,248115200,-6.217574596405029
1658363382.3500297,248721408,-6.376884460449219
1658363442.3509066,249327616,-6.66110372543335
1658363502.3597996,249932800,-7.009024143218994
1658363562.34579,250537984,-7.132744789123535
1658363622.3435214,251144192,-6.654833793640137
1658363682.349643,251750400,-7.178117752075195
1658363742.34977,252355584,-7.275627136230469
1658363802.3470879,252960768,-6.318614959716797
1658363862.3502285,253565952,-5.844840049743652
1658363922.3504121,254174208,-7.077639102935791
1658363982.3628786,254779392,-7.366377830505371
1658364042.3519266,255386624,-6.0090861320495605
1658364102.35066,255990784,-6.46893310546875
1658364162.3426404,256598016,-6.672195911407471
1658364222.3607028,257203200,-6.433039665222168
1658364282.3517573,257809408,-7.372343063354492
1658364342.349057,258415616,-6.681187152862549
1658364402.3553722,259019776,-6.370355129241943
1658364462.3557813,259625984,-6.0093817710876465
1658364522.3455315,260233216,-7.060922145843506
1658364582.3521512,260839424,-6.909262657165527
1658364642.3515856,261445632,-6.783238410949707
1658364702.3494208,262052864,-7.2176995277404785
1658364762.3482153,262659072,-7.509666442871094
1658364822.3542106,263265280,-7.160398006439209
1658364882.3535924,263871488,-7.240864276885986
1658364942.3448842,264475648,-7.195786476135254
1658365002.3632505,265081856,-6.754988193511963
1658365062.350951,265688064,-6.385653495788574
1658365122.34325,266295296,-6.812555313110352
1658365182.3536246,266900480,-7.143701553344727
1658365242.3445165,267506688,-6.836577892303467
1658365302.3509786,268113920,-6.128997325897217
1658365362.3465488,268719104,-5.807158946990967
1658365422.347247,269327360,-6.156154632568359
1658365482.3494112,269932544,-7.01334810256958
1658365542.35035,270539776,-7.6657586097717285
1658365602.3638682,271147008,-7.249985694885254
1658365662.3525271,271752192,-6.3087005615234375
1658365722.3466327,272358400,-5.779380798339844
1658365782.3457363,272964608,-7.481734752655029
1658365842.3407674,273570816,-7.812404632568359
1658365902.3451698,274177024,-5.46024227142334
1658365962.3468895,274781184,-6.01170539855957
1658366022.3419282,275388416,-5.902608871459961
1658366082.358873,275994624,-6.4147419929504395
1658366142.3462205,276600832,-7.386608600616455
1658366202.3403745,277208064,-7.192283630371094
1658366262.3485181,277814272,-6.300954818725586
1658366322.3480875,278420480,-6.870232105255127
1658366382.3455698,279025664,-6.359901428222656
1658366442.3465111,279631872,-6.005756855010986
1658366502.3573325,280235008,-6.235356330871582
1658366562.349522,280843264,-7.187450885772705
1658366622.35341,281448448,-6.692152500152588
1658366682.3479528,282055680,-6.3492231369018555
1658366742.3512926,282659840,-5.491012096405029
1658366802.3495426,283267072,-5.531529903411865
1658366862.3458767,283873280,-6.020663738250732
1658366922.3460462,284478464,-6.527917385101318
1658366982.3515391,285082624,-5.752707004547119
1658367042.3515275,285688832,-5.548891067504883
1658367102.3473299,286296064,-6.860406398773193
1658367162.3446677,286903296,-6.867203712463379
1658367222.3507462,287507456,-7.021969318389893
1658367282.3450818,288113664,-7.121646404266357
1658367342.344409,288719872,-6.676218509674072
1658367402.3552227,289325056,-6.944751739501953
1658367462.3397913,289932288,-6.751220226287842
1658367522.3605683,290538496,-7.299989700317383
1658367582.3530056,291144704,-7.667871475219727
1658367642.3445103,291750912,-8.356240272521973
1658367702.3454077,292357120,-8.455286979675293
1658367762.3469794,292964352,-7.919360160827637
1658367822.3491907,293570560,-7.7171101570129395
1658367882.3487945,294176768,-6.840425491333008
1658367942.35063,294780928,-5.859222412109375
1658368002.3491166,295388160,-5.417699813842773
1658368062.3437457,295996416,-6.136573314666748
1658368122.3482218,296602624,-6.68861198425293
1658368182.3564515,297208832,-6.764426231384277
1658368242.3578901,297815040,-7.297967433929443
1658368302.3510625,298419200,-6.163453102111816
1658368362.3547213,299028480,-6.169060707092285
1658368422.3558338,299631616,-8.260200500488281
1658368482.3490136,300237824,-7.802653789520264
1658368542.3456404,300844032,-7.228977203369141
1658368602.3660169,301451264,-6.494118690490723
1658368662.3498406,302057472,-5.844135284423828
1658368722.3546927,302661632,-6.042871475219727
1658368782.3438814,303268864,-6.28995943069458
1658368842.3496304,303875072,-6.726217746734619
1658368902.3524854,304481280,-6.600987434387207
1658368962.3539598,305088512,-5.582817077636719
1658369022.3459423,305693696,-6.027136325836182
1658369082.3478675,306298880,-6.436541557312012
1658369142.345719,306907136,-5.600223064422607
1658369202.360401,307514368,-5.201281547546387
1658369262.3552449,308118528,-5.2371506690979
1658369322.3434844,308725760,-5.2101664543151855
1658369382.3465366,309330944,-5.408413887023926
1658369442.355097,309937152,-5.60658073425293
1658369502.3489656,310543360,-5.823801517486572
1658369562.3511453,311149568,-5.814897537231445
1658369622.3521187,311755776,-6.6647629737854
1658369682.341841,312359936,-6.606223106384277
1658369742.359913,312965120,-5.60056734085083
1658369802.345824,313573376,-5.8826470375061035
1658369862.345783,314178560,-5.102389335632324
1658369922.3417864,314783744,-4.885350227355957
1658369982.3446648,315392000,-5.9370436668396
1658370042.3590012,315997184,-6.208035945892334
1658370102.349497,316602368,-5.95776891708374
1658370162.358285,317209600,-6.089242935180664
1658370222.345209,317815808,-6.132324695587158
1658370282.3482666,318420992,-6.204130172729492
1658370342.354064,319029248,-6.740533828735352
1658370402.3496106,319634432,-7.818382740020752
1658370462.3410463,320240640,-7.072016716003418
1658370522.3593488,320848896,-6.29982852935791
1658370582.34405,321452032,-6.454403877258301
1658370642.343063,322059264,-7.098604202270508
1658370702.3510673,322664448,-6.383483409881592
1658370762.353504,323269632,-6.219677925109863
1658370822.3524358,323874816,-5.736629486083984
1658370882.3477068,324481024,-5.41989803314209
1658370942.3489094,325087232,-5.489477634429932
1658371002.3466275,325693440,-5.265061378479004
1658371062.3548267,326299648,-5.123158931732178
1658371122.3577175,326904832,-5.601528644561768
1658371182.3481817,327510016,-6.124004364013672
1658371242.3510168,328116224,-6.037230968475342
1658371302.3461661,328721408,-5.52592134475708
