wall_time,step,value
1658339142.3468578,1682432,-52.6207160949707
1658339202.349231,2300928,-52.0542106628418
1658339262.3525157,2916352,-50.35745620727539
1658339322.3529296,3531776,-50.455162048339844
1658339382.3423975,4148224,-50.1711540222168
1658339442.3476362,4763648,-50.3328742980957
1658339502.3608005,5382144,-49.98561477661133
1658339562.3431592,5999616,-50.064788818359375
1658339622.338803,6617088,-51.25946044921875
1658339682.340917,7233536,-50.548988342285156
1658339742.3403935,7851008,-51.46445846557617
1658339802.3470073,8467456,-51.407840728759766
1658339862.3612044,9085952,-51.603759765625
1658339922.3510199,9702400,-51.67867660522461
1658339982.354047,10318848,-51.571495056152344
1658340042.3483975,10934272,-51.053829193115234
1658340102.3449392,11551744,-51.63847351074219
1658340162.3667364,12167168,-51.429195404052734
1658340222.3628986,12786688,-50.407169342041016
1658340282.3547497,13403136,-50.706443786621094
1658340342.3447487,14020608,-49.740455627441406
1658340402.3441505,14639104,-48.32392120361328
1658340462.3453193,15255552,-48.649269104003906
1658340522.3549602,15874048,-47.71561050415039
1658340582.3513496,16491520,-45.43998718261719
1658340642.3549535,17108992,-44.41584396362305
1658340702.3465216,17727488,-44.09868240356445
1658340762.3569074,18343936,-44.487327575683594
1658340822.3450682,18959360,-41.48895263671875
1658340882.3440447,19576832,-39.585113525390625
1658340942.348971,20193280,-40.92292022705078
1658341002.3493302,20810752,-40.987728118896484
1658341062.3417487,21427200,-39.471439361572266
1658341122.3546658,22045696,-37.76090621948242
1658341182.3479586,22661120,-35.008522033691406
1658341242.3502262,23277568,-34.928016662597656
1658341302.3419113,23895040,-33.104164123535156
1658341362.3537748,24512512,-33.97895431518555
1658341422.3423228,25128960,-32.51853561401367
1658341482.3406415,25746432,-28.795801162719727
1658341542.3462024,26363904,-28.443042755126953
1658341602.345808,26980352,-28.377840042114258
1658341662.3460588,27596800,-26.15652847290039
1658341722.351462,28213248,-25.88162612915039
1658341782.3393078,28829696,-25.4788818359375
1658341842.3501134,29447168,-25.331701278686523
1658341902.342109,30065664,-24.673587799072266
1658341962.344186,30681088,-24.26657485961914
1658342022.3466353,31297536,-24.200756072998047
1658342082.3428042,31916032,-22.606342315673828
1658342142.3516958,32533504,-22.30539894104004
1658342202.351215,33149952,-22.528539657592773
1658342262.3446171,33766400,-22.20319938659668
