wall_time,step,value
1658339022.3303537,450560,0.0
1658339082.3289862,1067008,0.0
1658339142.3325794,1682432,0.0
1658339202.3379889,2300928,0.0
1658339262.3375978,2916352,0.0
1658339322.335643,3531776,0.0
1658339382.3346415,4148224,0.0
1658339442.3370056,4763648,0.0
1658339502.3413374,5382144,0.0
1658339562.3344378,5999616,0.0
1658339622.3296547,6617088,0.0
1658339682.3337798,7233536,0.0
1658339742.332413,7851008,0.0
1658339802.3339531,8467456,0.0
1658339862.3445554,9085952,0.0
1658339922.3344653,9702400,0.0
1658339982.3392518,10318848,0.0
1658340042.3404012,10934272,0.0
1658340102.3366559,11551744,0.0
1658340162.3448317,12167168,0.0
1658340222.348996,12786688,0.0
1658340282.3351665,13403136,0.0
1658340342.3311868,14020608,0.0
1658340402.3334243,14639104,0.0
1658340462.3329916,15255552,0.0
1658340522.3362556,15874048,0.0
1658340582.3391652,16491520,0.0
1658340642.344197,17108992,0.0
1658340702.3320467,17727488,0.0
1658340762.3387227,18343936,0.0
1658340822.3360717,18959360,0.0
1658340882.332389,19576832,0.0
1658340942.332629,20193280,0.0
1658341002.3346744,20810752,0.0
1658341062.3324907,21427200,0.0
1658341122.3365982,22045696,0.0
1658341182.3388076,22661120,0.0
1658341242.3364172,23277568,0.0
1658341302.329747,23895040,0.0
1658341362.3387544,24512512,0.0
1658341422.3326688,25128960,0.0
1658341482.3330648,25746432,0.0
1658341542.3310413,26363904,0.0
1658341602.3304336,26980352,0.0
1658341662.3367245,27596800,0.0
1658341722.334449,28213248,0.0
1658341782.330615,28829696,0.0
1658341842.3368635,29447168,0.0
1658341902.3343377,30065664,0.0
1658341962.335106,30681088,0.0
1658342022.3374805,31297536,0.0
1658342082.3309736,31916032,0.0
1658342142.3439867,32533504,0.0
1658342202.339909,33149952,0.0
1658342262.3362913,33766400,0.0
1658342322.330706,34381824,0.0
1658342382.3302534,34999296,0.0
1658342442.331097,35618816,0.0
1658342502.3323154,36235264,0.0
1658342562.3352454,36851712,0.0
1658342622.3390362,37468160,0.0
1658342682.3429968,38086656,0.0
1658342742.3301675,38702080,0.0
1658342802.3391752,39318528,0.0
1658342862.3407915,39934976,0.0
1658342922.3391938,40551424,0.0
1658342982.3349893,41168896,0.0
1658343042.3353143,41785344,0.0
1658343102.3374057,42400768,0.0
1658343162.3431468,43017216,0.0
1658343222.3337104,43636736,0.0
1658343282.3359566,44252160,0.0
1658343342.333923,44869632,0.0
1658343402.3318594,45486080,0.0
1658343462.337704,46102528,0.0
1658343522.3332496,46717952,0.0
1658343582.32993,47336448,0.0
1658343642.333529,47954944,0.0
1658343702.3365095,48570368,0.0
1658343762.3307917,49188864,0.0
1658343822.3400962,49801216,0.0
1658343882.3371549,50418688,0.0
1658343942.3332,51036160,0.0
1658344002.353263,51651584,0.0
1658344062.3347073,52269056,0.0
1658344122.3365676,52884480,0.0
1658344182.3400254,53502976,0.0
1658344242.3386607,54118400,0.0
1658344302.333023,54734848,0.0
1658344362.333572,55352320,0.0
1658344422.3365211,55968768,0.0
1658344482.3354256,56583168,0.0
1658344542.3421073,57201664,0.0
1658344602.3376722,57818112,0.0
1658344662.337394,58433536,0.0
1658344722.333094,59051008,0.0
1658344782.3312771,59669504,0.0
1658344842.3331125,60284928,0.0
1658344902.333088,60901376,0.0
1658344962.3391366,61520896,0.0
1658345022.3308644,62135296,0.0
1658345082.3306527,62752768,0.0
1658345142.3387468,63369216,0.0
