wall_time,step,value
1658339022.3272452,450560,0.0
1658339082.3262963,1067008,0.0
1658339142.3294437,1682432,0.0
1658339202.3362126,2300928,0.0
1658339262.3347125,2916352,0.0
1658339322.3279073,3531776,0.0
1658339382.3318386,4148224,0.0
1658339442.334346,4763648,0.0
1658339502.338845,5382144,0.0
1658339562.3279881,5999616,0.0
1658339622.3266127,6617088,0.0
1658339682.3312619,7233536,0.0
1658339742.3295333,7851008,0.0
1658339802.331454,8467456,0.0
1658339862.335942,9085952,0.0
1658339922.3317015,9702400,0.0
1658339982.3271573,10318848,0.0
1658340042.3325758,10934272,0.0
1658340102.3310027,11551744,0.0
1658340162.3402963,12167168,0.0
1658340222.3409574,12786688,0.0
1658340282.3293018,13403136,0.0
1658340342.3285694,14020608,0.0
1658340402.3308923,14639104,0.0
1658340462.3305314,15255552,0.0
1658340522.3332937,15874048,0.0
1658340582.3327627,16491520,0.0
1658340642.3365927,17108992,0.0
1658340702.3286943,17727488,0.0
1658340762.3363633,18343936,0.0
1658340822.333877,18959360,0.0
1658340882.3293889,19576832,0.0
1658340942.3273318,20193280,0.0
1658341002.3319266,20810752,0.0
1658341062.3299704,21427200,0.0
1658341122.3339736,22045696,0.0
1658341182.335712,22661120,0.0
1658341242.3318598,23277568,0.0
1658341302.3270154,23895040,0.0
1658341362.3361418,24512512,0.0
1658341422.3294466,25128960,0.0
1658341482.3305604,25746432,0.0
1658341542.3274992,26363904,0.0
1658341602.3280673,26980352,0.0
1658341662.3309474,27596800,0.0
1658341722.3316133,28213248,0.0
1658341782.3279545,28829696,0.0
1658341842.3340847,29447168,0.0
1658341902.3268201,30065664,0.0
1658341962.332672,30681088,0.0
1658342022.3346388,31297536,0.0
1658342082.326985,31916032,0.0
1658342142.3374202,32533504,0.0
1658342202.3343668,33149952,0.0
1658342262.3256295,33766400,0.0
1658342322.3279996,34381824,0.0
1658342382.3268905,34999296,0.0
1658342442.3289256,35618816,0.0
1658342502.330026,36235264,0.0
1658342562.3278637,36851712,0.0
1658342622.3362987,37468160,0.0
1658342682.3405325,38086656,0.0
1658342742.3282685,38702080,0.0
1658342802.3332784,39318528,0.0
1658342862.3309934,39934976,0.0
1658342922.3330746,40551424,0.0
1658342982.3325582,41168896,0.0
1658343042.3301826,41785344,0.0
1658343102.3307123,42400768,0.0
1658343162.3345199,43017216,0.0
1658343222.3320546,43636736,0.0
1658343282.3327947,44252160,0.0
1658343342.3316276,44869632,0.0
1658343402.329576,45486080,0.0
1658343462.3275046,46102528,0.0
1658343522.330879,46717952,0.0
1658343582.3274937,47336448,0.0
1658343642.330688,47954944,0.0
1658343702.332807,48570368,0.0
1658343762.3282142,49188864,0.0
1658343822.336555,49801216,0.0
1658343882.3346157,50418688,0.0
1658343942.3306928,51036160,0.0
1658344002.348624,51651584,0.0
1658344062.332322,52269056,0.0
1658344122.3338423,52884480,0.0
1658344182.33586,53502976,0.0
1658344242.3359878,54118400,0.0
1658344302.330547,54734848,0.0
1658344362.3308804,55352320,0.0
1658344422.328229,55968768,0.0
1658344482.332865,56583168,0.0
1658344542.3388765,57201664,0.0
1658344602.3347242,57818112,0.0
1658344662.3346202,58433536,0.0
1658344722.3305159,59051008,0.0
1658344782.3268647,59669504,0.0
1658344842.330699,60284928,0.0
1658344902.3280344,60901376,0.0
1658344962.3338547,61520896,0.0
1658345022.3282506,62135296,0.0
1658345082.3282294,62752768,0.0
1658345142.3363945,63369216,0.0
1658345202.3279574,63985664,0.0
1658345262.3309712,64604160,0.0
1658345322.3320289,65220608,0.0
1658345382.328436,65839104,0.0
1658345442.3271189,66454528,0.0
1658345502.3320255,67073024,0.0
1658345562.3279352,67688448,0.0
1658345622.3359096,68305920,0.0
