wall_time,step,value
1658339022.3301694,450560,-21.220849990844727
1658339082.3288074,1067008,-21.40110206604004
1658339142.3324044,1682432,-21.440513610839844
1658339202.3374887,2300928,-21.424938201904297
1658339262.33668,2916352,-21.383773803710938
1658339322.3348045,3531776,-21.341156005859375
1658339382.3344784,4148224,-21.35428810119629
1658339442.3368182,4763648,-21.35953712463379
1658339502.3411624,5382144,-21.392086029052734
1658339562.3342392,5999616,-21.420040130615234
1658339622.3294773,6617088,-21.305519104003906
1658339682.3328598,7233536,-21.31417465209961
1658339742.3315756,7851008,-21.26619529724121
1658339802.333771,8467456,-21.239667892456055
1658339862.3443344,9085952,-21.253528594970703
1658339922.3343403,9702400,-21.154659271240234
1658339982.3374846,10318848,-21.176733016967773
1658340042.3394127,10934272,-21.19382667541504
1658340102.3364773,11551744,-21.07811164855957
1658340162.3444972,12167168,-21.088348388671875
1658340222.3488107,12786688,-20.999502182006836
1658340282.3349917,13403136,-20.985157012939453
1658340342.3310149,14020608,-20.90793800354004
1658340402.333248,14639104,-20.87744140625
1658340462.3328962,15255552,-20.83323860168457
1658340522.3360736,15874048,-20.80478286743164
1658340582.3389802,16491520,-20.864713668823242
1658340642.344022,17108992,-20.84511375427246
1658340702.3318663,17727488,-20.768041610717773
1658340762.3385293,18343936,-20.793764114379883
1658340822.3358977,18959360,-20.7716064453125
1658340882.3322148,19576832,-20.729673385620117
1658340942.3324702,20193280,-20.70534324645996
1658341002.3345253,20810752,-20.67048454284668
1658341062.3320725,21427200,-20.63861083984375
1658341122.3364205,22045696,-20.54258918762207
1658341182.3386137,22661120,-20.500205993652344
1658341242.3362179,23277568,-20.47486114501953
1658341302.3295853,23895040,-20.5338134765625
1658341362.3385556,24512512,-20.515893936157227
1658341422.332472,25128960,-20.5361328125
1658341482.332883,25746432,-20.49764060974121
1658341542.3308716,26363904,-20.521745681762695
1658341602.3302922,26980352,-20.50021743774414
1658341662.336543,27596800,-20.458703994750977
1658341722.3342686,28213248,-20.467153549194336
1658341782.330452,28829696,-20.4312801361084
1658341842.336685,29447168,-20.416170120239258
1658341902.3285484,30065664,-20.364727020263672
1658341962.334469,30681088,-20.342323303222656
1658342022.3373005,31297536,-20.362035751342773
1658342082.3293478,31916032,-20.37874984741211
1658342142.343806,32533504,-20.250797271728516
1658342202.339739,33149952,-20.20792579650879
1658342262.3361113,33766400,-20.222623825073242
1658342322.3305209,34381824,-20.171653747558594
1658342382.3300765,34999296,-20.189571380615234
1658342442.3309214,35618816,-20.175138473510742
1658342502.3321483,36235264,-20.230873107910156
1658342562.3350651,36851712,-20.184003829956055
1658342622.3388557,37468160,-20.21409797668457
1658342682.3428202,38086656,-20.15117073059082
1658342742.32979,38702080,-20.093812942504883
1658342802.338995,39318528,-20.0560245513916
1658342862.340619,39934976,-20.14888572692871
1658342922.3359632,40551424,-20.095678329467773
