wall_time,step,value
1658339022.3281817,450560,-15.795052528381348
1658339082.3272054,1067008,-15.798526763916016
1658339142.3302188,1682432,-15.73807430267334
1658339202.3363771,2300928,-15.657620429992676
1658339262.3349786,2916352,-15.714597702026367
1658339322.3281434,3531776,-15.751754760742188
1658339382.3321643,4148224,-15.743088722229004
1658339442.3346214,4763648,-15.749129295349121
1658339502.3390956,5382144,-15.671630859375
1658339562.3282645,5999616,-15.650410652160645
1658339622.3275025,6617088,-15.578274726867676
1658339682.3314388,7233536,-15.596212387084961
1658339742.3298025,7851008,-15.53285026550293
1658339802.3317063,8467456,-15.581321716308594
1658339862.3362134,9085952,-15.60022258758545
1658339922.3328235,9702400,-15.52951431274414
1658339982.330549,10318848,-15.597858428955078
1658340042.3331766,10934272,-15.71358871459961
1658340102.3312743,11551744,-15.670846939086914
1658340162.3405638,12167168,-15.768397331237793
1658340222.3412194,12786688,-15.826071739196777
1658340282.3295717,13403136,-15.922860145568848
1658340342.328811,14020608,-15.949013710021973
1658340402.3311474,14639104,-15.988768577575684
1658340462.3308082,15255552,-16.045042037963867
1658340522.3335598,15874048,-16.037946701049805
1658340582.3329048,16491520,-16.12442970275879
1658340642.3368347,17108992,-16.129112243652344
1658340702.3298557,17727488,-16.121065139770508
1658340762.336661,18343936,-16.21929359436035
1658340822.3341446,18959360,-16.28565216064453
1658340882.3296442,19576832,-16.181028366088867
1658340942.3318315,20193280,-16.235559463500977
1658341002.332211,20810752,-16.3236083984375
1658341062.3309681,21427200,-16.310298919677734
1658341122.3342345,22045696,-16.318405151367188
1658341182.3360107,22661120,-16.363130569458008
1658341242.3321288,23277568,-16.377656936645508
1658341302.3276377,23895040,-16.578510284423828
1658341362.336413,24512512,-16.674686431884766
1658341422.3297389,25128960,-16.70410919189453
1658341482.330801,25746432,-16.76982307434082
1658341542.3277428,26363904,-16.899032592773438
1658341602.3283203,26980352,-16.918113708496094
1658341662.331212,27596800,-16.910310745239258
1658341722.3324564,28213248,-17.02861976623535
1658341782.3282213,28829696,-17.083663940429688
1658341842.3343647,29447168,-17.1247615814209
1658341902.3273172,30065664,-17.178180694580078
1658341962.3341033,30681088,-17.1334171295166
1658342022.3349333,31297536,-17.195466995239258
1658342082.3287137,31916032,-17.315568923950195
1658342142.3385587,32533504,-17.226055145263672
1658342202.3346677,33149952,-17.32468605041504
1658342262.3258994,33766400,-17.496692657470703
1658342322.3282633,34381824,-17.39842987060547
1658342382.3279798,34999296,-17.472850799560547
1658342442.3291886,35618816,-17.608854293823242
1658342502.3302944,36235264,-17.797882080078125
1658342562.3281093,36851712,-17.6917781829834
1658342622.3365633,37468160,-17.80570411682129
1658342682.3408172,38086656,-17.882375717163086
1658342742.3285387,38702080,-17.97665023803711
1658342802.3335342,39318528,-17.825157165527344
1658342862.3312564,39934976,-17.94681167602539
1658342922.3338587,40551424,-17.944820404052734
1658342982.3328335,41168896,-17.8179874420166
1658343042.3304648,41785344,-17.745609283447266
1658343102.3348088,42400768,-17.746530532836914
1658343162.3347914,43017216,-17.94361114501953
1658343222.3323462,43636736,-18.130264282226562
1658343282.3330827,44252160,-18.19864845275879
1658343342.331871,44869632,-18.11423110961914
1658343402.3298342,45486080,-18.090139389038086
1658343462.3353746,46102528,-17.991863250732422
1658343522.3311467,46717952,-17.983280181884766
1658343582.3277552,47336448,-17.9520206451416
1658343642.330996,47954944,-18.106164932250977
1658343702.3343883,48570368,-18.03852081298828
1658343762.3284817,49188864,-18.194440841674805
1658343822.3368227,49801216,-18.162019729614258
1658343882.3348794,50418688,-18.154693603515625
1658343942.3309717,51036160,-18.120315551757812
1658344002.3508694,51651584,-18.0014705657959
1658344062.33258,52269056,-18.14829444885254
1658344122.334106,52884480,-18.166259765625
1658344182.3361328,53502976,-18.470216751098633
1658344242.3362749,54118400,-18.317394256591797
1658344302.3308058,54734848,-18.183727264404297
1658344362.3311605,55352320,-18.135547637939453
1658344422.3337772,55968768,-18.13118553161621
1658344482.3331292,56583168,-18.046573638916016
1658344542.3391354,57201664,-18.08376121520996
1658344602.3349879,57818112,-18.041122436523438
1658344662.3349252,58433536,-18.05257797241211
1658344722.3307524,59051008,-17.94273567199707
1658344782.3271158,59669504,-17.870037078857422
1658344842.3309512,60284928,-17.954246520996094
1658344902.3314493,60901376,-17.86249351501465
1658344962.334097,61520896,-18.01883316040039
1658345022.328519,62135296,-17.92804718017578
1658345082.3284929,62752768,-18.061946868896484
1658345142.336669,63369216,-18.010488510131836
1658345202.3281126,63985664,-18.028966903686523
1658345262.3312376,64604160,-17.955930709838867
1658345322.3322964,65220608,-17.99952507019043
1658345382.328724,65839104,-17.90439796447754
1658345442.3273802,66454528,-17.954994201660156
1658345502.3322897,67073024,-17.987590789794922
1658345562.3282099,67688448,-17.972820281982422
1658345622.3369215,68305920,-18.118885040283203
1658345682.332244,68923392,-17.940004348754883
1658345742.331135,69539840,-17.850942611694336
1658345802.3392096,70157312,-17.86444664001465
1658345862.3360114,70773760,-17.845491409301758
1658345922.3320832,71391232,-18.13141441345215
1658345982.329885,72009728,-18.11402702331543
1658346042.3332481,72626176,-18.123031616210938
1658346102.32729,73243648,-18.020864486694336
1658346162.3294957,73861120,-18.09709930419922
1658346222.3306634,74477568,-17.890369415283203
1658346282.3358586,75094016,-18.01633071899414
1658346342.3281476,75710464,-17.99081802368164
1658346402.3319058,76326912,-18.369312286376953
1658346462.328699,76943360,-18.54648208618164
1658346522.334922,77560832,-18.694393157958984
1658346582.332698,78178304,-18.467039108276367
1658346642.3386602,78794752,-18.38902473449707
1658346702.3333635,79411200,-18.37415313720703
1658346762.3308527,80027648,-18.286235809326172
1658346822.3281052,80645120,-18.22210121154785
1658346882.3292625,81258496,-18.29978370666504
1658346942.333345,81878016,-18.19940757751465
1658347002.3332617,82494464,-18.228717803955078
1658347062.3430789,83110912,-18.170974731445312
1658347122.3287601,83727360,-17.976293563842773
1658347182.3355508,84342784,-18.115520477294922
1658347242.3293195,84961280,-18.228652954101562
1658347302.3327632,85577728,-18.138273239135742
1658347362.3330407,86195200,-18.154438018798828
1658347422.3311536,86811648,-18.19381332397461
1658347482.331368,87429120,-18.138267517089844
1658347542.3283343,88044544,-18.357864379882812
1658347602.3283947,88659968,-18.403013229370117
1658347662.3286028,89278464,-18.52878761291504
1658347722.3299983,89896960,-18.39853858947754
1658347782.3314764,90511360,-18.267000198364258
1658347842.328399,91130880,-18.12242889404297
1658347902.3286967,91746304,-18.24278450012207
1658347962.3328893,92362752,-18.206581115722656
1658348022.3311062,92980224,-18.401351928710938
1658348082.327936,93594624,-18.249347686767578
1658348142.3366556,94212096,-18.055944442749023
1658348202.3388064,94827520,-18.073753356933594
1658348262.3295388,95440896,-18.197038650512695
1658348322.3395884,96056320,-18.09827995300293
1658348382.3306363,96673792,-18.160022735595703
1658348442.3363998,97288192,-18.036941528320312
1658348502.3391328,97903616,-18.137609481811523
1658348562.3293912,98520064,-18.03864288330078
1658348622.3332775,99136512,-18.011947631835938
1658348682.3277373,99751936,-18.03261375427246
1658348742.3344917,100368384,-17.858936309814453
1658348802.339332,100982784,-18.161977767944336
1658348862.3351445,101601280,-18.137514114379883
1658348922.332057,102215680,-17.869733810424805
1658348982.3303351,102832128,-17.701135635375977
1658349042.3294604,103447552,-18.24209213256836
1658349102.3323169,104065024,-18.33807945251465
1658349162.3333597,104681472,-18.74458885192871
1658349222.3276958,105297920,-18.751436233520508
1658349282.3301525,105913344,-18.94337272644043
