wall_time,step,value
1658339022.3286486,450560,-11.927520751953125
1658339082.3282259,1067008,-11.66533088684082
1658339142.3322258,1682432,-11.637335777282715
1658339202.3366082,2300928,-11.836995124816895
1658339262.3362865,2916352,-12.211181640625
1658339322.3290884,3531776,-12.111348152160645
1658339382.3342316,4148224,-11.996541976928711
1658339442.3366015,4763648,-10.89162826538086
1658339502.3409777,5382144,-11.539676666259766
1658339562.3340409,5999616,-11.96534538269043
1658339622.3293016,6617088,-12.230568885803223
1658339682.332654,7233536,-10.954248428344727
1658339742.3313942,7851008,-10.752702713012695
1658339802.3335888,8467456,-10.120641708374023
1658339862.3366468,9085952,-9.954793930053711
1658339922.333273,9702400,-9.052367210388184
1658339982.3313823,10318848,-8.01097583770752
1658340042.3392344,10934272,-8.026983261108398
1658340102.336264,11551744,-6.465154647827148
1658340162.3439817,12167168,-5.574372291564941
1658340222.3486295,12786688,-4.994450569152832
1658340282.334804,13403136,-4.510843753814697
1658340342.3308487,14020608,-3.7717127799987793
1658340402.3330536,14639104,-3.714714765548706
1658340462.3327825,15255552,-3.451993703842163
1658340522.335875,15874048,-3.3548874855041504
1658340582.3388026,16491520,-3.2713048458099365
1658340642.3438272,17108992,-3.1886730194091797
1658340702.3316855,17727488,-3.4033336639404297
1658340762.3371048,18343936,-3.189598321914673
1658340822.3357239,18959360,-3.072803020477295
1658340882.3320293,19576832,-3.712597131729126
1658340942.3323133,20193280,-3.790905237197876
1658341002.3343458,20810752,-3.4811928272247314
1658341062.3319716,21427200,-3.7239134311676025
1658341122.3346984,22045696,-3.7931528091430664
1658341182.3368416,22661120,-3.634244203567505
1658341242.3359876,23277568,-3.548342704772949
1658341302.3294218,23895040,-3.5767464637756348
1658341362.3374054,24512512,-3.0662600994110107
1658341422.332268,25128960,-3.112985610961914
1658341482.3327003,25746432,-3.070301055908203
1658341542.330694,26363904,-2.9745681285858154
1658341602.3294284,26980352,-2.8366031646728516
1658341662.3363473,27596800,-2.6222121715545654
1658341722.3340907,28213248,-2.6804027557373047
1658341782.3302515,28829696,-2.6952743530273438
1658341842.336484,29447168,-2.7298178672790527
1658341902.3280292,30065664,-2.298846483230591
1658341962.3343434,30681088,-2.5610315799713135
1658342022.3371167,31297536,-2.5854852199554443
1658342082.329176,31916032,-2.2197201251983643
1658342142.3389778,32533504,-2.384456157684326
1658342202.3358526,33149952,-2.4533822536468506
1658342262.3358877,33766400,-2.1698265075683594
1658342322.3303123,34381824,-2.2989704608917236
1658342382.3298914,34999296,-1.9954774379730225
1658342442.330746,35618816,-2.157205104827881
1658342502.3319762,36235264,-1.9203134775161743
1658342562.3348806,36851712,-2.2357234954833984
1658342622.3386693,37468160,-2.0165367126464844
1658342682.3426206,38086656,-1.9567781686782837
1658342742.329679,38702080,-1.8200640678405762
1658342802.3388052,39318528,-2.1631996631622314
1658342862.3404279,39934976,-1.7789899110794067
1658342922.3357792,40551424,-2.0612130165100098
1658342982.3346236,41168896,-2.0442774295806885
1658343042.3349714,41785344,-1.8687081336975098
1658343102.3352716,42400768,-2.1892447471618652
1658343162.3428009,43017216,-2.299787998199463
1658343222.3327894,43636736,-1.8862651586532593
1658343282.3341289,44252160,-1.768375277519226
