wall_time,step,value
1658339022.3282883,450560,-7.695400238037109
1658339082.3274662,1067008,-7.720900058746338
1658339142.3303266,1682432,-7.716050148010254
1658339202.3364263,2300928,-7.701550006866455
1658339262.3350444,2916352,-7.694399833679199
1658339322.3282244,3531776,-7.701550006866455
1658339382.3322663,4148224,-7.726250171661377
1658339442.3347137,4763648,-7.720699787139893
1658339502.3391857,5382144,-7.716149806976318
1658339562.3283565,5999616,-7.710350036621094
1658339622.3289378,6617088,-7.7044501304626465
1658339682.3315177,7233536,-7.703199863433838
1658339742.3298924,7851008,-7.699749946594238
1658339802.3317919,8467456,-7.689899921417236
1658339862.3363051,9085952,-7.681000232696533
1658339922.332925,9702400,-7.667550086975098
1658339982.330858,10318848,-7.676249980926514
1658340042.3388352,10934272,-7.669750213623047
1658340102.3313665,11551744,-7.64769983291626
1658340162.340657,12167168,-7.644350051879883
1658340222.3413103,12786688,-7.667799949645996
1658340282.3296611,13403136,-7.6506500244140625
1658340342.328896,14020608,-7.662799835205078
1658340402.331231,14639104,-7.61775016784668
1658340462.3308988,15255552,-7.632150173187256
1658340522.3336492,15874048,-7.632599830627441
1658340582.3329527,16491520,-7.642000198364258
1658340642.336914,17108992,-7.627699851989746
1658340702.3299475,17727488,-7.631400108337402
1658340762.3367565,18343936,-7.6128997802734375
1658340822.334236,18959360,-7.60860013961792
1658340882.3297348,19576832,-7.628749847412109
1658340942.3319612,20193280,-7.6267499923706055
1658341002.3323083,20810752,-7.659150123596191
1658341062.3310685,21427200,-7.59119987487793
1658341122.3343253,22045696,-7.598800182342529
1658341182.3361077,22661120,-7.601250171661377
1658341242.3322182,23277568,-7.620550155639648
1658341302.3277273,23895040,-7.5868000984191895
1658341362.3365033,24512512,-7.648950099945068
1658341422.3303478,25128960,-7.599649906158447
1658341482.3308823,25746432,-7.568950176239014
1658341542.32783,26363904,-7.6008501052856445
1658341602.3283818,26980352,-7.5894999504089355
1658341662.3313005,27596800,-7.564199924468994
1658341722.332563,28213248,-7.598649978637695
1658341782.3283136,28829696,-7.5858001708984375
1658341842.334481,29447168,-7.589200019836426
1658341902.3273673,30065664,-7.599599838256836
1658341962.3341565,30681088,-7.574550151824951
1658342022.3350182,31297536,-7.598899841308594
1658342082.3288062,31916032,-7.547550201416016
1658342142.3386495,32533504,-7.5065999031066895
1658342202.3347661,33149952,-7.5455498695373535
1658342262.3259878,33766400,-7.5378499031066895
1658342322.3283505,34381824,-7.534049987792969
1658342382.328064,34999296,-7.51455020904541
1658342442.3292718,35618816,-7.5183000564575195
1658342502.330418,36235264,-7.533549785614014
1658342562.3281965,36851712,-7.566050052642822
1658342622.3366547,37468160,-7.491499900817871
1658342682.3409133,38086656,-7.515550136566162
1658342742.3286314,38702080,-7.245950222015381
1658342802.3336244,39318528,-7.482399940490723
1658342862.331343,39934976,-7.468949794769287
1658342922.3341227,40551424,-7.561450004577637
1658342982.3329256,41168896,-7.559750080108643
1658343042.330556,41785344,-7.537449836730957
1658343102.3349113,42400768,-7.494450092315674
1658343162.3351052,43017216,-7.388050079345703
1658343222.332435,43636736,-7.39739990234375
1658343282.3331761,44252160,-7.489200115203857
1658343342.3319554,44869632,-7.426750183105469
1658343402.32992,45486080,-7.52554988861084
1658343462.335472,46102528,-7.576300144195557
1658343522.3312373,46717952,-7.6043500900268555
1658343582.3278441,47336448,-7.5177001953125
1658343642.3310843,47954944,-7.564199924468994
1658343702.3344862,48570368,-7.480599880218506
1658343762.3285694,49188864,-7.495200157165527
1658343822.3369164,49801216,-7.473450183868408
1658343882.334973,50418688,-7.523399829864502
1658343942.3310637,51036160,-7.541800022125244
1658344002.3509655,51651584,-7.570700168609619
1658344062.3326724,52269056,-7.511899948120117
1658344122.3341928,52884480,-7.428150177001953
1658344182.3367064,53502976,-7.398849964141846
1658344242.3363678,54118400,-7.498300075531006
1658344302.3308902,54734848,-7.333749771118164
1658344362.3312554,55352320,-7.367099761962891
1658344422.3345385,55968768,-7.5432000160217285
1658344482.3332164,56583168,-7.55049991607666
1658344542.3394506,57201664,-7.417850017547607
1658344602.3350766,57818112,-7.497250080108643
1658344662.3350325,58433536,-7.361299991607666
1658344722.3308365,59051008,-7.5345001220703125
1658344782.327207,59669504,-7.507299900054932
