wall_time,step,value
1658339142.3552468,1682432,-7.715700149536133
1658339202.3539937,2300928,-7.707699775695801
1658339262.357314,2916352,-7.700349807739258
1658339322.3563223,3531776,-7.702700138092041
1658339382.3525484,4148224,-7.691299915313721
1658339442.3523793,4763648,-7.693699836730957
1658339502.365551,5382144,-7.709799766540527
1658339562.3507705,5999616,-7.724549770355225
1658339622.3428977,6617088,-7.712200164794922
1658339682.346928,7233536,-7.685050010681152
1658339742.3446276,7851008,-7.6774001121521
1658339802.3548417,8467456,-7.684800148010254
1658339862.366596,9085952,-7.692999839782715
1658339922.3556716,9702400,-7.685949802398682
1658339982.3586292,10318848,-7.66949987411499
1658340042.36023,10934272,-7.660550117492676
1658340102.3487034,11551744,-7.671350002288818
1658340162.371188,12167168,-7.662899971008301
1658340222.3652291,12786688,-7.656099796295166
1658340282.366829,13403136,-7.644700050354004
1658340342.3493166,14020608,-7.646200180053711
1658340402.3469806,14639104,-7.65054988861084
1658340462.3497024,15255552,-7.653950214385986
1658340522.358241,15874048,-7.667600154876709
1658340582.3562937,16491520,-7.633200168609619
1658340642.3629334,17108992,-7.614049911499023
1658340702.3562305,17727488,-7.6315999031066895
1658340762.3602033,18343936,-7.637249946594238
1658340822.3496506,18959360,-7.639050006866455
1658340882.347333,19576832,-7.628799915313721
1658340942.3529317,20193280,-7.629899978637695
1658341002.352839,20810752,-7.639599800109863
1658341062.346636,21427200,-7.634349822998047
1658341122.3655386,22045696,-7.613999843597412
1658341182.3538249,22661120,-7.6170501708984375
1658341242.357397,23277568,-7.627299785614014
1658341302.345575,23895040,-7.638199806213379
1658341362.3684082,24512512,-7.6427998542785645
1658341422.3473625,25128960,-7.635049819946289
1658341482.3455658,25746432,-7.617650032043457
1658341542.3491666,26363904,-7.6265997886657715
1658341602.3503363,26980352,-7.598899841308594
1658341662.3524628,27596800,-7.56374979019165
1658341722.3591294,28213248,-7.576900005340576
1658341782.347081,28829696,-7.5968499183654785
1658341842.3542573,29447168,-7.581600189208984
1658341902.3461823,30065664,-7.587699890136719
1658341962.3490803,30681088,-7.594799995422363
1658342022.3535116,31297536,-7.59089994430542
1658342082.3521073,31916032,-7.593400001525879
1658342142.3631995,32533504,-7.592249870300293
1658342202.3562713,33149952,-7.5430498123168945
1658342262.349278,33766400,-7.549349784851074
1658342322.346656,34381824,-7.563700199127197
1658342382.3427577,34999296,-7.55620002746582
1658342442.3515704,35618816,-7.517350196838379
1658342502.3490243,36235264,-7.516149997711182
1658342562.3525455,36851712,-7.544050216674805
1658342622.3599138,37468160,-7.529150009155273
1658342682.3554647,38086656,-7.499750137329102
1658342742.3481295,38702080,-7.29794979095459
1658342802.3523273,39318528,-7.265850067138672
1658342862.3610568,39934976,-7.511549949645996
1658342922.3597097,40551424,-7.529250144958496
1658342982.3560188,41168896,-7.5131001472473145
1658343042.350724,41785344,-7.527649879455566
1658343102.3508537,42400768,-7.496500015258789
1658343162.3596916,43017216,-7.4832000732421875
1658343222.3512034,43636736,-7.460000038146973
1658343282.3481312,44252160,-7.394350051879883
1658343342.344373,44869632,-7.444399833679199
1658343402.3550398,45486080,-7.495299816131592
1658343462.3537774,46102528,-7.503550052642822
1658343522.3505857,46717952,-7.566050052642822
1658343582.3544924,47336448,-7.597949981689453
