wall_time,step,value
1658339142.3503306,1682432,-7.703549861907959
1658339202.3515022,2300928,-7.710899829864502
1658339262.3547301,2916352,-7.709000110626221
1658339322.355148,3531776,-7.680150032043457
1658339382.3499615,4148224,-7.685999870300293
1658339442.350056,4763648,-7.716899871826172
1658339502.363089,5382144,-7.716350078582764
1658339562.3481863,5999616,-7.701000213623047
1658339622.3421624,6617088,-7.702700138092041
1658339682.3430603,7233536,-7.707749843597412
1658339742.3425167,7851008,-7.718949794769287
1658339802.352405,8467456,-7.69980001449585
1658339862.3632424,9085952,-7.672249794006348
1658339922.3539345,9702400,-7.674650192260742
1658339982.3565161,10318848,-7.680349826812744
1658340042.350792,10934272,-7.687849998474121
1658340102.3456018,11551744,-7.688199996948242
1658340162.3704817,12167168,-7.6778998374938965
1658340222.3648186,12786688,-7.659049987792969
1658340282.356159,13403136,-7.651500225067139
1658340342.348613,14020608,-7.6581501960754395
1658340402.3457859,14639104,-7.64900016784668
1658340462.3479218,15255552,-7.64169979095459
1658340522.357496,15874048,-7.65369987487793
1658340582.3539348,16491520,-7.6427001953125
1658340642.3573627,17108992,-7.633200168609619
1658340702.3487258,17727488,-7.6346001625061035
1658340762.3585784,18343936,-7.642650127410889
1658340822.3474338,18959360,-7.618000030517578
1658340882.346631,19576832,-7.595699787139893
1658340942.3521824,20193280,-7.612299919128418
1658341002.3502157,20810752,-7.635749816894531
1658341062.3437147,21427200,-7.603750228881836
1658341122.3628283,22045696,-7.599850177764893
1658341182.3510654,22661120,-7.567550182342529
1658341242.3557725,23277568,-7.557250022888184
1658341302.34389,23895040,-7.5920000076293945
1658341362.3656766,24512512,-7.598649978637695
1658341422.3451388,25128960,-7.620800018310547
1658341482.343123,25746432,-7.619150161743164
1658341542.3484623,26363904,-7.593800067901611
1658341602.3495963,26980352,-7.61584997177124
1658341662.3499286,27596800,-7.602250099182129
1658341722.3540697,28213248,-7.601749897003174
1658341782.344909,28829696,-7.603149890899658
1658341842.352788,29447168,-7.576000213623047
1658341902.343985,30065664,-7.582900047302246
1658341962.3478925,30681088,-7.590950012207031
1658342022.34891,31297536,-7.597700119018555
1658342082.3498974,31916032,-7.570650100708008
1658342142.3540015,32533504,-7.523900032043457
1658342202.3539238,33149952,-7.510499954223633
1658342262.347016,33766400,-7.5104498863220215
1658342322.344329,34381824,-7.5331501960754395
1658342382.339704,34999296,-7.527200222015381
1658342442.3434575,35618816,-7.53000020980835
1658342502.3467224,36235264,-7.526150226593018
1658342562.35176,36851712,-7.528250217437744
1658342622.3552744,37468160,-7.525899887084961
1658342682.3533983,38086656,-7.514800071716309
1658342742.3440804,38702080,-7.492300033569336
1658342802.349705,39318528,-7.48799991607666
1658342862.3586614,39934976,-7.484499931335449
