wall_time,step,value
1658339142.334165,1682432,-7.698500156402588
1658339202.3431516,2300928,-7.710249900817871
1658339262.3426738,2916352,-7.7154998779296875
1658339322.3376148,3531776,-7.69920015335083
1658339382.3367023,4148224,-7.7042999267578125
1658339442.3412638,4763648,-7.695300102233887
1658339502.343178,5382144,-7.693299770355225
1658339562.337023,5999616,-7.693749904632568
1658339622.331666,6617088,-7.6909499168396
1658339682.3358939,7233536,-7.688700199127197
1658339742.3345299,7851008,-7.684850215911865
1658339802.3361459,8467456,-7.693850040435791
1658339862.345186,9085952,-7.681250095367432
1658339922.3360088,9702400,-7.675099849700928
1658339982.3399024,10318848,-7.670450210571289
1658340042.3418572,10934272,-7.665550231933594
1658340102.3386827,11551744,-7.672800064086914
1658340162.346319,12167168,-7.665249824523926
1658340222.351456,12786688,-7.644649982452393
1658340282.3405046,13403136,-7.65654993057251
1658340342.332972,14020608,-7.640550136566162
1658340402.3385913,14639104,-7.625500202178955
1658340462.3398294,15255552,-7.617199897766113
1658340522.337713,15874048,-7.600949764251709
1658340582.3416016,16491520,-7.612199783325195
1658340642.3465023,17108992,-7.623600006103516
1658340702.3337114,17727488,-7.620850086212158
1658340762.3409011,18343936,-7.60414981842041
1658340822.339721,18959360,-7.603499889373779
1658340882.3346684,19576832,-7.600299835205078
1658340942.3385074,20193280,-7.610400199890137
1658341002.3369343,20810752,-7.627150058746338
1658341062.3336735,21427200,-7.653450012207031
1658341122.3380964,22045696,-7.635350227355957
1658341182.3410687,22661120,-7.617849826812744
1658341242.3410962,23277568,-7.617949962615967
1658341302.331915,23895040,-7.581399917602539
1658341362.3479998,24512512,-7.601250171661377
1658341422.3342462,25128960,-7.616000175476074
1658341482.3352342,25746432,-7.5995001792907715
1658341542.3333926,26363904,-7.590799808502197
1658341602.3389559,26980352,-7.578800201416016
1658341662.3388078,27596800,-7.564650058746338
1658341722.3356771,28213248,-7.556550025939941
1658341782.332571,28829696,-7.586349964141846
1658341842.3380978,29447168,-7.60515022277832
1658341902.3349512,30065664,-7.597599983215332
1658341962.3359966,30681088,-7.561800003051758
1658342022.339706,31297536,-7.549449920654297
1658342082.331326,31916032,-7.518899917602539
1658342142.3458555,32533504,-7.468800067901611
1658342202.3415232,33149952,-7.515550136566162
1658342262.3386636,33766400,-7.554900169372559
1658342322.335033,34381824,-7.527649879455566
1658342382.3319044,34999296,-7.570700168609619
1658342442.3336108,35618816,-7.524250030517578
1658342502.3343687,36235264,-7.506199836730957
1658342562.3377314,36851712,-7.513000011444092
1658342622.3407056,37468160,-7.521399974822998
1658342682.3455062,38086656,-7.531599998474121
1658342742.332233,38702080,-7.484799861907959
1658342802.3416014,39318528,-7.40625
1658342862.3426096,39934976,-7.340050220489502
1658342922.3398476,40551424,-7.435850143432617
1658342982.3370423,41168896,-7.551599979400635
