wall_time,step,value
1658339142.3497617,1682432,-7.730899810791016
1658339202.35029,2300928,-7.725249767303467
1658339262.3528068,2916352,-7.720799922943115
1658339322.3543959,3531776,-7.7179999351501465
1658339382.3426461,4148224,-7.722149848937988
1658339442.3479145,4763648,-7.711050033569336
1658339502.3610718,5382144,-7.720250129699707
1658339562.3434186,5999616,-7.721549987792969
1658339622.339085,6617088,-7.701000213623047
1658339682.3411822,7233536,-7.702549934387207
1658339742.34055,7851008,-7.714300155639648
1658339802.3472536,8467456,-7.707900047302246
1658339862.361467,9085952,-7.700650215148926
1658339922.3526754,9702400,-7.690100193023682
1658339982.3543196,10318848,-7.695099830627441
1658340042.3501656,10934272,-7.6857500076293945
1658340102.345105,11551744,-7.671750068664551
1658340162.3670225,12167168,-7.649799823760986
1658340222.363184,12786688,-7.649700164794922
1658340282.3548942,13403136,-7.666999816894531
1658340342.3463135,14020608,-7.682449817657471
1658340402.344942,14639104,-7.639900207519531
1658340462.3466039,15255552,-7.625800132751465
1658340522.3552365,15874048,-7.60830020904541
1658340582.3533473,16491520,-7.590950012207031
1658340642.3568304,17108992,-7.600800037384033
1658340702.3473263,17727488,-7.624100208282471
1658340762.3582478,18343936,-7.6556501388549805
1658340822.346879,18959360,-7.646999835968018
1658340882.3443272,19576832,-7.641550064086914
1658340942.3492584,20193280,-7.6468000411987305
1658341002.3496635,20810752,-7.637450218200684
1658341062.342022,21427200,-7.625
1658341122.3549113,22045696,-7.630549907684326
1658341182.349352,22661120,-7.614799976348877
1658341242.3505323,23277568,-7.615250110626221
1658341302.3435688,23895040,-7.626049995422363
1658341362.3585851,24512512,-7.599850177764893
1658341422.343171,25128960,-7.606649875640869
1658341482.34256,25746432,-7.620699882507324
1658341542.346502,26363904,-7.603449821472168
1658341602.347236,26980352,-7.594399929046631
1658341662.346203,27596800,-7.575049877166748
1658341722.353461,28213248,-7.587299823760986
1658341782.3442762,28829696,-7.587950229644775
1658341842.3504505,29447168,-7.594099998474121
1658341902.3423629,30065664,-7.600949764251709
1658341962.3458273,30681088,-7.563000202178955
1658342022.3468883,31297536,-7.535900115966797
1658342082.3430657,31916032,-7.572150230407715
1658342142.353444,32533504,-7.554200172424316
1658342202.3514822,33149952,-7.554850101470947
1658342262.344868,33766400,-7.546949863433838
1658342322.343759,34381824,-7.499300003051758
1658342382.3386173,34999296,-7.5169501304626465
1658342442.340102,35618816,-7.535950183868408
1658342502.3461435,36235264,-7.545050144195557
1658342562.3451896,36851712,-7.561349868774414
1658342622.3540764,37468160,-7.509300231933594
1658342682.3528318,38086656,-7.511899948120117
1658342742.3421865,38702080,-7.552350044250488
1658342802.3492117,39318528,-7.521049976348877
1658342862.3581295,39934976,-7.486999988555908
1658342922.351136,40551424,-7.525000095367432
1658342982.3531733,41168896,-7.539949893951416
1658343042.347602,41785344,-7.566500186920166
1658343102.3461304,42400768,-7.550250053405762
1658343162.356765,43017216,-7.514750003814697
