wall_time,step,value
1658339022.3274202,450560,-51.7951774597168
1658339082.3271048,1067008,-50.35711669921875
1658339142.3296218,1682432,-50.617149353027344
1658339202.336328,2300928,-50.057613372802734
1658339262.3348951,2916352,-50.68990707397461
1658339322.3280694,3531776,-51.088966369628906
1658339382.3320673,4148224,-51.01010513305664
1658339442.3345332,4763648,-52.45169448852539
1658339502.339009,5382144,-51.59257888793945
1658339562.3281727,5999616,-50.642982482910156
1658339622.3272038,6617088,-50.964385986328125
1658339682.3313775,7233536,-50.2952880859375
1658339742.3297155,7851008,-51.13960266113281
1658339802.331624,8467456,-51.78828811645508
1658339862.336127,9085952,-51.72972869873047
1658339922.3327117,9702400,-52.58771896362305
1658339982.33048,10318848,-51.930423736572266
1658340042.3330874,10934272,-51.135231018066406
1658340102.331184,11551744,-51.48647689819336
1658340162.3404768,12167168,-50.74267578125
1658340222.3411329,12786688,-50.309593200683594
1658340282.3294835,13403136,-50.529319763183594
1658340342.328733,14020608,-48.912349700927734
1658340402.3310666,14639104,-48.619319915771484
1658340462.330718,15255552,-47.5854377746582
1658340522.3334723,15874048,-47.03017807006836
1658340582.332858,16491520,-45.80535888671875
1658340642.3367567,17108992,-45.823974609375
1658340702.3297617,17727488,-43.83305358886719
1658340762.3365724,18343936,-42.3087272644043
1658340822.3340595,18959360,-40.18136215209961
1658340882.3295584,19576832,-41.95559310913086
1658340942.327494,20193280,-41.13520050048828
1658341002.3321192,20810752,-38.314544677734375
1658341062.3308585,21427200,-38.875667572021484
1658341122.3341472,22045696,-37.073150634765625
1658341182.3359132,22661120,-34.08388137817383
1658341242.3320403,23277568,-33.696075439453125
1658341302.3275406,23895040,-32.22938537597656
1658341362.3363242,24512512,-29.171857833862305
1658341422.3296416,25128960,-30.609519958496094
1658341482.330719,25746432,-28.722576141357422
1658341542.3276615,26363904,-29.1746883392334
1658341602.3282385,26980352,-28.16391944885254
1658341662.3311248,27596800,-24.80599594116211
1658341722.3318136,28213248,-24.424524307250977
1658341782.3281329,28829696,-25.937631607055664
1658341842.3342752,29447168,-23.27687644958496
1658341902.3269892,30065664,-22.03709602355957
1658341962.3340442,30681088,-24.40986442565918
1658342022.3348484,31297536,-23.602527618408203
1658342082.3286245,31916032,-21.50737190246582
1658342142.3384693,32533504,-24.147979736328125
1658342202.3345757,33149952,-22.286298751831055
1658342262.3258178,33766400,-20.555294036865234
1658342322.3281786,34381824,-22.623353958129883
1658342382.3278925,34999296,-20.71698760986328
1658342442.3291023,35618816,-21.419300079345703
1658342502.3302042,36235264,-20.270984649658203
1658342562.3280282,36851712,-20.73365020751953
1658342622.3364742,37468160,-21.27823257446289
1658342682.3407252,38086656,-21.700040817260742
1658342742.3284485,38702080,-20.728885650634766
1658342802.3334477,39318528,-21.5602970123291
1658342862.3311713,39934976,-20.923946380615234
1658342922.3335967,40551424,-21.32162857055664
1658342982.3327444,41168896,-21.336477279663086
1658343042.3303573,41785344,-21.460731506347656
1658343102.3346784,42400768,-21.173423767089844
1658343162.3347094,43017216,-21.817888259887695
1658343222.332255,43636736,-20.595712661743164
1658343282.3329928,44252160,-21.018556594848633
1658343342.3317907,44869632,-21.11753273010254
1658343402.329748,45486080,-19.75493049621582
1658343462.3352485,46102528,-21.741361618041992
1658343522.3310595,46717952,-21.945219039916992
1658343582.3276713,47336448,-22.792810440063477
1658343642.330909,47954944,-21.808576583862305
1658343702.3342857,48570368,-22.382320404052734
1658343762.3283956,49188864,-19.753948211669922
1658343822.3367329,49801216,-21.617097854614258
1658343882.3347893,50418688,-21.121389389038086
1658343942.3308814,51036160,-21.49104881286621
1658344002.3507664,51651584,-19.536636352539062
1658344062.3324943,52269056,-19.092430114746094
1658344122.3340201,52884480,-22.577714920043945
1658344182.336042,53502976,-19.62630271911621
1658344242.3361802,54118400,-21.416410446166992
1658344302.3307233,54734848,-21.34766960144043
1658344362.3310678,55352320,-20.56488800048828
1658344422.3283994,55968768,-21.04434585571289
1658344482.333044,56583168,-21.535829544067383
1658344542.339053,57201664,-21.363920211791992
1658344602.3349025,57818112,-22.2077579498291
1658344662.334823,58433536,-20.25018882751465
1658344722.3306692,59051008,-20.849998474121094
1658344782.3270311,59669504,-19.51873779296875
1658344842.3308682,60284928,-19.908491134643555
1658344902.3281639,60901376,-22.08287239074707
1658344962.334014,61520896,-19.046058654785156
1658345022.3284316,62135296,-21.85291290283203
1658345082.3284075,62752768,-20.729177474975586
1658345142.3365796,63369216,-20.557071685791016
1658345202.3280647,63985664,-19.928911209106445
1658345262.33115,64604160,-21.576370239257812
1658345322.3322074,65220608,-20.883058547973633
1658345382.328626,65839104,-22.63825798034668
1658345442.3272932,66454528,-21.2601261138916
1658345502.332203,67073024,-21.645923614501953
1658345562.328123,67688448,-20.424718856811523
1658345622.3368053,68305920,-18.834596633911133
1658345682.3321607,68923392,-20.502649307250977
1658345742.331045,69539840,-20.037120819091797
1658345802.3391144,70157312,-20.91016960144043
1658345862.3359282,70773760,-22.274219512939453
1658345922.3319876,71391232,-21.145692825317383
1658345982.329796,72009728,-20.175687789916992
1658346042.333156,72626176,-19.533830642700195
1658346102.3272045,73243648,-20.56121063232422
1658346162.3294067,73861120,-20.506750106811523
1658346222.3306165,74477568,-22.096240997314453
1658346282.335761,75094016,-20.662689208984375
1658346342.3280554,75710464,-23.533418655395508
1658346402.3318179,76326912,-20.708051681518555
1658346462.3286052,76943360,-21.09485626220703
1658346522.3348327,77560832,-18.974111557006836
1658346582.3326128,78178304,-20.77958106994629
1658346642.336995,78794752,-20.29242706298828
1658346702.3332646,79411200,-21.52290153503418
1658346762.3291361,80027648,-21.648563385009766
1658346822.3280573,80645120,-23.3623104095459
1658346882.3291793,81258496,-19.79637336730957
1658346942.3332982,81878016,-21.657567977905273
1658347002.3331819,82494464,-20.339780807495117
1658347062.3429883,83110912,-20.534317016601562
1658347122.3286772,83727360,-21.63100242614746
1658347182.33442,84342784,-20.898082733154297
1658347242.329226,84961280,-20.674304962158203
1658347302.3326693,85577728,-21.8577823638916
1658347362.332948,86195200,-19.529586791992188
1658347422.3310618,86811648,-22.367900848388672
1658347482.3311353,87429120,-22.643510818481445
1658347542.3280585,88044544,-20.689485549926758
1658347602.3283124,88659968,-21.21114158630371
1658347662.3285148,89278464,-20.479145050048828
1658347722.3299234,89896960,-21.30792808532715
1658347782.3310895,90511360,-19.24043846130371
1658347842.32831,91130880,-21.3498477935791
1658347902.328606,91746304,-19.749725341796875
1658347962.3328013,92362752,-21.63089942932129
1658348022.3310184,92980224,-20.46101188659668
1658348082.3278449,93594624,-21.11002540588379
1658348142.3365529,94212096,-23.08483123779297
1658348202.338682,94827520,-25.361927032470703
1658348262.3294525,95440896,-25.109813690185547
1658348322.3394957,96056320,-24.328506469726562
1658348382.3305414,96673792,-24.65191078186035
1658348442.3363078,97288192,-24.451026916503906
1658348502.339051,97903616,-22.52610206604004
1658348562.329283,98520064,-21.276399612426758
1658348622.333189,99136512,-23.163585662841797
1658348682.327689,99751936,-22.257347106933594
1658348742.3342507,100368384,-22.735448837280273
