wall_time,step,value
1658339142.342973,1682432,-50.6174201965332
1658339202.3458824,2300928,-49.63030242919922
1658339262.3464656,2916352,-50.46689224243164
1658339322.3481238,3531776,-50.95244216918945
1658339382.3385868,4148224,-51.022335052490234
1658339442.3439295,4763648,-51.29596710205078
1658339502.3549154,5382144,-51.08481979370117
1658339562.3397567,5999616,-51.598148345947266
1658339622.3346174,6617088,-51.41117858886719
1658339682.3381042,7233536,-50.322696685791016
1658339742.3370178,7851008,-50.72453689575195
1658339802.3382695,8467456,-51.48603057861328
1658339862.3488994,9085952,-50.999755859375
1658339922.3384967,9702400,-51.103248596191406
1658339982.3453891,10318848,-51.87004470825195
1658340042.345853,10934272,-51.954715728759766
1658340102.3414228,11551744,-51.537723541259766
1658340162.3545952,12167168,-50.41172790527344
1658340222.3550768,12786688,-49.909690856933594
1658340282.3429124,13403136,-50.350711822509766
1658340342.336189,14020608,-49.749839782714844
1658340402.3412817,14639104,-48.01698684692383
1658340462.3425016,15255552,-47.34950637817383
1658340522.3457427,15874048,-46.019744873046875
1658340582.3438792,16491520,-46.80580520629883
1658340642.3487566,17108992,-46.30024719238281
1658340702.3387713,17727488,-44.490020751953125
1658340762.3435695,18343936,-43.83940887451172
1658340822.342289,18959360,-42.187015533447266
1658340882.3370876,19576832,-40.608097076416016
1658340942.342775,20193280,-40.32201385498047
1658341002.3399744,20810752,-39.830257415771484
1658341062.3388066,21427200,-38.0791130065918
1658341122.3467896,22045696,-37.28216552734375
1658341182.3436441,22661120,-36.341209411621094
1658341242.3436227,23277568,-34.906532287597656
1658341302.3385732,23895040,-32.40715408325195
1658341362.349858,24512512,-30.542003631591797
1658341422.3368828,25128960,-30.235107421875
1658341482.3377228,25746432,-29.750354766845703
1658341542.3385746,26363904,-29.601581573486328
1658341602.341763,26980352,-27.813304901123047
1658341662.3417037,27596800,-25.52890968322754
1658341722.3401818,28213248,-25.032238006591797
1658341782.336065,28829696,-26.010591506958008
1658341842.346743,29447168,-25.104965209960938
1658341902.3377612,30065664,-23.658384323120117
1658341962.3376453,30681088,-24.058656692504883
1658342022.3437252,31297536,-23.773752212524414
1658342082.3384552,31916032,-22.39497947692871
1658342142.3486712,32533504,-21.50274658203125
1658342202.3448515,33149952,-20.930530548095703
1658342262.3415306,33766400,-21.454265594482422
1658342322.338967,34381824,-21.798044204711914
1658342382.3340788,34999296,-21.135486602783203
1658342442.3361201,35618816,-22.183046340942383
1658342502.340893,36235264,-22.716230392456055
1658342562.340467,36851712,-21.674949645996094
1658342622.345536,37468160,-20.64847183227539
1658342682.348149,38086656,-21.506654739379883
1658342742.3389115,38702080,-21.211570739746094
1658342802.3443506,39318528,-21.184799194335938
1658342862.3457046,39934976,-21.13835906982422
1658342922.342551,40551424,-20.24713706970215
1658342982.3391442,41168896,-21.556119918823242
1658343042.3432286,41785344,-21.457735061645508
1658343102.340901,42400768,-21.260419845581055
1658343162.3479693,43017216,-21.803348541259766
1658343222.3421617,43636736,-20.804174423217773
1658343282.3407881,44252160,-20.11197853088379
1658343342.3392234,44869632,-20.710126876831055
1658343402.342331,45486080,-21.00579261779785
1658343462.3409626,46102528,-20.783906936645508
1658343522.342636,46717952,-20.987037658691406
1658343582.340413,47336448,-21.958843231201172
1658343642.3382013,47954944,-20.863616943359375
1658343702.3391201,48570368,-19.37236785888672
1658343762.33669,49188864,-20.156286239624023
1658343822.342749,49801216,-22.352684020996094
1658343882.3436587,50418688,-21.401432037353516
1658343942.3407464,51036160,-21.36709213256836
1658344002.3594563,51651584,-20.2070369720459
1658344062.3391316,52269056,-20.822032928466797
1658344122.3412442,52884480,-23.715656280517578
1658344182.3433328,53502976,-22.81320571899414
1658344242.3454895,54118400,-19.20511245727539
1658344302.337745,54734848,-19.514801025390625
1658344362.3401275,55352320,-20.780120849609375
1658344422.345483,55968768,-20.280879974365234
1658344482.3394136,56583168,-19.889429092407227
1658344542.350676,57201664,-21.936725616455078
1658344602.3430223,57818112,-21.336435317993164
1658344662.3424733,58433536,-21.063676834106445
1658344722.3371282,59051008,-21.978612899780273
1658344782.3366675,59669504,-21.77292251586914
1658344842.3387063,60284928,-20.767444610595703
1658344902.3381433,60901376,-20.945884704589844
1658344962.3469238,61520896,-21.360637664794922
1658345022.3371775,62135296,-21.793264389038086
1658345082.3350546,62752768,-22.6377010345459
1658345142.3433073,63369216,-23.315547943115234
1658345202.3445406,63985664,-22.36737632751465
1658345262.3374069,64604160,-21.009037017822266
1658345322.3408277,65220608,-22.09592056274414
1658345382.344681,65839104,-22.580495834350586
1658345442.334104,66454528,-21.64013671875
1658345502.3439498,67073024,-23.349594116210938
1658345562.3382897,67688448,-22.542715072631836
1658345622.346986,68305920,-20.06336784362793
1658345682.3397293,68923392,-20.3863468170166
1658345742.3388076,69539840,-21.458730697631836
1658345802.3509343,70157312,-22.064851760864258
1658345862.3426137,70773760,-20.775192260742188
1658345922.3386908,71391232,-20.570093154907227
1658345982.3368163,72009728,-22.06723403930664
1658346042.3419988,72626176,-23.069231033325195
1658346102.3478343,73243648,-21.500558853149414
1658346162.3416584,73861120,-19.884225845336914
1658346222.3471093,74477568,-21.064239501953125
1658346282.343756,75094016,-21.571765899658203
1658346342.33507,75710464,-21.89830207824707
1658346402.338366,76326912,-21.633678436279297
