wall_time,step,value
1658339142.3339694,1682432,-51.101322174072266
1658339202.3429625,2300928,-51.235286712646484
1658339262.3380625,2916352,-49.78303909301758
1658339322.3370624,3531776,-49.8461799621582
1658339382.3350499,4148224,-50.732093811035156
1658339442.3374453,4763648,-50.76359176635742
1658339502.3427467,5382144,-50.57188034057617
1658339562.335606,5999616,-49.66224670410156
1658339622.3310807,6617088,-50.7778434753418
1658339682.3342173,7233536,-51.71772384643555
1658339742.334281,7851008,-51.335636138916016
1658339802.335945,8467456,-51.88591003417969
1658339862.3450158,9085952,-52.02852249145508
1658339922.3347025,9702400,-51.7974739074707
1658339982.339724,10318848,-51.88798904418945
1658340042.3416831,10934272,-52.523094177246094
1658340102.3384914,11551744,-51.99739074707031
1658340162.3461375,12167168,-51.12809371948242
1658340222.3512595,12786688,-51.79707336425781
1658340282.3402913,13403136,-50.522193908691406
1658340342.3327887,14020608,-49.18050765991211
1658340402.3383482,14639104,-48.29585266113281
1658340462.3395934,15255552,-47.92054748535156
1658340522.3366911,15874048,-47.103782653808594
1658340582.3413813,16491520,-46.48619079589844
1658340642.3462708,17108992,-46.04531478881836
1658340702.3334997,17727488,-45.00761032104492
1658340762.340698,18343936,-44.46937561035156
1658340822.3395114,18959360,-42.46242904663086
1658340882.334464,19576832,-41.168758392333984
1658340942.3384068,20193280,-40.979801177978516
1658341002.336718,20810752,-39.230995178222656
1658341062.3332024,21427200,-39.049964904785156
1658341122.3370333,22045696,-38.19652557373047
1658341182.3392565,22661120,-36.7983283996582
1658341242.340863,23277568,-36.8021125793457
1658341302.331726,23895040,-34.5546760559082
1658341362.347894,24512512,-31.42422866821289
1658341422.3340235,25128960,-28.832054138183594
1658341482.335022,25746432,-29.00037384033203
1658341542.3331904,26363904,-27.97408103942871
1658341602.3310928,26980352,-27.752519607543945
1658341662.338608,27596800,-26.261089324951172
1658341722.335432,28213248,-25.633960723876953
1658341782.3323605,28829696,-23.963226318359375
1658341842.3373027,29447168,-23.419233322143555
1658341902.3347876,30065664,-23.959491729736328
1658341962.3358977,30681088,-24.269712448120117
1658342022.3392966,31297536,-24.085655212402344
1658342082.3312292,31916032,-23.814455032348633
1658342142.344431,32533504,-23.023130416870117
1658342202.3402994,33149952,-22.79396629333496
1658342262.3367348,33766400,-22.375545501708984
1658342322.3349056,34381824,-21.852800369262695
1658342382.3311794,34999296,-21.612470626831055
1658342442.3334198,35618816,-20.38808250427246
1658342502.334176,36235264,-20.48653793334961
1658342562.3375306,36851712,-21.60597801208496
1658342622.340527,37468160,-21.621479034423828
1658342682.3439503,38086656,-21.444881439208984
1658342742.331142,38702080,-21.341583251953125
1658342802.3413935,39318528,-21.477270126342773
1658342862.3423927,39934976,-21.685131072998047
1658342922.3396893,40551424,-21.25231170654297
1658342982.3354218,41168896,-21.627655029296875
1658343042.3375192,41785344,-21.65115737915039
1658343102.337892,42400768,-21.3244571685791
1658343162.3448808,43017216,-20.91248321533203
1658343222.3395836,43636736,-21.54472541809082
1658343282.3363981,44252160,-20.200904846191406
1658343342.336576,44869632,-19.82142448425293
1658343402.3365731,45486080,-20.481678009033203
1658343462.338193,46102528,-20.584768295288086
1658343522.3351116,46717952,-21.129051208496094
1658343582.3323603,47336448,-21.10235595703125
1658343642.3339899,47954944,-20.951465606689453
1658343702.3369634,48570368,-20.801042556762695
1658343762.3324084,49188864,-21.198165893554688
1658343822.3405695,49801216,-20.993356704711914
1658343882.3375869,50418688,-19.992658615112305
1658343942.3357098,51036160,-20.209415435791016
1658344002.3537536,51651584,-20.152135848999023
1658344062.3364675,52269056,-20.46642303466797
1658344122.3384445,52884480,-21.01871681213379
1658344182.3404999,53502976,-20.855064392089844
1658344242.3390884,54118400,-22.264080047607422
