wall_time,step,value
1658339022.3304644,450560,0.0
1658339082.3290646,1067008,0.0
1658339142.3326693,1682432,0.0
1658339202.338387,2300928,0.0
1658339262.3376927,2916352,0.0
1658339322.335946,3531776,0.0
1658339382.3347216,4148224,0.0
1658339442.337095,4763648,0.0
1658339502.3414197,5382144,0.0
1658339562.3345203,5999616,0.0
1658339622.3297439,6617088,0.0
1658339682.333883,7233536,0.0
1658339742.3325148,7851008,0.0
1658339802.3340428,8467456,0.0
1658339862.344647,9085952,0.0
1658339922.3345127,9702400,0.0
1658339982.339354,10318848,0.0
1658340042.341311,10934272,0.0
1658340102.3367457,11551744,0.0
1658340162.3457675,12167168,0.0
1658340222.3490872,12786688,0.0
1658340282.3352556,13403136,0.0
1658340342.331271,14020608,0.0
1658340402.3335125,14639104,0.0
1658340462.3330395,15255552,0.0
1658340522.336346,15874048,0.0
1658340582.339258,16491520,0.0
1658340642.3442833,17108992,0.0
1658340702.3321319,17727488,0.0
1658340762.33881,18343936,0.0
1658340822.336799,18959360,0.0
1658340882.332478,19576832,0.0
1658340942.3381581,20193280,0.0
1658341002.3347507,20810752,0.0
1658341062.3325815,21427200,0.0
1658341122.3366833,22045696,0.0
1658341182.338898,22661120,0.0
1658341242.3365092,23277568,0.0
1658341302.3298326,23895040,0.0
1658341362.338847,24512512,0.0
1658341422.3327649,25128960,0.0
1658341482.3331535,25746432,0.0
1658341542.331131,26363904,0.0
1658341602.3305025,26980352,0.0
1658341662.3368149,27596800,0.0
1658341722.334518,28213248,0.0
1658341782.3306952,28829696,0.0
1658341842.3369522,29447168,0.0
1658341902.3344498,30065664,0.0
1658341962.33517,30681088,0.0
1658342022.337567,31297536,0.0
1658342082.3310304,31916032,0.0
1658342142.3440747,32533504,0.0
1658342202.33999,33149952,0.0
1658342262.3363814,33766400,0.0
1658342322.3307977,34381824,0.0
1658342382.3303366,34999296,0.0
1658342442.331182,35618816,0.0
1658342502.333017,36235264,0.0
1658342562.335335,36851712,0.0
1658342622.339123,37468160,0.0
1658342682.3430858,38086656,0.0
1658342742.3304162,38702080,0.0
1658342802.3392596,39318528,0.0
1658342862.3408766,39934976,0.0
1658342922.3393242,40551424,0.0
1658342982.335077,41168896,0.0
1658343042.335396,41785344,0.0
1658343102.3375216,42400768,0.0
1658343162.3432295,43017216,0.0
1658343222.3342264,43636736,0.0
1658343282.336047,44252160,0.0
1658343342.334176,44869632,0.0
1658343402.3319435,45486080,0.0
1658343462.337813,46102528,0.0
1658343522.333332,46717952,0.0
1658343582.3300219,47336448,0.0
1658343642.3336225,47954944,0.0
1658343702.3366055,48570368,0.0
1658343762.3308868,49188864,0.0
1658343822.3402016,49801216,0.0
1658343882.3372467,50418688,0.0
1658343942.334572,51036160,0.0
1658344002.3533719,51651584,0.0
1658344062.3347905,52269056,0.0
1658344122.3366535,52884480,0.0
1658344182.3401284,53502976,0.0
1658344242.3387446,54118400,0.0
1658344302.3331149,54734848,0.0
1658344362.3336542,55352320,0.0
1658344422.3366067,55968768,0.0
1658344482.3355165,56583168,0.0
1658344542.3422074,57201664,0.0
1658344602.3377693,57818112,0.0
1658344662.3374784,58433536,0.0
1658344722.3331766,59051008,0.0
1658344782.3313618,59669504,0.0
1658344842.3332,60284928,0.0
1658344902.3339858,60901376,0.0
1658344962.3392265,61520896,0.0
1658345022.3309493,62135296,0.0
1658345082.3307326,62752768,0.0
1658345142.338832,63369216,0.0
1658345202.332546,63985664,0.0
1658345262.3340318,64604160,0.0
1658345322.3349924,65220608,0.0
1658345382.333837,65839104,0.0
1658345442.3297408,66454528,0.0
1658345502.3367424,67073024,0.0
1658345562.3345742,67688448,0.0
1658345622.339034,68305920,0.0
1658345682.3348553,68923392,0.0
1658345742.3337972,69539840,0.0
1658345802.3470316,70157312,0.0
1658345862.3384726,70773760,0.0
1658345922.3342798,71391232,0.0
1658345982.3325474,72009728,0.0
1658346042.3367016,72626176,0.0
1658346102.3392074,73243648,0.0
1658346162.332397,73861120,0.0
1658346222.3396854,74477568,0.0
1658346282.338327,75094016,0.0
1658346342.33092,75710464,0.0
1658346402.3357482,76326912,0.0
1658346462.3323953,76943360,0.0
1658346522.3373945,77560832,0.0
1658346582.335211,78178304,0.0
1658346642.340226,78794752,0.0
1658346702.3364298,79411200,0.0
1658346762.3332963,80027648,0.0
1658346822.33183,80645120,0.0
1658346882.331977,81258496,0.0
1658346942.3376126,81878016,0.0
1658347002.3362083,82494464,0.0
1658347062.3465195,83110912,0.0
1658347122.3311455,83727360,0.0
1658347182.3402584,84342784,0.0
1658347242.3364966,84961280,0.0
1658347302.33517,85577728,0.0
1658347362.338399,86195200,0.0
1658347422.336697,86811648,0.0
1658347482.332681,87429120,0.0
1658347542.331007,88044544,0.0
1658347602.3309002,88659968,0.0
1658347662.3310094,89278464,0.0
1658347722.332369,89896960,0.0
1658347782.3361604,90511360,0.0
1658347842.330518,91130880,0.0
1658347902.3317928,91746304,0.0
1658347962.335139,92362752,0.0
1658348022.3333485,92980224,0.0
1658348082.3304288,93594624,0.0
1658348142.3428197,94212096,0.0
1658348202.3414526,94827520,0.0
1658348262.3317246,95440896,0.0
1658348322.3419638,96056320,0.0
1658348382.3338397,96673792,0.0
1658348442.3388033,97288192,0.0
1658348502.3416486,97903616,0.0
1658348562.3315504,98520064,0.0
1658348622.3356555,99136512,0.0
1658348682.3296535,99751936,0.0
1658348742.3371499,100368384,0.0
1658348802.34184,100982784,0.0
1658348862.338013,101601280,0.0
1658348922.3345218,102215680,0.0
1658348982.3331525,102832128,0.0
1658349042.3314784,103447552,0.0
1658349102.3353915,104065024,0.0
1658349162.3358796,104681472,0.0
1658349222.3301127,105297920,0.0
1658349282.3357885,105913344,0.0
1658349342.3336272,106529792,0.0
1658349402.33924,107145216,0.0
1658349462.342969,107762688,0.0
1658349522.3361943,108380160,0.0
1658349582.3310719,108995584,0.0
1658349642.3335905,109615104,0.0
1658349702.3350592,110230528,0.0
1658349762.3388634,110845952,0.0
1658349822.3378153,111463424,0.0
1658349882.3338437,112079872,0.0
1658349942.3520894,112696320,0.0
1658350002.3324764,113312768,0.0
1658350062.3329413,113929216,0.0
1658350122.3362548,114546688,0.0
1658350182.3321636,115160064,0.0
1658350242.342922,115774464,0.0
1658350302.341893,116388864,0.0
1658350362.3305979,117003264,0.0
1658350422.3412313,117614592,0.0
1658350482.33193,118226944,0.0
1658350542.338729,118837248,0.0
1658350602.342131,119447552,0.0
1658350662.3375807,120056832,0.0
1658350722.3309343,120666112,0.0
1658350782.333508,121274368,0.0
1658350842.3353143,121883648,0.0
1658350902.3384085,122490880,0.0
