wall_time,step,value
1658360622.3553176,220826624,103.0
1658360682.3466852,221435904,103.0
1658360742.3443725,222040064,104.0
1658360802.3499875,222647296,104.0
1658360862.3587253,223254528,107.0
1658360922.35576,223861760,117.0
1658360982.358201,224465920,120.0
1658361042.360783,225071104,120.0
1658361102.3516033,225679360,121.0
1658361162.3550284,226284544,121.0
1658361222.35817,226892800,121.0
1658361282.3535979,227497984,123.0
1658361342.3497448,228106240,123.0
1658361402.3564484,228711424,124.0
1658361462.3455389,229318656,130.0
1658361522.362855,229922816,129.0
1658361582.3506377,230529024,125.0
1658361642.3454096,231135232,124.0
1658361702.3573413,231741440,123.0
1658361762.3536358,232347648,121.0
1658361822.3508892,232954880,124.0
1658361882.351995,233561088,127.0
1658361942.3588398,234167296,121.0
1658362002.351677,234774528,118.0
1658362062.3666372,235380736,118.0
1658362122.3603954,235986944,118.0
1658362182.355023,236594176,118.0
1658362242.3477466,237200384,124.0
1658362302.351157,237806592,127.0
1658362362.350778,238412800,124.0
1658362422.348858,239020032,123.0
1658362482.3625267,239624192,120.0
1658362542.355605,240230400,120.0
1658362602.3455796,240836608,120.0
1658362662.3485382,241442816,120.0
1658362722.3516805,242048000,120.0
1658362782.3616517,242655232,129.0
1658362842.3585675,243262464,149.0
1658362902.3489778,243869696,153.0
1658362962.3576374,244475904,151.0
1658363022.3544335,245082112,148.0
1658363082.3492208,245689344,137.0
1658363142.364741,246295552,137.0
1658363202.3481488,246901760,131.0
1658363262.357998,247507968,127.0
1658363322.3546112,248115200,126.0
1658363382.3562417,248721408,132.0
1658363442.3548748,249327616,132.0
1658363502.3641567,249932800,134.0
1658363562.3550687,250537984,134.0
1658363622.347217,251144192,126.0
1658363682.3542128,251750400,127.0
1658363742.3526528,252355584,124.0
1658363802.3506212,252960768,126.0
1658363862.353686,253565952,121.0
1658363922.35876,254174208,121.0
1658363982.36584,254779392,120.0
1658364042.360361,255386624,120.0
1658364102.355344,255990784,120.0
1658364162.3461719,256598016,120.0
1658364222.3664796,257203200,115.0
1658364282.360695,257809408,116.0
1658364342.3560429,258415616,125.0
1658364402.3603566,259019776,125.0
1658364462.3682177,259625984,126.0
1658364522.3484898,260233216,126.0
1658364582.3567631,260839424,126.0
1658364642.3550687,261445632,126.0
1658364702.3515444,262052864,131.0
1658364762.351893,262659072,143.0
1658364822.358714,263265280,149.0
1658364882.3595185,263871488,145.0
1658364942.3485951,264475648,142.0
1658365002.3802998,265081856,132.0
1658365062.3543868,265688064,134.0
1658365122.349281,266295296,150.0
1658365182.3565652,266900480,166.0
1658365242.3473063,267506688,160.0
1658365302.3595243,268113920,156.0
1658365362.3506587,268719104,147.0
1658365422.351693,269327360,140.0
1658365482.357541,269932544,135.0
1658365542.3558729,270539776,120.0
1658365602.3744311,271147008,115.0
1658365662.355284,271752192,116.0
1658365722.3509612,272358400,119.0
1658365782.354192,272964608,120.0
1658365842.3453233,273570816,122.0
1658365902.3480644,274177024,131.0
1658365962.3587646,274781184,136.0
1658366022.348986,275388416,133.0
1658366082.362057,275994624,133.0
1658366142.3522542,276600832,133.0
1658366202.3499649,277208064,131.0
1658366262.359052,277814272,131.0
1658366322.3512886,278420480,131.0
1658366382.3493311,279025664,128.0
1658366442.3507662,279631872,128.0
1658366502.365963,280235008,126.0
1658366562.36044,280843264,126.0
1658366622.3563533,281448448,124.0
1658366682.3590875,282055680,114.0
1658366742.3553603,282659840,149.0
1658366802.3592966,283267072,176.0
1658366862.3477056,283873280,189.0
1658366922.3486035,284478464,175.0
1658366982.3552988,285082624,174.0
1658367042.3569677,285688832,207.0
1658367102.3518775,286296064,217.0
1658367162.3478222,286903296,213.0
1658367222.3540757,287507456,260.0
1658367282.349805,288113664,238.0
1658367342.349283,288719872,202.0
1658367402.3642478,289325056,154.0
1658367462.350074,289932288,156.0
1658367522.3636734,290538496,158.0
1658367582.3598783,291144704,167.0
1658367642.3525162,291750912,206.0
1658367702.3570213,292357120,259.0
1658367762.350161,292964352,229.0
1658367822.3524032,293570560,212.0
1658367882.3547273,294176768,178.0
1658367942.3545866,294780928,147.0
1658368002.3523555,295388160,141.0
1658368062.3473344,295996416,138.0
1658368122.3511057,296602624,147.0
1658368182.360551,297208832,139.0
1658368242.3607965,297815040,172.0
1658368302.3541412,298419200,214.0
1658368362.3604057,299028480,302.0
1658368422.357455,299631616,296.0
1658368482.361082,300237824,244.0
1658368542.3486319,300844032,221.0
1658368602.3724058,301451264,252.0
1658368662.3525984,302057472,285.0
1658368722.3576295,302661632,306.0
1658368782.346776,303268864,297.0
1658368842.3545566,303875072,270.0
1658368902.3586106,304481280,254.0
1658368962.3562229,305088512,212.0
1658369022.3487844,305693696,182.0
1658369082.352344,306298880,195.0
1658369142.35029,306907136,242.0
1658369202.3632438,307514368,258.0
1658369262.3580709,308118528,276.0
1658369322.3478594,308725760,312.0
1658369382.3504598,309330944,306.0
1658369442.358017,309937152,322.0
1658369502.3531637,310543360,279.0
1658369562.3542528,311149568,248.0
1658369622.3559268,311755776,341.0
1658369682.3506958,312359936,418.0
1658369742.3642993,312965120,372.0
1658369802.3486426,313573376,314.0
1658369862.352169,314178560,390.0
1658369922.3463051,314783744,400.0
1658369982.3488424,315392000,369.0
1658370042.361767,315997184,336.0
1658370102.3554356,316602368,273.0
1658370162.3653467,317209600,227.0
1658370222.3559337,317815808,195.0
1658370282.3513129,318420992,172.0
1658370342.3575335,319029248,150.0
1658370402.3534608,319634432,142.0
1658370462.3478575,320240640,139.0
1658370522.3641782,320848896,133.0
1658370582.3555663,321452032,131.0
1658370642.347541,322059264,129.0
1658370702.3566425,322664448,129.0
1658370762.356514,323269632,125.0
1658370822.3557408,323874816,120.0
1658370882.3501666,324481024,120.0
1658370942.3536506,325087232,117.0
1658371002.3505847,325693440,113.0
1658371062.3579657,326299648,111.0
1658371122.3599324,326904832,127.0
1658371182.3507683,327510016,177.0
1658371242.354111,328116224,214.0
1658371302.3494618,328721408,227.0
1658371362.3512437,329326592,277.0
1658371422.3468122,329932800,271.0
1658371482.3495874,330539008,235.0
1658371542.350205,331144192,243.0
1658371602.3597517,331748352,331.0
1658371662.3510704,332355584,322.0
1658371722.3565168,332962816,319.0
1658371782.360689,333568000,401.0
1658371842.3479247,334175232,473.0
1658371902.3524036,334780416,491.0
1658371962.3572586,335385600,472.0
1658372022.3620126,335993856,393.0
1658372082.35532,336598016,270.0
1658372142.3484085,337204224,207.0
1658372202.3505845,337809408,157.0
1658372262.3504145,338414592,151.0
1658372322.3518126,339021824,148.0
1658372382.3436894,339627008,182.0
1658372442.3547673,340232192,203.0
1658372502.359961,340839424,215.0
1658372562.35256,341443584,220.0
1658372622.3534405,342049792,264.0
1658372682.3547056,342654976,272.0
1658372742.355897,343261184,234.0
1658372802.3588223,343867392,209.0
1658372862.3528485,344474624,180.0
1658372922.3662696,345078784,179.0
1658372982.357382,345687040,258.0
1658373042.357387,346293248,349.0
1658373102.3559313,346898432,459.0
1658373162.3560529,347503616,450.0
1658373222.3540063,348109824,426.0
1658373282.3528442,348717056,540.0
1658373342.3558614,349323264,573.0
1658373402.3523092,349929472,541.0
1658373462.3533614,350534656,583.0
1658373522.3560433,351139840,645.0
1658373582.3666742,351747072,691.0
1658373642.3575885,352352256,678.0
1658373702.35887,352958464,660.0
1658373762.3503127,353562624,666.0
1658373822.35294,354168832,587.0
1658373882.3578966,354774016,579.0
1658373942.3688998,355378176,657.0
1658374002.352572,355984384,676.0
1658374062.3482492,356589568,696.0
1658374122.358646,357196800,738.0
1658374182.3583057,357803008,779.0
1658374242.3545177,358409216,772.0
1658374302.3523958,359016448,747.0
1658374362.3446708,359620608,749.0
1658374422.3512695,360225792,788.0
1658374482.350503,360833024,765.0
1658374542.364116,361438208,679.0
1658374602.357462,362043392,678.0
1658374662.3425586,362650624,701.0
1658374722.3578985,363256832,689.0
1658374782.3504157,363863040,687.0
1658374842.357684,364468224,647.0
1658374902.355768,365074432,605.0
1658374962.3486454,365680640,655.0
1658375022.3474984,366285824,670.0
1658375082.3536909,366891008,614.0
1658375142.3549385,367498240,592.0
1658375202.346641,368102400,563.0
1658375262.3487751,368707584,620.0
1658375322.3590596,369313792,697.0
1658375382.356374,369920000,694.0
1658375442.349125,370527232,696.0
1658375502.3614473,371132416,675.0
1658375562.3517358,371737600,594.0
1658375622.3466864,372345856,555.0
1658375682.354666,372952064,619.0
1658375742.3464391,373558272,641.0
