wall_time,step,value
1658339022.3300602,450560,-360.7534484863281
1658339082.3283143,1067008,-353.9109191894531
1658339142.332316,1682432,-324.8337707519531
1658339202.337181,2300928,-296.9902648925781
1658339262.3363864,2916352,-266.0353698730469
1658339322.3346713,3531776,-247.8648223876953
1658339382.3343468,4148224,-212.86798095703125
1658339442.336718,4763648,-219.55235290527344
1658339502.3410711,5382144,-186.0286865234375
1658339562.3341448,5999616,-154.2882843017578
1658339622.3293889,6617088,-135.6514892578125
1658339682.3327627,7233536,-132.91098022460938
1658339742.3314862,7851008,-119.10791015625
1658339802.3336825,8467456,-116.72148132324219
1658339862.3427505,9085952,-98.83103942871094
1658339922.3342776,9702400,-96.11923217773438
1658339982.3373573,10318848,-94.06220245361328
1658340042.3393242,10934272,-78.1124267578125
1658340102.3363833,11551744,-66.24388122558594
1658340162.3444397,12167168,-61.883079528808594
1658340222.3487194,12786688,-56.638553619384766
1658340282.3349023,13403136,-55.99257278442383
1658340342.3309326,14020608,-50.305763244628906
1658340402.3331523,14639104,-49.098854064941406
1658340462.3328438,15255552,-46.58959197998047
1658340522.3359797,15874048,-44.430641174316406
1658340582.3388934,16491520,-42.60492706298828
1658340642.3439276,17108992,-39.63610076904297
1658340702.3317776,17727488,-38.61836242675781
1658340762.3378165,18343936,-37.58245086669922
1658340822.3358128,18959360,-36.477901458740234
1658340882.332125,19576832,-36.68898010253906
1658340942.3323915,20193280,-35.02115249633789
1658341002.3344514,20810752,-34.595794677734375
1658341062.3320234,21427200,-34.243370056152344
1658341122.336318,22045696,-33.58934020996094
1658341182.3385036,22661120,-33.57048797607422
1658341242.3361046,23277568,-33.01439666748047
1658341302.3295047,23895040,-31.902803421020508
1658341362.337458,24512512,-30.75515365600586
1658341422.3323712,25128960,-30.40319061279297
1658341482.3327913,25746432,-29.20961570739746
1658341542.3307853,26363904,-29.0065975189209
1658341602.3294818,26980352,-28.56243324279785
1658341662.3364444,27596800,-27.499494552612305
1658341722.3341806,28213248,-27.395875930786133
1658341782.33035,28829696,-26.93621253967285
1658341842.3365912,29447168,-26.477001190185547
1658341902.3284516,30065664,-25.61772918701172
1658341962.334417,30681088,-26.564414978027344
1658342022.3372102,31297536,-26.286977767944336
1658342082.3292615,31916032,-24.76669692993164
1658342142.3436892,32533504,-25.233787536621094
1658342202.3396237,33149952,-25.02686309814453
1658342262.3360171,33766400,-23.97421646118164
1658342322.3304214,34381824,-24.227022171020508
1658342382.3299851,34999296,-23.27965545654297
1658342442.3308363,35618816,-23.3553524017334
1658342502.332066,36235264,-22.50285530090332
1658342562.3349752,36851712,-22.941707611083984
1658342622.3387618,37468160,-22.661705017089844
1658342682.342728,38086656,-22.580215454101562
1658342742.3297393,38702080,-22.298856735229492
1658342802.3389022,39318528,-22.68340492248535
1658342862.3405266,39934976,-21.613733291625977
1658342922.3358748,40551424,-21.934446334838867
1658342982.3347254,41168896,-21.817899703979492
1658343042.3350592,41785344,-21.091381072998047
1658343102.3353534,42400768,-21.422433853149414
1658343162.3428907,43017216,-22.628578186035156
1658343222.3328745,43636736,-21.1273250579834
1658343282.3342142,44252160,-20.8361759185791
1658343342.333507,44869632,-20.687774658203125
1658343402.3316035,45486080,-20.457609176635742
1658343462.3359308,46102528,-20.908401489257812
1658343522.3329942,46717952,-21.55685806274414
1658343582.3296597,47336448,-20.865970611572266
1658343642.3315077,47954944,-20.4069766998291
1658343702.3349144,48570368,-20.178373336791992
1658343762.3305187,49188864,-20.205596923828125
1658343822.3385758,49801216,-20.779172897338867
1658343882.3368664,50418688,-20.057973861694336
1658343942.3329306,51036160,-20.444456100463867
1658344002.3513963,51651584,-19.875646591186523
1658344062.3344421,52269056,-19.551233291625977
1658344122.336303,52884480,-19.69132423400879
1658344182.3381429,53502976,-19.63783836364746
1658344242.3383846,54118400,-19.78486442565918
1658344302.3327398,54734848,-19.404865264892578
1658344362.3333294,55352320,-19.368886947631836
1658344422.3362534,55968768,-19.870716094970703
1658344482.3351543,56583168,-19.443748474121094
1658344542.3412132,57201664,-19.481740951538086
1658344602.3366084,57818112,-19.279020309448242
1658344662.3371148,58433536,-18.65673065185547
1658344722.332826,59051008,-18.953067779541016
1658344782.331022,59669504,-18.26531982421875
1658344842.3328574,60284928,-18.3369083404541
1658344902.3328254,60901376,-19.24172592163086
1658344962.338873,61520896,-18.549365997314453
1658345022.3306108,62135296,-20.870586395263672
1658345082.3303895,62752768,-18.298751831054688
1658345142.338486,63369216,-18.830467224121094
1658345202.3288727,63985664,-17.855878829956055
1658345262.3329272,64604160,-18.149616241455078
1658345322.3346386,65220608,-18.39161491394043
1658345382.3334658,65839104,-18.27315902709961
1658345442.3293912,66454528,-18.56150245666504
1658345502.3336957,67073024,-17.98699188232422
1658345562.3341715,67688448,-17.712810516357422
1658345622.3386693,68305920,-17.683673858642578
1658345682.3344839,68923392,-18.452707290649414
1658345742.3334274,69539840,-17.640117645263672
1658345802.3466508,70157312,-17.503358840942383
1658345862.3381228,70773760,-17.801523208618164
1658345922.332636,71391232,-17.815458297729492
1658345982.3321943,72009728,-17.87523078918457
1658346042.3347843,72626176,-17.43438720703125
1658346102.338825,73243648,-17.36211585998535
1658346162.3320117,73861120,-17.353897094726562
1658346222.3392758,74477568,-17.2425537109375
1658346282.3379867,75094016,-17.38064193725586
1658346342.3305883,75710464,-17.213232040405273
1658346402.3338616,76326912,-18.171598434448242
1658346462.3292487,76943360,-17.307554244995117
1658346522.336593,77560832,-17.1817684173584
1658346582.3348646,78178304,-17.10396385192871
1658346642.3392127,78794752,-17.067771911621094
1658346702.3347917,79411200,-19.677810668945312
1658346762.331407,80027648,-17.254087448120117
1658346822.3315508,80645120,-17.645519256591797
1658346882.3316276,81258496,-16.914499282836914
1658346942.3371236,81878016,-18.827592849731445
1658347002.3358617,82494464,-18.205589294433594
1658347062.3456004,83110912,-18.45608139038086
1658347122.330796,83727360,-17.18998146057129
1658347182.3358617,84342784,-17.453533172607422
1658347242.3298652,84961280,-17.290969848632812
1658347302.3348148,85577728,-17.784988403320312
1658347362.3345237,86195200,-16.919710159301758
1658347422.3362954,86811648,-18.369535446166992
1658347482.3324885,87429120,-17.672460556030273
1658347542.330647,88044544,-16.214920043945312
1658347602.330546,88659968,-16.882619857788086
1658347662.330674,89278464,-18.90682029724121
1658347722.3320127,89896960,-16.774131774902344
1658347782.3348548,90511360,-16.246150970458984
1658347842.3303,91130880,-16.372182846069336
1658347902.3302352,91746304,-17.351863861083984
1658347962.3347702,92362752,-17.543193817138672
1658348022.3329985,92980224,-16.668725967407227
1658348082.3292265,93594624,-17.261079788208008
1658348142.3371878,94212096,-17.772432327270508
1658348202.3393452,94827520,-17.70005226135254
1658348262.3315327,95440896,-17.889570236206055
1658348322.3415747,96056320,-18.08697509765625
1658348382.3318896,96673792,-18.304607391357422
1658348442.33693,97288192,-17.554983139038086
1658348502.3412657,97903616,-17.608835220336914
1658348562.3299556,98520064,-16.382343292236328
1658348622.3353248,99136512,-18.00398063659668
1658348682.3293002,99751936,-17.245922088623047
1658348742.336749,100368384,-16.790172576904297
1658348802.3409684,100982784,-15.821632385253906
1658348862.3370101,101601280,-16.877927780151367
1658348922.3341308,102215680,-16.15545654296875
1658348982.3327844,102832128,-15.651899337768555
1658349042.3300297,103447552,-16.517471313476562
1658349102.333809,104065024,-15.960702896118164
1658349162.3339295,104681472,-14.812889099121094
1658349222.3297586,105297920,-16.63825035095215
1658349282.3312893,105913344,-14.645478248596191
1658349342.3315086,106529792,-15.954584121704102
1658349402.338884,107145216,-15.587419509887695
1658349462.3426197,107762688,-18.519365310668945
1658349522.3358521,108380160,-14.962118148803711
1658349582.330506,108995584,-14.936826705932617
1658349642.3332562,109615104,-15.656196594238281
1658349702.3346949,110230528,-15.139735221862793
1658349762.3385158,110845952,-16.679584503173828
1658349822.3374634,111463424,-16.233613967895508
1658349882.3314586,112079872,-15.366081237792969
1658349942.3372724,112696320,-15.600858688354492
1658350002.3308375,113312768,-15.743534088134766
1658350062.3325727,113929216,-15.9201078414917
1658350122.3339784,114546688,-16.30251693725586
1658350182.3317294,115160064,-16.972856521606445
1658350242.3425176,115774464,-17.435773849487305
1658350302.3415458,116388864,-16.871376037597656
1658350362.3302424,117003264,-16.98798179626465
1658350422.3408623,117614592,-18.00846290588379
1658350482.329874,118226944,-17.49751853942871
1658350542.3379235,118837248,-18.88599967956543
1658350602.3417656,119447552,-19.322134017944336
1658350662.3358166,120056832,-17.571256637573242
1658350722.3307455,120666112,-18.230440139770508
1658350782.3322313,121274368,-18.49469566345215
1658350842.334972,121883648,-17.256633758544922
1658350902.3381696,122490880,-18.261280059814453
1658350962.3322406,123100160,-19.42101287841797
1658351022.3349125,123707392,-18.826374053955078
1658351082.3335593,124316672,-18.166711807250977
1658351142.3369758,124924928,-17.9036922454834
1658351202.335931,125532160,-17.38047218322754
1658351262.330336,126141440,-18.060596466064453
1658351322.332089,126747648,-20.95022964477539
1658351382.330189,127354880,-21.05577278137207
1658351442.3292785,127963136,-16.711559295654297
1658351502.336989,128571392,-20.04715919494629
1658351562.3360798,129179648,-17.32892417907715
1658351622.332733,129787904,-18.357248306274414
1658351682.327941,130395136,-19.545881271362305
1658351742.3352802,131002368,-17.001842498779297
1658351802.329637,131610624,-17.40642547607422
1658351862.3299792,132219904,-17.22045135498047
1658351922.3311803,132827136,-17.792463302612305
1658351982.3337736,133436416,-17.838050842285156
1658352042.3389235,134042624,-17.37452507019043
1658352102.338749,134650880,-23.116811752319336
1658352162.3449464,135259136,-20.03883171081543
1658352222.337999,135866368,-19.10972785949707
1658352282.3303282,136472576,-17.51597023010254
1658352342.3297818,137080832,-17.33477783203125
1658352402.329844,137687040,-18.438661575317383
1658352462.3347929,138295296,-18.827259063720703
1658352522.3289149,138902528,-20.523168563842773
1658352582.3365932,139511808,-19.936996459960938
