wall_time,step,value
1658339022.3302634,450560,-637.7820434570312
1658339082.3289037,1067008,-626.7501831054688
1658339142.332493,1682432,-625.39990234375
1658339202.3377104,2300928,-632.493408203125
1658339262.3374965,2916352,-644.2273559570312
1658339322.3349013,3531776,-641.3775634765625
1658339382.3345616,4148224,-634.676513671875
1658339442.3369136,4763648,-587.8818969726562
1658339502.3412483,5382144,-600.8450317382812
1658339562.3343322,5999616,-607.173828125
1658339622.3295646,6617088,-614.9585571289062
1658339682.332953,7233536,-557.2314453125
1658339742.331666,7851008,-548.3204956054688
1658339802.333863,8467456,-519.9797973632812
1658339862.3444586,9085952,-508.2848205566406
1658339922.3344116,9702400,-458.25897216796875
1658339982.338209,10318848,-418.6991271972656
1658340042.3400538,10934272,-399.4122009277344
1658340102.336567,11551744,-345.18939208984375
1658340162.344547,12167168,-307.2941589355469
1658340222.348904,12786688,-290.7442932128906
1658340282.3350785,13403136,-270.5614929199219
1658340342.3311014,14020608,-258.7763366699219
1658340402.3333383,14639104,-255.50790405273438
1658340462.3329446,15255552,-247.41738891601562
1658340522.3361657,15874048,-240.6284942626953
1658340582.339071,16491520,-240.32154846191406
1658340642.34411,17108992,-242.40093994140625
1658340702.3319588,17727488,-248.5031280517578
1658340762.3386312,18343936,-237.33958435058594
1658340822.3359857,18959360,-240.5002899169922
1658340882.332303,19576832,-262.0659484863281
1658340942.3325515,20193280,-254.2711639404297
1658341002.334597,20810752,-233.37887573242188
1658341062.3321192,21427200,-235.6194305419922
1658341122.3365107,22045696,-216.79962158203125
1658341182.338714,22661120,-214.07666015625
1658341242.3363228,23277568,-215.60601806640625
1658341302.3296633,23895040,-214.58041381835938
1658341362.3386593,24512512,-191.897705078125
1658341422.3325722,25128960,-195.5109405517578
1658341482.3329747,25746432,-187.1936492919922
1658341542.330955,26363904,-175.66961669921875
1658341602.3303485,26980352,-164.39761352539062
1658341662.3366358,27596800,-162.53817749023438
1658341722.334352,28213248,-159.636474609375
1658341782.330535,28829696,-155.3209686279297
1658341842.3367755,29447168,-151.0358428955078
1658341902.3342144,30065664,-133.07359313964844
1658341962.33454,30681088,-144.53675842285156
1658342022.3373926,31297536,-145.14901733398438
1658342082.3308825,31916032,-124.10431671142578
1658342142.3438985,32533504,-137.79147338867188
1658342202.3398252,33149952,-135.3283233642578
