wall_time,step,value
1658339022.3231556,450560,-94.93635559082031
1658339082.3236926,1067008,-93.49066925048828
1658339142.3253007,1682432,-90.80450439453125
1658339202.331538,2300928,-87.6086654663086
1658339262.3234096,2916352,-85.46363830566406
1658339322.323555,3531776,-83.9682846069336
1658339382.3231697,4148224,-80.31829071044922
1658339442.3251202,4763648,-81.49192810058594
1658339502.3293676,5382144,-77.81959533691406
1658339562.323664,5999616,-74.05411529541016
1658339622.323065,6617088,-72.71685791015625
1658339682.326978,7233536,-70.70079803466797
1658339742.3231845,7851008,-69.99166107177734
1658339802.3271158,8467456,-69.8559799194336
1658339862.3229468,9085952,-67.86725616455078
1658339922.3269331,9702400,-67.6948471069336
1658339982.3241827,10318848,-65.97742462158203
1658340042.3287895,10934272,-63.63645553588867
1658340102.323228,11551744,-61.548980712890625
1658340162.323245,12167168,-59.723628997802734
1658340222.3346794,12786688,-58.3944091796875
1658340282.3249142,13403136,-58.24461364746094
1658340342.32398,14020608,-55.58082580566406
1658340402.3233407,14639104,-55.107418060302734
1658340462.323867,15255552,-53.688045501708984
1658340522.323535,15874048,-52.88430404663086
1658340582.328523,16491520,-51.44917678833008
1658340642.3322864,17108992,-51.09622573852539
1658340702.3245926,17727488,-49.100826263427734
1658340762.3236253,18343936,-47.350948333740234
1658340822.3259532,18959360,-45.05961990356445
1658340882.323203,19576832,-47.214012145996094
1658340942.3233027,20193280,-46.242149353027344
1658341002.3232887,20810752,-43.25776672363281
1658341062.3233302,21427200,-43.83140563964844
1658341122.3234806,22045696,-42.01427459716797
1658341182.326965,22661120,-38.96784973144531
1658341242.327428,23277568,-38.52898025512695
1658341302.3242514,23895040,-36.939579010009766
1658341362.3323333,24512512,-33.57538986206055
1658341422.3250005,25128960,-34.974491119384766
1658341482.3260806,25746432,-32.894874572753906
1658341542.3233302,26363904,-33.355804443359375
1658341602.3236516,26980352,-32.24485778808594
1658341662.3248563,27596800,-28.65473175048828
1658341722.327142,28213248,-28.34564971923828
1658341782.3231628,28829696,-29.81060791015625
1658341842.3230524,29447168,-27.149715423583984
1658341902.3233402,30065664,-25.61457633972168
1658341962.32552,30681088,-28.19683837890625
1658342022.3253222,31297536,-27.42011070251465
1658342082.323027,31916032,-24.93967056274414
1658342142.323854,32533504,-27.680639266967773
1658342202.3280752,33149952,-25.90334701538086
1658342262.3217328,33766400,-23.91832160949707
1658342322.3233793,34381824,-26.075944900512695
1658342382.3229995,34999296,-23.928678512573242
1658342442.3235185,35618816,-24.7077579498291
1658342502.3252742,36235264,-23.38060188293457
1658342562.3231914,36851712,-24.082948684692383
1658342622.323861,37468160,-24.427616119384766
1658342682.3242302,38086656,-24.857864379882812
1658342742.323074,38702080,-23.517513275146484
1658342802.3289149,39318528,-24.777631759643555
1658342862.323545,39934976,-23.846460342407227
1658342922.3271804,40551424,-24.504467010498047
1658342982.3285594,41168896,-24.5034122467041
1658343042.3257947,41785344,-24.405529022216797
1658343102.3250387,42400768,-24.262784957885742
1658343162.3307135,43017216,-25.056047439575195
1658343222.3270268,43636736,-23.454660415649414
1658343282.3259501,44252160,-23.896209716796875
1658343342.327125,44869632,-23.91936492919922
1658343402.3247643,45486080,-22.67027473449707
1658343462.3242607,46102528,-24.874597549438477
1658343522.3276258,46717952,-25.219079971313477
