wall_time,step,value
1658339022.3308856,450560,0.03389016538858414
1658339082.3338091,1067008,6.261281981778666e-08
1658339142.3387017,1682432,7.07618923456721e-08
1658339202.3433542,2300928,8.499250014892823e-08
1658339262.3429253,2916352,6.494112625432535e-08
1658339322.3383303,3531776,7.525086687110161e-08
1658339382.3369217,4148224,5.328096364110024e-08
1658339442.3419325,4763648,8.556060748787786e-08
1658339502.3440366,5382144,8.234754034219804e-08
1658339562.3372228,5999616,7.137656155009608e-08
1658339622.333049,6617088,5.703419603264592e-08
1658339682.33601,7233536,8.020550268383886e-08
1658339742.3347418,7851008,5.908776046226194e-08
1658339802.3363647,8467456,7.171183824539185e-08
1658339862.3467607,9085952,9.298790359935083e-08
1658339922.3362248,9702400,7.165828463939761e-08
1658339982.343351,10318848,7.752795028181936e-08
1658340042.3428104,10934272,8.586793853737618e-08
1658340102.3388782,11551744,7.119029987734393e-08
1658340162.3465645,12167168,5.2254179649935395e-08
1658340222.352171,12786688,6.432644994447401e-08
1658340282.340715,13403136,7.846406901990122e-08
1658340342.3338115,14020608,8.095055648027483e-08
1658340402.3388016,14639104,7.170718419047262e-08
1658340462.340041,15255552,8.191913281052621e-08
1658340522.3430722,15874048,7.720664285670864e-08
1658340582.3418226,16491520,6.780028627417778e-08
1658340642.346721,17108992,7.270835311601331e-08
1658340702.3339267,17727488,7.856637296299596e-08
1658340762.3411095,18343936,6.66547563810127e-08
1658340822.3399384,18959360,7.3499975883351e-08
1658340882.3348753,19576832,7.579102856425379e-08
1658340942.3386207,20193280,6.061978297111636e-08
1658341002.3371553,20810752,6.497604942978796e-08
1658341062.3337977,21427200,7.465482099178189e-08
1658341122.3382359,22045696,9.324401872845556e-08
1658341182.3413067,22661120,9.620591612247154e-08
1658341242.3413196,23277568,7.658265843701884e-08
1658341302.3321204,23895040,7.688998948651715e-08
1658341362.3481162,24512512,7.928348821906184e-08
1658341422.3347282,25128960,7.655471279122139e-08
1658341482.3354545,25746432,8.622184566320357e-08
1658341542.3335998,26363904,9.194016570290842e-08
1658341602.3397636,26980352,8.065253354061497e-08
1658341662.3390057,27596800,7.085502318204817e-08
1658341722.3359263,28213248,8.314847832480154e-08
1658341782.33278,28829696,8.22357861807177e-08
1658341842.338366,29447168,1.0143965312181535e-07
1658341902.336892,30065664,6.711110245305463e-08
1658341962.3361058,30681088,7.42636601103186e-08
1658342022.3412926,31297536,8.463393896818161e-08
1658342082.3375096,31916032,9.691342484074994e-08
1658342142.346097,32533504,1.0145828355234698e-07
1658342202.3416748,33149952,9.048730476024502e-08
1658342262.3389072,33766400,7.04452389754806e-08
1658342322.335151,34381824,1.0222196777931458e-07
1658342382.3320234,34999296,9.533017930607457e-08
1658342442.333822,35618816,8.82893829157183e-08
1658342502.3349838,36235264,8.82148754044465e-08
1658342562.337932,36851712,8.047092592278204e-08
1658342622.3436687,37468160,7.47526058830772e-08
1658342682.3457294,38086656,8.82521291600824e-08
1658342742.3324542,38702080,9.395181876925562e-08
1658342802.341811,39318528,1.0158866814435896e-07
1658342862.3428135,39934976,9.298790359935083e-08
1658342922.3400354,40551424,7.091090026278835e-08
1658342982.3372602,41168896,7.551629011004479e-08
1658343042.3379257,41785344,8.538365392496416e-08
1658343102.3382773,42400768,9.890645458199288e-08
1658343162.3453145,43017216,8.940696716308594e-08
1658343222.3399973,43636736,7.933471124488278e-08
1658343282.3384142,44252160,9.173527359962463e-08
1658343342.3369777,44869632,7.405876800703481e-08
1658343402.3369923,45486080,9.549781765372245e-08
1658343462.3385844,46102528,8.739530699131137e-08
1658343522.3355181,46717952,9.182840443600071e-08
1658343582.3327653,47336448,7.839873461534808e-08
1658343642.335949,47954944,9.216368113129647e-08
1658343702.3379261,48570368,8.72649223992994e-08
1658343762.3328493,49188864,1.0905787206638706e-07
1658343822.340945,49801216,8.58493152122719e-08
1658343882.3410034,50418688,9.990064597786841e-08
1658343942.3386111,51036160,1.1000782507153417e-07
1658344002.3541174,51651584,7.197377271950245e-08
1658344062.336854,52269056,8.629635317447537e-08
1658344122.3388605,52884480,7.04079852198447e-08
1658344182.3408804,53502976,9.197741945854432e-08
1658344242.3428807,54118400,9.942800005546815e-08
1658344302.3349066,54734848,9.093433561702113e-08
1658344362.336095,55352320,8.032191800566579e-08
1658344422.3429708,55968768,8.720904531855922e-08
1658344482.3376534,56583168,7.94790651070798e-08
1658344542.3444474,57201664,9.024515890132534e-08
1658344602.3397822,57818112,8.068978729625087e-08
1658344662.340139,58433536,8.439645426960851e-08
1658344722.3352935,59051008,9.863171612778387e-08
1658344782.3338583,59669504,8.456409261725639e-08
1658344842.3356895,60284928,9.145587398506905e-08
1658344902.3362691,60901376,7.98702259885431e-08
1658344962.3442757,61520896,9.905546960453648e-08
1658345022.3332353,62135296,6.626360260497677e-08
1658345082.333334,62752768,7.584691275042132e-08
1658345142.3412974,63369216,8.721836053382503e-08
1658345202.3337946,63985664,1.079216573884878e-07
1658345262.3364513,64604160,9.439885673145909e-08
1658345322.337019,65220608,9.52743022253344e-08
1658345382.340578,65839104,6.99609543630686e-08
1658345442.332018,66454528,8.171424070724242e-08
1658345502.3390203,67073024,9.115785104540919e-08
1658345562.336335,67688448,8.000992579582089e-08
1658345622.3447106,68305920,8.43871390543427e-08
1658345682.336644,68923392,7.957220304888324e-08
1658345742.3356867,69539840,9.020790514568944e-08
1658345802.3488889,70157312,9.000301304240566e-08
1658345862.339826,70773760,7.543712854385376e-08
1658345922.3370247,71391232,7.288647196901366e-08
1658345982.334693,72009728,9.983777715660835e-08
1658346042.338431,72626176,8.467584677873674e-08
1658346102.3415792,73243648,7.070600815950456e-08
1658346162.3389418,73861120,8.18818790548903e-08
1658346222.3445096,74477568,7.946044178197553e-08
1658346282.3417234,75094016,8.005648766129525e-08
1658346342.3331664,75710464,8.571893062025993e-08
1658346402.336501,76326912,9.763985531208164e-08
1658346462.3340094,76943360,9.089708186138523e-08
1658346522.3423047,77560832,9.387731836341118e-08
1658346582.33763,78178304,7.957220304888324e-08
1658346642.3421085,78794752,7.282011438292102e-08
1658346702.3378484,79411200,7.748603536583687e-08
1658346762.334044,80027648,7.610768193444528e-08
1658346822.343209,80645120,1.0021030760754002e-07
1658346882.334327,81258496,7.225200704397139e-08
1658346942.3395379,81878016,9.249895782659223e-08
1658347002.3384254,82494464,7.966766446543261e-08
1658347062.3511133,83110912,1.0063871513921185e-07
1658347122.3333378,83727360,7.102731558461528e-08
1658347182.3506823,84342784,9.499955666569804e-08
1658347242.3390152,84961280,7.584691275042132e-08
1658347302.3373535,85577728,7.268041457564323e-08
1658347362.3433566,86195200,9.307638038080768e-08
1658347422.3427181,86811648,9.315204607673877e-08
1658347482.3349617,87429120,8.137896401194666e-08
1658347542.3353796,88044544,7.512048227908963e-08
1658347602.3327487,88659968,9.12696123123169e-08
1658347662.3332784,89278464,1.0196119859529063e-07
1658347722.3350039,89896960,1.1617317596801513e-07
1658347782.337974,90511360,1.071579731615202e-07
1658347842.3466866,91130880,8.5812061456636e-08
1658347902.338683,91746304,7.185153805266964e-08
1658347962.337648,92362752,8.601695355991978e-08
1658348022.3361542,92980224,9.320676497281966e-08
1658348082.3325622,93594624,8.680159169216495e-08
1658348142.343535,94212096,6.623566406460668e-08
1658348202.3422318,94827520,7.679685865014108e-08
1658348262.3332388,95440896,8.96025440511039e-08
1658348322.3489695,96056320,7.265247603527314e-08
1658348382.336079,96673792,7.819384251206429e-08
1658348442.3425877,97288192,1.0120682247816148e-07
1658348502.3448598,97903616,8.407980089941702e-08
1658348562.332278,98520064,1.272559160270248e-07
1658348622.3399427,99136512,9.104609688392884e-08
1658348682.331548,99751936,8.326023959170925e-08
1658348742.338783,100368384,8.679926111199165e-08
1658348802.343733,100982784,1.150928454762834e-07
1658348862.3401458,101601280,1.0054558430283578e-07
1658348922.3367884,102215680,1.0453164378532165e-07
1658348982.335027,102832128,1.0475516631913706e-07
1658349042.3329701,103447552,1.1324882365215672e-07
1658349102.337191,104065024,8.98540051252894e-08
1658349162.3363225,104681472,1.1309981573504047e-07
1658349222.3324585,105297920,1.0624528101743635e-07
1658349282.3365626,105913344,1.0371208247761388e-07
1658349342.3352196,106529792,1.1380761577584053e-07
1658349402.3417783,107145216,1.0015443052679984e-07
1658349462.345441,107762688,9.723007821094143e-08
1658349522.3389866,108380160,9.454786464857534e-08
1658349582.333366,108995584,9.657814814545418e-08
1658349642.3363721,109615104,9.279698076625209e-08
1658349702.3376393,110230528,1.1384486953147643e-07
1658349762.3469987,110845952,9.402632628052743e-08
1658349822.3400264,111463424,1.0238960612696246e-07
1658349882.3363116,112079872,9.04686743297134e-08
1658349942.3525226,112696320,1.3193115933063382e-07
1658350002.3332446,113312768,1.0380521331398995e-07
1658350062.3351486,113929216,1.200474741835933e-07
1658350122.337023,114546688,7.333233753570312e-08
1658350182.3340123,115160064,1.0039657638571953e-07
1658350242.345,115774464,8.020550268383886e-08
1658350302.3439622,116388864,1.0319054410956596e-07
1658350362.3333588,117003264,9.581446391848658e-08
1658350422.3432362,117614592,9.486451801876683e-08
1658350482.3327339,118226944,8.527189265805646e-08
1658350542.3403032,118837248,7.383991373899335e-08
1658350602.3446338,119447552,8.318573208043745e-08
1658350662.3396971,120056832,1.012533914490632e-07
1658350722.3374863,120666112,6.820075526547953e-08
1658350782.3344507,121274368,1.0717660359205183e-07
1658350842.3373911,121883648,7.763505038838048e-08
1658350902.344277,122490880,1.1771917485248196e-07
1658350962.3352532,123100160,7.128343071372001e-08
1658351022.3378408,123707392,7.700175075342486e-08
1658351082.3369744,124316672,1.0825693408378356e-07
1658351142.3398128,124924928,8.240342452836558e-08
1658351202.3446913,125532160,7.64522667395795e-08
1658351262.3362508,126141440,8.467584677873674e-08
1658351322.3340166,126747648,9.36724262601274e-08
1658351382.3325171,127354880,9.812880108484023e-08
1658351442.3333995,127963136,8.471775458929187e-08
1658351502.339738,128571392,8.072704105188677e-08
1658351562.3393528,129179648,1.0643154269018851e-07
1658351622.336217,129787904,8.651055338759761e-08
1658351682.3362465,130395136,8.530914641369236e-08
1658351742.336599,131002368,9.187031224655584e-08
1658351802.3374875,131610624,8.491799263765643e-08
1658351862.3332782,132219904,1.0183080689785129e-07
1658351922.3386824,132827136,8.746050639274472e-08
1658351982.3366761,133436416,8.959555941601138e-08
1658352042.3446953,134042624,9.868293915360482e-08
1658352102.3421576,134650880,9.082257435011343e-08
1658352162.3545141,135259136,7.968395721036359e-08
1658352222.3411698,135866368,1.1026859425555813e-07
1658352282.3332372,136472576,8.475966950527436e-08
1658352342.3355305,137080832,8.057802602934316e-08
1658352402.3330433,137687040,9.458511840421124e-08
1658352462.3369749,138295296,8.411938523522622e-08
1658352522.3356595,138902528,1.1309981573504047e-07
1658352582.3392515,139511808,7.916241884231567e-08
1658352642.3375382,140119040,7.022172354709255e-08
1658352702.3524675,140725248,8.236617077272967e-08
1658352762.3373458,141332480,9.402632628052743e-08
1658352822.3419285,141941760,5.6736169540272385e-08
1658352882.3373244,142546944,9.620562479994987e-08
1658352942.3396387,143156224,8.996575928676975e-08
1658353002.3385172,143763456,9.585171767412248e-08
1658353062.3440351,144371712,8.922070549033378e-08
1658353122.3510218,144978944,9.117648147594082e-08
1658353182.33474,145587200,8.702278364580707e-08
1658353242.3397503,146194432,7.178634575666365e-08
1658353302.334871,146800640,1.0073185308101529e-07
1658353362.3334105,147408896,1.1641765240710811e-07
1658353422.34188,148016128,7.534399770747768e-08
1658353482.3366787,148621312,7.934868051506783e-08
1658353542.333582,149228544,8.155126351994113e-08
1658353602.3491313,149836800,7.65267742508513e-08
1658353662.342083,150443008,7.327646045496294e-08
1658353722.3485847,151050240,8.253380912037755e-08
1658353782.3431325,151656448,7.19353536737799e-08
1658353842.3328443,152263680,5.1651149135523156e-08
1658353902.338871,152871936,9.019510116559104e-08
1658353962.3336565,153480192,9.149312774070495e-08
1658354022.337526,154085376,5.668029245953221e-08
1658354082.3383954,154693632,6.161630494716519e-08
1658354142.3441725,155300864,8.629635317447537e-08
1658354202.3413725,155910144,7.43381676215904e-08
1658354262.3391635,156515328,9.149312774070495e-08
1658354322.3372855,157122560,7.070600815950456e-08
1658354382.3378925,157728768,7.83428575346079e-08
1658354442.3343494,158336000,8.011236474203542e-08
1658354502.3500392,158943232,6.658956408500671e-08
1658354562.3388324,159551488,7.35372296389869e-08
1658354622.3424137,160159744,6.610585501221067e-08
1658354682.3402133,160765952,7.186085326793545e-08
1658354742.337557,161373184,6.542075681181814e-08
1658354802.3467202,161980416,5.602836594675864e-08
1658354862.3386934,162586624,6.912276262482919e-08
1658354922.343123,163192832,7.8305603778972e-08
1658354982.3402452,163800064,6.997026247290705e-08
1658355042.341027,164408320,5.5767596762734684e-08
1658355102.3446572,165015552,6.793067086618976e-08
1658355162.3360357,165620736,6.098300531220957e-08
1658355222.3392515,166226944,6.97840008001549e-08
1658355282.3339264,166835200,5.5525450903815e-08
1658355342.3430333,167441408,5.900859889607091e-08
1658355402.3372142,168049664,5.20842142748279e-08
1658355462.3321364,168653824,5.5525450903815e-08
1658355522.3389232,169262080,6.541609565147155e-08
1658355582.34725,169868288,5.97350293674026e-08
1658355642.3416548,170475520,5.8021395688001576e-08
1658355702.3332357,171081728,6.332993507385254e-08
1658355762.344863,171689984,7.238239163598337e-08
1658355822.3422248,172297216,6.61052794725947e-08
1658355882.3426645,172901376,6.502494187543562e-08
1658355942.337498,173510656,6.605172586660046e-08
1658356002.3369136,174117888,7.078051567077637e-08
1658356062.3357446,174724096,5.606561970239454e-08
1658356122.3333678,175330304,5.97350293674026e-08
1658356182.3463478,175936512,5.14276337071351e-08
1658356242.3357067,176541696,7.226131515380985e-08
1658356302.3400493,177152000,6.815418629457781e-08
1658356362.3403661,177757184,5.5134297127779064e-08
1658356422.3451123,178364416,6.280839670580463e-08
1658356482.3494468,178971648,4.9076042785145546e-08
1658356542.340547,179576832,5.7045834722657673e-08
1658356602.3434508,180187136,4.9183146444420345e-08
1658356662.3365753,180793344,4.995614233394008e-08
1658356722.3456087,181398528,4.695029787171734e-08
1658356782.336833,182006784,5.332752905928828e-08
1658356842.3396585,182610944,5.182810269843685e-08
1658356902.336748,183218176,5.120411472603337e-08
1658356962.3417692,183824384,5.369074784766781e-08
1658357022.3375282,184428544,5.289970417265977e-08
1658357082.3388205,185036800,5.1315872440227395e-08
1658357142.3367386,185643008,5.153939142132913e-08
1658357202.337733,186250240,4.936009645462036e-08
1658357262.3348825,186857472,4.841014700218693e-08
1658357322.3436644,187463680,5.992129104015476e-08
1658357382.3363256,188071936,6.387941198227054e-08
1658357442.3386197,188679168,5.400739766514562e-08
1658357502.3414502,189287424,5.957204862738763e-08
1658357562.3377378,189892608,7.202848451015598e-08
1658357622.3321514,190500864,5.6885184562815994e-08
1658357682.3463988,191107072,6.294343535273583e-08
1658357742.3385487,191712256,4.9583615435722095e-08
1658357802.3404343,192319488,6.023794441034624e-08
1658357862.3431034,192926720,5.168840289115906e-08
1658357922.3474686,193534976,5.280599069124037e-08
1658357982.334692,194142208,7.007270852454894e-08
1658358042.352633,194748416,4.7348439835559475e-08
1658358102.3348708,195354624,4.6230852035478165e-08
1658358162.3447902,195961856,4.423811361675689e-08
1658358222.3395002,196567040,4.850328139127669e-08
1658358282.3349593,197173248,4.601199066200934e-08
1658358342.3380084,197780480,5.315523665672117e-08
1658358402.3418608,198385664,5.1311218385308166e-08
1658358462.334352,198993920,5.368143263240199e-08
1658358522.3406796,199599104,4.792585883706124e-08
1658358582.344473,200207360,5.334615593710623e-08
1658358642.338325,200812544,5.087815324600342e-08
1658358702.3360999,201419776,6.037065958253152e-08
1658358762.358849,202024960,4.775822048941336e-08
1658358822.3386266,202633216,5.8822333670605076e-08
1658358882.3364708,203240448,4.7832728000685165e-08
1658358942.3372707,203847680,4.37069687109215e-08
1658359002.336189,204453888,5.5134297127779064e-08
1658359062.3335097,205060096,5.048699591725381e-08
1658359122.3384554,205668352,5.297362903888825e-08
1658359182.3348455,206272512,4.52343371648567e-08
1658359242.3398335,206878720,3.712251839260716e-08
1658359302.3448873,207485952,5.183741436098899e-08
1658359362.3349545,208093184,4.2915345943583816e-08
1658359422.331926,208701440,4.8321670220730084e-08
1658359482.3473682,209307648,6.429851140410392e-08
1658359542.3356123,209913856,5.967915228666243e-08
1658359602.3385377,210520064,5.358830179602592e-08
1658359662.3330882,211127296,4.49270025626447e-08
1658359722.3338199,211734528,5.2787363813422417e-08
1658359782.333064,212340736,3.8025902426852554e-08
1658359842.3386688,212946944,4.6589413216224784e-08
1658359902.3339853,213555200,4.213303483879827e-08
1658359962.3401384,214160384,4.334957282026153e-08
1658360022.3376627,214767616,4.562549449360631e-08
1658360082.333792,215374848,4.123896246710501e-08
1658360142.3346653,215980032,6.251037376614477e-08
1658360202.3438337,216587264,5.7071446235568146e-08
1658360262.3450058,217192448,4.3404288163628735e-08
1658360322.3407953,217797632,4.593515612327792e-08
1658360382.3381152,218402816,4.088971650162421e-08
1658360442.3312578,219008000,5.4799311755004965e-08
1658360502.3500102,219615232,4.354864202582576e-08
1658360562.342417,220220416,4.8927031315315617e-08
1658360622.336636,220826624,4.4479964600441235e-08
1658360682.3345826,221435904,4.28687769726821e-08
1658360742.333792,222040064,4.49270025626447e-08
1658360802.3341496,222647296,5.379319034659602e-08
1658360862.3405457,223254528,4.706904377371757e-08
1658360922.3376007,223861760,5.219190057914602e-08
1658360982.3339617,224465920,4.038214740376134e-08
1658361042.3440044,225071104,3.7876887404308945e-08
1658361102.3331056,225679360,4.628673266893202e-08
1658361162.3369877,226284544,4.540197551250458e-08
1658361222.3414445,226892800,4.656642005329559e-08
1658361282.3353734,227497984,5.112961076747524e-08
1658361342.3334901,228106240,3.2838432417747754e-08
1658361402.3401842,228711424,3.91155481338501e-08
1658361462.3304949,229318656,5.5870042814376575e-08
1658361522.3471642,229922816,4.636589423512305e-08
1658361582.3406732,230529024,4.74229437941176e-08
1658361642.3309255,231135232,4.518777174666866e-08
1658361702.3468165,231741440,4.7162174610093643e-08
1658361762.3375998,232347648,4.767440131558942e-08
1658361822.3367214,232954880,3.766268363847303e-08
1658361882.3429797,233561088,4.786998175632107e-08
1658361942.3411415,234167296,4.5956113581269165e-08
1658362002.337749,234774528,4.36324611996497e-08
1658362062.3382416,235380736,4.475936421499682e-08
1658362122.3408887,235986944,5.3367113395097476e-08
1658362182.3433566,236594176,4.4712795244095105e-08
1658362242.3321595,237200384,4.3511391822903533e-08
1658362302.3394225,237806592,4.5597552400522545e-08
1658362362.339111,238412800,3.694789540986676e-08
1658362422.3329453,239020032,4.41260645800412e-08
1658362482.3441794,239624192,4.1397289152200756e-08
1658362542.3381324,240230400,4.142522769257084e-08
1658362602.336335,240836608,4.500150652120283e-08
1658362662.337474,241442816,3.4309923790942776e-08
1658362722.3330479,242048000,3.1704548320021786e-08
1658362782.3380966,242655232,5.5530108511447906e-08
1658362842.3426754,243262464,4.995614233394008e-08
1658362902.3363142,243869696,3.822147931487052e-08
1658362962.338815,244475904,3.8933940516017174e-08
1658363022.339394,245082112,4.1062012456904995e-08
1658363082.33737,245689344,4.999339608957598e-08
1658363142.3444285,246295552,3.4477562138590656e-08
1658363202.3328195,246901760,4.2752361650855164e-08
1658363262.3391705,247507968,4.105270079435286e-08
1658363322.3360794,248115200,4.613772119910209e-08
1658363382.338233,248721408,3.016553762336116e-08
1658363442.3323865,249327616,3.601438791633882e-08
1658363502.3460069,249932800,3.403052772910087e-08
1658363562.3323522,250537984,3.0286610552821e-08
1658363622.3371036,251144192,3.376975499236323e-08
1658363682.3390687,251750400,3.5576523060854015e-08
1658363742.3385577,252355584,3.7369318306446075e-08
1658363802.3389375,252960768,3.91900556451219e-08
1658363862.3378608,253565952,4.434026834587712e-08
1658363922.339836,254174208,4.8652292861106616e-08
1658363982.3511097,254779392,3.242865176389387e-08
1658364042.3349192,255386624,3.083609101395268e-08
1658364102.3409712,255990784,4.6081840565648235e-08
1658364162.3350525,256598016,3.961846317679374e-08
1658364222.353436,257203200,3.7727875934479016e-08
1658364282.3363674,257809408,3.658234959402762e-08
1658364342.3422117,258415616,3.3844262503635036e-08
1658364402.3400455,259019776,3.622029964844842e-08
1658364462.3507755,259625984,4.273373477303721e-08
1658364522.3327184,260233216,3.376975499236323e-08
1658364582.3373299,260839424,3.457069297496673e-08
1658364642.3408291,261445632,3.335066267595721e-08
1658364702.3369787,262052864,3.617373423026038e-08
1658364762.340555,262659072,3.680586857512935e-08
1658364822.3440516,263265280,4.069879722123915e-08
1658364882.3431213,263871488,3.6675483983117374e-08
1658364942.3387694,264475648,4.7013163140263714e-08
1658365002.3401332,265081856,4.659406727114401e-08
1658365062.340659,265688064,3.8808209978924424e-08
1658365122.336087,266295296,3.6992133800595184e-08
1658365182.3387752,266900480,4.025234545679268e-08
1658365242.330941,267506688,3.6079438103797656e-08
1658365302.3439753,268113920,3.681052618276226e-08
1658365362.3390312,268719104,3.449618901640861e-08
1658365422.336616,269327360,3.820285243705257e-08
1658365482.3413415,269932544,3.717897811839066e-08
1658365542.342711,270539776,4.578614465344799e-08
1658365602.3553886,271147008,3.855675601016628e-08
1658365662.34446,271752192,3.770226442156854e-08
1658365722.3339856,272358400,4.040077428157929e-08
1658365782.3366864,272964608,3.552064242740016e-08
1658365842.3328686,273570816,3.687571847876825e-08
1658365902.3377364,274177024,3.8128344925780766e-08
1658365962.3346803,274781184,4.2077154205344414e-08
1658366022.3344486,275388416,4.0475278240137413e-08
1658366082.3449254,275994624,3.628432665436776e-08
1658366142.338419,276600832,3.6316922802370755e-08
1658366202.3342557,277208064,3.950670190988603e-08
1658366262.3408637,277814272,4.353467275564071e-08
1658366322.335004,278420480,4.038214740376134e-08
1658366382.3337216,279025664,3.4878031129892406e-08
1658366442.3363495,279631872,4.1695312091860615e-08
1658366502.3505075,280235008,3.6861749208583205e-08
1658366562.3415177,280843264,3.54298386184837e-08
1658366622.3322845,281448448,3.5832634637245064e-08
1658366682.3389812,282055680,3.4031689466473836e-08
1658366742.3434272,282659840,3.3490358930521325e-08
1658366802.3329258,283267072,4.33251265974377e-08
1658366862.3385575,283873280,2.9276124635657652e-08
1658366922.3391318,284478464,3.0281952945188095e-08
1658366982.3359797,285082624,3.335066267595721e-08
1658367042.3378851,285688832,3.503635426227447e-08
1658367102.3395507,286296064,3.457069297496673e-08
1658367162.3329763,286903296,4.162196987067546e-08
1658367222.3369982,287507456,3.2838432417747754e-08
1658367282.3350391,288113664,3.504101186990738e-08
1658367342.3354795,288719872,3.4794211956068466e-08
1658367402.3482015,289325056,3.6209822695809635e-08
1658367462.3326085,289932288,3.470107756697871e-08
1658367522.34932,290538496,3.727152986243709e-08
1658367582.344481,291144704,3.394670855527693e-08
1658367642.336104,291750912,2.7287750725690785e-08
1658367702.3359275,292357120,3.324821662431532e-08
1658367762.339174,292964352,3.0724333299758655e-08
1658367822.3418565,293570560,3.2288951956616074e-08
1658367882.3420186,294176768,4.9248338740426334e-08
1658367942.3346522,294780928,3.052875285902701e-08
1658368002.334022,295388160,2.8125942463930187e-08
1658368062.3361082,295996416,2.7185306450405733e-08
1658368122.3375862,296602624,3.974884776880572e-08
1658368182.3460824,297208832,3.121793312743648e-08
1658368242.3460486,297815040,3.273191495622996e-08
1658368302.335993,298419200,3.6298295924552804e-08
1658368362.3389156,299028480,3.071501808449284e-08
1658368422.341598,299631616,3.7415883724634114e-08
1658368482.34192,300237824,3.010034532735517e-08
1658368542.3326533,300844032,3.766268363847303e-08
1658368602.3449645,301451264,3.359862432716909e-08
1658368662.3385353,302057472,4.162080458058881e-08
1658368722.3405702,302661632,3.6526472513287445e-08
1658368782.3369007,303268864,2.674758370346808e-08
1658368842.3362932,303875072,3.6079438103797656e-08
1658368902.3405185,304481280,3.55672078455882e-08
1658368962.347254,305088512,3.66801380380366e-08
1658369022.3343308,305693696,4.2580069248288055e-08
1658369082.3340378,306298880,2.8694048026522978e-08
1658369142.3382802,306907136,4.0417070579223946e-08
1658369202.338754,307514368,2.6524066498723187e-08
1658369262.3399637,308118528,2.4880282722961056e-08
1658369322.332212,308725760,3.639143031364256e-08
1658369382.3368194,309330944,2.645421837144113e-08
1658369442.3432436,309937152,3.685243399331739e-08
