wall_time,step,value
1658339022.3227618,450560,-127.99188232421875
1658339082.3219547,1067008,-114.94950866699219
1658339142.3249798,1682432,-120.64478302001953
1658339202.331334,2300928,-112.00057220458984
1658339262.3230693,2916352,-106.05621337890625
1658339322.3225927,3531776,-117.5000228881836
1658339382.3228488,4148224,-103.46041870117188
1658339442.324777,4763648,-108.94224548339844
1658339502.3254983,5382144,-115.52848052978516
1658339562.3226416,5999616,-104.36359405517578
1658339622.3222263,6617088,-103.3958740234375
1658339682.3266728,7233536,-101.18701171875
1658339742.3230007,7851008,-100.32576751708984
1658339802.326781,8467456,-101.9091567993164
1658339862.32236,9085952,-97.83555603027344
1658339922.3219655,9702400,-94.57304382324219
1658339982.322654,10318848,-94.62083435058594
1658340042.3273053,10934272,-94.47811126708984
1658340102.3228943,11551744,-91.10700988769531
1658340162.3229387,12167168,-92.21405792236328
1658340222.325431,12786688,-90.09556579589844
1658340282.3245664,13403136,-82.9151840209961
1658340342.323643,14020608,-76.83660125732422
1658340402.3223188,14639104,-84.4828872680664
1658340462.3228328,15255552,-81.67142486572266
1658340522.3224878,15874048,-92.11891174316406
1658340582.328191,16491520,-91.56717681884766
1658340642.3319476,17108992,-79.84095764160156
1658340702.3242514,17727488,-90.91377258300781
1658340762.3225093,18343936,-88.0849380493164
1658340822.32561,18959360,-78.5052490234375
1658340882.3229368,19576832,-82.17769622802734
1658340942.3229613,20193280,-78.7546615600586
1658341002.3229697,20810752,-84.33583068847656
1658341062.32299,21427200,-73.63639831542969
1658341122.3222756,22045696,-80.94403076171875
1658341182.3253736,22661120,-75.41410827636719
1658341242.327093,23277568,-79.84011840820312
1658341302.3225083,23895040,-75.25581359863281
1658341362.3319912,24512512,-62.49456787109375
1658341422.3246691,25128960,-71.68262481689453
1658341482.325757,25746432,-64.86747741699219
1658341542.32302,26363904,-80.79005432128906
1658341602.3224473,26980352,-59.37690353393555
1658341662.3245325,27596800,-70.81666564941406
1658341722.3268123,28213248,-83.95747375488281
1658341782.3228192,28829696,-78.31108093261719
1658341842.3227105,29447168,-62.79850387573242
1658341902.3230157,30065664,-64.3203125
1658341962.3216105,30681088,-76.37952423095703
1658342022.3250012,31297536,-78.21194458007812
1658342082.3227143,31916032,-65.87753295898438
1658342142.3226347,32533504,-67.51746368408203
1658342202.327694,33149952,-79.10163879394531
1658342262.321124,33766400,-70.2945327758789
1658342322.3230395,34381824,-85.26531219482422
1658342382.3226798,34999296,-54.9503288269043
1658342442.323176,35618816,-54.078880310058594
1658342502.3249369,36235264,-52.917510986328125
1658342562.3226554,36851712,-51.283382415771484
1658342622.3227963,37468160,-56.7457160949707
1658342682.3240397,38086656,-57.97715377807617
1658342742.3227491,38702080,-61.026084899902344
1658342802.3285604,39318528,-90.605712890625
1658342862.3227718,39934976,-55.99857711791992
1658342922.3268378,40551424,-61.99984359741211
1658342982.3268769,41168896,-64.23744201660156
1658343042.3254776,41785344,-51.41590118408203
1658343102.3247006,42400768,-62.36790084838867
1658343162.3304124,43017216,-83.00269317626953
1658343222.3266265,43636736,-50.620479583740234
1658343282.325617,44252160,-55.52142333984375
1658343342.3268096,44869632,-59.465023040771484
1658343402.3244224,45486080,-58.085105895996094
1658343462.3239214,46102528,-70.18472290039062
1658343522.3270044,46717952,-66.80653381347656
1658343582.3228233,47336448,-61.649173736572266
1658343642.3228326,47954944,-61.322879791259766
1658343702.3241339,48570368,-58.76558303833008
1658343762.3231297,49188864,-60.78529739379883
1658343822.3276503,49801216,-81.35922241210938
1658343882.3294368,50418688,-61.735042572021484
1658343942.325716,51036160,-68.29725646972656
1658344002.3315527,51651584,-61.63982009887695
1658344062.3249424,52269056,-51.800132751464844
1658344122.3255649,52884480,-60.60871887207031
1658344182.3285084,53502976,-54.65068054199219
1658344242.3253603,54118400,-56.611148834228516
1658344302.321676,54734848,-56.79371643066406
1658344362.3224416,55352320,-55.81515121459961
1658344422.3228076,55968768,-67.62539672851562
1658344482.322767,56583168,-87.98887634277344
1658344542.3266225,57201664,-69.16236877441406
1658344602.3244874,57818112,-69.01229095458984
1658344662.3219912,58433536,-60.57448196411133
1658344722.322069,59051008,-78.02650451660156
1658344782.3227699,59669504,-56.282440185546875
1658344842.322702,60284928,-53.87516403198242
1658344902.3239489,60901376,-77.5712890625
1658344962.3297393,61520896,-55.13010787963867
1658345022.3230548,62135296,-76.5704345703125
1658345082.323222,62752768,-61.60749053955078
1658345142.3230538,63369216,-71.17046356201172
1658345202.3228807,63985664,-51.5435791015625
1658345262.32274,64604160,-66.43692016601562
1658345322.3234591,65220608,-71.82463836669922
1658345382.3222103,65839104,-57.63376998901367
1658345442.3229969,66454528,-64.67474365234375
1658345502.3267248,67073024,-56.502479553222656
1658345562.3225274,67688448,-59.510398864746094
1658345622.3308444,68305920,-49.730735778808594
1658345682.3229544,68923392,-57.45295715332031
1658345742.3224404,69539840,-59.65201187133789
1658345802.3304586,70157312,-60.793853759765625
1658345862.32694,70773760,-60.43844985961914
1658345922.3219213,71391232,-56.17374801635742
1658345982.324643,72009728,-54.56395721435547
1658346042.322828,72626176,-60.531639099121094
1658346102.3229532,73243648,-50.14657211303711
1658346162.3225656,73861120,-51.42661666870117
1658346222.3273947,74477568,-67.00202178955078
1658346282.3221974,75094016,-54.332340240478516
1658346342.3230562,75710464,-56.61518478393555
1658346402.3267522,76326912,-76.62761688232422
1658346462.322751,76943360,-64.29676818847656
1658346522.3285434,77560832,-55.81267547607422
1658346582.32217,78178304,-56.47173309326172
1658346642.3267558,78794752,-60.56632614135742
1658346702.327565,79411200,-72.69426727294922
1658346762.322937,80027648,-55.88889694213867
1658346822.3227432,80645120,-93.66909790039062
1658346882.322758,81258496,-61.87358093261719
1658346942.3284454,81878016,-89.15303802490234
1658347002.3254354,82494464,-78.53450775146484
