wall_time,step,value
1658339022.3209324,450560,2771.23828125
1658339082.3209062,1067008,2792.9921875
1658339142.3210301,1682432,2814.8203125
1658339202.3206964,2300928,2836.671875
1658339262.3210766,2916352,2856.984375
1658339322.320968,3531776,2879.28515625
1658339382.3210382,4148224,2903.16015625
1658339442.3209167,4763648,2924.828125
1658339502.3210328,5382144,2935.39453125
1658339562.321032,5999616,2937.59375
1658339622.3209996,6617088,2938.4765625
1658339682.3209865,7233536,2938.83203125
1658339742.3211415,7851008,2939.0546875
1658339802.323267,8467456,2939.12890625
1658339862.3205268,9085952,2939.328125
1658339922.3208492,9702400,2939.5
1658339982.3210402,10318848,2939.56640625
1658340042.3204205,10934272,2939.56640625
1658340102.320976,11551744,2939.83203125
1658340162.3209858,12167168,2939.84765625
1658340222.3240907,12786688,2939.84765625
1658340282.32097,13403136,2940.0859375
1658340342.3217392,14020608,2940.2265625
1658340402.3210018,14639104,2940.2734375
1658340462.3212082,15255552,2940.40234375
1658340522.3210983,15874048,2940.47265625
1658340582.3209603,16491520,2940.47265625
1658340642.3205037,17108992,2940.75
1658340702.3208528,17727488,2940.875
1658340762.321112,18343936,2940.875
1658340822.3234353,18959360,2941.03125
1658340882.3210073,19576832,2941.1328125
1658340942.3210392,20193280,2941.19140625
1658341002.320998,20810752,2941.3125
1658341062.3210168,21427200,2941.375
1658341122.3210595,22045696,2941.44140625
1658341182.3209941,22661120,2941.58203125
1658341242.3208857,23277568,2941.66015625
1658341302.3211503,23895040,2941.66015625
1658341362.3230598,24512512,2941.8359375
1658341422.3209326,25128960,2941.92578125
1658341482.32094,25746432,2941.93359375
1658341542.3209844,26363904,2942.05859375
1658341602.3209248,26980352,2942.19140625
1658341662.320936,27596800,2942.21875
1658341722.3209655,28213248,2942.26953125
1658341782.320895,28829696,2942.4296875
1658341842.3210113,29447168,2942.4296875
1658341902.3210523,30065664,2942.53125
1658341962.320713,30681088,2942.62890625
1658342022.3209498,31297536,2942.72265625
1658342082.32094,31916032,2942.72265625
1658342142.321032,32533504,2942.90234375
1658342202.3209126,33149952,2942.9140625
1658342262.3203611,33766400,2942.9765625
1658342322.3209972,34381824,2943.08984375
1658342382.3206902,34999296,2943.1328125
1658342442.3211133,35618816,2943.1328125
1658342502.3207686,36235264,2943.17578125
1658342562.3209465,36851712,2943.3671875
1658342622.3210347,37468160,2943.41015625
1658342682.320978,38086656,2943.5390625
1658342742.3210208,38702080,2943.58203125
1658342802.3237207,39318528,2943.6171875
1658342862.3210275,39934976,2943.6171875
1658342922.3209422,40551424,2943.82421875
1658342982.3209388,41168896,2943.82421875
1658343042.3234491,41785344,2943.92578125
1658343102.3210275,42400768,2944.0078125
1658343162.3285882,43017216,2944.03515625
1658343222.3210175,43636736,2944.03515625
1658343282.3234942,44252160,2944.15234375
1658343342.3208604,44869632,2944.24609375
1658343402.3208847,45486080,2944.35546875
1658343462.3210125,46102528,2944.40234375
1658343522.3261092,46717952,2944.41015625
1658343582.3210077,47336448,2944.55859375
1658343642.320979,47954944,2944.6015625
1658343702.320729,48570368,2944.6015625
1658343762.32111,49188864,2944.71875
1658343822.3229606,49801216,2944.765625
1658343882.3208761,50418688,2944.796875
1658343942.3209922,51036160,2944.828125
1658344002.324449,51651584,2944.96484375
1658344062.321014,52269056,2944.96484375
1658344122.3206518,52884480,2945.0
1658344182.3265698,53502976,2945.0
1658344242.3209443,54118400,2945.13671875
1658344302.320756,54734848,2945.1484375
1658344362.3206227,55352320,2945.1484375
1658344422.3209147,55968768,2945.3359375
1658344482.3208861,56583168,2945.3359375
1658344542.3210034,57201664,2945.44140625
1658344602.3209934,57818112,2945.484375
1658344662.3207808,58433536,2945.484375
1658344722.320693,59051008,2945.53515625
1658344782.321058,59669504,2945.62109375
1658344842.3209732,60284928,2945.6953125
1658344902.3209803,60901376,2945.78515625
1658344962.327963,61520896,2945.78515625
1658345022.3212214,62135296,2945.8359375
1658345082.320958,62752768,2945.89453125
1658345142.3211272,63369216,2945.9765625
1658345202.3209803,63985664,2946.06640625
1658345262.3207278,64604160,2946.06640625
1658345322.3213282,65220608,2946.1171875
1658345382.320935,65839104,2946.171875
1658345442.3211775,66454528,2946.26171875
