wall_time,step,value
1658339022.3207502,450560,2788.55078125
1658339082.3207338,1067008,2810.29296875
1658339142.320868,1682432,2831.828125
1658339202.320607,2300928,2853.53125
1658339262.320919,2916352,2875.10546875
1658339322.320803,3531776,2896.0546875
1658339382.3208735,4148224,2916.8203125
1658339442.320751,4763648,2937.75390625
1658339502.3208685,5382144,2947.46875
1658339562.320866,5999616,2949.26171875
1658339622.3208587,6617088,2949.38671875
1658339682.3208168,7233536,2949.46875
1658339742.32097,7851008,2949.5390625
1658339802.323103,8467456,2949.6015625
1658339862.320386,9085952,2949.66015625
1658339922.3207588,9702400,2949.734375
1658339982.3208778,10318848,2949.80078125
1658340042.320331,10934272,2949.86328125
1658340102.3208156,11551744,2949.9453125
1658340162.3208268,12167168,2950.01171875
1658340222.3239243,12786688,2950.06640625
1658340282.320811,13403136,2950.125
1658340342.321584,14020608,2950.1875
1658340402.3208454,14639104,2950.2578125
1658340462.3210106,15255552,2950.30859375
1658340522.3209403,15874048,2950.359375
1658340582.3208125,16491520,2950.4296875
1658340642.320364,17108992,2950.45703125
1658340702.3207004,17727488,2950.515625
1658340762.3209362,18343936,2950.5859375
1658340822.323274,18959360,2950.6328125
1658340882.3208382,19576832,2950.6875
1658340942.3208647,20193280,2950.7421875
1658341002.3208382,20810752,2950.78515625
1658341062.320844,21427200,2950.81640625
1658341122.3208911,22045696,2950.87109375
1658341182.3208628,22661120,2950.92578125
1658341242.3207314,23277568,2950.96484375
1658341302.3209574,23895040,2951.0
1658341362.322904,24512512,2951.0625
1658341422.3207605,25128960,2951.1171875
1658341482.3207886,25746432,2951.16015625
1658341542.3208194,26363904,2951.20703125
1658341602.320762,26980352,2951.23828125
1658341662.3207765,27596800,2951.27734375
1658341722.3208077,28213248,2951.3125
1658341782.320722,28829696,2951.3515625
1658341842.3208551,29447168,2951.38671875
1658341902.3208885,30065664,2951.42578125
1658341962.3206244,30681088,2951.46484375
1658342022.320784,31297536,2951.48828125
1658342082.3207717,31916032,2951.5234375
1658342142.3208697,32533504,2951.5546875
1658342202.3207605,33149952,2951.6015625
1658342262.3202727,33766400,2951.62109375
1658342322.320837,34381824,2951.640625
1658342382.320528,34999296,2951.66796875
1658342442.3209503,35618816,2951.703125
1658342502.32061,36235264,2951.71875
1658342562.3207836,36851712,2951.76171875
1658342622.3208747,37468160,2951.79296875
1658342682.3208086,38086656,2951.82421875
1658342742.3208873,38702080,2951.83984375
1658342802.3235583,39318528,2951.8671875
1658342862.3208554,39934976,2951.9140625
1658342922.320789,40551424,2951.9375
1658342982.3207886,41168896,2951.95703125
1658343042.3232927,41785344,2951.97265625
1658343102.320868,42400768,2951.9921875
1658343162.3284357,43017216,2952.0
1658343222.3208625,43636736,2952.02734375
1658343282.3233247,44252160,2952.046875
1658343342.3207066,44869632,2952.0859375
1658343402.320743,45486080,2952.09375
1658343462.3208737,46102528,2952.1171875
1658343522.3260202,46717952,2952.12890625
1658343582.3208556,47336448,2952.14453125
1658343642.3208168,47954944,2952.16796875
1658343702.3206394,48570368,2952.1875
1658343762.3209503,49188864,2952.2421875
1658343822.322803,49801216,2952.26171875
1658343882.3207035,50418688,2952.28125
1658343942.32084,51036160,2952.30859375
1658344002.3242905,51651584,2952.31640625
1658344062.3208518,52269056,2952.328125
1658344122.320528,52884480,2952.3515625
1658344182.3264134,53502976,2952.37109375
1658344242.3207736,54118400,2952.38671875
1658344302.3206663,54734848,2952.3984375
1658344362.3204703,55352320,2952.421875
1658344422.3207455,55968768,2952.4296875
1658344482.3207493,56583168,2952.44921875
1658344542.3208458,57201664,2952.45703125
1658344602.3208325,57818112,2952.4765625
1658344662.3206928,58433536,2952.4921875
1658344722.3206036,59051008,2952.5
1658344782.3209064,59669504,2952.51171875
1658344842.3208053,60284928,2952.53515625
1658344902.3208172,60901376,2952.5546875
1658344962.3278024,61520896,2952.5625
1658345022.3210166,62135296,2952.5859375
1658345082.3207936,62752768,2952.61328125
1658345142.3209448,63369216,2952.62109375
1658345202.3208184,63985664,2952.6328125
1658345262.3206372,64604160,2952.63671875
1658345322.3211734,65220608,2952.65234375
1658345382.3207881,65839104,2952.66796875
1658345442.321028,66454528,2952.6875
1658345502.32068,67073024,2952.703125
1658345562.3209045,67688448,2952.72265625
1658345622.3208344,68305920,2952.7421875
1658345682.3208237,68923392,2952.74609375
1658345742.3209403,69539840,2952.75390625
1658345802.3203318,70157312,2952.76953125
1658345862.320836,70773760,2952.7734375
1658345922.3207884,71391232,2952.78515625
1658345982.3207057,72009728,2952.7890625
1658346042.3207543,72626176,2952.79296875
1658346102.3209412,73243648,2952.8046875
1658346162.320798,73861120,2952.80859375
1658346222.3205025,74477568,2952.82421875
1658346282.3207161,75094016,2952.83203125
1658346342.3207476,75710464,2952.84765625
1658346402.3242834,76326912,2952.8515625
1658346462.3208454,76943360,2952.859375
1658346522.326268,77560832,2952.8671875
1658346582.320783,78178304,2952.875
1658346642.320822,78794752,2952.8828125
1658346702.3207839,79411200,2952.8828125
1658346762.320823,80027648,2952.8984375
1658346822.320791,80645120,2952.8984375
1658346882.3208606,81258496,2952.90625
1658346942.3208158,81878016,2952.91796875
1658347002.323609,82494464,2952.9296875
1658347062.3208194,83110912,2952.9296875
1658347122.3210926,83727360,2952.9453125
1658347182.320908,84342784,2952.9453125
1658347242.3207908,84961280,2952.953125
1658347302.3207057,85577728,2952.95703125
1658347362.320801,86195200,2952.96484375
1658347422.3208327,86811648,2952.96875
1658347482.320814,87429120,2952.9765625
1658347542.3208802,88044544,2952.9765625
1658347602.3208296,88659968,2952.98046875
1658347662.3208594,89278464,2952.98046875
1658347722.3208394,89896960,2952.98046875
1658347782.3241427,90511360,2952.984375
1658347842.3209443,91130880,2952.98828125
1658347902.320819,91746304,2952.9921875
1658347962.3211,92362752,2952.9921875
1658348022.3208683,92980224,2953.00390625
1658348082.320555,93594624,2953.01171875
1658348142.3232956,94212096,2953.01953125
1658348202.3206785,94827520,2953.03125
1658348262.3205307,95440896,2953.03125
1658348322.3207872,96056320,2953.04296875
1658348382.3208108,96673792,2953.046875
1658348442.3208458,97288192,2953.05078125
1658348502.3207445,97903616,2953.0546875
1658348562.3208442,98520064,2953.0546875
1658348622.3208113,99136512,2953.0546875
1658348682.3208706,99751936,2953.05859375
1658348742.320314,100368384,2953.0625
1658348802.3242471,100982784,2953.0625
1658348862.3208578,101601280,2953.0625
1658348922.3208292,102215680,2953.0625
1658348982.321326,102832128,2953.0625
1658349042.3212247,103447552,2953.07421875
1658349102.3208485,104065024,2953.07421875
1658349162.3208053,104681472,2953.07421875
1658349222.3208363,105297920,2953.07421875
1658349282.322677,105913344,2953.07421875
1658349342.320769,106529792,2953.07421875
1658349402.325927,107145216,2953.078125
1658349462.3261354,107762688,2953.078125
1658349522.320793,108380160,2953.078125
1658349582.3208506,108995584,2953.08984375
1658349642.3205583,109615104,2953.08984375
1658349702.3208787,110230528,2953.08984375
1658349762.3208258,110845952,2953.09375
1658349822.3208156,111463424,2953.09375
1658349882.3207343,112079872,2953.09765625
1658349942.3208916,112696320,2953.1015625
1658350002.32048,113312768,2953.1015625
1658350062.320803,113929216,2953.1015625
1658350122.3232772,114546688,2953.1015625
1658350182.3207448,115160064,2953.1015625
1658350242.3208396,115774464,2953.10546875
1658350302.3208916,116388864,2953.10546875
1658350362.3208141,117003264,2953.109375
1658350422.3208573,117614592,2953.11328125
1658350482.320854,118226944,2953.1171875
1658350542.3208356,118837248,2953.1171875
1658350602.3237793,119447552,2953.1171875
1658350662.3208103,120056832,2953.1171875
1658350722.3208241,120666112,2953.12109375
1658350782.320695,121274368,2953.125
1658350842.32073,121883648,2953.12890625
1658350902.3208382,122490880,2953.12890625
1658350962.3206832,123100160,2953.13671875
1658351022.3208663,123707392,2953.13671875
1658351082.321459,124316672,2953.13671875
1658351142.320829,124924928,2953.140625
1658351202.3203418,125532160,2953.14453125
1658351262.320817,126141440,2953.14453125
1658351322.3207254,126747648,2953.14453125
1658351382.3208587,127354880,2953.14453125
1658351442.3207574,127963136,2953.14453125
1658351502.3209302,128571392,2953.14453125
1658351562.3208606,129179648,2953.14453125
1658351622.3208427,129787904,2953.14453125
1658351682.3206854,130395136,2953.14453125
1658351742.320892,131002368,2953.14453125
1658351802.3208172,131610624,2953.14453125
