wall_time,step,value
1658338973.338106,1024,0.0
1658338978.4775412,20480,0.00033759145298972726
1658338983.5886788,54272,0.0010579214431345463
1658338988.873104,107520,0.0010888653341680765
1658338994.0924954,160768,0.0002887078153435141
1658338999.3510654,215040,0.00025676764198578894
1658339004.701284,270336,0.0010056106839329004
1658339010.2147067,325632,0.0011866653803735971
1658339015.6827788,381952,0.0006371610797941685
1658339021.250635,440320,0.0011973713990300894
1658339026.904475,497664,0.00142440025229007
1658339032.630233,556032,0.0016743760788813233
1658339038.352162,615424,0.002639827784150839
1658339044.1437566,674816,0.0032267249189317226
1658339050.0125597,735232,0.0029154166113585234
1658339056.0199132,797696,0.0017280082684010267
1658339062.0498781,859136,0.0009558770107105374
1658339068.219498,921600,0.0014150210190564394
1658339074.3387356,984064,0.0021277721971273422
1658339080.6152442,1049600,0.001761090476065874
1658339086.9134703,1114112,0.0037736091762781143
1658339093.2491195,1179648,0.003538345918059349
1658339099.6693966,1246208,0.0031560470815747976
1658339106.1658785,1311744,0.0033528010826557875
1658339112.7387738,1380352,0.0029955869540572166
1658339119.422632,1448960,0.003971679601818323
1658339126.1978066,1517568,0.00403128145262599
1658339133.0377748,1588224,0.0025709960609674454
1658339139.993929,1659904,0.002173200249671936
1658339146.9949546,1730560,0.003202349180355668
1658339154.2055914,1804288,0.0024647912941873074
1658339161.5132277,1881088,0.0006489188526757061
1658339168.7262537,1954816,0.00046827635378576815
1658339176.0444288,2030592,-0.0005063903518021107
1658339183.4681165,2106368,-0.0005607570637948811
1658339191.02552,2184192,-0.0010087928967550397
1658339198.7099488,2263040,-0.0014573553344234824
1658339206.4907076,2341888,-0.00199057231657207
1658339214.235205,2422784,-0.0008161216392181814
1658339222.0937443,2503680,-0.0018434857483953238
1658339230.0898538,2585600,-0.0023315392900258303
1658339238.1418905,2667520,-0.004182881209999323
1658339246.2670755,2751488,-0.005699245259165764
1658339254.5626307,2836480,-0.0066091264598071575
1658339262.856615,2921472,-0.007319304626435041
1658339271.4386742,3010560,-0.008646920323371887
1658339279.9558175,3097600,-0.008657899685204029
1658339288.6068232,3185664,-0.009218116290867329
1658339297.332189,3276800,-0.00892083253711462
1658339306.1302478,3366912,-0.00888285506516695
1658339315.0877123,3457024,-0.00999467819929123
1658339324.1525223,3550208,-0.010800252668559551
1658339333.2849672,3644416,-0.0098237544298172
1658339342.5141046,3737600,-0.008222252130508423
1658339351.928865,3834880,-0.008022929541766644
1658339361.4785237,3933184,-0.008297983556985855
1658339371.070579,4031488,-0.008567851036787033
1658339380.9055932,4132864,-0.00943723414093256
1658339390.7314312,4234240,-0.00857530441135168
1658339400.6620462,4336640,-0.007479609921574593
1658339410.839906,4440064,-0.007761314045637846
1658339421.1026957,4545536,-0.00874969270080328
1658339431.364416,4651008,-0.009102802723646164
1658339441.760126,4759552,-0.008380909450352192
1658339452.2586262,4865024,-0.008746251463890076
1658339463.0263138,4975616,-0.009188608266413212
1658339473.8368154,5088256,-0.008118046447634697
1658339484.7173088,5200896,-0.0068830400705337524
1658339495.732043,5314560,-0.009065118618309498
1658339506.9885821,5430272,-0.008520714938640594
1658339518.2885604,5545984,-0.008907231502234936
1658339529.8104742,5663744,-0.007720466237515211
1658339541.5347588,5784576,-0.006980759557336569
1658339553.2382195,5907456,-0.007286028936505318
1658339565.0220594,6027264,-0.008051370270550251
1658339576.9503531,6152192,-0.00964523945003748
1658339589.0896804,6275072,-0.010688506066799164
1658339601.3567703,6401024,-0.012163849547505379
1658339613.796027,6530048,-0.010033228434622288
1658339626.3279364,6658048,-0.01056466531008482
1658339639.0004103,6789120,-0.011352957226336002
1658339651.8331532,6921216,-0.011214720085263252
1658339664.7944489,7054336,-0.01505022682249546
1658339677.9016757,7190528,-0.015216311439871788
1658339691.2259884,7326720,-0.015146024525165558
1658339704.6626232,7464960,-0.01595056802034378
1658339718.297103,7604224,-0.014959564432501793
1658339732.0939481,7746560,-0.014236951246857643
1658339745.9800777,7889920,-0.01449595671147108
1658339760.1174169,8034304,-0.0160616897046566
