wall_time,step,value
1658338973.336994,1024,-2.1059749126434326
1658338978.4758346,20480,-2.5973846912384033
1658338983.5866737,54272,-1.261742353439331
1658338988.872357,107520,-1.339493989944458
1658338994.084961,160768,-1.1616661548614502
1658338999.340372,215040,-1.4343093633651733
1658339004.6967824,270336,-3.093050718307495
1658339010.2130995,325632,-1.6208778619766235
1658339015.6755352,381952,-2.4805920124053955
1658339021.2452235,440320,-2.304582357406616
1658339026.9033585,497664,-1.2193738222122192
1658339032.6283796,556032,-2.5690481662750244
1658339038.3477454,615424,-3.239715814590454
1658339044.136849,674816,-2.71819806098938
1658339050.0055299,735232,-2.5205070972442627
1658339056.0113046,797696,-2.6242012977600098
1658339062.0481496,859136,-1.6544344425201416
1658339068.2179058,921600,-2.4447953701019287
1658339074.3383658,984064,-1.9389463663101196
1658339080.6079254,1049600,-2.4120535850524902
1658339086.9095805,1114112,-1.474134922027588
1658339093.2475703,1179648,-2.4489855766296387
1658339099.6680195,1246208,-2.5185954570770264
1658339106.1640012,1311744,-2.1070609092712402
1658339112.7355168,1380352,-1.6470770835876465
1658339119.4213676,1448960,-1.1210588216781616
1658339126.1957614,1517568,-2.852680206298828
1658339133.0362,1588224,-2.539384126663208
1658339139.9923937,1659904,-1.4425077438354492
1658339146.99372,1730560,-1.1767736673355103
1658339154.2042193,1804288,-1.8731919527053833
1658339161.5118084,1881088,-1.5710393190383911
1658339168.7245138,1954816,-2.5614728927612305
1658339176.039891,2030592,-2.1422219276428223
1658339183.4666834,2106368,-2.5951428413391113
1658339191.0240018,2184192,-1.1260334253311157
1658339198.7080028,2263040,-2.360079526901245
1658339206.4852767,2341888,-1.5413165092468262
1658339214.2340431,2422784,-1.7501835823059082
1658339222.0920086,2503680,-1.2341915369033813
1658339230.087951,2585600,-3.5102298259735107
1658339238.1394567,2667520,-2.0724170207977295
1658339246.2621613,2751488,-2.9117705821990967
1658339254.5611033,2836480,-2.4587347507476807
1658339262.8548582,2921472,-1.7278623580932617
1658339271.4355664,3010560,-1.3786449432373047
1658339279.9482932,3097600,-1.3167328834533691
1658339288.6048112,3185664,-1.5374572277069092
1658339297.3267372,3276800,-2.3618760108947754
1658339306.12843,3366912,-2.2574098110198975
1658339315.076441,3457024,-3.0874452590942383
1658339324.1512907,3550208,-0.8737233877182007
1658339333.2830877,3644416,-1.4858722686767578
1658339342.5117533,3737600,-1.322884440422058
1658339351.9271555,3834880,-2.5220766067504883
1658339361.4750574,3933184,-3.031846284866333
1658339371.0618265,4031488,-3.0502383708953857
1658339380.90422,4132864,-0.9181665778160095
1658339390.7296736,4234240,-1.592778205871582
1658339400.6605132,4336640,-1.744079351425171
1658339410.837915,4440064,-3.463759183883667
1658339421.0978925,4545536,-1.3219877481460571
1658339431.362502,4651008,-2.600064992904663
1658339441.7588458,4759552,-0.9256542325019836
1658339452.256798,4865024,-3.1114296913146973
1658339463.0251737,4975616,-3.0553996562957764
1658339473.836201,5088256,-0.8428707122802734
1658339484.715587,5200896,-1.7578142881393433
1658339495.730601,5314560,-1.1322929859161377
1658339506.98716,5430272,-2.862130641937256
1658339518.2832446,5545984,-1.2119724750518799
1658339529.8092074,5663744,-1.5850598812103271
1658339541.5335553,5784576,-0.9975069165229797
1658339553.2365522,5907456,-1.8674569129943848
1658339565.0209053,6027264,-2.9276342391967773
1658339576.9490666,6152192,-3.2306511402130127
1658339589.0874696,6275072,-0.8794205188751221
1658339601.3547783,6401024,-1.4927228689193726
1658339613.7947109,6530048,-2.057631731033325
1658339626.320772,6658048,-1.5337636470794678
1658339638.998466,6789120,-2.9180243015289307
1658339651.8314307,6921216,-2.000210762023926
1658339664.792491,7054336,-1.3051217794418335
1658339677.8993793,7190528,-2.957056999206543
1658339691.224141,7326720,-0.8675941228866577
1658339704.6602802,7464960,-3.1333682537078857
1658339718.2956886,7604224,-2.752183675765991
1658339732.0925894,7746560,-3.9359018802642822
1658339745.9773488,7889920,-1.3132518529891968
1658339760.1157281,8034304,-2.0034725666046143
1658339774.3703187,8180736,-1.980513572692871
1658339788.7682185,8328192,-2.005707263946533
1658339803.3366299,8478720,-2.782980442047119
1658339818.0422773,8630272,-1.8767751455307007
1658339832.9222286,8782848,-2.535027265548706
1658339848.0071685,8938496,-1.0169628858566284
1658339863.3069813,9095168,-2.6630709171295166
1658339878.7469294,9253888,-1.7092753648757935
1658339894.4481313,9415680,-3.8616840839385986
1658339910.307689,9579520,-0.8253154158592224
1658339926.2657108,9743360,-3.5103886127471924
1658339942.478193,9910272,-1.7015858888626099
1658339958.8489923,10079232,-1.307205080986023
1658339975.5296192,10250240,-1.874930739402771
1658339992.270661,10423296,-2.601526975631714
1658340009.308669,10596352,-1.507904052734375
1658340026.4359808,10772480,-1.495253562927246
1658340043.75046,10950656,-1.215056300163269
1658340061.3334286,11130880,-1.1703482866287231
1658340079.0719478,11312128,-0.9741902351379395
