wall_time,step,value
1658338973.3369472,1024,0.0
1658338978.475794,20480,0.0
1658338983.5866024,54272,0.0
1658338988.8723333,107520,0.0
1658338994.0819197,160768,0.0
1658338999.3401685,215040,0.0
1658339004.6967382,270336,0.0
1658339010.213058,325632,0.0
1658339015.6754928,381952,0.0
1658339021.2451832,440320,0.0
1658339026.9033155,497664,0.0
1658339032.628335,556032,0.0
1658339038.3477035,615424,0.0
1658339044.1368036,674816,0.0
1658339050.0054917,735232,0.0
1658339056.0110993,797696,0.0
1658339062.0481064,859136,0.0
1658339068.217864,921600,0.0
1658339074.3368576,984064,0.0
1658339080.6078818,1049600,0.0
1658339086.909537,1114112,0.0
1658339093.2475293,1179648,0.0
1658339099.6679761,1246208,0.0
1658339106.1639602,1311744,0.0
1658339112.7354937,1380352,0.0
1658339119.4213252,1448960,0.0
1658339126.1957195,1517568,0.0
1658339133.0361624,1588224,0.0
1658339139.9923515,1659904,0.0
1658339146.9936805,1730560,0.0
1658339154.2041838,1804288,0.0
1658339161.5117705,1881088,0.0
1658339168.724478,1954816,0.0
1658339176.039869,2030592,0.0
1658339183.4666457,2106368,0.0
1658339191.0239666,2184192,0.0
1658339198.7079637,2263040,0.0
1658339206.4851203,2341888,0.0
1658339214.2340198,2422784,0.0
1658339222.0919666,2503680,0.0
1658339230.0879166,2585600,0.0
1658339238.1392527,2667520,0.0
1658339246.2621245,2751488,0.0
1658339254.5610647,2836480,0.0
1658339262.8548222,2921472,0.0
1658339271.4355252,3010560,0.0
1658339279.9482532,3097600,0.0
1658339288.604769,3185664,0.0
1658339297.3266938,3276800,0.0
1658339306.128376,3366912,0.0
1658339315.0763981,3457024,0.0
1658339324.1512668,3550208,0.0
1658339333.283048,3644416,0.0
1658339342.5117152,3737600,0.0
1658339351.9264064,3834880,0.0
1658339361.4750123,3933184,0.0
1658339371.0617847,4031488,0.0
1658339380.9041812,4132864,0.0
1658339390.7296317,4234240,0.0
1658339400.6604688,4336640,0.0
1658339410.837867,4440064,0.0
1658339421.0978546,4545536,0.0
1658339431.3624606,4651008,0.0
1658339441.7587996,4759552,0.0
1658339452.2567585,4865024,0.0
1658339463.0247915,4975616,0.0
1658339473.835859,5088256,0.0
1658339484.7155507,5200896,0.0
1658339495.7305589,5314560,0.0
1658339506.9871206,5430272,0.0
1658339518.2831926,5545984,0.0
1658339529.8091662,5663744,0.0
1658339541.5335176,5784576,0.0
1658339553.2365072,5907456,0.0
1658339565.020883,6027264,0.0
1658339576.9490442,6152192,0.0
1658339589.0874317,6275072,0.0
1658339601.354739,6401024,0.0
1658339613.794674,6530048,0.0
1658339626.3207312,6658048,0.0
1658339638.9980395,6789120,0.0
1658339651.831394,6921216,0.0
1658339664.7924533,7054336,0.0
1658339677.8993385,7190528,0.0
1658339691.2240963,7326720,0.0
1658339704.6602387,7464960,0.0
1658339718.2956507,7604224,0.0
1658339732.0925517,7746560,0.0
1658339745.977324,7889920,0.0
1658339760.1156886,8034304,0.0
1658339774.3702774,8180736,0.0
1658339788.7681754,8328192,0.0
1658339803.3365874,8478720,0.0
1658339818.042239,8630272,0.0
1658339832.9221847,8782848,0.0
1658339848.0067794,8938496,0.0
1658339863.306924,9095168,0.0
1658339878.7466342,9253888,0.0
1658339894.4480898,9415680,0.0
1658339910.3076468,9579520,0.0
1658339926.2656717,9743360,0.0
1658339942.4781518,9910272,0.0
1658339958.8489532,10079232,0.0
1658339975.5295775,10250240,0.0
1658339992.2706206,10423296,0.0
1658340009.3086288,10596352,0.0
1658340026.4359586,10772480,0.0
1658340043.7504253,10950656,0.0
1658340061.333386,11130880,0.0
1658340079.0719259,11312128,0.0
1658340096.9891574,11496448,0.0
1658340115.2095063,11683840,0.0
1658340133.6878326,11873280,0.0
1658340152.273408,12064768,0.0
1658340171.0553842,12259328,0.0
1658340190.1274984,12454912,0.0
1658340209.3790646,12651520,0.0
1658340228.9196658,12853248,0.0
1658340248.6441076,13056000,0.0
1658340268.547767,13261824,0.0
1658340288.7107694,13468672,0.0
1658340309.139812,13679616,0.0
1658340329.7499335,13890560,0.0
1658340350.6771302,14106624,0.0
1658340371.7774847,14324736,0.0
1658340393.1396015,14544896,0.0
1658340414.7759666,14768128,0.0
1658340436.6438782,14992384,0.0
1658340458.7812033,15219712,0.0
1658340481.1397629,15451136,0.0
1658340503.8683662,15684608,0.0
1658340526.8399997,15921152,0.0
1658340550.005266,16159744,0.0
1658340573.5746913,16403456,0.0
1658340597.3246405,16647168,0.0
1658340621.4160995,16894976,0.0
1658340645.7114844,17144832,0.0
1658340670.2974172,17396736,0.0
1658340695.224189,17654784,0.0
1658340720.3547578,17912832,0.0
1658340745.804193,18173952,0.0
1658340771.6304348,18438144,0.0
1658340797.755947,18707456,0.0
1658340824.1341748,18978816,0.0
1658340850.8499653,19253248,0.0
1658340877.844463,19529728,0.0
1658340905.1332042,19812352,0.0
1658340932.8107643,20097024,0.0
1658340960.8479202,20383744,0.0
1658340989.1402404,20675584,0.0
1658341017.702611,20968448,0.0
1658341046.627795,21266432,0.0
1658341075.9113739,21568512,0.0
1658341105.6353595,21873664,0.0
1658341135.7389781,22182912,0.0
1658341166.044582,22495232,0.0
1658341196.7120473,22811648,0.0
1658341227.7107208,23129088,0.0
1658341259.1583934,23451648,0.0
1658341290.9711502,23778304,0.0
1658341323.1116004,24109056,0.0
1658341355.5897923,24442880,0.0
1658341388.4775386,24780800,0.0
1658341421.7039533,25123840,0.0
1658341455.3827612,25469952,0.0
1658341489.435539,25820160,0.0
1658341523.8857608,26173440,0.0
1658341558.6773984,26530816,0.0
1658341593.9078114,26893312,0.0
1658341629.6002486,27260928,0.0
1658341665.6495552,27630592,0.0
1658341702.2203958,28007424,0.0
1658341739.1656847,28386304,0.0
1658341776.5599394,28771328,0.0
1658341814.3224876,29159424,0.0
1658341852.5747337,29553664,0.0
1658341891.2712424,29950976,0.0
1658341930.4220574,30354432,0.0
1658341970.0386956,30760960,0.0
1658342010.098762,31173632,0.0
1658342050.6620467,31590400,0.0
1658342091.749842,32012288,0.0
1658342133.3221238,32440320,0.0
1658342175.3355331,32872448,0.0
1658342217.8642108,33310720,0.0
1658342260.889428,33752064,0.0
1658342304.3602767,34198528,0.0
1658342348.3480792,34651136,0.0
1658342392.8357613,35108864,0.0
1658342437.8627017,35571712,0.0
1658342483.473854,36039680,0.0
1658342529.50675,36514816,0.0
1658342576.1708522,36994048,0.0
1658342623.2865825,37479424,0.0
1658342671.0022306,37969920,0.0
1658342719.2382615,38465536,0.0
1658342768.0812352,38966272,0.0
1658342817.4329164,39474176,0.0
1658342867.4113207,39988224,0.0
1658342918.2002988,40508416,0.0
1658342969.329554,41035776,0.0
1658343021.026713,41567232,0.0
1658343073.3342986,42103808,0.0
1658343126.2692037,42648576,0.0
1658343179.8369923,43199488,0.0
1658343234.0712395,43757568,0.0
1658343288.9587677,44319744,0.0
1658343344.4206436,44890112,0.0
1658343400.5674055,45467648,0.0
1658343457.478122,46052352,0.0
1658343514.901428,46644224,0.0
1658343573.0028398,47240192,0.0
