wall_time,step,value
1658338973.3389766,1024,0.28148287534713745
1658338978.4777575,20480,0.0011670864187180996
1658338983.5959096,54272,0.0003671602753456682
1658338988.8738658,107520,0.00013483891962096095
1658338994.0927505,160768,3.41300037689507e-05
1658338999.3513167,215040,3.899099101545289e-05
1658339004.7017808,270336,2.513164872652851e-05
1658339010.2154312,325632,8.070327021414414e-05
1658339015.682961,381952,1.7673686670605093e-05
1658339021.2508328,440320,4.0137685573427007e-05
1658339026.9116096,497664,6.190911517478526e-05
1658339032.6304598,556032,3.7998208426870406e-05
1658339038.3522985,615424,3.1030878744786605e-05
1658339044.1440032,674816,2.9994618671480566e-05
1658339050.0132606,735232,2.356602271902375e-05
1658339056.0201383,797696,5.7722390920389444e-05
1658339062.050037,859136,3.6515055398922414e-05
1658339068.2201974,921600,1.9708440959220752e-05
1658339074.340566,984064,1.880943455034867e-05
1658339080.6154623,1049600,2.836711246345658e-05
1658339086.9136791,1114112,2.9813518267474137e-05
1658339093.2502594,1179648,2.7622894776868634e-05
1658339099.670318,1246208,4.7350669774459675e-05
1658339106.166069,1311744,2.2700463887304068e-05
1658339112.739708,1380352,4.066032124683261e-05
1658339119.4236288,1448960,3.8063106330810115e-05
1658339126.1986852,1517568,3.587682294892147e-05
1658339133.03797,1588224,2.0827046682825312e-05
1658339139.994617,1659904,4.751230881083757e-05
1658339146.9962058,1730560,4.185932266409509e-05
1658339154.206599,1804288,5.943938595009968e-05
1658339161.5136778,1881088,2.687247979338281e-05
1658339168.7271495,1954816,2.9322165573830716e-05
1658339176.04463,2030592,3.7691512261517346e-05
1658339183.4687505,2106368,1.7437467249692418e-05
1658339191.0257082,2184192,2.0539657271001488e-05
1658339198.7101438,2263040,4.194483335595578e-05
1658339206.4908903,2341888,2.363611747568939e-05
1658339214.2417462,2422784,3.813352304860018e-05
1658339222.0939298,2503680,5.084155418444425e-05
1658339230.0899634,2585600,3.6503672163235024e-05
1658339238.142097,2667520,2.1402018319349736e-05
1658339246.2672682,2751488,4.481260839384049e-05
1658339254.563361,2836480,2.7894293452845886e-05
1658339262.8571227,2921472,4.3607637053355575e-05
1658339271.43888,3010560,4.171724140178412e-05
1658339279.9560041,3097600,5.565298124565743e-05
1658339288.6078346,3185664,7.586131687276065e-05
1658339297.3323934,3276800,7.193432247731835e-05
1658339306.1304584,3366912,2.6502541004447266e-05
1658339315.087901,3457024,3.4768381738103926e-05
1658339324.1581824,3550208,2.4613613277324475e-05
1658339333.2851677,3644416,2.8024247512803413e-05
1658339342.5142155,3737600,1.3079708878649399e-05
1658339351.9290597,3834880,3.215662218281068e-05
1658339361.479702,3933184,3.258109063608572e-05
1658339371.0707736,4031488,2.194141961808782e-05
1658339380.9064484,4132864,3.7654797779396176e-05
1658339390.7316399,4234240,3.640952127170749e-05
1658339400.6634653,4336640,4.698816337622702e-05
1658339410.840126,4440064,4.051965879625641e-05
1658339421.1028798,4545536,5.307169703883119e-05
1658339431.364617,4651008,5.473549754242413e-05
1658339441.761042,4759552,3.443225068622269e-05
1658339452.258826,4865024,2.2124939278000966e-05
1658339463.0341434,4975616,3.478100916254334e-05
1658339473.846823,5088256,2.044413486146368e-05
1658339484.7174177,5200896,6.977928569540381e-05
1658339495.7327824,5314560,3.206062683602795e-05
1658339506.9892774,5430272,5.667286677635275e-05
1658339518.288764,5545984,2.0879388102912344e-05
1658339529.8125749,5663744,2.1697116608265787e-05
1658339541.5357778,5784576,4.5445111027220264e-05
1658339553.2384427,5907456,5.016241630073637e-05
1658339565.0221624,6027264,2.54861188295763e-05
1658339576.9507504,6152192,4.8419213271699846e-05
1658339589.0898821,6275072,2.4188366296584718e-05
1658339601.3569548,6401024,2.5110028218477964e-05
1658339613.7967734,6530048,6.609696720261127e-05
1658339626.328204,6658048,4.541020462056622e-05
1658339639.0006087,6789120,6.17145633441396e-05
1658339651.8347652,6921216,5.133591184858233e-05
1658339664.794626,7054336,4.91216269438155e-05
1658339677.9018953,7190528,2.2820649974164553e-05
1658339691.2261992,7326720,5.427150608738884e-05
1658339704.6628053,7464960,3.106453732470982e-05
1658339718.298583,7604224,2.270608820253983e-05
1658339732.0971096,7746560,2.646763823577203e-05
1658339745.980293,7889920,5.99771155975759e-05
1658339760.1175518,8034304,5.2321473049232736e-05
1658339774.3721004,8180736,2.7529849830898456e-05
1658339788.773106,8328192,3.635101893451065e-05
1658339803.3388107,8478720,2.9766923034912907e-05
1658339818.0456607,8630272,2.7102723834104836e-05
1658339832.9266295,8782848,2.3688246074016206e-05
1658339848.011592,8938496,3.8964404666330665e-05
1658339863.3091307,9095168,6.2529907154385e-05
1658339878.756003,9253888,2.9762073609163053e-05
1658339894.4502466,9415680,6.051256423234008e-05
1658339910.3098161,9579520,3.2108593586599454e-05
1658339926.2675462,9743360,4.858197280555032e-05
1658339942.4800665,9910272,3.582917634048499e-05
1658339958.8513303,10079232,0.0001295016991207376
1658339975.5339594,10250240,7.27141959941946e-05
1658339992.2729063,10423296,3.654411557363346e-05
1658340009.3110693,10596352,6.983849743846804e-05
1658340026.4373865,10772480,5.712687925552018e-05
1658340043.7526476,10950656,5.190061710891314e-05
1658340061.3388417,11130880,9.34860436245799e-05
1658340079.0779912,11312128,6.418475823011249e-05
1658340096.9945793,11496448,5.260849866317585e-05
1658340115.2160141,11683840,2.7753892936743796e-05
1658340133.6897933,11873280,2.705198676267173e-05
1658340152.27617,12064768,7.799968443578109e-05
1658340171.0668483,12259328,7.482559885829687e-05
1658340190.1294234,12454912,7.649159670108929e-05
1658340209.3811927,12651520,5.812515883008018e-05
1658340228.9255798,12853248,9.582760685589164e-05
1658340248.6461458,13056000,2.3379427148029208e-05
1658340268.551813,13261824,0.00020441276137717068
1658340288.712939,13468672,4.128138971282169e-05
1658340309.1489449,13679616,0.00018168450333178043
1658340329.7519693,13890560,9.02819519978948e-05
1658340350.6829197,14106624,0.00012440576392691582
1658340371.7828434,14324736,0.00010468447726452723
1658340393.1431854,14544896,9.355069778393954e-05
1658340414.778143,14768128,0.00014344372902996838
1658340436.645621,14992384,0.0001313081884291023
1658340458.7841249,15219712,8.361613436136395e-05
1658340481.1419036,15451136,0.00010442325583426282
1658340503.870427,15684608,0.00011135027307318524
1658340526.8426178,15921152,0.00011302722850814462
1658340550.007729,16159744,1.5126121070352383e-05
1658340573.5786545,16403456,0.000196086781215854
1658340597.326514,16647168,9.55555442487821e-05
1658340621.4188244,16894976,7.010412809904665e-05
1658340645.713326,17144832,0.00015181812341324985
1658340670.2998092,17396736,9.797239181352779e-05
1658340695.2263248,17654784,8.041564433369786e-05
1658340720.3640172,17912832,6.945565110072494e-05
1658340745.8062108,18173952,7.888392428867519e-05
1658340771.6320162,18438144,4.0915710997069255e-05
1658340797.761444,18707456,0.00011587756307562813
1658340824.1382055,18978816,8.270840044133365e-05
1658340850.8524544,19253248,0.00010215298243565485
1658340877.8499076,19529728,3.923356780433096e-05
1658340905.1352947,19812352,0.00010499588097445667
1658340932.8128896,20097024,0.0001257669646292925
1658340960.850104,20383744,0.00011207340139662847
1658340989.1422775,20675584,6.113102426752448e-05
1658341017.7101624,20968448,0.00023095535289030522
1658341046.6298778,21266432,0.0001017358954413794
1658341075.9134202,21568512,0.00011581121361814439
1658341105.636648,21873664,0.00021226081298664212
1658341135.7482622,22182912,0.00012132088886573911
1658341166.054828,22495232,0.00020567921455949545
1658341196.7205524,22811648,0.00011589049972826615
1658341227.7122006,23129088,0.00015314081974793226
1658341259.163409,23451648,9.007197513710707e-05
1658341290.9736125,23778304,0.00015680935757700354
1658341323.1147075,24109056,7.274087693076581e-05
1658341355.596463,24442880,0.0002514903899282217
1658341388.484306,24780800,0.00016437556769233197
1658341421.7066464,25123840,4.885369708063081e-05
1658341455.3850534,25469952,5.510339542524889e-05
1658341489.4382243,25820160,0.00012165486259618774
1658341523.8939366,26173440,9.472941019339487e-05
1658341558.6789942,26530816,0.00020232856331858784
1658341593.9106174,26893312,0.00019362886087037623
1658341629.6021967,27260928,4.983320468454622e-05
1658341665.6518471,27630592,0.00013664885773323476
1658341702.2224047,28007424,0.00024677629698999226
1658341739.1685889,28386304,0.00017743227363098413
1658341776.5661058,28771328,7.928542618174106e-05
1658341814.32449,29159424,9.557184239383787e-05
1658341852.5848432,29553664,0.00017214249237440526
1658341891.2731895,29950976,0.00015025680477265269
1658341930.4238892,30354432,6.977641169214621e-05
1658341970.0408258,30760960,0.0003629364655353129
1658342010.1007082,31173632,0.0002676191506907344
1658342050.6669354,31590400,0.00028587051201611757
1658342091.7517061,32012288,8.329737465828657e-05
1658342133.3273714,32440320,0.00017866783309727907
1658342175.3374221,32872448,0.00013384257908910513
1658342217.8662508,33310720,0.0002585825859569013
1658342260.894027,33752064,0.00020720408065244555
1658342304.362371,34198528,0.00021065303008072078
1658342348.3498154,34651136,0.00011929614265682176
1658342392.8376284,35108864,0.0002229225356131792
1658342437.865264,35571712,0.00035674060927703977
1658342483.47586,36039680,0.00012829517072532326
1658342529.508853,36514816,6.188511906657368e-05
1658342576.1729314,36994048,8.054060162976384e-05
1658342623.288929,37479424,0.00015904873725958169
1658342671.0042825,37969920,0.00043708254816010594
1658342719.2409725,38465536,0.0003102613554801792
1658342768.0846922,38966272,7.668548641959205e-05
1658342817.4348595,39474176,0.00019389810040593147
1658342867.4141226,39988224,0.00033193558920174837
1658342918.2077155,40508416,0.00021682886290363967
1658342969.3320377,41035776,0.0002330131537746638
1658343021.0294383,41567232,0.0002381938393227756
1658343073.3387678,42103808,0.00013567370478995144
1658343126.2705693,42648576,0.00010921688954113051
1658343179.8468547,43199488,0.00027400179533287883
1658343234.0735977,43757568,0.00017716613365337253
1658343288.9608107,44319744,0.00019132395391352475
1658343344.4232173,44890112,0.00022733541845809668
1658343400.5692863,45467648,0.00010534629109315574
1658343457.480898,46052352,0.00020410321303643286
1658343514.9035056,46644224,0.0001917478657560423
