wall_time,step,value
1658338973.3368428,1024,0.0
1658338978.4757028,20480,0.0
1658338983.5840197,54272,0.0
1658338988.8722796,107520,0.0
1658338994.081842,160768,0.0
1658338999.339698,215040,0.0
1658339004.6962135,270336,0.0
1658339010.2129683,325632,0.0
1658339015.6754024,381952,0.0
1658339021.2450898,440320,0.0
1658339026.9032211,497664,0.0
1658339032.6282365,556032,0.0
1658339038.3475988,615424,0.0
1658339044.1328268,674816,0.0
1658339050.0053961,735232,0.0
1658339056.0108383,797696,0.0
1658339062.0480154,859136,0.0
1658339068.2177744,921600,0.0
1658339074.336517,984064,0.0
1658339080.607791,1049600,0.0
1658339086.9094427,1114112,0.0
1658339093.2474422,1179648,0.0
1658339099.667883,1246208,0.0
1658339106.1638653,1311744,0.0
1658339112.7354326,1380352,0.0
1658339119.4212215,1448960,0.0
1658339126.1956291,1517568,0.0
1658339133.0360842,1588224,0.0
1658339139.9922621,1659904,0.0
1658339146.9935992,1730560,0.0
1658339154.2041018,1804288,0.0
1658339161.5116837,1881088,0.0
1658339168.724399,1954816,0.0
1658339176.0398204,2030592,0.0
1658339183.4665213,2106368,0.0
1658339191.023889,2184192,0.0
1658339198.7078788,2263040,0.0
1658339206.485069,2341888,0.0
1658339214.2339623,2422784,0.0
1658339222.0918798,2503680,0.0
1658339230.0878341,2585600,0.0
1658339238.1388237,2667520,0.0
1658339246.2620397,2751488,0.0
1658339254.5609775,2836480,0.0
1658339262.8547428,2921472,0.0
1658339271.4354427,3010560,0.0
1658339279.9481647,3097600,0.0
1658339288.604679,3185664,0.0
1658339297.3265774,3276800,0.0
1658339306.127481,3366912,0.0
1658339315.0763083,3457024,0.0
1658339324.151205,3550208,0.0
1658339333.2829647,3644416,0.0
1658339342.5116255,3737600,0.0
1658339351.92631,3834880,0.0
1658339361.474632,3933184,0.0
1658339371.0616941,4031488,0.0
1658339380.9040976,4132864,0.0
1658339390.7295313,4234240,0.0
1658339400.6603692,4336640,0.0
1658339410.8377633,4440064,0.0
1658339421.0977638,4545536,0.0
1658339431.3623567,4651008,0.0
1658339441.7587059,4759552,0.0
1658339452.2566714,4865024,0.0
1658339463.0245454,4975616,0.0
1658339473.8358095,5088256,0.0
1658339484.7154715,5200896,0.0
1658339495.7304688,5314560,0.0
1658339506.9870396,5430272,0.0
1658339518.2830994,5545984,0.0
1658339529.809064,5663744,0.0
1658339541.533424,5784576,0.0
1658339553.2363975,5907456,0.0
1658339565.020832,6027264,0.0
1658339576.9487967,6152192,0.0
1658339589.0873332,6275072,0.0
1658339601.354655,6401024,0.0
1658339613.794597,6530048,0.0
1658339626.320624,6658048,0.0
1658339638.9977427,6789120,0.0
1658339651.8313105,6921216,0.0
1658339664.7923553,7054336,0.0
1658339677.8992538,7190528,0.0
1658339691.2239811,7326720,0.0
1658339704.6601372,7464960,0.0
1658339718.2955663,7604224,0.0
1658339732.0924604,7746560,0.0
1658339745.9772532,7889920,0.0
1658339760.1156058,8034304,0.0
1658339774.3701837,8180736,0.0
1658339788.7680814,8328192,0.0
1658339803.3364985,8478720,0.0
1658339818.0421438,8630272,0.0
1658339832.922071,8782848,0.0
1658339848.0066953,8938496,0.0
1658339863.3060155,9095168,0.0
1658339878.746543,9253888,0.0
1658339894.4480014,9415680,0.0
1658339910.3075557,9579520,0.0
1658339926.265583,9743360,0.0
1658339942.4780617,9910272,0.0
1658339958.848873,10079232,0.0
1658339975.529489,10250240,0.0
1658339992.2705328,10423296,0.0
1658340009.3085458,10596352,0.0
1658340026.435909,10772480,0.0
1658340043.7503355,10950656,0.0
1658340061.3332684,11130880,0.0
1658340079.071877,11312128,0.0
1658340096.9884894,11496448,0.0
1658340115.2094145,11683840,0.0
1658340133.687741,11873280,0.0
1658340152.2733023,12064768,0.0
1658340171.0553033,12259328,0.0
1658340190.127415,12454912,0.0
1658340209.3789802,12651520,0.0
1658340228.9195547,12853248,0.0
1658340248.6429868,13056000,0.0
1658340268.5476806,13261824,0.0
1658340288.7106802,13468672,0.0
1658340309.1397111,13679616,0.0
1658340329.7498279,13890560,0.0
1658340350.6770706,14106624,0.0
1658340371.7774365,14324736,0.0
1658340393.1387954,14544896,0.0
1658340414.7758818,14768128,0.0
1658340436.6437826,14992384,0.0
1658340458.7811046,15219712,0.0
1658340481.1396577,15451136,0.0
1658340503.8682761,15684608,0.0
1658340526.8398867,15921152,0.0
1658340550.0051703,16159744,0.0
1658340573.5706484,16403456,0.0
1658340597.3245523,16647168,0.0
1658340621.4160497,16894976,0.0
1658340645.7113976,17144832,0.0
1658340670.297327,17396736,0.0
1658340695.224099,17654784,0.0
1658340720.3546724,17912832,0.0
1658340745.8040943,18173952,0.0
1658340771.630308,18438144,0.0
1658340797.7554867,18707456,0.0
1658340824.1340861,18978816,0.0
1658340850.8498757,19253248,0.0
1658340877.8443732,19529728,0.0
1658340905.1331244,19812352,0.0
1658340932.8106754,20097024,0.0
1658340960.847832,20383744,0.0
1658340989.140155,20675584,0.0
1658341017.7025337,20968448,0.0
1658341046.627705,21266432,0.0
1658341075.9112904,21568512,0.0
1658341105.6353037,21873664,0.0
1658341135.7389286,22182912,0.0
1658341166.0435731,22495232,0.0
1658341196.7119634,22811648,0.0
1658341227.710633,23129088,0.0
1658341259.1582901,23451648,0.0
1658341290.9710617,23778304,0.0
1658341323.1115208,24109056,0.0
1658341355.5897412,24442880,0.0
1658341388.4774315,24780800,0.0
1658341421.7038646,25123840,0.0
1658341455.3826747,25469952,0.0
1658341489.4354522,25820160,0.0
1658341523.8856711,26173440,0.0
1658341558.6768565,26530816,0.0
1658341593.9073904,26893312,0.0
1658341629.60016,27260928,0.0
1658341665.6494691,27630592,0.0
1658341702.2203102,28007424,0.0
1658341739.1656017,28386304,0.0
1658341776.5598493,28771328,0.0
1658341814.3224077,29159424,0.0
1658341852.5746458,29553664,0.0
1658341891.2711532,29950976,0.0
1658341930.4219737,30354432,0.0
1658341970.0386083,30760960,0.0
1658342010.0986893,31173632,0.0
1658342050.661989,31590400,0.0
1658342091.7497578,32012288,0.0
1658342133.322032,32440320,0.0
1658342175.3354836,32872448,0.0
1658342217.864123,33310720,0.0
1658342260.889379,33752064,0.0
1658342304.3601918,34198528,0.0
1658342348.3480175,34651136,0.0
1658342392.8357124,35108864,0.0
1658342437.8626194,35571712,0.0
1658342483.4737647,36039680,0.0
1658342529.5066578,36514816,0.0
1658342576.170769,36994048,0.0
1658342623.2829056,37479424,0.0
1658342671.0021467,37969920,0.0
1658342719.238213,38465536,0.0
1658342768.0802972,38966272,0.0
1658342817.4328296,39474176,0.0
1658342867.4112582,39988224,0.0
1658342918.200209,40508416,0.0
1658342969.329464,41035776,0.0
1658343021.026611,41567232,0.0
1658343073.3337252,42103808,0.0
1658343126.269154,42648576,0.0
1658343179.8369315,43199488,0.0
1658343234.071157,43757568,0.0
1658343288.9586809,44319744,0.0
1658343344.4205418,44890112,0.0
1658343400.5673194,45467648,0.0
1658343457.4776766,46052352,0.0
1658343514.9013343,46644224,0.0
1658343573.0027447,47240192,0.0
1658343631.8570573,47845376,0.0
1658343691.3140934,48457728,0.0
1658343751.5892565,49076224,0.0
1658343812.4328156,49701888,0.0
1658343873.9854803,50334720,0.0
1658343936.2364793,50972672,0.0
1658343999.2806878,51620864,0.0
1658344063.0339692,52275200,0.0
1658344127.5056038,52938752,0.0
1658344192.811483,53610496,0.0
1658344258.8172429,54289408,0.0
1658344325.64412,54975488,0.0
1658344393.1982167,55668736,0.0
1658344461.5412087,56371200,0.0
1658344530.6940587,57080832,0.0
1658344600.67574,57800704,0.0
1658344671.466443,58528768,0.0
1658344743.1478572,59268096,0.0
1658344815.584388,60011520,0.0
1658344889.002348,60765184,0.0
1658344963.1966908,61528064,0.0
1658345038.207586,62299136,0.0
1658345114.067913,63079424,0.0
1658345190.8476722,63869952,0.0
1658345268.5468805,64668672,0.0
1658345347.1266756,65476608,0.0
1658345426.6343384,66293760,0.0
1658345507.1143038,67121152,0.0
1658345588.477508,67957760,0.0
1658345670.8266742,68805632,0.0
1658345754.0834577,69660672,0.0
1658345838.3060985,70526976,0.0
1658345923.5535765,71405568,0.0
1658346009.7705793,72291328,0.0
1658346097.031651,73189376,0.0
1658346185.2800484,74097664,0.0
1658346274.5732799,75015168,0.0
1658346364.9716365,75943936,0.0
1658346456.4226046,76883968,0.0
1658346548.865845,77833216,0.0
1658346642.3724856,78795776,0.0
1658346737.122343,79767552,0.0
1658346832.8276446,80753664,0.0
1658346929.659781,81747968,0.0
1658347027.6386247,82755584,0.0
1658347126.7866223,83773440,0.0
1658347227.0933383,84805632,0.0
1658347328.5495489,85849088,0.0
1658347431.2130125,86903808,0.0
1658347535.0675566,87968768,0.0
1658347640.282368,89051136,0.0
1658347746.5414548,90145792,0.0
1658347854.045899,91250688,0.0
1658347962.8422334,92367872,0.0
1658348072.9189801,93498368,0.0
1658348184.2451525,94642176,0.0
1658348296.8982537,95795200,0.0
1658348410.8652363,96966656,0.0
1658348526.1691046,98148352,0.0
1658348642.7668061,99347456,0.0
1658348760.8601046,100557824,0.0
1658348880.2164614,101783552,0.0
1658349000.3312454,103017472,0.0
1658349120.6583927,104253440,0.0
1658349241.114293,105491456,0.0
1658349361.704635,106729472,0.0
1658349482.5602121,107971584,0.0
1658349603.4647186,109214720,0.0
1658349724.6970835,110459904,0.0
1658349845.9312487,111706112,0.0
1658349967.540316,112955392,0.0
1658350089.1698105,114205696,0.0
1658350210.9059632,115452928,0.0
1658350332.8696485,116702208,0.0
1658350454.9158072,117949440,0.0
1658350577.1891396,119192576,0.0
1658350699.5638504,120434688,0.0
1658350822.1706657,121678848,0.0
1658350944.9130845,122925056,0.0
1658351067.7886224,124169216,0.0
1658351190.825553,125415424,0.0
1658351313.9995701,126665728,0.0
1658351437.4706247,127912960,0.0
1658351561.0945868,129166336,0.0
1658351684.7571263,130419712,0.0
1658351808.6456752,131675136,0.0
1658351932.6468973,132931584,0.0
1658352056.8223221,134190080,0.0
1658352181.2683103,135450624,0.0
1658352305.7608242,136710144,0.0
1658352430.4914734,137972736,0.0
1658352555.3651752,139238400,0.0
1658352680.4108605,140504064,0.0
1658352805.6179352,141771776,0.0
1658352931.0974257,143041536,0.0
1658353056.6950023,144314368,0.0
1658353182.388265,145588224,0.0
1658353308.2387745,146861056,0.0
1658353434.2497876,148133888,0.0
1658353560.3982034,149411840,0.0
1658353686.7026017,150690816,0.0
1658353813.2448142,151970816,0.0
1658353939.917554,153252864,0.0
1658354066.8418355,154535936,0.0
1658354193.9477384,155824128,0.0
1658354321.1115053,157111296,0.0
1658354448.510067,158399488,0.0
1658354576.0607584,159691776,0.0
1658354703.7989826,160984064,0.0
1658354831.7424965,162278400,0.0
1658354959.7566848,163572736,0.0
1658355087.970687,164870144,0.0
1658355216.3363066,166166528,0.0
1658355344.9738805,167468032,0.0
1658355473.7024488,168769536,0.0
1658355602.6547043,170075136,0.0
1658355731.7497115,171381760,0.0
1658355861.0349934,172687360,0.0
1658355990.411416,173997056,0.0
1658356119.9795847,175306752,0.0
1658356249.7292035,176617472,0.0
1658356379.6268024,177933312,0.0
1658356509.7607346,179249152,0.0
1658356639.95758,180568064,0.0
1658356770.4425793,181884928,0.0
1658356901.0426657,183204864,0.0
1658357031.8284206,184526848,0.0
1658357162.722515,185850880,0.0
1658357293.8437088,187176960,0.0
1658357425.1261835,188506112,0.0
1658357556.6090004,189835264,0.0
1658357688.2182937,191166464,0.0
1658357819.974088,192498688,0.0
1658357951.9213345,193833984,0.0
1658358084.0626378,195169280,0.0
1658358216.416916,196506624,0.0
1658358348.9232478,197847040,0.0
1658358481.6427011,199189504,0.0
